Date,EUROPE IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,171.082
1994-06-30,169.67
1994-07-29,178.85
1994-08-31,183.268
1994-09-30,176.289
1994-10-31,184.004
1994-11-30,177.042
1994-12-30,177.305
1995-01-31,176.22
1995-02-28,178.771
1995-03-31,186.888
1995-04-28,192.114
1995-05-31,197.194
1995-06-30,197.621
1995-07-31,207.204
1995-08-31,197.313
1995-09-29,202.113
1995-10-31,201.365
1995-11-30,201.931
1995-12-29,209.024
1996-01-31,209.843
1996-02-29,213.947
1996-03-29,215.266
1996-04-30,217.555
1996-05-31,222.116
1996-06-28,223.586
1996-07-31,221.622
1996-08-30,227.397
1996-09-30,231.093
1996-10-31,236.755
1996-11-29,248.267
1996-12-31,255.42
1997-01-31,255.631
1997-02-28,259.045
1997-03-31,266.5
1997-04-30,264.304
1997-05-30,278.285
1997-06-30,287.893
1997-07-31,299.644
1997-08-29,288.2
1997-09-30,313.858
1997-10-31,302.128
1997-11-28,303.969
1997-12-31,312.944
1998-01-30,322.761
1998-02-27,346.604
1998-03-31,376.577
1998-04-30,386.965
1998-05-29,395.258
1998-06-30,396.271
1998-07-31,400.07
1998-08-31,349.844
1998-09-30,337.353
1998-10-30,357.942
1998-11-30,371.92
1998-12-31,380.813
1999-01-29,377.323
1999-02-26,373.947
1999-03-31,383.141
1999-04-30,405.281
1999-05-31,389.037
1999-06-30,393.995
1999-07-30,401.46
1999-08-31,405.563
1999-09-30,400.281
1999-10-29,404.631
1999-11-30,404.54
1999-12-31,431.318
2000-01-31,388.615
2000-02-29,392.292
2000-03-31,410.799
2000-04-28,394.067
2000-05-31,400.254
2000-06-30,413.938
2000-07-31,408.076
2000-08-31,407.142
2000-09-29,394.749
2000-10-31,393.707
2000-11-30,390.408
2000-12-29,418.969
2001-01-31,424.272
2001-02-28,405.134
2001-03-30,379.374
2001-04-30,401.14
2001-05-31,390.378
2001-06-29,381.591
2001-07-31,384.261
2001-08-31,381.256
2001-09-28,338.228
2001-10-31,346.392
2001-11-30,358.507
2001-12-31,366.417
2002-01-31,354.561
2002-02-28,356.032
2002-03-29,379.868
2002-04-30,387.008
2002-05-31,395.445
2002-06-28,380.306
2002-07-31,339.132
2002-08-30,342.284
2002-09-30,292.832
2002-10-31,317.587
2002-11-29,333.762
2002-12-31,322.287
2003-01-31,308.01
2003-02-28,298.854
2003-03-31,292.834
2003-04-30,331.417
2003-05-30,359.39
2003-06-30,364.082
2003-07-31,375.209
2003-08-29,375.557
2003-09-30,381.215
2003-10-31,409.341
2003-11-28,425.72
2003-12-31,465.004
2004-01-30,467.201
2004-02-27,481.429
2004-03-31,468.811
2004-04-30,467.918
2004-05-31,477.058
2004-06-30,487.006
2004-07-30,476.123
2004-08-31,479.075
2004-09-30,499.88
2004-10-29,518.964
2004-11-30,558.611
2004-12-31,584.452
2005-01-31,578.482
2005-02-28,609.922
2005-03-31,593.453
2005-04-29,573.457
2005-05-31,575.785
2005-06-30,587.339
2005-07-29,608.678
2005-08-31,616.845
2005-09-30,629.154
2005-10-31,609.515
2005-11-30,622.585
2005-12-30,645.249
2006-01-31,688.294
2006-02-28,696.029
2006-03-31,721.43
2006-04-28,757.706
2006-05-31,740.147
2006-06-30,742.748
2006-07-31,756.563
2006-08-31,781.155
2006-09-29,792.498
2006-10-31,831.698
2006-11-30,861.571
2006-12-29,892.058
2007-01-31,893.974
2007-02-28,888.983
2007-03-30,917.806
2007-04-30,981.364
2007-05-31,1000.0
2007-06-29,997.177
2007-07-31,969.395
2007-08-31,948.228
2007-09-28,984.495
2007-10-31,1031.633
2007-11-30,978.195
2007-12-31,958.652
2008-01-31,852.67
2008-02-29,858.465
2008-03-31,865.593
2008-04-30,913.058
2008-05-30,906.13
2008-06-30,811.222
2008-07-31,785.399
2008-08-29,761.087
2008-09-30,642.436
2008-10-31,494.372
2008-11-28,463.798
2008-12-31,487.748
2009-01-30,423.17
2009-02-27,373.294
2009-03-31,404.118
