Date,EUROPE LARGE CAP Large Cap
1994-05-31,208.685
1994-06-30,207.328
1994-07-29,218.424
1994-08-31,225.625
1994-09-30,217.259
1994-10-31,226.865
1994-11-30,218.283
1994-12-30,219.481
1995-01-31,218.12
1995-02-28,222.615
1995-03-31,233.896
1995-04-28,241.666
1995-05-31,247.329
1995-06-30,250.729
1995-07-31,264.188
1995-08-31,254.405
1995-09-29,263.185
1995-10-31,262.741
1995-11-30,264.681
1995-12-29,273.216
1996-01-31,274.394
1996-02-29,279.066
1996-03-29,282.517
1996-04-30,285.399
1996-05-31,290.035
1996-06-28,294.276
1996-07-31,290.252
1996-08-30,300.037
1996-09-30,306.887
1996-10-31,314.227
1996-11-29,330.132
1996-12-31,337.273
1997-01-31,337.278
1997-02-28,341.654
1997-03-31,353.514
1997-04-30,353.331
1997-05-30,370.821
1997-06-30,390.189
1997-07-31,408.45
1997-08-29,385.435
1997-09-30,421.446
1997-10-31,399.651
1997-11-28,405.889
1997-12-31,420.615
1998-01-30,438.221
1998-02-27,473.475
1998-03-31,505.472
1998-04-30,514.589
1998-05-29,527.521
1998-06-30,535.193
1998-07-31,545.51
1998-08-31,477.691
1998-09-30,459.834
1998-10-30,495.039
1998-11-30,522.586
1998-12-31,545.281
1999-01-29,544.008
1999-02-26,530.791
1999-03-31,536.936
1999-04-30,554.362
1999-05-31,528.932
1999-06-30,538.378
1999-07-30,544.391
1999-08-31,550.925
1999-09-30,547.688
1999-10-29,567.944
1999-11-30,585.584
1999-12-31,646.585
2000-01-31,601.206
2000-02-29,632.369
2000-03-31,644.274
2000-04-28,615.241
2000-05-31,609.974
2000-06-30,623.097
2000-07-31,611.598
2000-08-31,606.728
2000-09-29,574.873
2000-10-31,568.427
2000-11-30,543.503
2000-12-29,579.821
2001-01-31,580.681
2001-02-28,526.041
2001-03-30,486.912
2001-04-30,523.598
2001-05-31,496.453
2001-06-29,478.53
2001-07-31,479.426
2001-08-31,465.498
2001-09-28,419.263
2001-10-31,432.687
2001-11-30,449.201
2001-12-31,459.863
2002-01-31,435.046
2002-02-28,433.464
2002-03-29,457.549
2002-04-30,453.324
2002-05-31,452.494
2002-06-28,436.644
2002-07-31,389.219
2002-08-30,390.543
2002-09-30,337.312
2002-10-31,373.191
2002-11-29,390.698
2002-12-31,376.763
2003-01-31,358.328
2003-02-28,348.344
2003-03-31,342.974
2003-04-30,389.408
2003-05-30,413.651
2003-06-30,417.426
2003-07-31,423.536
2003-08-29,420.467
2003-09-30,428.846
2003-10-31,456.261
2003-11-28,475.84
2003-12-31,517.582
