Date,EUROPE LARGE GROWTH Large Cap
2001-01-01,725.575
2001-01-02,716.468
2001-01-03,698.139
2001-01-04,716.754
2001-01-05,717.337
2001-01-08,709.348
2001-01-09,695.479
2001-01-10,693.036
2001-01-11,709.921
2001-01-12,719.992
2001-01-15,715.634
2001-01-16,703.059
2001-01-17,717.636
2001-01-18,726.131
2001-01-19,719.989
2001-01-22,718.546
2001-01-23,716.555
2001-01-24,713.647
2001-01-25,712.188
2001-01-26,710.116
2001-01-29,707.327
2001-01-30,711.604
2001-01-31,719.693
2001-02-01,717.277
2001-02-02,703.414
2001-02-05,704.332
2001-02-06,701.352
2001-02-07,690.128
2001-02-08,680.647
2001-02-09,669.781
2001-02-12,682.032
2001-02-13,675.181
2001-02-14,657.142
2001-02-15,662.399
2001-02-16,651.792
2001-02-19,650.476
2001-02-20,636.696
2001-02-21,631.502
2001-02-22,625.133
2001-02-23,610.346
2001-02-26,620.598
2001-02-27,628.829
2001-02-28,625.843
2001-03-01,621.851
2001-03-02,626.398
2001-03-05,633.236
2001-03-06,649.942
2001-03-07,644.93
2001-03-08,641.851
2001-03-09,631.042
2001-03-12,608.842
2001-03-13,596.982
2001-03-14,585.507
2001-03-15,593.245
2001-03-16,570.057
2001-03-19,566.737
2001-03-20,580.721
2001-03-21,564.028
2001-03-22,531.948
2001-03-23,555.723
2001-03-26,578.431
2001-03-27,591.205
2001-03-28,574.47
2001-03-29,567.266
2001-03-30,568.555
2001-04-02,564.001
2001-04-03,544.588
2001-04-04,557.715
2001-04-05,571.582
2001-04-06,571.464
2001-04-09,578.449
2001-04-10,587.777
2001-04-11,589.159
2001-04-12,593.666
2001-04-13,593.666
2001-04-16,588.344
2001-04-17,581.026
2001-04-18,599.588
2001-04-19,608.61
2001-04-20,609.303
2001-04-23,598.145
2001-04-24,597.95
2001-04-25,598.606
2001-04-26,607.274
2001-04-27,611.469
2001-04-30,619.001
2001-05-01,620.263
2001-05-02,618.424
2001-05-03,606.957
2001-05-04,610.771
2001-05-07,612.503
2001-05-08,609.115
2001-05-09,602.76
2001-05-10,614.526
2001-05-11,605.495
2001-05-14,593.259
2001-05-15,601.269
2001-05-16,603.925
2001-05-17,609.766
2001-05-18,610.908
2001-05-21,612.974
2001-05-22,614.128
2001-05-23,603.497
2001-05-24,600.782
2001-05-25,594.699
2001-05-28,598.111
2001-05-29,587.641
2001-05-30,577.634
2001-05-31,573.407
2001-06-01,570.036
2001-06-04,572.805
2001-06-05,582.007
2001-06-06,577.758
2001-06-07,578.135
2001-06-08,575.798
2001-06-11,565.987
2001-06-12,554.895
2001-06-13,561.538
2001-06-14,557.263
2001-06-15,553.601
2001-06-18,547.875
2001-06-19,547.128
2001-06-20,540.657
2001-06-21,541.673
2001-06-22,543.342
2001-06-25,545.842
2001-06-26,536.838
2001-06-27,535.412
2001-06-28,537.89
2001-06-29,543.449
2001-07-02,551.98
2001-07-03,544.584
2001-07-04,538.024
2001-07-05,526.032
2001-07-06,519.08
2001-07-09,521.966
2001-07-10,521.419
2001-07-11,517.138
2001-07-12,519.813
2001-07-13,522.835
2001-07-16,520.692
2001-07-17,513.747
2001-07-18,519.229
2001-07-19,528.684
2001-07-20,524.834
2001-07-23,523.986
2001-07-24,519.719
2001-07-25,515.554
2001-07-26,519.089
2001-07-27,528.215
2001-07-30,535.604
2001-07-31,541.575
2001-08-01,546.827
2001-08-02,549.505
2001-08-03,545.291
2001-08-06,541.884
2001-08-07,540.828
2001-08-08,532.25
2001-08-09,527.563
2001-08-10,526.07
2001-08-13,531.437
2001-08-14,537.172
2001-08-15,540.474
2001-08-16,533.167
2001-08-17,525.288
2001-08-20,522.328
2001-08-21,529.712
2001-08-22,531.821
2001-08-23,529.537
2001-08-24,538.538
2001-08-27,537.448
2001-08-28,529.101
2001-08-29,528.207
2001-08-30,516.501
2001-08-31,518.07
2001-09-03,510.424
2001-09-04,508.035
2001-09-05,496.657
2001-09-06,485.026
2001-09-07,480.918
2001-09-10,475.531
2001-09-11,447.662
2001-09-12,459.735
2001-09-13,465.187
2001-09-14,446.612
2001-09-17,457.543
2001-09-18,454.165
2001-09-19,449.914
2001-09-20,433.335
2001-09-21,418.416
2001-09-24,440.708
2001-09-25,450.834
2001-09-26,454.026
2001-09-27,459.188
2001-09-28,468.819
2001-10-01,461.087
2001-10-02,464.772
2001-10-03,468.401
2001-10-04,480.612
2001-10-05,479.871
2001-10-08,482.167
2001-10-09,481.41
2001-10-10,490.486
2001-10-11,493.076
2001-10-12,490.652
2001-10-15,482.163
2001-10-16,488.464
2001-10-17,498.045
2001-10-18,490.151
2001-10-19,481.905
2001-10-22,487.814
2001-10-23,496.924
2001-10-24,500.375
2001-10-25,492.447
2001-10-26,501.391
2001-10-29,496.146
2001-10-30,485.543
2001-10-31,489.924
2001-11-01,497.013
2001-11-02,497.968
2001-11-05,507.801
2001-11-06,508.509
2001-11-07,514.062
2001-11-08,520.006
2001-11-09,513.251
2001-11-12,502.474
2001-11-13,513.098
2001-11-14,515.188
2001-11-15,517.914
2001-11-16,522.818
2001-11-19,524.192
2001-11-20,516.519
2001-11-21,511.675
2001-11-22,519.034
2001-11-23,514.719
2001-11-26,517.288
2001-11-27,511.057
2001-11-28,506.758
2001-11-29,505.832
2001-11-30,512.415
2001-12-03,507.556
2001-12-04,517.345
2001-12-05,532.281
2001-12-06,534.669
2001-12-07,529.675
2001-12-10,518.949
2001-12-11,520.797
2001-12-12,519.008
2001-12-13,510.359
2001-12-14,507.283
2001-12-17,520.99
2001-12-18,519.479
2001-12-19,512.493
2001-12-20,509.332
2001-12-21,512.07
2001-12-24,507.676
2001-12-25,507.676
2001-12-26,508.569
2001-12-27,519.563
2001-12-28,520.312
2001-12-31,524.722
2002-01-01,524.722
2002-01-02,526.175
2002-01-03,534.842
2002-01-04,531.412
2002-01-07,524.792
2002-01-08,518.541
2002-01-09,518.203
2002-01-10,513.501
2002-01-11,515.709
2002-01-14,505.365
2002-01-15,508.916
2002-01-16,498.232
2002-01-17,502.567
2002-01-18,502.384
2002-01-21,497.792
2002-01-22,498.871
2002-01-23,501.627
2002-01-24,506.414
2002-01-25,495.198
2002-01-28,495.981
2002-01-29,489.566
2002-01-30,482.628
2002-01-31,488.798
2002-02-01,489.451
2002-02-04,485.533
2002-02-05,478.08
2002-02-06,472.058
2002-02-07,478.804
2002-02-08,479.351
2002-02-11,486.85
2002-02-12,484.15
2002-02-13,486.185
2002-02-14,489.51
2002-02-15,486.262
2002-02-18,481.468
2002-02-19,473.812
2002-02-20,470.65
2002-02-21,474.158
2002-02-22,470.771
2002-02-25,474.879
2002-02-26,476.409
2002-02-27,484.39
2002-02-28,484.861
2002-03-01,488.685
2002-03-04,500.24
2002-03-05,498.298
2002-03-06,503.324
2002-03-07,509.328
2002-03-08,510.959
2002-03-11,506.159
2002-03-12,498.94
2002-03-13,500.0
2002-03-14,505.084
2002-03-15,509.328
2002-03-18,512.102
2002-03-19,513.261
2002-03-20,507.964
2002-03-21,506.122
2002-03-22,507.145
2002-03-25,502.183
2002-03-26,503.096
2002-03-27,501.006
2002-03-28,505.84
2002-03-29,505.84
2002-04-01,510.482
2002-04-02,507.167
2002-04-03,505.317
2002-04-04,500.949
2002-04-05,500.189
2002-04-08,489.364
2002-04-09,490.926
2002-04-10,495.841
2002-04-11,487.608
2002-04-12,487.801
2002-04-15,492.398
2002-04-16,502.774
2002-04-17,506.764
2002-04-18,501.389
2002-04-19,500.205
2002-04-22,493.833
2002-04-23,493.308
2002-04-24,492.428
2002-04-25,492.39
2002-04-26,490.011
2002-04-29,489.71
2002-04-30,490.27
2002-05-01,492.399
2002-05-02,487.454
2002-05-03,484.714
2002-05-06,485.925
2002-05-07,478.731
2002-05-08,489.615
2002-05-09,487.892
2002-05-10,482.211
