Date,EUROPE LARGE GROWTH Large Cap
1994-05-31,260.225
1994-06-30,258.243
1994-07-29,269.995
1994-08-31,280.348
1994-09-30,271.008
1994-10-31,280.346
1994-11-30,269.497
1994-12-30,272.523
1995-01-31,270.861
1995-02-28,278.023
1995-03-31,291.85
1995-04-28,302.853
1995-05-31,308.499
1995-06-30,316.643
1995-07-31,334.62
1995-08-31,326.4
1995-09-29,339.955
1995-10-31,338.15
1995-11-30,339.49
1995-12-29,348.167
1996-01-31,350.524
1996-02-29,357.487
1996-03-29,364.503
1996-04-30,367.97
1996-05-31,372.068
1996-06-28,380.223
1996-07-31,372.21
1996-08-30,386.592
1996-09-30,394.84
1996-10-31,403.223
1996-11-29,421.94
1996-12-31,428.266
1997-01-31,428.344
1997-02-28,433.249
1997-03-31,449.605
1997-04-30,451.046
1997-05-30,469.977
1997-06-30,500.199
1997-07-31,519.804
1997-08-29,486.35
1997-09-30,530.492
1997-10-31,501.235
1997-11-28,510.97
1997-12-31,529.93
1998-01-30,556.736
1998-02-27,605.011
1998-03-31,635.459
1998-04-30,642.048
1998-05-29,663.005
1998-06-30,670.437
1998-07-31,687.978
1998-08-31,606.355
1998-09-30,581.654
1998-10-30,632.787
1998-11-30,674.666
1998-12-31,714.275
1999-01-29,715.348
1999-02-26,687.641
1999-03-31,684.678
1999-04-30,686.336
1999-05-31,655.018
1999-06-30,668.858
1999-07-30,674.46
1999-08-31,684.659
1999-09-30,686.151
1999-10-29,721.05
1999-11-30,761.681
1999-12-31,867.064
2000-01-31,842.174
2000-02-29,917.585
2000-03-31,906.485
2000-04-28,861.867
2000-05-31,836.43
2000-06-30,847.15
2000-07-31,829.801
2000-08-31,817.331
2000-09-29,757.983
2000-10-31,737.31
2000-11-30,682.86
2000-12-29,725.575
2001-01-31,719.693
2001-02-28,625.843
2001-03-30,568.555
2001-04-30,619.001
2001-05-31,573.407
2001-06-29,543.449
2001-07-31,541.575
2001-08-31,518.07
2001-09-28,468.819
2001-10-31,489.924
2001-11-30,512.415
2001-12-31,524.722
2002-01-31,488.798
2002-02-28,484.861
2002-03-29,505.84
2002-04-30,490.27
2002-05-31,477.822
2002-06-28,464.89
2002-07-31,416.467
2002-08-30,413.135
2002-09-30,366.279
2002-10-31,406.209
2002-11-29,423.05
2002-12-31,410.221
2003-01-31,389.213
2003-02-28,378.209
2003-03-31,375.457
2003-04-30,428.295
2003-05-30,447.518
2003-06-30,450.705
2003-07-31,452.497
2003-08-29,449.253
2003-09-30,463.146
2003-10-31,488.389
2003-11-28,510.95
2003-12-31,547.198
2004-01-30,557.202
2004-02-27,573.301
2004-03-31,550.423
2004-04-30,540.746
2004-05-31,547.031
2004-06-30,549.028
2004-07-30,533.286
2004-08-31,531.57
2004-09-30,549.596
2004-10-29,567.771
2004-11-30,605.42
2004-12-31,628.335
2005-01-31,609.951
2005-02-28,636.153
2005-03-31,623.65
2005-04-29,619.374
2005-05-31,621.592
2005-06-30,625.199
2005-07-29,648.793
2005-08-31,659.017
2005-09-30,679.697
2005-10-31,660.853
2005-11-30,665.876
2005-12-30,687.676
2006-01-31,730.081
2006-02-28,721.46
2006-03-31,751.171
2006-04-28,791.151
2006-05-31,770.151
2006-06-30,774.282
2006-07-31,785.276
2006-08-31,806.995
2006-09-29,805.169
2006-10-31,832.585
2006-11-30,859.784
2006-12-29,879.09
2007-01-31,890.577
2007-02-28,891.078
2007-03-30,925.982
2007-04-30,983.77
2007-05-31,1000.0
2007-06-29,1003.531
2007-07-31,991.683
2007-08-31,995.89
2007-09-28,1059.678
2007-10-31,1108.713
2007-11-30,1108.051
2007-12-31,1089.302
2008-01-31,985.36
2008-02-29,1012.845
2008-03-31,1011.557
2008-04-30,1045.211
2008-05-30,1065.585
2008-06-30,993.876
2008-07-31,976.027
2008-08-29,925.764
2008-09-30,796.053
2008-10-31,651.028
2008-11-28,599.259
2008-12-31,632.633
2009-01-30,576.65
2009-02-27,527.537
2009-03-31,558.813
2009-04-30,601.978
2009-05-29,675.22
2009-06-30,668.392
2009-07-31,733.99
2009-08-31,754.16
2009-09-30,787.311
2009-10-30,798.273
2009-11-30,821.909
2009-12-31,836.228
2010-01-29,791.023
2010-02-26,783.131
2010-03-31,833.47
2010-04-30,811.357
2010-05-31,723.064
2010-06-30,730.702
2010-07-30,796.267
2010-08-31,780.714
2010-09-30,862.854
2010-10-29,893.933
2010-11-30,846.506
2010-12-31,911.72
2011-01-31,918.656
2011-02-28,949.295
2011-03-31,947.447
2011-04-29,1027.53
2011-05-31,1004.095
2011-06-30,986.475
2011-07-29,968.622
2011-08-31,884.222
2011-09-30,778.627
2011-10-31,874.218
2011-11-30,843.32
2011-12-30,830.322
2012-01-31,870.595
2012-02-29,928.437
2012-03-30,930.313
2012-04-30,926.841
2012-05-31,817.019
2012-06-29,868.351
2012-07-31,890.994
2012-08-31,913.939
2012-09-28,932.897
2012-10-31,940.982
2012-11-30,973.141
2012-12-31,992.135
2013-01-31,1048.731
2013-02-28,1039.305
2013-03-29,1047.455
2013-04-30,1081.591
2013-05-31,1076.755
2013-06-28,1031.345
2013-07-31,1091.859
2013-08-30,1075.455
2013-09-30,1145.214
2013-10-31,1175.848
2013-11-29,1189.749
2013-12-31,1213.337
2014-01-31,1151.918
2014-02-28,1232.771
2014-03-31,1224.443
2014-04-30,1248.168
2014-05-30,1266.975
2014-06-30,1266.955
2014-07-31,1211.478
2014-08-29,1225.185
2014-09-30,1189.427
2014-10-31,1166.017
2014-11-28,1212.717
2014-12-31,1153.452
2015-01-30,1169.955
2015-02-27,1243.564
2015-03-31,1218.402
2015-04-30,1264.992
2015-05-29,1263.711
2015-06-30,1224.904
2015-07-31,1275.324
2015-08-31,1180.964
2015-09-30,1148.711
2015-10-30,1236.939
2015-11-30,1218.37
2015-12-31,1192.885
2016-01-29,1132.05
2016-02-29,1104.468
2016-03-31,1168.684
2016-04-29,1179.879
2016-05-31,1180.418
2016-06-30,1157.036
2016-07-29,1204.112
2016-08-31,1189.859
2016-09-30,1200.618
2016-10-31,1128.121
2016-11-30,1089.286
2016-12-30,1133.253
2017-01-31,1156.611
2017-02-28,1190.298
2017-03-31,1232.956
2017-04-28,1279.35
2017-05-31,1355.258
2017-06-30,1332.544
2017-07-31,1356.127
2017-08-31,1364.408
2017-09-29,1396.392
2017-10-31,1412.74
2017-11-30,1412.906
2017-12-29,1435.832
2018-01-31,1496.832
2018-02-28,1404.857
2018-03-30,1402.081
2018-04-30,1430.226
2018-05-31,1413.754
2018-06-29,1409.017
2018-07-31,1453.614
2018-08-31,1440.249
2018-09-28,1427.247
2018-10-31,1314.004
2018-11-30,1319.946
2018-12-31,1263.835
2019-01-31,1341.754
2019-02-28,1395.746
2019-03-29,1432.666
2019-04-30,1485.345
2019-05-31,1435.487
2019-06-28,1541.155
2019-07-31,1526.853
2019-08-30,1518.844
2019-09-30,1526.876
2019-10-31,1568.639
2019-11-29,1595.884
2019-12-31,1647.627
2020-01-31,1636.87
2020-02-28,1495.748
2020-03-31,1373.611
2020-04-30,1462.579
2020-05-29,1532.28
2020-06-30,1579.271
2020-07-31,1674.514
2020-08-31,1725.978
2020-09-30,1702.742
2020-10-30,1601.58
2020-11-30,1785.17
2020-12-31,1877.782
2021-01-29,1852.038
2021-02-26,1864.808
2021-03-31,1906.026
2021-04-30,2020.415
2021-05-31,2111.103
2021-06-30,2118.043
2021-07-30,2178.937
2021-08-31,2217.644
2021-09-30,2095.368
2021-10-29,2217.12
2021-11-30,2130.552
2021-12-31,2262.092
2022-01-31,2044.305
2022-02-28,1988.264
2022-03-31,1994.334
2022-04-29,1857.846
2022-05-31,1818.006
2022-06-30,1672.632
2022-07-29,1816.879
2022-08-31,1681.577
2022-09-30,1541.673
2022-10-31,1621.55
2022-11-30,1811.588
2022-12-30,1791.656
2023-01-31,1946.654
2023-02-28,1918.308
2023-03-31,2039.19
2023-04-28,2114.717
2023-05-31,2026.21
2023-06-30,2113.554
2023-07-31,2142.786
2023-08-31,2044.81
2023-09-29,1918.122
2023-10-31,1861.138
2023-11-30,2060.984
2023-12-29,2162.395
2024-01-31,2203.107
2024-02-29,2282.267
2024-03-29,2346.8
2024-04-30,2267.466
2024-05-31,2370.83
2024-06-28,2352.231
2024-07-31,2341.601
2024-08-30,2446.693
2024-09-30,2426.984
2024-10-31,2252.132
2024-11-29,2210.755
2024-12-31,2146.301
2025-01-31,2301.923
2025-02-28,2342.498
2025-03-31,2239.689
2025-04-30,2337.013
2025-05-30,2441.452
2025-06-30,2487.467
2025-07-31,2390.899
2025-08-29,2451.445
2025-09-30,2534.127
