Date,EUROPE MID CAP Mid Cap
1994-05-31,203.238
1994-06-30,199.991
1994-07-29,208.781
1994-08-31,213.6
1994-09-30,205.632
1994-10-31,210.777
1994-11-30,202.335
1994-12-30,204.244
1995-01-31,202.45
1995-02-28,204.881
1995-03-31,209.542
1995-04-28,216.729
1995-05-31,220.969
1995-06-30,223.44
1995-07-31,233.763
1995-08-31,224.305
1995-09-29,229.471
1995-10-31,225.533
1995-11-30,222.001
1995-12-29,228.513
1996-01-31,231.343
1996-02-29,240.798
1996-03-29,244.482
1996-04-30,248.846
1996-05-31,254.373
1996-06-28,256.73
1996-07-31,253.149
1996-08-30,258.611
1996-09-30,259.241
1996-10-31,264.432
1996-11-29,272.69
1996-12-31,281.312
1997-01-31,281.166
1997-02-28,284.022
1997-03-31,288.15
1997-04-30,281.441
1997-05-30,293.949
1997-06-30,304.837
1997-07-31,307.26
1997-08-29,300.81
1997-09-30,322.225
1997-10-31,315.404
1997-11-28,314.595
1997-12-31,319.576
1998-01-30,330.116
1998-02-27,355.7
1998-03-31,388.782
1998-04-30,402.515
1998-05-29,416.364
1998-06-30,405.195
1998-07-31,413.632
1998-08-31,363.263
1998-09-30,344.004
1998-10-30,368.474
1998-11-30,381.41
1998-12-31,394.286
1999-01-29,396.527
1999-02-26,385.323
1999-03-31,383.448
1999-04-30,393.195
1999-05-31,385.395
1999-06-30,389.601
1999-07-30,400.976
1999-08-31,404.49
1999-09-30,400.494
1999-10-29,396.977
1999-11-30,411.362
1999-12-31,455.66
2000-01-31,432.629
2000-02-29,476.875
2000-03-31,466.974
2000-04-28,432.899
2000-05-31,425.991
2000-06-30,440.211
2000-07-31,439.304
2000-08-31,438.559
2000-09-29,417.512
2000-10-31,400.129
2000-11-30,383.228
2000-12-29,411.779
2001-01-31,416.917
2001-02-28,397.472
2001-03-30,359.446
2001-04-30,377.84
2001-05-31,368.36
2001-06-29,352.918
2001-07-31,352.142
2001-08-31,349.466
2001-09-28,299.223
2001-10-31,314.866
2001-11-30,331.332
2001-12-31,336.114
2002-01-31,328.381
2002-02-28,328.371
2002-03-29,349.168
2002-04-30,351.562
2002-05-31,356.724
2002-06-28,344.389
2002-07-31,308.066
2002-08-30,307.347
2002-09-30,272.252
2002-10-31,291.07
2002-11-29,306.349
2002-12-31,293.059
2003-01-31,278.741
2003-02-28,265.778
2003-03-31,263.313
2003-04-30,300.069
2003-05-30,323.754
2003-06-30,326.538
2003-07-31,338.204
2003-08-29,341.495
2003-09-30,348.359
2003-10-31,377.393
2003-11-28,392.12
2003-12-31,416.442
2004-01-30,431.602
2004-02-27,447.702
2004-03-31,436.059
2004-04-30,430.99
2004-05-31,440.488
2004-06-30,450.379
2004-07-30,435.233
2004-08-31,435.678
2004-09-30,452.958
2004-10-29,470.827
2004-11-30,511.821
2004-12-31,536.401
2005-01-31,532.942
2005-02-28,559.044
2005-03-31,542.554
2005-04-29,526.793
2005-05-31,532.902
2005-06-30,541.355
2005-07-29,561.144
2005-08-31,573.76
2005-09-30,585.468
2005-10-31,563.0
2005-11-30,582.479
2005-12-30,608.246
2006-01-31,658.631
2006-02-28,666.411
2006-03-31,696.671
2006-04-28,731.221
2006-05-31,708.458
2006-06-30,709.488
2006-07-31,718.677
2006-08-31,749.863
2006-09-29,763.966
2006-10-31,801.312
2006-11-30,840.874
2006-12-29,879.115
2007-01-31,884.771
2007-02-28,887.316
2007-03-30,928.262
2007-04-30,978.067
2007-05-31,1000.0
2007-06-29,983.398
2007-07-31,965.389
2007-08-31,942.902
2007-09-28,961.377
2007-10-31,1009.742
2007-11-30,939.718
2007-12-31,914.601
2008-01-31,826.633
2008-02-29,847.561
2008-03-31,857.011
2008-04-30,885.036
2008-05-30,899.243
2008-06-30,809.744
2008-07-31,762.324
2008-08-29,751.671
2008-09-30,619.199
2008-10-31,456.642
2008-11-28,430.024
2008-12-31,448.555
2009-01-30,413.229
2009-02-27,375.415
2009-03-31,398.705
2009-04-30,468.986
2009-05-29,523.56
2009-06-30,510.159
2009-07-31,561.946
2009-08-31,601.632
2009-09-30,637.983
2009-10-30,621.458
2009-11-30,639.232
2009-12-31,649.861
2010-01-29,623.638
2010-02-26,608.4
2010-03-31,655.975
2010-04-30,649.979
2010-05-31,566.787
2010-06-30,564.775
2010-07-30,632.986
2010-08-31,603.644
2010-09-30,684.372
2010-10-29,711.039
2010-11-30,664.284
2010-12-31,726.008
2011-01-31,749.639
2011-02-28,775.779
2011-03-31,777.92
2011-04-29,833.536
2011-05-31,808.489
2011-06-30,783.876
2011-07-29,749.12
2011-08-31,678.758
2011-09-30,589.956
2011-10-31,655.475
2011-11-30,620.655
2011-12-30,607.655
2012-01-31,646.089
2012-02-29,692.691
2012-03-30,697.58
2012-04-30,679.786
2012-05-31,591.836
2012-06-29,631.586
2012-07-31,637.88
2012-08-31,666.227
2012-09-28,692.132
2012-10-31,700.048
2012-11-30,721.734
2012-12-31,744.221
2013-01-31,779.891
2013-02-28,770.813
2013-03-29,770.16
2013-04-30,799.997
2013-05-31,806.943
2013-06-28,774.787
2013-07-31,844.576
2013-08-30,837.271
2013-09-30,893.857
2013-10-31,930.057
2013-11-29,937.027
2013-12-31,965.708
2014-01-31,945.284
2014-02-28,1022.44
2014-03-31,1008.664
2014-04-30,1023.201
2014-05-30,1030.509
2014-06-30,1022.134
2014-07-31,975.816
2014-08-29,976.34
2014-09-30,923.458
2014-10-31,910.047
2014-11-28,941.473
2014-12-31,922.471
2015-01-30,926.731
2015-02-27,988.016
2015-03-31,960.812
2015-04-30,1006.725
2015-05-29,1008.805
2015-06-30,984.068
2015-07-31,1010.899
2015-08-31,954.673
2015-09-30,917.473
2015-10-30,978.128
2015-11-30,968.288
2015-12-31,953.16
2016-01-29,884.165
2016-02-29,875.493
2016-03-31,946.143
2016-04-29,962.668
2016-05-31,956.181
2016-06-30,889.764
2016-07-29,942.716
2016-08-31,947.725
2016-09-30,959.695
2016-10-31,914.262
2016-11-30,897.761
2016-12-30,932.888
2017-01-31,965.503
2017-02-28,976.871
2017-03-31,1012.001
2017-04-28,1062.758
2017-05-31,1109.056
2017-06-30,1095.667
2017-07-31,1139.415
2017-08-31,1146.108
2017-09-29,1181.978
2017-10-31,1194.675
2017-11-30,1191.555
2017-12-29,1215.209
2018-01-31,1280.717
2018-02-28,1219.647
2018-03-30,1202.297
2018-04-30,1227.293
2018-05-31,1209.505
2018-06-29,1192.434
2018-07-31,1227.054
2018-08-31,1216.289
2018-09-28,1205.855
2018-10-31,1089.364
2018-11-30,1058.871
2018-12-31,1004.631
2019-01-31,1087.005
2019-02-28,1122.744
2019-03-29,1118.521
2019-04-30,1165.91
2019-05-31,1094.873
2019-06-28,1167.603
2019-07-31,1147.043
2019-08-30,1122.049
2019-09-30,1150.696
2019-10-31,1199.826
2019-11-29,1229.878
2019-12-31,1282.126
2020-01-31,1253.654
2020-02-28,1146.439
2020-03-31,937.778
2020-04-30,1020.681
2020-05-29,1088.285
2020-06-30,1122.584
2020-07-31,1185.845
2020-08-31,1261.594
2020-09-30,1227.339
2020-10-30,1175.897
2020-11-30,1372.241
2020-12-31,1456.609
2021-01-29,1443.092
2021-02-26,1467.979
2021-03-31,1499.37
2021-04-30,1580.819
2021-05-31,1639.543
2021-06-30,1614.046
2021-07-30,1663.382
2021-08-31,1681.467
2021-09-30,1581.258
2021-10-29,1636.092
2021-11-30,1558.819
2021-12-31,1646.296
2022-01-31,1515.7
2022-02-28,1467.828
2022-03-31,1456.365
2022-04-29,1359.037
2022-05-31,1347.683
2022-06-30,1188.338
2022-07-29,1261.571
2022-08-31,1161.084
2022-09-30,1032.396
2022-10-31,1115.096
2022-11-30,1236.769
2022-12-30,1247.328
2023-01-31,1378.778
2023-02-28,1369.547
2023-03-31,1372.392
2023-04-28,1420.935
2023-05-31,1324.416
2023-06-30,1367.988
2023-07-31,1442.805
2023-08-31,1380.267
2023-09-29,1307.493
2023-10-31,1242.604
2023-11-30,1385.427
2023-12-29,1474.251
2024-01-31,1445.577
2024-02-29,1456.862
2024-03-29,1509.991
2024-04-30,1478.429
2024-05-31,1568.655
2024-06-28,1506.883
2024-07-31,1560.636
2024-08-30,1612.637
2024-09-30,1644.939
2024-10-31,1547.42
2024-11-29,1545.982
2024-12-31,1509.802
2025-01-31,1596.903
2025-02-28,1635.425
2025-03-31,1652.467
2025-04-30,1762.424
2025-05-30,1887.672
2025-06-30,1939.104
2025-07-31,1917.91
2025-08-29,1982.348
2025-09-30,1999.966
2025-10-31,2013.239
