Date,EUROPE MID VALUE Mid Cap
1994-05-31,171.655
1994-06-30,169.665
1994-07-29,177.197
1994-08-31,180.54
1994-09-30,173.562
1994-10-31,177.049
1994-11-30,170.411
1994-12-30,171.525
1995-01-31,170.075
1995-02-28,172.713
1995-03-31,177.27
1995-04-28,183.125
1995-05-31,186.867
1995-06-30,187.892
1995-07-31,197.592
1995-08-31,188.936
1995-09-29,191.635
1995-10-31,188.222
1995-11-30,185.495
1995-12-29,191.287
1996-01-31,193.532
1996-02-29,198.912
1996-03-29,199.244
1996-04-30,201.384
1996-05-31,204.438
1996-06-28,206.291
1996-07-31,203.8
1996-08-30,206.583
1996-09-30,205.935
1996-10-31,208.723
1996-11-29,216.408
1996-12-31,224.09
1997-01-31,222.913
1997-02-28,224.094
1997-03-31,228.317
1997-04-30,223.326
1997-05-30,233.481
1997-06-30,239.772
1997-07-31,240.988
1997-08-29,237.713
1997-09-30,255.852
1997-10-31,253.641
1997-11-28,251.894
1997-12-31,256.832
1998-01-30,263.262
1998-02-27,283.147
1998-03-31,310.148
1998-04-30,320.164
1998-05-29,328.913
1998-06-30,315.135
1998-07-31,318.851
1998-08-31,282.552
1998-09-30,270.001
1998-10-30,288.322
1998-11-30,295.819
1998-12-31,300.389
1999-01-29,296.286
1999-02-26,292.27
1999-03-31,295.381
1999-04-30,308.26
1999-05-31,300.333
1999-06-30,302.296
1999-07-30,312.191
1999-08-31,315.335
1999-09-30,312.257
1999-10-29,304.692
1999-11-30,299.482
1999-12-31,321.083
2000-01-31,298.934
2000-02-29,306.495
2000-03-31,310.263
2000-04-28,299.841
2000-05-31,303.298
2000-06-30,317.641
2000-07-31,316.715
2000-08-31,314.545
2000-09-29,304.029
2000-10-31,300.54
2000-11-30,306.451
2000-12-29,330.499
2001-01-31,335.099
2001-02-28,334.815
2001-03-30,308.393
2001-04-30,320.167
2001-05-31,316.678
2001-06-29,307.086
2001-07-31,309.853
2001-08-31,313.063
2001-09-28,268.05
2001-10-31,278.892
2001-11-30,291.993
2001-12-31,297.729
2002-01-31,293.996
2002-02-28,296.746
2002-03-29,317.497
2002-04-30,327.167
2002-05-31,333.738
2002-06-28,325.021
2002-07-31,293.3
2002-08-30,290.299
2002-09-30,257.898
2002-10-31,272.411
2002-11-29,284.148
2002-12-31,274.968
2003-01-31,262.545
2003-02-28,253.602
2003-03-31,249.77
2003-04-30,284.874
2003-05-30,307.076
2003-06-30,310.915
2003-07-31,323.951
2003-08-29,328.021
2003-09-30,333.446
2003-10-31,359.707
2003-11-28,374.343
2003-12-31,398.74
2004-01-30,409.108
2004-02-27,427.965
2004-03-31,415.748
2004-04-30,411.581
2004-05-31,421.187
2004-06-30,433.71
2004-07-30,425.468
2004-08-31,428.18
2004-09-30,445.421
2004-10-29,463.239
2004-11-30,502.958
2004-12-31,529.853
2005-01-31,529.389
2005-02-28,554.703
2005-03-31,538.118
2005-04-29,520.303
2005-05-31,528.8
2005-06-30,535.426
2005-07-29,551.229
2005-08-31,563.668
2005-09-30,577.031
2005-10-31,555.219
2005-11-30,574.595
2005-12-30,604.15
2006-01-31,650.325
2006-02-28,658.965
2006-03-31,690.843
2006-04-28,723.201
2006-05-31,707.229
2006-06-30,712.181
2006-07-31,720.22
2006-08-31,752.854
2006-09-29,773.12
2006-10-31,809.745
2006-11-30,847.874
2006-12-29,880.973
2007-01-31,890.282
2007-02-28,891.371
2007-03-30,931.151
2007-04-30,983.229
2007-05-31,1000.0
2007-06-29,967.776
2007-07-31,942.585
2007-08-31,929.495
2007-09-28,919.382
2007-10-31,960.509
2007-11-30,886.392
2007-12-31,848.041
2008-01-31,781.195
2008-02-29,788.782
2008-03-31,803.786
2008-04-30,822.353
2008-05-30,815.639
2008-06-30,706.21
2008-07-31,674.25
2008-08-29,672.928
2008-09-30,565.758
2008-10-31,431.083
2008-11-28,405.795
2008-12-31,419.611
2009-01-30,380.968
2009-02-27,339.883
2009-03-31,366.138
2009-04-30,444.138
2009-05-29,492.018
2009-06-30,475.981
2009-07-31,532.625
2009-08-31,582.399
2009-09-30,617.019
2009-10-30,601.007
2009-11-30,607.594
2009-12-31,613.571
2010-01-29,588.733
2010-02-26,569.455
2010-03-31,615.87
2010-04-30,604.69
2010-05-31,522.574
2010-06-30,518.333
2010-07-30,596.509
2010-08-31,562.464
2010-09-30,633.394
2010-10-29,659.687
2010-11-30,593.192
2010-12-31,646.183
2011-01-31,686.909
2011-02-28,709.634
2011-03-31,700.343
2011-04-29,750.936
2011-05-31,724.335
2011-06-30,696.347
2011-07-29,653.4
2011-08-31,580.211
2011-09-30,503.589
2011-10-31,553.002
2011-11-30,515.565
2011-12-30,502.026
2012-01-31,544.429
2012-02-29,576.931
2012-03-30,578.6
2012-04-30,549.325
2012-05-31,470.024
2012-06-29,515.039
2012-07-31,517.261
2012-08-31,545.626
2012-09-28,566.093
2012-10-31,576.864
2012-11-30,595.425
2012-12-31,625.784
2013-01-31,660.774
2013-02-28,640.322
2013-03-29,629.795
2013-04-30,670.395
2013-05-31,679.882
2013-06-28,647.736
2013-07-31,713.268
2013-08-30,704.664
2013-09-30,760.364
2013-10-31,802.239
2013-11-29,805.256
2013-12-31,830.766
2014-01-31,817.094
2014-02-28,880.409
2014-03-31,872.173
2014-04-30,889.281
2014-05-30,895.793
2014-06-30,892.649
2014-07-31,854.754
2014-08-29,849.612
2014-09-30,812.786
2014-10-31,801.845
2014-11-28,833.139
2014-12-31,812.431
2015-01-30,821.4
