Date,EUROPE SMALL GROWTH Small Cap
2001-01-01,455.907
2001-01-02,454.794
2001-01-03,444.497
2001-01-04,448.627
2001-01-05,446.173
2001-01-08,438.335
2001-01-09,432.616
2001-01-10,431.109
2001-01-11,440.34
2001-01-12,445.619
2001-01-15,444.288
2001-01-16,440.957
2001-01-17,447.461
2001-01-18,455.783
2001-01-19,456.316
2001-01-22,454.776
2001-01-23,454.861
2001-01-24,451.29
2001-01-25,450.306
2001-01-26,448.955
2001-01-29,448.751
2001-01-30,453.364
2001-01-31,457.65
2001-02-01,459.213
2001-02-02,454.466
2001-02-05,452.61
2001-02-06,451.491
2001-02-07,447.338
2001-02-08,443.101
2001-02-09,441.769
2001-02-12,443.714
2001-02-13,440.863
2001-02-14,434.759
2001-02-15,431.89
2001-02-16,431.805
2001-02-19,431.013
2001-02-20,425.507
2001-02-21,420.024
2001-02-22,414.07
2001-02-23,411.07
2001-02-26,415.29
2001-02-27,418.868
2001-02-28,415.203
2001-03-01,411.887
2001-03-02,415.162
2001-03-05,414.86
2001-03-06,422.602
2001-03-07,422.299
2001-03-08,424.429
2001-03-09,420.025
2001-03-12,410.297
2001-03-13,398.988
2001-03-14,387.428
2001-03-15,387.122
2001-03-16,379.729
2001-03-19,375.428
2001-03-20,380.181
2001-03-21,370.604
2001-03-22,353.823
2001-03-23,362.458
2001-03-26,368.115
2001-03-27,370.525
2001-03-28,366.728
2001-03-29,361.745
2001-03-30,363.009
2001-04-02,360.539
2001-04-03,352.13
2001-04-04,354.103
2001-04-05,358.261
2001-04-06,359.09
2001-04-09,358.472
2001-04-10,358.373
2001-04-11,360.088
2001-04-12,364.615
2001-04-13,364.504
2001-04-16,361.528
2001-04-17,358.973
2001-04-18,364.058
2001-04-19,373.001
2001-04-20,377.146
2001-04-23,374.323
2001-04-24,373.944
2001-04-25,375.94
2001-04-26,379.843
2001-04-27,378.184
2001-04-30,379.878
2001-05-01,381.843
2001-05-02,385.157
2001-05-03,383.642
2001-05-04,384.398
2001-05-07,384.177
2001-05-08,382.424
2001-05-09,379.685
2001-05-10,380.843
2001-05-11,378.594
2001-05-14,375.662
2001-05-15,376.56
2001-05-16,377.24
2001-05-17,380.102
2001-05-18,380.451
2001-05-21,382.083
2001-05-22,381.235
2001-05-23,378.349
2001-05-24,376.538
2001-05-25,377.158
2001-05-28,377.953
2001-05-29,373.623
2001-05-30,371.394
2001-05-31,367.212
2001-06-01,366.006
2001-06-04,366.851
2001-06-05,367.691
2001-06-06,365.59
2001-06-07,366.174
2001-06-08,365.319
2001-06-11,360.282
2001-06-12,357.024
2001-06-13,360.076
2001-06-14,359.198
2001-06-15,357.084
2001-06-18,354.451
2001-06-19,352.096
2001-06-20,344.867
2001-06-21,346.301
2001-06-22,345.306
2001-06-25,344.997
2001-06-26,339.119
2001-06-27,337.909
2001-06-28,334.412
2001-06-29,335.117
2001-07-02,335.707
2001-07-03,334.69
2001-07-04,332.363
2001-07-05,325.785
2001-07-06,323.384
2001-07-09,322.361
2001-07-10,324.299
2001-07-11,322.277
2001-07-12,322.403
2001-07-13,321.166
2001-07-16,320.726
2001-07-17,316.97
2001-07-18,322.131
2001-07-19,323.251
2001-07-20,323.01
2001-07-23,321.511
2001-07-24,321.77
2001-07-25,321.38
2001-07-26,321.422
2001-07-27,322.82
2001-07-30,324.108
2001-07-31,326.224
2001-08-01,330.195
2001-08-02,333.427
2001-08-03,333.851
2001-08-06,330.535
2001-08-07,327.715
2001-08-08,325.479
2001-08-09,325.111
2001-08-10,326.767
2001-08-13,327.083
2001-08-14,328.68
2001-08-15,332.575
2001-08-16,331.598
2001-08-17,330.896
2001-08-20,327.911
2001-08-21,328.751
2001-08-22,330.633
2001-08-23,327.997
2001-08-24,330.105
2001-08-27,329.889
2001-08-28,329.068
2001-08-29,328.147
2001-08-30,325.001
2001-08-31,323.53
2001-09-03,319.37
2001-09-04,314.611
2001-09-05,310.737
2001-09-06,305.376
2001-09-07,304.701
2001-09-10,296.693
2001-09-11,288.761
2001-09-12,283.533
2001-09-13,284.813
2001-09-14,280.061
2001-09-17,275.447
2001-09-18,272.931
2001-09-19,272.969
2001-09-20,261.366
2001-09-21,248.902
2001-09-24,256.382
2001-09-25,261.753
2001-09-26,264.181
2001-09-27,263.295
2001-09-28,265.554
2001-10-01,266.025
2001-10-02,265.566
2001-10-03,265.926
2001-10-04,270.413
2001-10-05,271.475
2001-10-08,269.897
2001-10-09,271.435
2001-10-10,271.951
2001-10-11,276.201
