Date,EUROPE SMID CAP SMID (Small+Mid Cap)
1994-05-31,202.797
1994-06-30,199.537
1994-07-29,206.73
1994-08-31,210.887
1994-09-30,205.099
1994-10-31,209.429
1994-11-30,200.696
1994-12-30,202.475
1995-01-31,200.941
1995-02-28,203.198
1995-03-31,208.55
1995-04-28,213.684
1995-05-31,218.009
1995-06-30,220.466
1995-07-31,229.496
1995-08-31,220.799
1995-09-29,226.125
1995-10-31,222.004
1995-11-30,217.397
1995-12-29,222.924
1996-01-31,224.775
1996-02-29,233.769
1996-03-29,237.721
1996-04-30,241.32
1996-05-31,247.1
1996-06-28,248.596
1996-07-31,244.461
1996-08-30,249.957
1996-09-30,249.461
1996-10-31,255.546
1996-11-29,263.009
1996-12-31,270.502
1997-01-31,271.818
1997-02-28,274.732
1997-03-31,279.198
1997-04-30,272.264
1997-05-30,282.989
1997-06-30,289.82
1997-07-31,290.441
1997-08-29,287.518
1997-09-30,305.978
1997-10-31,301.786
1997-11-28,298.924
1997-12-31,301.647
1998-01-30,310.654
1998-02-27,334.072
1998-03-31,364.586
1998-04-30,378.117
1998-05-29,392.525
1998-06-30,379.743
1998-07-31,383.83
1998-08-31,337.045
1998-09-30,319.995
1998-10-30,337.008
1998-11-30,347.727
1998-12-31,355.936
1999-01-29,356.024
1999-02-26,349.773
1999-03-31,349.618
1999-04-30,359.52
1999-05-31,354.61
1999-06-30,359.408
1999-07-30,371.975
1999-08-31,380.483
1999-09-30,379.519
1999-10-29,377.863
1999-11-30,389.72
1999-12-31,422.898
2000-01-31,412.869
2000-02-29,447.621
2000-03-31,436.051
2000-04-28,401.78
2000-05-31,397.072
2000-06-30,409.172
2000-07-31,405.572
2000-08-31,404.658
2000-09-29,389.743
2000-10-31,367.929
2000-11-30,350.894
2000-12-29,376.099
2001-01-31,380.956
2001-02-28,362.478
2001-03-30,327.448
2001-04-30,343.188
2001-05-31,335.269
2001-06-29,318.484
2001-07-31,316.344
2001-08-31,315.496
2001-09-28,268.994
2001-10-31,282.815
2001-11-30,298.505
2001-12-31,302.785
