Date,EUROPE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,285.286
2001-01-02,287.239
2001-01-03,284.77
2001-01-04,286.813
2001-01-05,288.776
2001-01-08,288.281
2001-01-09,285.775
2001-01-10,285.476
2001-01-11,288.36
2001-01-12,287.853
2001-01-15,286.808
2001-01-16,285.392
2001-01-17,285.692
2001-01-18,288.998
2001-01-19,287.107
2001-01-22,286.225
2001-01-23,287.593
2001-01-24,284.133
2001-01-25,284.838
2001-01-26,285.27
2001-01-29,285.352
2001-01-30,287.828
2001-01-31,290.25
2001-02-01,293.94
2001-02-02,291.591
2001-02-05,293.074
2001-02-06,291.982
2001-02-07,291.787
2001-02-08,288.724
2001-02-09,289.097
2001-02-12,291.255
2001-02-13,289.93
2001-02-14,289.048
2001-02-15,286.51
2001-02-16,288.822
2001-02-19,289.921
2001-02-20,287.46
2001-02-21,287.214
2001-02-22,286.071
2001-02-23,285.526
2001-02-26,285.957
2001-02-27,288.931
2001-02-28,288.925
2001-03-01,290.308
2001-03-02,292.555
2001-03-05,291.521
2001-03-06,293.101
2001-03-07,292.537
2001-03-08,294.022
2001-03-09,293.139
2001-03-12,289.949
2001-03-13,283.076
2001-03-14,277.214
2001-03-15,277.303
2001-03-16,272.035
2001-03-19,271.011
2001-03-20,272.289
2001-03-21,267.333
2001-03-22,257.221
2001-03-23,261.653
2001-03-26,265.459
2001-03-27,268.549
2001-03-28,266.476
2001-03-29,265.461
2001-03-30,266.875
2001-04-02,266.02
2001-04-03,264.329
2001-04-04,267.149
2001-04-05,268.583
2001-04-06,270.197
2001-04-09,271.694
2001-04-10,270.95
2001-04-11,270.318
2001-04-12,272.948
2001-04-13,272.946
2001-04-16,270.646
2001-04-17,269.76
2001-04-18,269.305
2001-04-19,273.514
2001-04-20,276.718
2001-04-23,275.44
2001-04-24,275.008
2001-04-25,275.942
2001-04-26,277.773
2001-04-27,277.041
2001-04-30,277.739
2001-05-01,278.98
2001-05-02,279.282
2001-05-03,278.595
2001-05-04,279.38
2001-05-07,279.337
2001-05-08,278.286
2001-05-09,276.964
2001-05-10,278.066
2001-05-11,277.118
2001-05-14,276.071
2001-05-15,278.108
2001-05-16,279.671
2001-05-17,281.15
2001-05-18,281.557
2001-05-21,282.187
2001-05-22,281.009
2001-05-23,279.027
2001-05-24,277.549
2001-05-25,277.585
2001-05-28,278.543
2001-05-29,276.834
2001-05-30,277.094
2001-05-31,275.379
2001-06-01,275.237
2001-06-04,275.982
2001-06-05,276.831
2001-06-06,275.71
2001-06-07,276.346
2001-06-08,275.739
2001-06-11,272.362
2001-06-12,272.042
2001-06-13,272.961
2001-06-14,273.073
2001-06-15,272.013
2001-06-18,271.655
2001-06-19,270.864
2001-06-20,267.423
2001-06-21,268.548
2001-06-22,268.693
2001-06-25,269.872
2001-06-26,268.149
2001-06-27,267.817
2001-06-28,265.903
2001-06-29,266.673
2001-07-02,267.339
2001-07-03,267.127
2001-07-04,266.695
2001-07-05,263.131
2001-07-06,262.919
2001-07-09,263.264
