Date,EUROPE SMID VALUE SMID (Small+Mid Cap)
1994-05-31,160.961
1994-06-30,158.654
1994-07-29,164.457
1994-08-31,167.138
1994-09-30,161.902
1994-10-31,164.91
1994-11-30,158.364
1994-12-30,159.247
1995-01-31,158.349
1995-02-28,160.446
1995-03-31,165.077
1995-04-28,169.382
1995-05-31,173.405
1995-06-30,174.445
1995-07-31,181.987
1995-08-31,174.23
1995-09-29,177.225
1995-10-31,173.912
1995-11-30,170.678
1995-12-29,174.95
1996-01-31,176.59
1996-02-29,182.677
1996-03-29,184.16
1996-04-30,186.08
1996-05-31,189.897
1996-06-28,191.146
1996-07-31,188.094
1996-08-30,191.631
1996-09-30,190.473
1996-10-31,193.995
1996-11-29,200.006
1996-12-31,206.195
1997-01-31,206.917
1997-02-28,209.061
1997-03-31,213.285
1997-04-30,209.185
1997-05-30,217.831
1997-06-30,222.644
1997-07-31,222.876
1997-08-29,220.836
1997-09-30,235.906
1997-10-31,234.601
1997-11-28,232.148
1997-12-31,235.145
1998-01-30,241.476
1998-02-27,259.362
1998-03-31,282.821
1998-04-30,292.443
1998-05-29,302.062
1998-06-30,289.74
1998-07-31,289.907
1998-08-31,257.657
1998-09-30,246.871
1998-10-30,259.131
1998-11-30,264.9
1998-12-31,268.404
1999-01-29,263.836
1999-02-26,261.258
1999-03-31,264.885
1999-04-30,276.153
1999-05-31,271.221
1999-06-30,273.528
1999-07-30,283.044
1999-08-31,287.249
1999-09-30,284.775
1999-10-29,278.189
1999-11-30,274.665
1999-12-31,290.814
2000-01-31,276.901
2000-02-29,282.336
2000-03-31,284.678
2000-04-28,272.244
2000-05-31,275.312
2000-06-30,287.651
2000-07-31,285.449
2000-08-31,283.721
2000-09-29,276.263
2000-10-31,269.306
2000-11-30,272.37
2000-12-29,293.629
2001-01-31,298.73
2001-02-28,297.356
2001-03-30,274.577
2001-04-30,285.456
2001-05-31,282.61
2001-06-29,273.467
2001-07-31,274.922
2001-08-31,278.422
2001-09-28,239.895
2001-10-31,248.777
2001-11-30,260.537
2001-12-31,265.277
2002-01-31,261.745
2002-02-28,265.289
2002-03-29,282.585
2002-04-30,293.322
2002-05-31,300.849
2002-06-28,292.919
2002-07-31,264.56
2002-08-30,263.281
2002-09-30,234.786
2002-10-31,245.355
2002-11-29,256.613
2002-12-31,251.948
2003-01-31,242.232
2003-02-28,233.723
2003-03-31,231.321
2003-04-30,263.373
2003-05-30,288.134
2003-06-30,293.2
2003-07-31,306.05
2003-08-29,312.324
2003-09-30,321.161
2003-10-31,345.312
2003-11-28,359.328
2003-12-31,382.021
2004-01-30,395.58
2004-02-27,413.948
2004-03-31,405.403
2004-04-30,398.959
2004-05-31,405.481
2004-06-30,417.632
2004-07-30,408.135
2004-08-31,411.352
2004-09-30,429.715
2004-10-29,444.697
2004-11-30,486.475
2004-12-31,514.399
2005-01-31,518.676
2005-02-28,544.938
2005-03-31,529.86
2005-04-29,512.124
2005-05-31,518.286
2005-06-30,525.997
2005-07-29,543.642
2005-08-31,557.463
2005-09-30,570.797
2005-10-31,546.601
2005-11-30,565.295
2005-12-30,593.158
2006-01-31,642.611
2006-02-28,657.029
2006-03-31,687.851
2006-04-28,722.373
2006-05-31,700.067
2006-06-30,700.889
2006-07-31,707.41
2006-08-31,733.764
2006-09-29,751.981
2006-10-31,793.664
2006-11-30,838.787
2006-12-29,876.296
2007-01-31,889.132
2007-02-28,890.818
2007-03-30,935.604
2007-04-30,986.229
2007-05-31,1000.0
2007-06-29,972.142
2007-07-31,954.108
2007-08-31,930.781
2007-09-28,928.651
2007-10-31,974.416
2007-11-30,896.842
2007-12-31,863.363
2008-01-31,789.222
2008-02-29,810.268
2008-03-31,821.708
2008-04-30,833.031
2008-05-30,829.162
2008-06-30,727.78
2008-07-31,694.95
2008-08-29,688.331
2008-09-30,569.73
2008-10-31,423.511
2008-11-28,393.141
2008-12-31,412.247
2009-01-30,376.384
2009-02-27,339.471
2009-03-31,365.841
2009-04-30,450.448
2009-05-29,504.23
2009-06-30,491.95
2009-07-31,547.937
2009-08-31,608.223
2009-09-30,647.151
2009-10-30,629.155
2009-11-30,633.118
2009-12-31,638.808
2010-01-29,622.176
2010-02-26,600.698
2010-03-31,650.446
2010-04-30,646.505
2010-05-31,556.596
2010-06-30,552.098
2010-07-30,625.526
2010-08-31,594.266
2010-09-30,671.184
2010-10-29,702.491
2010-11-30,639.843
2010-12-31,710.154
2011-01-31,743.045
2011-02-28,763.746
2011-03-31,761.881
2011-04-29,817.568
2011-05-31,790.86
2011-06-30,760.512
2011-07-29,719.482
2011-08-31,640.937
2011-09-30,554.68
2011-10-31,611.95
2011-11-30,567.71
2011-12-30,549.717
2012-01-31,602.27
2012-02-29,645.809
2012-03-30,644.555
2012-04-30,620.653
2012-05-31,530.995
2012-06-29,572.203
2012-07-31,571.644
2012-08-31,602.663
2012-09-28,632.349
2012-10-31,646.579
2012-11-30,661.036
2012-12-31,698.07
2013-01-31,744.028
