Date,EUROPE Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,99.23
1970-02-27,96.248
1970-03-31,97.56
1970-04-30,90.49
1970-05-29,85.756
1970-06-30,86.867
1970-07-31,91.099
1970-08-31,91.882
1970-09-30,92.984
1970-10-30,92.609
1970-11-30,88.47
1970-12-31,90.645
1971-01-29,94.606
1971-02-26,94.991
1971-03-31,98.215
1971-04-30,102.381
1971-05-31,105.314
1971-06-30,106.294
1971-07-30,111.207
1971-08-31,111.187
1971-09-30,109.093
1971-10-29,105.571
1971-11-30,108.566
1971-12-31,116.064
1972-01-31,123.074
1972-02-29,129.869
1972-03-31,133.594
1972-04-28,136.245
1972-05-31,138.664
1972-06-30,131.783
1972-07-31,138.789
1972-08-31,139.771
1972-09-29,131.657
1972-10-31,131.52
1972-11-30,135.167
1972-12-29,134.192
1973-01-31,134.904
1973-02-28,144.407
1973-03-30,148.572
1973-04-30,149.476
1973-05-31,151.756
1973-06-29,157.715
1973-07-31,149.433
1973-08-31,143.236
1973-09-28,146.412
1973-10-31,150.386
1973-11-30,127.755
1973-12-31,123.824
1974-01-31,123.764
1974-02-28,127.707
1974-03-29,122.649
1974-04-30,128.073
1974-05-31,118.276
1974-06-28,112.317
1974-07-31,111.241
1974-08-30,99.922
1974-09-30,90.36
1974-10-31,94.494
1974-11-29,94.773
1974-12-31,95.622
1975-01-31,118.242
1975-02-28,133.968
1975-03-31,129.945
1975-04-30,139.446
1975-05-30,137.482
1975-06-30,128.86
1975-07-31,124.145
1975-08-29,126.968
1975-09-30,121.018
1975-10-31,130.93
1975-11-28,134.532
1975-12-31,137.602
1976-01-30,143.77
1976-02-27,141.131
1976-03-31,137.53
1976-04-30,136.03
1976-05-31,129.914
1976-06-30,129.798
1976-07-30,127.612
1976-08-31,125.107
1976-09-30,121.937
1976-10-29,113.137
1976-11-30,118.352
1976-12-31,128.831
1977-01-31,129.904
1977-02-28,131.276
1977-03-31,132.456
1977-04-29,137.554
1977-05-31,136.82
1977-06-30,138.746
1977-07-29,136.858
1977-08-31,143.218
1977-09-30,149.593
1977-10-31,153.603
1977-11-30,151.271
1977-12-30,159.646
1978-01-31,159.662
1978-02-28,159.526
1978-03-31,165.275
1978-04-28,163.088
1978-05-31,167.388
1978-06-30,168.871
1978-07-31,182.045
1978-08-31,188.691
1978-09-29,196.744
1978-10-31,206.346
1978-11-30,188.596
1978-12-29,198.441
1979-01-31,199.666
1979-02-28,203.579
1979-03-30,216.977
1979-04-30,220.237
1979-05-31,209.482
1979-06-29,215.947
1979-07-31,219.536
1979-08-31,226.515
1979-09-28,238.339
1979-10-31,217.278
1979-11-30,226.626
1979-12-31,227.555
1980-01-31,239.175
1980-02-29,242.443
1980-03-31,208.151
1980-04-30,229.617
1980-05-30,236.078
1980-06-30,253.327
1980-07-31,257.449
1980-08-29,260.035
1980-09-30,264.663
1980-10-31,274.331
1980-11-28,271.238
1980-12-31,260.612
1981-01-30,250.869
1981-02-27,248.846
1981-03-31,254.0
1981-04-30,251.713
1981-05-29,231.854
1981-06-30,226.678
1981-07-31,220.589
1981-08-31,227.132
1981-09-30,206.102
1981-10-30,214.564
1981-11-30,241.106
1981-12-31,233.382
1982-01-29,237.139
1982-02-26,228.166
1982-03-31,227.694
1982-04-30,234.955
1982-05-31,234.983
1982-06-30,216.278
1982-07-30,221.009
1982-08-31,222.522
1982-09-30,227.773
1982-10-29,230.764
1982-11-30,234.654
1982-12-31,246.673
1983-01-31,247.317
1983-02-28,257.126
1983-03-31,270.293
1983-04-29,292.583
1983-05-31,289.806
1983-06-30,295.21
1983-07-29,291.384
1983-08-31,285.306
1983-09-30,290.509
1983-10-31,290.561
1983-11-30,299.372
1983-12-30,301.868
1984-01-31,314.262
1984-02-29,324.047
1984-03-30,332.003
1984-04-30,327.66
1984-05-31,303.905
1984-06-29,303.49
1984-07-31,283.668
1984-08-31,307.811
1984-09-28,303.329
1984-10-31,304.153
1984-11-30,303.404
1984-12-31,305.68
1985-01-31,319.887
1985-02-28,306.674
1985-03-29,342.213
1985-04-30,352.186
1985-05-31,370.689
1985-06-28,375.201
1985-07-31,410.709
1985-08-30,431.912
1985-09-30,439.17
1985-10-31,488.089
1985-11-29,526.445
1985-12-31,549.576
1986-01-31,560.252
1986-02-28,627.026
1986-03-31,678.554
1986-04-30,741.857
1986-05-30,676.512
1986-06-30,706.225
1986-07-31,700.429
1986-08-29,778.945
1986-09-30,729.859
1986-10-31,734.565
1986-11-28,774.172
1986-12-31,793.923
1987-01-30,829.268
1987-02-27,859.169
1987-03-31,901.918
1987-04-30,937.532
1987-05-29,932.621
1987-06-30,959.51
1987-07-31,992.075
1987-08-31,1000.649
1987-09-30,1007.488
1987-10-30,816.27
1987-11-30,780.67
1987-12-31,826.442
1988-01-29,792.867
1988-02-29,839.857
1988-03-31,863.329
1988-04-29,879.744
1988-05-31,863.664
1988-06-30,855.28
1988-07-29,857.521
1988-08-31,818.924
