Date,EUROPE Standard (Large+Mid Cap)
2001-01-01,3266.806
2001-01-02,3252.238
2001-01-03,3209.753
2001-01-04,3266.276
2001-01-05,3272.082
2001-01-08,3251.795
2001-01-09,3195.655
2001-01-10,3178.255
2001-01-11,3241.833
2001-01-12,3259.309
2001-01-15,3248.51
2001-01-16,3202.397
2001-01-17,3243.315
2001-01-18,3275.319
2001-01-19,3237.773
2001-01-22,3240.011
2001-01-23,3248.342
2001-01-24,3225.43
2001-01-25,3228.238
2001-01-26,3228.814
2001-01-29,3223.89
2001-01-30,3240.193
2001-01-31,3268.302
2001-02-01,3269.734
2001-02-02,3229.541
2001-02-05,3246.144
2001-02-06,3236.526
2001-02-07,3200.554
2001-02-08,3157.156
2001-02-09,3131.481
2001-02-12,3174.508
2001-02-13,3149.071
2001-02-14,3105.781
2001-02-15,3095.404
2001-02-16,3068.009
2001-02-19,3074.777
2001-02-20,3016.422
2001-02-21,3000.449
2001-02-22,2974.24
2001-02-23,2927.459
2001-02-26,2951.646
2001-02-27,2985.136
2001-02-28,2981.382
2001-03-01,2985.39
2001-03-02,3002.591
2001-03-05,3018.013
2001-03-06,3061.13
2001-03-07,3052.563
2001-03-08,3049.444
2001-03-09,3015.755
2001-03-12,2939.701
2001-03-13,2874.248
2001-03-14,2817.104
2001-03-15,2848.994
2001-03-16,2748.043
2001-03-19,2732.777
2001-03-20,2788.503
2001-03-21,2721.798
2001-03-22,2571.964
2001-03-23,2655.896
2001-03-26,2751.556
2001-03-27,2818.681
2001-03-28,2755.244
2001-03-29,2741.777
2001-03-30,2759.004
2001-04-02,2743.127
2001-04-03,2673.038
2001-04-04,2728.848
2001-04-05,2774.068
2001-04-06,2779.473
2001-04-09,2821.289
2001-04-10,2852.613
2001-04-11,2844.365
2001-04-12,2866.143
2001-04-13,2866.143
2001-04-16,2842.542
2001-04-17,2823.294
2001-04-18,2873.768
2001-04-19,2913.121
2001-04-20,2925.101
2001-04-23,2890.552
2001-04-24,2892.681
2001-04-25,2897.157
2001-04-26,2927.597
2001-04-27,2944.052
2001-04-30,2955.068
2001-05-01,2961.386
2001-05-02,2948.625
2001-05-03,2896.736
2001-05-04,2922.079
2001-05-07,2929.754
2001-05-08,2910.85
2001-05-09,2890.72
2001-05-10,2940.259
2001-05-11,2905.611
2001-05-14,2850.605
2001-05-15,2895.87
2001-05-16,2915.544
2001-05-17,2934.638
2001-05-18,2940.334
2001-05-21,2952.306
2001-05-22,2946.526
2001-05-23,2905.536
2001-05-24,2898.609
2001-05-25,2881.213
2001-05-28,2892.839
2001-05-29,2858.942
2001-05-30,2831.28
2001-05-31,2811.003
2001-06-01,2802.066
2001-06-04,2815.863
2001-06-05,2848.434
2001-06-06,2824.94
2001-06-07,2827.901
2001-06-08,2817.639
2001-06-11,2771.733
2001-06-12,2738.465
2001-06-13,2769.212
2001-06-14,2757.256
2001-06-15,2744.249
2001-06-18,2717.989
2001-06-19,2716.099
2001-06-20,2689.952
2001-06-21,2695.282
2001-06-22,2708.074
2001-06-25,2725.082
2001-06-26,2684.432
2001-06-27,2680.594
2001-06-28,2684.486
2001-06-29,2704.739
2001-07-02,2743.069
2001-07-03,2710.213
2001-07-04,2689.682
2001-07-05,2645.765
2001-07-06,2611.753
2001-07-09,2622.791
2001-07-10,2624.906
2001-07-11,2605.315
2001-07-12,2614.796
2001-07-13,2628.784
2001-07-16,2624.304
2001-07-17,2591.403
2001-07-18,2614.408
2001-07-19,2651.131
2001-07-20,2638.753
2001-07-23,2635.445
2001-07-24,2615.633
2001-07-25,2594.475
2001-07-26,2608.992
2001-07-27,2648.708
2001-07-30,2682.401
2001-07-31,2711.465
2001-08-01,2731.368
2001-08-02,2741.461
2001-08-03,2726.721
2001-08-06,2711.884
2001-08-07,2707.337
2001-08-08,2673.557
2001-08-09,2656.916
2001-08-10,2655.274
2001-08-13,2677.667
2001-08-14,2707.726
2001-08-15,2729.236
2001-08-16,2704.839
2001-08-17,2672.451
2001-08-20,2663.197
2001-08-21,2692.577
2001-08-22,2707.417
2001-08-23,2692.809
2001-08-24,2733.072
2001-08-27,2726.695
2001-08-28,2694.981
2001-08-29,2692.493
2001-08-30,2637.847
2001-08-31,2640.87
2001-09-03,2607.58
2001-09-04,2599.863
2001-09-05,2558.585
2001-09-06,2508.019
2001-09-07,2479.949
2001-09-10,2447.124
2001-09-11,2317.741
2001-09-12,2353.158
2001-09-13,2384.08
2001-09-14,2293.361
2001-09-17,2349.597
2001-09-18,2330.14
2001-09-19,2295.688
2001-09-20,2201.029
2001-09-21,2119.872
2001-09-24,2228.742
2001-09-25,2273.96
2001-09-26,2302.392
2001-09-27,2329.754
2001-09-28,2377.325
2001-10-01,2340.289
2001-10-02,2359.463
2001-10-03,2378.201
2001-10-04,2441.343
2001-10-05,2441.416
2001-10-08,2440.818
2001-10-09,2433.011
2001-10-10,2473.854
2001-10-11,2482.326
2001-10-12,2479.222
2001-10-15,2433.177
2001-10-16,2458.95
2001-10-17,2505.933
2001-10-18,2459.945
2001-10-19,2409.489
2001-10-22,2429.94
2001-10-23,2478.115
2001-10-24,2492.699
2001-10-25,2458.312
2001-10-26,2505.56
2001-10-29,2483.709
2001-10-30,2435.364
2001-10-31,2452.905
2001-11-01,2481.963
2001-11-02,2486.017
2001-11-05,2524.914
2001-11-06,2525.057
2001-11-07,2553.029
2001-11-08,2580.552
2001-11-09,2555.761
2001-11-12,2503.451
2001-11-13,2546.519
2001-11-14,2549.469
2001-11-15,2549.214
2001-11-16,2575.907
2001-11-19,2587.464
2001-11-20,2565.527
2001-11-21,2546.562
2001-11-22,2575.118
2001-11-23,2555.03
2001-11-26,2559.274
2001-11-27,2536.723
2001-11-28,2518.669
2001-11-29,2520.395
2001-11-30,2551.367
2001-12-03,2525.936
2001-12-04,2560.295
2001-12-05,2625.886
2001-12-06,2643.891
2001-12-07,2617.044
2001-12-10,2571.622
2001-12-11,2573.298
2001-12-12,2566.427
2001-12-13,2530.66
2001-12-14,2521.889
2001-12-17,2585.93
2001-12-18,2580.285
2001-12-19,2549.554
2001-12-20,2531.646
2001-12-21,2549.217
2001-12-24,2533.742
2001-12-25,2533.742
2001-12-26,2539.712
2001-12-27,2593.699
2001-12-28,2599.038
2001-12-31,2616.721
2002-01-01,2616.721
2002-01-02,2619.884
2002-01-03,2657.955
2002-01-04,2649.199
2002-01-07,2618.925
2002-01-08,2594.078
2002-01-09,2589.487
2002-01-10,2573.759
2002-01-11,2582.211
2002-01-14,2537.005
2002-01-15,2549.472
2002-01-16,2503.088
2002-01-17,2525.92
2002-01-18,2523.134
2002-01-21,2509.965
2002-01-22,2510.639
2002-01-23,2527.942
2002-01-24,2547.794
2002-01-25,2502.16
2002-01-28,2512.349
2002-01-29,2479.162
2002-01-30,2450.719
2002-01-31,2479.99
2002-02-01,2486.567
2002-02-04,2473.127
2002-02-05,2438.637
2002-02-06,2414.857
2002-02-07,2438.272
2002-02-08,2444.758
2002-02-11,2479.343
2002-02-12,2472.749
2002-02-13,2482.499
2002-02-14,2503.64
2002-02-15,2490.193
2002-02-18,2468.314
2002-02-19,2432.418
2002-02-20,2411.85
2002-02-21,2432.82
2002-02-22,2424.792
2002-02-25,2445.884
2002-02-26,2456.515
2002-02-27,2480.652
2002-02-28,2479.572
2002-03-01,2502.471
2002-03-04,2564.898
2002-03-05,2553.817
2002-03-06,2575.536
2002-03-07,2605.579
2002-03-08,2608.969
2002-03-11,2594.727
2002-03-12,2565.173
2002-03-13,2572.788
2002-03-14,2594.586
2002-03-15,2619.264
2002-03-18,2627.393
2002-03-19,2638.662
2002-03-20,2619.322
2002-03-21,2607.424
2002-03-22,2612.13
2002-03-25,2588.377
2002-03-26,2593.645
2002-03-27,2586.323
2002-03-28,2613.947
2002-03-29,2613.947
2002-04-01,2638.145
2002-04-02,2625.78
2002-04-03,2620.163
2002-04-04,2599.134
2002-04-05,2592.933
2002-04-08,2546.284
2002-04-09,2555.484
2002-04-10,2583.9
2002-04-11,2553.524
2002-04-12,2556.339
2002-04-15,2577.981
2002-04-16,2624.462
2002-04-17,2640.281
2002-04-18,2629.269
2002-04-19,2630.27
2002-04-22,2610.361
2002-04-23,2602.713
2002-04-24,2601.026
2002-04-25,2592.847
2002-04-26,2581.781
2002-04-29,2582.349
2002-04-30,2593.996
2002-05-01,2600.441
2002-05-02,2590.879
2002-05-03,2600.599
2002-05-06,2600.384
2002-05-07,2562.201
2002-05-08,2607.124
2002-05-09,2598.309
2002-05-10,2581.508
2002-05-13,2599.845
2002-05-14,2604.991
2002-05-15,2632.587
2002-05-16,2629.8
2002-05-17,2645.347
2002-05-20,2631.945
2002-05-21,2618.567
2002-05-22,2605.82
2002-05-23,2596.103
2002-05-24,2601.009
2002-05-27,2596.309
2002-05-28,2595.559
2002-05-29,2596.465
2002-05-30,2574.794
2002-05-31,2586.053
2002-06-03,2575.232
2002-06-04,2541.668
2002-06-05,2511.653
2002-06-06,2520.334
2002-06-07,2487.69
2002-06-10,2491.076
2002-06-11,2511.29
2002-06-12,2466.732
2002-06-13,2435.963
2002-06-14,2380.621
2002-06-17,2448.328
2002-06-18,2446.815
2002-06-19,2424.819
2002-06-20,2394.174
2002-06-21,2399.853
2002-06-24,2359.406
2002-06-25,2399.981
2002-06-26,2397.181
2002-06-27,2411.262
2002-06-28,2496.275
2002-07-01,2502.912
2002-07-02,2425.551
2002-07-03,2347.73
2002-07-04,2391.628
2002-07-05,2468.394
2002-07-08,2490.366
2002-07-09,2477.541
2002-07-10,2389.681
2002-07-11,2305.411
2002-07-12,2309.15
2002-07-15,2226.406
2002-07-16,2233.955
2002-07-17,2302.079
2002-07-18,2336.069
2002-07-19,2241.061
2002-07-22,2119.369
2002-07-23,2053.074
2002-07-24,2027.761
2002-07-25,2116.966
2002-07-26,2115.92
2002-07-29,2212.732
2002-07-30,2219.766
2002-07-31,2218.519
2002-08-01,2133.655
2002-08-02,2138.365
2002-08-05,2075.266
2002-08-06,2114.821
2002-08-07,2103.695
2002-08-08,2177.61
2002-08-09,2215.823
2002-08-12,2179.619
2002-08-13,2202.465
2002-08-14,2171.514
2002-08-15,2222.464
2002-08-16,2240.425
2002-08-19,2286.232
2002-08-20,2250.36
2002-08-21,2281.754
2002-08-22,2307.967
2002-08-23,2278.688
2002-08-26,2261.342
2002-08-27,2318.208
2002-08-28,2235.308
2002-08-29,2205.385
2002-08-30,2218.113
2002-09-02,2187.457
2002-09-03,2126.097
2002-09-04,2130.281
2002-09-05,2116.01
2002-09-06,2165.222
2002-09-09,2129.803
2002-09-10,2167.536
2002-09-11,2203.549
2002-09-12,2136.62
2002-09-13,2100.835
2002-09-16,2083.753
2002-09-17,2059.774
2002-09-18,2003.277
2002-09-19,1977.669
2002-09-20,1984.234
2002-09-23,1920.292
2002-09-24,1886.555
2002-09-25,1911.505
2002-09-26,1992.532
2002-09-27,1991.447
2002-09-30,1926.32
2002-10-01,1947.349
2002-10-02,2002.09
2002-10-03,1980.793
2002-10-04,1930.766
2002-10-07,1906.791
2002-10-08,1869.797
2002-10-09,1870.152
2002-10-10,1909.096
2002-10-11,2002.383
2002-10-14,1985.504
2002-10-15,2091.352
2002-10-16,2058.474
2002-10-17,2104.663
2002-10-18,2092.954
2002-10-21,2100.226
2002-10-22,2087.789
2002-10-23,2024.541
2002-10-24,2071.371
2002-10-25,2067.366
2002-10-28,2100.263
2002-10-29,2022.188
2002-10-30,2069.082
2002-10-31,2112.508
2002-11-01,2099.78
2002-11-04,2167.912
2002-11-05,2186.151
2002-11-06,2157.811
2002-11-07,2140.346
2002-11-08,2126.072
2002-11-11,2109.574
2002-11-12,2136.999
2002-11-13,2117.098
2002-11-14,2147.71
2002-11-15,2165.247
2002-11-18,2189.321
2002-11-19,2183.912
2002-11-20,2164.827
2002-11-21,2225.088
2002-11-22,2225.796
2002-11-25,2195.901
2002-11-26,2156.909
2002-11-27,2196.102
2002-11-28,2222.629
2002-11-29,2216.239
2002-12-02,2215.758
2002-12-03,2174.057
2002-12-04,2170.14
2002-12-05,2147.01
2002-12-06,2152.544
2002-12-09,2106.715
2002-12-10,2115.945
2002-12-11,2136.858
2002-12-12,2120.235
2002-12-13,2105.066
2002-12-16,2158.109
2002-12-17,2146.111
2002-12-18,2101.561
2002-12-19,2092.629
2002-12-20,2116.121
2002-12-23,2121.078
2002-12-24,2129.847
2002-12-25,2129.847
2002-12-26,2132.714
2002-12-27,2082.045
2002-12-30,2113.587
2002-12-31,2135.875
2003-01-01,2135.875
2003-01-02,2175.462
2003-01-03,2195.122
2003-01-06,2216.646
2003-01-07,2189.871
2003-01-08,2150.982
2003-01-09,2181.425
2003-01-10,2197.754
2003-01-13,2199.863
2003-01-14,2215.196
2003-01-15,2183.185
2003-01-16,2180.13
2003-01-17,2147.386
2003-01-20,2120.531
2003-01-21,2100.055
2003-01-22,2066.949
2003-01-23,2061.888
2003-01-24,2053.669
2003-01-27,1986.752
2003-01-28,1990.953
2003-01-29,2005.21
2003-01-30,2035.37
2003-01-31,2034.831
2003-02-03,2069.7
2003-02-04,2027.377
2003-02-05,2057.863
2003-02-06,2013.358
2003-02-07,1992.112
2003-02-10,1971.901
2003-02-11,2007.734
2003-02-12,1973.642
2003-02-13,1979.82
2003-02-14,2003.435
2003-02-17,2029.734
2003-02-18,2039.76
2003-02-19,2003.211
2003-02-20,2004.999
2003-02-21,2021.225
2003-02-24,1989.363
2003-02-25,1929.315
2003-02-26,1923.548
2003-02-27,1929.575
2003-02-28,1968.424
2003-03-03,1987.65
2003-03-04,1953.236
2003-03-05,1946.907
2003-03-06,1931.655
2003-03-07,1902.355
2003-03-10,1860.719
2003-03-11,1862.222
2003-03-12,1797.21
2003-03-13,1876.297
2003-03-14,1932.45
2003-03-17,1980.663
2003-03-18,1977.477
2003-03-19,1996.906
2003-03-20,1992.51
2003-03-21,2044.519
2003-03-24,1980.946
2003-03-25,2008.082
2003-03-26,2008.395
2003-03-27,1980.605
2003-03-28,1978.821
2003-03-31,1939.057
2003-04-01,1962.885
2003-04-02,2007.572
2003-04-03,2017.57
2003-04-04,2035.33
2003-04-07,2089.324
2003-04-08,2065.034
2003-04-09,2068.149
2003-04-10,2053.408
2003-04-11,2058.873
2003-04-14,2085.098
2003-04-15,2120.962
2003-04-16,2110.896
2003-04-17,2135.739
2003-04-18,2135.739
2003-04-21,2121.168
2003-04-22,2155.377
2003-04-23,2182.573
2003-04-24,2163.622
2003-04-25,2138.249
2003-04-28,2182.351
2003-04-29,2176.936
2003-04-30,2200.582
2003-05-01,2210.302
2003-05-02,2216.872
2003-05-05,2242.538
2003-05-06,2286.844
2003-05-07,2262.368
2003-05-08,2228.658
2003-05-09,2252.963
2003-05-12,2265.983
2003-05-13,2266.87
2003-05-14,2268.746
2003-05-15,2289.476
2003-05-16,2313.325
2003-05-19,2265.337
2003-05-20,2269.611
2003-05-21,2258.596
2003-05-22,2285.516
2003-05-23,2290.315
2003-05-26,2294.515
2003-05-27,2309.342
2003-05-28,2335.465
2003-05-29,2358.557
2003-05-30,2343.315
2003-06-02,2381.792
2003-06-03,2365.199
2003-06-04,2381.519
2003-06-05,2398.364
2003-06-06,2425.881
2003-06-09,2407.544
2003-06-10,2401.911
2003-06-11,2450.785
2003-06-12,2463.961
2003-06-13,2443.641
2003-06-16,2492.201
2003-06-17,2511.645
2003-06-18,2500.437
2003-06-19,2461.097
2003-06-20,2464.727
2003-06-23,2407.172
2003-06-24,2392.279
2003-06-25,2410.505
2003-06-26,2382.875
2003-06-27,2382.76
2003-06-30,2365.909
2003-07-01,2342.835
2003-07-02,2373.272
2003-07-03,2388.387
2003-07-04,2376.194
2003-07-07,2401.866
2003-07-08,2389.742
2003-07-09,2376.26
2003-07-10,2358.352
2003-07-11,2376.512
2003-07-14,2407.091
2003-07-15,2378.549
2003-07-16,2360.158
2003-07-17,2332.643
2003-07-18,2342.791
2003-07-21,2341.263
2003-07-22,2358.941
2003-07-23,2375.582
2003-07-24,2421.881
2003-07-25,2415.878
2003-07-28,2434.959
2003-07-29,2427.191
2003-07-30,2416.245
2003-07-31,2413.972
2003-08-01,2388.689
2003-08-04,2390.215
2003-08-05,2407.142
2003-08-06,2380.315
2003-08-07,2390.094
2003-08-08,2397.262
2003-08-11,2405.274
2003-08-12,2413.802
2003-08-13,2422.847
2003-08-14,2445.388
2003-08-15,2449.123
2003-08-18,2452.259
2003-08-19,2441.768
2003-08-20,2440.763
2003-08-21,2430.4
2003-08-22,2417.689
2003-08-25,2407.793
