Date,EUROPE GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,125.279
1975-02-28,142.353
1975-03-31,140.056
1975-04-30,149.627
1975-05-30,148.201
1975-06-30,137.526
1975-07-31,132.986
1975-08-29,135.218
1975-09-30,128.972
1975-10-31,138.318
1975-11-28,140.87
1975-12-31,143.092
1976-01-30,148.419
1976-02-27,145.765
1976-03-31,140.541
1976-04-30,138.918
1976-05-31,132.122
1976-06-30,132.469
1976-07-30,130.742
1976-08-31,127.663
1976-09-30,123.219
1976-10-29,113.981
1976-11-30,119.622
1976-12-31,129.842
1977-01-31,130.952
1977-02-28,132.274
1977-03-31,131.233
1977-04-29,136.393
1977-05-31,134.887
1977-06-30,137.627
1977-07-29,135.393
1977-08-31,142.149
1977-09-30,148.623
1977-10-31,152.941
1977-11-30,150.885
1977-12-30,158.971
1978-01-31,158.267
1978-02-28,157.212
1978-03-31,162.842
1978-04-28,160.114
1978-05-31,163.457
1978-06-30,165.006
1978-07-31,179.017
1978-08-31,185.641
1978-09-29,193.11
1978-10-31,201.99
1978-11-30,183.195
1978-12-29,192.407
1979-01-31,192.99
1979-02-28,195.915
1979-03-30,209.159
1979-04-30,210.475
1979-05-31,198.985
1979-06-29,205.716
1979-07-31,210.447
1979-08-31,216.218
1979-09-28,228.977
1979-10-31,210.017
1979-11-30,220.138
1979-12-31,219.533
1980-01-31,231.924
1980-02-29,236.442
1980-03-31,199.983
1980-04-30,218.527
1980-05-30,227.892
1980-06-30,245.15
1980-07-31,249.75
1980-08-29,253.374
1980-09-30,262.735
1980-10-31,279.492
1980-11-28,279.936
1980-12-31,264.581
1981-01-30,254.305
1981-02-27,249.837
1981-03-31,252.371
1981-04-30,245.791
1981-05-29,227.024
1981-06-30,219.497
1981-07-31,216.672
1981-08-31,224.079
1981-09-30,203.337
1981-10-30,210.088
1981-11-30,234.491
1981-12-31,226.927
1982-01-29,230.514
1982-02-26,220.055
1982-03-31,218.691
1982-04-30,225.645
1982-05-31,226.862
1982-06-30,210.561
1982-07-30,218.185
1982-08-31,220.471
1982-09-30,229.714
1982-10-29,230.144
1982-11-30,236.178
1982-12-31,246.499
1983-01-31,241.534
1983-02-28,250.217
1983-03-31,260.673
1983-04-29,281.322
1983-05-31,278.536
1983-06-30,278.943
1983-07-29,276.99
1983-08-31,268.558
1983-09-30,273.724
1983-10-31,277.672
1983-11-30,284.604
1983-12-30,284.355
1984-01-31,288.752
1984-02-29,297.697
1984-03-30,305.102
1984-04-30,299.274
1984-05-31,274.82
1984-06-29,276.729
1984-07-31,260.115
1984-08-31,282.304
1984-09-28,277.05
1984-10-31,278.934
1984-11-30,277.513
1984-12-31,285.484
1985-01-31,297.254
1985-02-28,284.16
1985-03-29,319.283
1985-04-30,330.363
1985-05-31,348.416
1985-06-28,349.284
1985-07-31,384.25
1985-08-30,404.719
1985-09-30,409.681
1985-10-31,456.483
1985-11-29,492.849
1985-12-31,510.75
1986-01-31,522.558
1986-02-28,578.018
1986-03-31,624.284
1986-04-30,693.491
1986-05-30,635.855
1986-06-30,659.691
1986-07-31,663.271
1986-08-29,732.245
1986-09-30,678.448
1986-10-31,686.461
1986-11-28,729.57
1986-12-31,746.162
1987-01-30,769.961
1987-02-27,798.919
1987-03-31,828.118
1987-04-30,857.405
1987-05-29,847.076
1987-06-30,869.935
1987-07-31,897.498
1987-08-31,903.083
1987-09-30,909.133
1987-10-30,729.734
1987-11-30,693.078
1987-12-31,733.034
1988-01-29,699.052
1988-02-29,740.444
1988-03-31,753.855
1988-04-29,764.145
1988-05-31,749.527
1988-06-30,742.832
1988-07-29,741.419
1988-08-31,708.762
1988-09-30,751.911
1988-10-31,819.841
1988-11-30,827.087
1988-12-30,830.197
1989-01-31,859.143
1989-02-28,849.421
1989-03-31,852.017
1989-04-28,878.657
1989-05-31,832.112
1989-06-30,870.571
1989-07-31,973.645
1989-08-31,963.194
1989-09-29,979.398
1989-10-31,915.697
1989-11-30,967.144
1989-12-29,1060.484
1990-01-31,1054.859
1990-02-28,1022.795
1990-03-30,1041.375
1990-04-30,1012.846
1990-05-31,1107.458
1990-06-29,1154.249
1990-07-31,1205.405
1990-08-31,1087.493
1990-09-28,956.833
1990-10-31,1056.493
1990-11-30,1060.276
1990-12-31,1044.563
1991-01-31,1084.336
1991-02-28,1174.329
1991-03-29,1098.581
1991-04-30,1086.289
1991-05-31,1117.027
1991-06-28,1026.458
1991-07-31,1094.195
1991-08-30,1110.771
1991-09-30,1147.53
1991-10-31,1134.381
1991-11-29,1120.949
1991-12-31,1222.981
1992-01-31,1223.032
1992-02-28,1229.107
1992-03-31,1189.05
1992-04-30,1238.306
1992-05-29,1312.678
1992-06-30,1304.703
1992-07-31,1266.04
1992-08-31,1267.694
1992-09-30,1246.718
1992-10-30,1161.07
1992-11-30,1164.485
1992-12-31,1185.897
1993-01-29,1165.811
1993-02-26,1166.215
1993-03-31,1215.892
1993-04-30,1240.559
1993-05-31,1252.322
1993-06-30,1220.204
1993-07-30,1205.626
1993-08-31,1314.815
1993-09-30,1312.728
1993-10-29,1366.975
1993-11-30,1338.359
1993-12-31,1428.216
1994-01-31,1489.095
1994-02-28,1434.013
1994-03-31,1392.96
1994-04-29,1447.159
1994-05-31,1380.776
1994-06-30,1362.249
1994-07-29,1431.549
1994-08-31,1489.862
1994-09-30,1429.875
1994-10-31,1483.339
1994-11-30,1431.22
1994-12-30,1448.441
1995-01-31,1435.383
1995-02-28,1479.593
1995-03-31,1559.646
1995-04-28,1609.699
1995-05-31,1636.658
1995-06-30,1674.715
1995-07-31,1761.248
1995-08-31,1707.408
1995-09-29,1767.296
1995-10-31,1762.736
1995-11-30,1769.18
1995-12-29,1819.175
1996-01-31,1840.781
1996-02-29,1874.469
1996-03-29,1901.732
1996-04-30,1909.243
1996-05-31,1923.362
1996-06-28,1950.219
1996-07-31,1921.624
1996-08-30,1973.273
1996-09-30,2026.622
1996-10-31,2079.28
1996-11-29,2177.13
1996-12-31,2214.895
1997-01-31,2211.397
1997-02-28,2226.742
1997-03-31,2299.574
1997-04-30,2283.997
1997-05-30,2365.023
1997-06-30,2503.819
1997-07-31,2619.867
1997-08-29,2468.426
1997-09-30,2707.358
1997-10-31,2532.305
1997-11-28,2568.105
1997-12-31,2662.082
1998-01-30,2777.99
1998-02-27,3015.257
1998-03-31,3150.704
1998-04-30,3207.365
1998-05-29,3266.435
1998-06-30,3340.398
1998-07-31,3365.831
1998-08-31,3016.226
1998-09-30,2896.545
1998-10-30,3156.109
1998-11-30,3316.445
1998-12-31,3539.021
1999-01-29,3555.878
1999-02-26,3417.064
1999-03-31,3344.187
1999-04-30,3309.758
1999-05-31,3185.245
1999-06-30,3236.711
1999-07-30,3204.313
1999-08-31,3254.584
1999-09-30,3241.484
1999-10-29,3421.983
1999-11-30,3632.044
1999-12-31,4082.707
2000-01-31,3887.393
2000-02-29,4196.76
2000-03-31,4255.646
2000-04-28,4056.943
2000-05-31,3867.827
2000-06-30,3923.301
2000-07-31,3765.524
2000-08-31,3697.472
2000-09-29,3491.593
2000-10-31,3410.694
2000-11-30,3230.953
2000-12-29,3408.851
2001-01-31,3371.302
2001-02-28,3001.246
2001-03-30,2746.789
2001-04-30,2960.265
2001-05-31,2787.022
2001-06-29,2667.499
2001-07-31,2659.982
2001-08-31,2543.597
2001-09-28,2312.443
2001-10-31,2414.425
2001-11-30,2527.504
2001-12-31,2590.48
2002-01-31,2468.662
2002-02-28,2486.551
2002-03-29,2575.492
2002-04-30,2547.278
2002-05-31,2503.016
2002-06-28,2458.722
2002-07-31,2168.356
2002-08-30,2153.366
2002-09-30,1941.895
2002-10-31,2116.856
2002-11-29,2164.804
2002-12-31,2116.935
2003-01-31,2007.614
2003-02-28,1947.497
2003-03-31,1935.473
2003-04-30,2171.879
2003-05-30,2287.211
2003-06-30,2292.971
2003-07-31,2299.397
2003-08-29,2278.362
2003-09-30,2349.387
2003-10-31,2490.919
2003-11-28,2604.771
2003-12-31,2792.466
2004-01-30,2843.242
2004-02-27,2924.601
2004-03-31,2824.454
2004-04-30,2788.162
2004-05-31,2834.259
