Date,EUROPE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,121.498
1975-02-28,137.187
1975-03-31,131.074
1975-04-30,140.959
1975-05-30,138.257
1975-06-30,130.411
1975-07-31,125.281
1975-08-29,128.843
1975-09-30,123.314
1975-10-31,134.565
1975-11-28,139.286
1975-12-31,143.218
1976-01-30,150.519
1976-02-27,147.575
1976-03-31,145.407
1976-04-30,143.674
1976-05-31,137.644
1976-06-30,136.96
1976-07-30,134.19
1976-08-31,131.792
1976-09-30,128.468
1976-10-29,119.446
1976-11-30,124.784
1976-12-31,136.138
1977-01-31,137.514
1977-02-28,138.988
1977-03-31,142.321
1977-04-29,147.541
1977-05-31,147.507
1977-06-30,148.367
1977-07-29,146.66
1977-08-31,153.128
1977-09-30,159.625
1977-10-31,163.391
1977-11-30,160.508
1977-12-30,169.541
1978-01-31,170.174
1978-02-28,171.19
1978-03-31,177.411
1978-04-28,175.375
1978-05-31,180.729
1978-06-30,181.217
1978-07-31,194.433
1978-08-31,201.276
1978-09-29,210.204
1978-10-31,220.689
1978-11-30,203.332
1978-12-29,214.141
1979-01-31,215.763
1979-02-28,221.412
1979-03-30,234.476
1979-04-30,239.604
1979-05-31,228.642
1979-06-29,234.618
1979-07-31,237.054
1979-08-31,245.216
1979-09-28,256.722
1979-10-31,231.628
1979-11-30,239.794
1979-12-31,242.179
1980-01-31,252.993
1980-02-29,254.265
1980-03-31,221.484
1980-04-30,246.23
1980-05-30,249.361
1980-06-30,266.888
1980-07-31,270.136
1980-08-29,271.651
1980-09-30,269.801
1980-10-31,270.634
1980-11-28,262.401
1980-12-31,257.5
1981-01-30,248.296
1981-02-27,248.933
1981-03-31,257.062
1981-04-30,259.345
1981-05-29,238.201
1981-06-30,234.416
1981-07-31,224.743
1981-08-31,230.166
1981-09-30,208.743
1981-10-30,218.799
1981-11-30,245.946
1981-12-31,237.527
1982-01-29,239.349
1982-02-26,232.122
1982-03-31,231.57
1982-04-30,238.982
1982-05-31,237.301
1982-06-30,216.559
1982-07-30,217.807
1982-08-31,218.334
1982-09-30,219.659
1982-10-29,225.11
1982-11-30,226.673
1982-12-31,240.537
1983-01-31,247.002
1983-02-28,257.622
1983-03-31,272.171
1983-04-29,295.115
1983-05-31,292.498
1983-06-30,302.752
1983-07-29,297.116
1983-08-31,293.981
1983-09-30,298.747
1983-10-31,295.818
1983-11-30,304.781
1983-12-30,310.028
1984-01-31,330.147
1984-02-29,340.883
1984-03-30,348.74
1984-04-30,345.74
1984-05-31,323.797
1984-06-29,320.981
1984-07-31,298.424
1984-08-31,324.227
1984-09-28,319.448
1984-10-31,318.916
1984-11-30,319.181
1984-12-31,321.158
1985-01-31,337.754
1985-02-28,324.846
1985-03-29,360.014
1985-04-30,368.748
1985-05-31,386.955
1985-06-28,395.058
1985-07-31,430.589
1985-08-30,452.462
1985-09-30,461.84
1985-10-31,512.173
1985-11-29,551.213
1985-12-31,579.961
1986-01-31,587.869
1986-02-28,664.798
1986-03-31,721.301
1986-04-30,777.202
1986-05-30,706.147
1986-06-30,740.507
1986-07-31,730.12
