Date,FINLAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,1212.251
2001-01-02,1179.703
2001-01-03,1081.885
2001-01-04,1199.02
2001-01-05,1213.057
2001-01-08,1171.513
2001-01-09,1067.302
2001-01-10,1055.121
2001-01-11,1128.27
2001-01-12,1154.609
2001-01-15,1145.884
2001-01-16,1083.585
2001-01-17,1122.827
2001-01-18,1135.726
2001-01-19,1118.21
2001-01-22,1092.471
2001-01-23,1076.745
2001-01-24,1069.805
2001-01-25,1038.035
2001-01-26,1027.733
2001-01-29,1010.71
2001-01-30,962.025
2001-01-31,987.047
2001-02-01,951.781
2001-02-02,930.208
2001-02-05,914.818
2001-02-06,939.525
2001-02-07,884.563
2001-02-08,858.029
2001-02-09,787.278
2001-02-12,820.659
2001-02-13,806.327
2001-02-14,745.162
2001-02-15,803.353
2001-02-16,754.868
2001-02-19,737.825
2001-02-20,729.631
2001-02-21,697.48
2001-02-22,644.111
2001-02-23,601.718
2001-02-26,621.233
2001-02-27,641.117
2001-02-28,633.06
2001-03-01,629.262
2001-03-02,678.229
2001-03-05,708.041
2001-03-06,745.102
2001-03-07,724.034
2001-03-08,689.581
2001-03-09,672.768
2001-03-12,613.435
2001-03-13,630.541
2001-03-14,625.901
2001-03-15,693.998
2001-03-16,672.86
2001-03-19,696.799
2001-03-20,734.528
2001-03-21,695.385
2001-03-22,653.928
2001-03-23,715.929
2001-03-26,752.143
2001-03-27,722.209
2001-03-28,701.157
2001-03-29,657.16
2001-03-30,656.076
2001-04-02,650.795
2001-04-03,611.903
2001-04-04,621.448
2001-04-05,660.841
2001-04-06,655.392
2001-04-09,660.168
2001-04-10,695.45
2001-04-11,727.082
2001-04-12,734.315
2001-04-13,734.315
2001-04-16,726.795
2001-04-17,693.807
2001-04-18,776.406
2001-04-19,809.696
2001-04-20,842.454
2001-04-23,825.851
2001-04-24,817.071
2001-04-25,807.926
2001-04-26,824.14
2001-04-27,862.393
2001-04-30,898.206
2001-05-01,902.968
2001-05-02,908.566
2001-05-03,882.777
2001-05-04,892.283
2001-05-07,895.641
2001-05-08,877.223
2001-05-09,858.675
2001-05-10,895.506
2001-05-11,863.254
2001-05-14,832.638
2001-05-15,840.206
2001-05-16,840.112
2001-05-17,887.054
2001-05-18,908.262
2001-05-21,915.082
2001-05-22,921.155
2001-05-23,890.364
2001-05-24,887.003
2001-05-25,860.087
2001-05-28,858.584
2001-05-29,838.714
2001-05-30,802.699
2001-05-31,788.392
2001-06-01,786.644
2001-06-04,792.331
2001-06-05,823.098
2001-06-06,825.996
2001-06-07,826.068
2001-06-08,819.365
2001-06-11,785.337
2001-06-12,629.715
2001-06-13,665.611
2001-06-14,629.488
2001-06-15,627.029
2001-06-18,625.5
2001-06-19,637.572
2001-06-20,618.778
2001-06-21,629.265
2001-06-22,629.891
2001-06-25,629.548
2001-06-26,616.03
2001-06-27,612.358
2001-06-28,603.491
2001-06-29,628.495
2001-07-02,638.887
2001-07-03,626.594
2001-07-04,607.245
2001-07-05,575.125
2001-07-06,548.429
2001-07-09,531.697
2001-07-10,527.383
2001-07-11,508.067
2001-07-12,529.536
2001-07-13,517.265
2001-07-16,503.659
2001-07-17,486.515
2001-07-18,499.233
2001-07-19,556.285
2001-07-20,535.481
2001-07-23,536.238
2001-07-24,542.929
2001-07-25,541.46
2001-07-26,550.635
2001-07-27,576.438
2001-07-30,596.122
2001-07-31,608.41
2001-08-01,599.855
2001-08-02,618.719
2001-08-03,614.302
2001-08-06,594.858
2001-08-07,597.458
2001-08-08,576.527
2001-08-09,545.348
2001-08-10,523.38
2001-08-13,534.561
2001-08-14,549.816
2001-08-15,537.668
2001-08-16,514.664
2001-08-17,495.413
2001-08-20,486.621
2001-08-21,497.874
2001-08-22,498.536
2001-08-23,503.271
2001-08-24,503.331
2001-08-27,491.415
2001-08-28,474.165
2001-08-29,458.351
2001-08-30,433.82
2001-08-31,443.155
2001-09-03,439.901
2001-09-04,432.571
2001-09-05,405.89
2001-09-06,386.18
2001-09-07,372.823
2001-09-10,389.198
2001-09-11,377.053
2001-09-12,412.002
2001-09-13,429.321
2001-09-14,408.747
2001-09-17,434.139
2001-09-18,440.322
2001-09-19,449.536
2001-09-20,447.762
2001-09-21,427.848
2001-09-24,460.524
2001-09-25,472.734
2001-09-26,462.1
2001-09-27,430.667
2001-09-28,451.134
2001-10-01,424.869
2001-10-02,435.372
2001-10-03,424.809
2001-10-04,463.309
2001-10-05,468.592
2001-10-08,475.849
2001-10-09,487.394
2001-10-10,494.986
2001-10-11,520.627
2001-10-12,525.279
2001-10-15,508.954
2001-10-16,527.365
2001-10-17,553.502
2001-10-18,520.256
2001-10-19,540.949
2001-10-22,553.137
2001-10-23,586.852
2001-10-24,595.46
2001-10-25,571.579
2001-10-26,590.05
2001-10-29,584.415
2001-10-30,551.962
2001-10-31,575.344
2001-11-01,577.1
2001-11-02,591.469
2001-11-05,607.981
2001-11-06,624.274
2001-11-07,613.047
2001-11-08,639.711
2001-11-09,618.873
2001-11-12,601.737
2001-11-13,637.94
2001-11-14,652.377
2001-11-15,668.658
2001-11-16,683.174
2001-11-19,664.829
2001-11-20,638.772
2001-11-21,631.504
2001-11-22,660.256
2001-11-23,661.721
2001-11-26,676.634
2001-11-27,639.205
2001-11-28,626.042
2001-11-29,613.791
2001-11-30,640.673
2001-12-03,626.777
2001-12-04,649.997
2001-12-05,682.31
2001-12-06,684.653
2001-12-07,690.801
2001-12-10,664.834
2001-12-11,693.376
2001-12-12,689.168
2001-12-13,659.296
2001-12-14,656.583
2001-12-17,686.284
2001-12-18,687.996
2001-12-19,667.111
2001-12-20,651.171
2001-12-21,663.786
2001-12-24,657.163
2001-12-25,657.163
2001-12-26,657.724
2001-12-27,676.045
2001-12-28,687.936
2001-12-31,694.606
2002-01-01,694.606
2002-01-02,683.435
2002-01-03,717.212
2002-01-04,712.888
2002-01-07,702.0
2002-01-08,662.515
2002-01-09,650.26
2002-01-10,637.978
2002-01-11,650.317
2002-01-14,614.066
2002-01-15,622.164
2002-01-16,610.253
2002-01-17,622.48
2002-01-18,619.954
2002-01-21,588.076
2002-01-22,586.339
2002-01-23,599.19
2002-01-24,647.396
2002-01-25,624.936
2002-01-28,638.103
2002-01-29,632.529
2002-01-30,611.096
2002-01-31,626.963
2002-02-01,638.854
2002-02-04,633.049
2002-02-05,601.611
2002-02-06,587.684
2002-02-07,601.945
2002-02-08,596.76
2002-02-11,619.675
2002-02-12,624.019
2002-02-13,626.921
2002-02-14,629.512
2002-02-15,610.539
2002-02-18,601.299
2002-02-19,577.922
2002-02-20,559.798
2002-02-21,568.351
2002-02-22,551.049
2002-02-25,565.229
2002-02-26,576.333
2002-02-27,587.375
2002-02-28,589.234
2002-03-01,587.352
2002-03-04,630.697
2002-03-05,627.915
2002-03-06,639.692
2002-03-07,659.872
2002-03-08,664.48
2002-03-11,650.76
2002-03-12,612.65
2002-03-13,614.986
2002-03-14,613.918
2002-03-15,614.575
2002-03-18,626.049
2002-03-19,611.431
2002-03-20,593.95
2002-03-21,589.986
2002-03-22,600.741
2002-03-25,597.982
2002-03-26,592.366
2002-03-27,597.69
2002-03-28,597.451
2002-03-29,597.451
2002-04-01,602.347
2002-04-02,585.346
2002-04-03,586.728
2002-04-04,577.855
2002-04-05,576.815
2002-04-08,551.547
2002-04-09,561.994
2002-04-10,551.751
2002-04-11,536.646
2002-04-12,541.661
2002-04-15,553.867
2002-04-16,578.908
2002-04-17,593.082
2002-04-18,532.688
2002-04-19,512.26
2002-04-22,494.838
2002-04-23,493.108
2002-04-24,470.352
2002-04-25,485.159
2002-04-26,486.78
2002-04-29,476.981
2002-04-30,479.93
2002-05-01,482.646
2002-05-02,488.295
2002-05-03,461.287
2002-05-06,456.955
2002-05-07,456.417
2002-05-08,479.337
2002-05-09,479.231
2002-05-10,465.014
2002-05-13,469.779
2002-05-14,481.769
2002-05-15,489.447
2002-05-16,481.087
2002-05-17,483.208
2002-05-20,478.651
2002-05-21,471.266
2002-05-22,446.872
2002-05-23,434.712
2002-05-24,434.043
2002-05-27,430.695
2002-05-28,432.329
2002-05-29,426.107
2002-05-30,416.421
2002-05-31,433.073
2002-06-03,419.533
2002-06-04,406.621
2002-06-05,415.349
2002-06-06,409.612
2002-06-07,380.784
2002-06-10,387.297
2002-06-11,406.749
2002-06-12,387.915
2002-06-13,383.054
2002-06-14,386.29
2002-06-17,406.716
2002-06-18,406.953
2002-06-19,390.916
2002-06-20,397.077
2002-06-21,399.012
2002-06-24,373.492
2002-06-25,384.471
2002-06-26,395.849
2002-06-27,415.636
2002-06-28,441.208
2002-07-01,437.579
2002-07-02,414.799
2002-07-03,410.313
2002-07-04,429.246
2002-07-05,454.796
2002-07-08,456.719
2002-07-09,445.782
2002-07-10,432.363
2002-07-11,417.645
2002-07-12,424.033
2002-07-15,411.3
2002-07-16,415.122
2002-07-17,436.584
2002-07-18,419.412
2002-07-19,402.544
2002-07-22,391.173
2002-07-23,357.036
2002-07-24,343.302
2002-07-25,349.175
2002-07-26,349.182
2002-07-29,370.673
2002-07-30,380.063
2002-07-31,376.802
2002-08-01,361.602
2002-08-02,350.638
2002-08-05,334.325
2002-08-06,343.254
2002-08-07,349.678
2002-08-08,360.799
2002-08-09,384.431
2002-08-12,385.211
2002-08-13,385.553
2002-08-14,368.038
2002-08-15,384.019
2002-08-16,399.403
2002-08-19,419.06
2002-08-20,417.894
2002-08-21,423.738
2002-08-22,435.049
2002-08-23,424.698
2002-08-26,413.76
2002-08-27,425.15
2002-08-28,406.241
2002-08-29,402.875
2002-08-30,400.891
2002-09-02,391.606
2002-09-03,378.333
2002-09-04,380.646
2002-09-05,392.747
2002-09-06,417.306
2002-09-09,414.238
