Date,FINLAND LARGE CAP Large Cap
1994-05-31,74.44
1994-06-30,78.03
1994-07-29,87.847
1994-08-31,100.082
1994-09-30,103.315
1994-10-31,117.858
1994-11-30,104.855
1994-12-30,112.96
1995-01-31,110.047
1995-02-28,107.922
1995-03-31,109.16
1995-04-28,125.383
1995-05-31,132.903
1995-06-30,159.373
1995-07-31,178.403
1995-08-31,175.394
1995-09-29,180.952
1995-10-31,152.077
1995-11-30,145.159
1995-12-29,113.474
1996-01-31,110.256
1996-02-29,106.231
1996-03-29,106.168
1996-04-30,110.071
1996-05-31,120.283
1996-06-28,111.902
1996-07-31,111.501
1996-08-30,125.529
1996-09-30,124.851
1996-10-31,131.046
1996-11-29,145.982
1996-12-31,151.564
1997-01-31,164.64
1997-02-28,159.338
1997-03-31,159.08
1997-04-30,163.125
1997-05-30,170.097
1997-06-30,185.674
1997-07-31,211.756
1997-08-29,194.032
1997-09-30,235.242
1997-10-31,213.55
1997-11-28,200.937
1997-12-31,184.364
1998-01-30,199.145
1998-02-27,246.485
1998-03-31,262.093
1998-04-30,320.985
1998-05-29,312.591
1998-06-30,339.822
1998-07-31,385.937
1998-08-31,312.975
1998-09-30,345.465
1998-10-30,389.828
1998-11-30,421.788
1998-12-31,514.579
1999-01-29,580.146
1999-02-26,546.834
1999-03-31,622.118
1999-04-30,628.018
1999-05-31,590.751
1999-06-30,696.429
1999-07-30,708.867
1999-08-31,689.396
1999-09-30,743.652
1999-10-29,893.053
1999-11-30,1102.603
1999-12-31,1451.07
2000-01-31,1449.431
2000-02-29,1561.95
2000-03-31,1614.104
2000-04-28,1675.771
2000-05-31,1513.574
2000-06-30,1483.839
2000-07-31,1291.247
2000-08-31,1257.668
2000-09-29,1142.863
2000-10-31,1154.352
2000-11-30,1162.738
2000-12-29,1238.03
2001-01-31,1010.801
2001-02-28,669.614
2001-03-30,692.401
2001-04-30,939.636
2001-05-31,831.135
2001-06-29,665.226
2001-07-31,638.974
2001-08-31,487.065
2001-09-28,491.549
2001-10-31,624.667
2001-11-30,691.849
2001-12-31,749.37
2002-01-31,680.901
2002-02-28,640.515
2002-03-29,645.374
2002-04-30,521.319
2002-05-31,482.791
2002-06-28,490.519
2002-07-31,416.209
2002-08-30,440.276
2002-09-30,432.622
2002-10-31,544.43
2002-11-29,620.399
2002-12-31,513.071
2003-01-31,453.609
2003-02-28,435.233
2003-03-31,456.261
2003-04-30,556.962
2003-05-30,587.449
2003-06-30,544.328
2003-07-31,515.671
2003-08-29,549.273
