Date,FINLAND LARGE CAP Large Cap
1994-05-31,79.136
1994-06-30,82.952
1994-07-29,93.388
1994-08-31,106.395
1994-09-30,109.833
1994-10-31,125.293
1994-11-30,111.47
1994-12-30,120.087
1995-01-31,116.99
1995-02-28,114.731
1995-03-31,115.761
1995-04-28,132.717
1995-05-31,140.678
1995-06-30,168.696
1995-07-31,188.839
1995-08-31,185.654
1995-09-29,191.537
1995-10-31,160.973
1995-11-30,153.65
1995-12-29,120.112
1996-01-31,116.706
1996-02-29,112.446
1996-03-29,112.379
1996-04-30,116.243
1996-05-31,127.027
1996-06-28,118.177
1996-07-31,117.753
1996-08-30,132.568
1996-09-30,131.852
1996-10-31,138.394
1996-11-29,154.168
1996-12-31,160.063
1997-01-31,173.872
1997-02-28,168.272
1997-03-31,167.914
1997-04-30,172.051
1997-05-30,179.406
1997-06-30,195.834
1997-07-31,223.344
1997-08-29,204.65
1997-09-30,248.115
1997-10-31,225.236
1997-11-28,211.933
1997-12-31,194.454
1998-01-30,210.043
1998-02-27,259.973
1998-03-31,275.715
1998-04-30,337.399
1998-05-29,328.575
1998-06-30,357.198
1998-07-31,405.671
1998-08-31,328.979
1998-09-30,363.13
1998-10-30,409.762
1998-11-30,443.356
1998-12-31,540.891
1999-01-29,609.811
1999-02-26,574.796
1999-03-31,651.875
1999-04-30,657.976
1999-05-31,618.931
1999-06-30,729.65
1999-07-30,742.68
1999-08-31,722.281
1999-09-30,779.125
1999-10-29,935.652
1999-11-30,1155.199
1999-12-31,1520.288
2000-01-31,1518.57
2000-02-29,1636.456
2000-03-31,1688.769
2000-04-28,1753.288
2000-05-31,1583.588
2000-06-30,1552.477
2000-07-31,1350.977
2000-08-31,1315.845
2000-09-29,1195.729
2000-10-31,1207.749
2000-11-30,1216.523
2000-12-29,1295.298
2001-01-31,1057.558
2001-02-28,700.589
2001-03-30,721.554
2001-04-30,979.198
2001-05-31,866.129
2001-06-29,693.235
2001-07-31,665.878
2001-08-31,507.572
2001-09-28,512.245
2001-10-31,650.967
2001-11-30,720.979
2001-12-31,780.921
2002-01-31,709.57
2002-02-28,667.483
2002-03-29,669.823
2002-04-30,541.068
2002-05-31,501.08
2002-06-28,509.102
2002-07-31,431.976
2002-08-30,456.955
2002-09-30,449.01
2002-10-31,565.055
2002-11-29,643.902
2002-12-31,532.508
2003-01-31,470.793
2003-02-28,451.72
2003-03-31,470.473
2003-04-30,574.31
2003-05-30,605.747
2003-06-30,561.282
2003-07-31,531.733
2003-08-29,566.381
2003-09-30,532.909
2003-10-31,587.67
2003-11-28,619.314
2003-12-31,596.658
2004-01-30,699.532
2004-02-27,740.605
2004-03-31,703.694
2004-04-30,502.893
2004-05-31,496.477
2004-06-30,514.541
2004-07-30,422.003
2004-08-31,426.688
2004-09-30,492.886
2004-10-29,547.153
2004-11-30,582.656
2004-12-31,569.339
2005-01-31,549.185
2005-02-28,584.103
2005-03-31,561.748
2005-04-29,573.935
2005-05-31,597.794
2005-06-30,595.489
2005-07-29,581.597
2005-08-31,575.882
2005-09-30,610.647
2005-10-31,593.435
2005-11-30,604.343
2005-12-30,641.67
2006-01-31,656.595
2006-02-28,677.303
2006-03-31,757.548
2006-04-28,813.228
2006-05-31,765.724
2006-06-30,739.448
2006-07-31,733.008
2006-08-31,768.697
2006-09-29,739.09
2006-10-31,751.404
2006-11-30,760.219
2006-12-29,767.044
2007-01-31,805.448
2007-02-28,806.025
2007-03-30,849.432
2007-04-30,925.404
2007-05-31,1000.0
2007-06-29,1001.801
2007-07-31,1017.725
2007-08-31,1115.997
2007-09-28,1263.532
2007-10-31,1315.232
2007-11-30,1311.118
2007-12-31,1269.859
2008-01-31,1178.278
2008-02-29,1197.931
2008-03-31,1066.876
2008-04-30,1058.241
2008-05-30,1042.113
2008-06-30,916.442
2008-07-31,983.84
2008-08-29,907.599
2008-09-30,677.244
2008-10-31,567.258
2008-11-28,511.221
2008-12-31,552.371
2009-01-30,453.252
2009-02-27,361.347
2009-03-31,433.606
2009-04-30,542.169
2009-05-29,580.98
2009-06-30,554.707
2009-07-31,521.578
2009-08-31,561.476
2009-09-30,585.403
2009-10-30,520.098
2009-11-30,536.576
2009-12-31,534.582
2010-01-29,565.876
2010-02-26,548.589
2010-03-31,615.44
2010-04-30,518.53
2010-05-31,450.568
2010-06-30,389.849
2010-07-30,434.314
2010-08-31,413.104
2010-09-30,477.352
2010-10-29,509.159
2010-11-30,446.313
2010-12-31,497.218
2011-01-31,513.903
2011-02-28,466.104
2011-03-31,479.393
2011-04-29,515.679
2011-05-31,456.979
2011-06-30,432.012
2011-07-29,396.342
2011-08-31,411.135
2011-09-30,357.47
2011-10-31,405.293
2011-11-30,367.464
2011-12-30,331.496
2012-01-31,343.201
2012-02-29,371.404
2012-03-30,372.305
2012-04-30,320.481
2012-05-31,269.653
2012-06-29,270.877
2012-07-31,277.327
2012-08-31,301.244
2012-09-28,310.332
2012-10-31,318.342
2012-11-30,339.962
2012-12-31,356.179
2013-01-31,380.308
2013-02-28,377.293
2013-03-29,372.093
2013-04-30,393.085
2013-05-31,398.418
2013-06-28,389.294
2013-07-31,408.389
2013-08-30,408.875
2013-09-30,509.729
2013-10-31,550.52
2013-11-29,570.507
2013-12-31,575.216
2014-01-31,519.745
2014-02-28,565.522
2014-03-31,561.076
2014-04-30,565.152
2014-05-30,588.083
2014-06-30,593.389
2014-07-31,598.049
2014-08-29,609.625
2014-09-30,601.99
2014-10-31,596.596
2014-11-28,616.78
2014-12-31,583.622
2015-01-30,579.351
2015-02-27,606.946
2015-03-31,583.295
2015-04-30,552.246
2015-05-29,559.142
2015-06-30,536.894
2015-07-31,559.631
2015-08-31,517.337
2015-09-30,524.629
