Date,FINLAND LARGE GROWTH Large Cap
2001-01-01,1498.691
2001-01-02,1457.062
2001-01-03,1334.35
2001-01-04,1485.573
2001-01-05,1503.353
2001-01-08,1450.577
2001-01-09,1318.32
2001-01-10,1304.001
2001-01-11,1397.516
2001-01-12,1428.133
2001-01-15,1416.418
2001-01-16,1337.164
2001-01-17,1386.773
2001-01-18,1402.001
2001-01-19,1378.929
2001-01-22,1346.303
2001-01-23,1326.501
2001-01-24,1318.965
2001-01-25,1278.982
2001-01-26,1270.303
2001-01-29,1249.794
2001-01-30,1183.649
2001-01-31,1213.848
2001-02-01,1170.545
2001-02-02,1145.285
2001-02-05,1123.529
2001-02-06,1156.46
2001-02-07,1089.73
2001-02-08,1054.744
2001-02-09,963.694
2001-02-12,1007.99
2001-02-13,988.983
2001-02-14,910.287
2001-02-15,984.422
2001-02-16,921.442
2001-02-19,899.742
2001-02-20,889.088
2001-02-21,849.02
2001-02-22,781.489
2001-02-23,727.36
2001-02-26,752.122
2001-02-27,776.776
2001-02-28,768.509
2001-03-01,764.347
2001-03-02,828.172
2001-03-05,866.738
2001-03-06,911.274
2001-03-07,883.765
2001-03-08,837.6
2001-03-09,816.24
2001-03-12,740.44
2001-03-13,764.672
2001-03-14,758.918
2001-03-15,847.605
2001-03-16,823.275
2001-03-19,855.255
2001-03-20,904.041
2001-03-21,854.922
2001-03-22,799.823
2001-03-23,879.219
2001-03-26,925.147
2001-03-27,885.31
2001-03-28,858.443
2001-03-29,803.345
2001-03-30,801.595
2001-04-02,796.374
2001-04-03,745.638
2001-04-04,758.005
2001-04-05,810.037
2001-04-06,802.751
2001-04-09,808.333
2001-04-10,854.382
2001-04-11,893.597
2001-04-12,902.486
2001-04-13,902.486
2001-04-16,893.244
2001-04-17,851.218
2001-04-18,957.409
2001-04-19,999.178
2001-04-20,1041.702
2001-04-23,1019.675
2001-04-24,1007.413
2001-04-25,994.449
2001-04-26,1014.186
2001-04-27,1062.714
2001-04-30,1107.498
2001-05-01,1113.369
2001-05-02,1120.74
2001-05-03,1087.648
2001-05-04,1100.258
2001-05-07,1103.731
2001-05-08,1080.053
2001-05-09,1056.852
2001-05-10,1102.6
2001-05-11,1060.384
2001-05-14,1021.317
2001-05-15,1030.991
2001-05-16,1030.377
2001-05-17,1090.755
2001-05-18,1118.324
2001-05-21,1127.016
2001-05-22,1133.788
2001-05-23,1094.064
2001-05-24,1089.933
2001-05-25,1054.954
2001-05-28,1053.191
2001-05-29,1028.031
2001-05-30,982.59
2001-05-31,965.123
2001-06-01,963.607
2001-06-04,970.937
2001-06-05,1010.539
2001-06-06,1014.673
2001-06-07,1015.026
2001-06-08,1006.203
2001-06-11,962.771
2001-06-12,755.969
2001-06-13,803.387
2001-06-14,755.203
2001-06-15,753.399
2001-06-18,751.629
2001-06-19,767.733
2001-06-20,745.099
2001-06-21,759.122
2001-06-22,759.878
2001-06-25,758.688
