Date,FINLAND LARGE GROWTH Large Cap
1994-05-31,55.334
1994-06-30,58.892
1994-07-29,67.384
1994-08-31,76.351
1994-09-30,80.046
1994-10-31,95.613
1994-11-30,85.805
1994-12-30,93.522
1995-01-31,91.443
1995-02-28,89.592
1995-03-31,91.904
1995-04-28,103.376
1995-05-31,112.395
1995-06-30,137.552
1995-07-31,155.344
1995-08-31,155.376
1995-09-29,159.352
1995-10-31,132.778
1995-11-30,126.627
1995-12-29,95.134
1996-01-31,92.878
1996-02-29,86.165
1996-03-29,86.741
1996-04-30,89.897
1996-05-31,102.995
1996-06-28,88.635
1996-07-31,85.647
1996-08-30,101.185
1996-09-30,105.693
1996-10-31,112.856
1996-11-29,132.837
1996-12-31,137.755
1997-01-31,156.903
1997-02-28,145.409
1997-03-31,143.973
1997-04-30,147.718
1997-05-30,155.167
1997-06-30,174.867
1997-07-31,200.865
1997-08-29,181.38
1997-09-30,221.608
1997-10-31,201.328
1997-11-28,186.133
1997-12-31,164.839
1998-01-30,181.603
1998-02-27,231.511
1998-03-31,248.626
1998-04-30,310.136
1998-05-29,303.953
1998-06-30,340.573
1998-07-31,406.278
1998-08-31,331.002
1998-09-30,367.445
1998-10-30,421.186
1998-11-30,454.674
1998-12-31,566.065
1999-01-29,657.284
1999-02-26,616.976
1999-03-31,710.462
1999-04-30,705.991
1999-05-31,664.041
1999-06-30,799.068
1999-07-30,805.938
1999-08-31,776.881
1999-09-30,847.773
1999-10-29,1049.58
1999-11-30,1318.841
1999-12-31,1754.38
2000-01-31,1765.401
2000-02-29,1946.206
2000-03-31,2005.592
2000-04-28,2090.858
2000-05-31,1885.312
2000-06-30,1846.782
2000-07-31,1595.899
2000-08-31,1553.164
2000-09-29,1406.608
2000-10-31,1407.78
2000-11-30,1419.169
2000-12-29,1498.691
2001-01-31,1213.848
2001-02-28,768.509
2001-03-30,801.595
2001-04-30,1107.498
2001-05-31,965.123
2001-06-29,760.091
2001-07-31,731.213
2001-08-31,518.186
2001-09-28,533.674
2001-10-31,694.197
2001-11-30,776.023
2001-12-31,851.419
2002-01-31,761.436
2002-02-28,705.453
2002-03-29,709.296
2002-04-30,548.055
2002-05-31,482.414
2002-06-28,493.964
2002-07-31,420.216
2002-08-30,450.795
2002-09-30,448.595
2002-10-31,573.187
2002-11-29,651.3
2002-12-31,536.561
2003-01-31,473.888
2003-02-28,451.051
2003-03-31,473.039
2003-04-30,579.325
2003-05-30,616.188
2003-06-30,563.874
2003-07-31,524.929
2003-08-29,560.907
2003-09-30,527.167
2003-10-31,581.57
2003-11-28,616.919
2003-12-31,592.15
2004-01-30,706.57
2004-02-27,750.08
2004-03-31,711.111
2004-04-30,488.227
2004-05-31,484.217
2004-06-30,500.582
2004-07-30,398.04
2004-08-31,405.586
2004-09-30,477.404
2004-10-29,533.526
2004-11-30,564.349
2004-12-31,547.937
2005-01-31,531.362
2005-02-28,565.469
2005-03-31,539.241
2005-04-29,562.562
