Date,FINLAND MID GROWTH Mid Cap
2001-01-01,1059.807
2001-01-02,1034.849
2001-01-03,968.912
2001-01-04,1003.18
2001-01-05,1039.601
2001-01-08,1036.701
2001-01-09,1020.278
2001-01-10,997.155
2001-01-11,1049.436
2001-01-12,1081.514
2001-01-15,1081.71
2001-01-16,1030.778
2001-01-17,1057.133
2001-01-18,1079.517
2001-01-19,1073.266
2001-01-22,1064.548
2001-01-23,1069.63
2001-01-24,1035.999
2001-01-25,1015.745
2001-01-26,977.08
2001-01-29,954.996
2001-01-30,997.371
2001-01-31,1020.663
2001-02-01,1008.878
2001-02-02,958.05
2001-02-05,1005.002
2001-02-06,1015.888
2001-02-07,988.347
2001-02-08,994.156
2001-02-09,976.267
2001-02-12,965.613
2001-02-13,965.733
2001-02-14,929.953
2001-02-15,978.267
2001-02-16,973.404
2001-02-19,959.252
2001-02-20,965.25
2001-02-21,969.263
2001-02-22,931.532
2001-02-23,890.492
2001-02-26,903.715
2001-02-27,929.169
2001-02-28,864.13
2001-03-01,870.445
2001-03-02,883.475
2001-03-05,871.731
2001-03-06,936.613
2001-03-07,925.826
2001-03-08,927.186
2001-03-09,920.085
2001-03-12,888.956
2001-03-13,857.303
2001-03-14,856.138
2001-03-15,873.758
2001-03-16,833.34
2001-03-19,804.949
2001-03-20,812.901
2001-03-21,781.539
2001-03-22,743.137
2001-03-23,785.436
2001-03-26,823.91
2001-03-27,838.304
2001-03-28,828.48
2001-03-29,774.15
2001-03-30,800.035
2001-04-02,767.264
2001-04-03,778.934
2001-04-04,781.092
2001-04-05,785.009
2001-04-06,798.375
2001-04-09,803.737
2001-04-10,800.404
2001-04-11,834.272
2001-04-12,842.571
2001-04-13,842.571
2001-04-16,833.942
2001-04-17,800.901
2001-04-18,824.718
2001-04-19,839.34
2001-04-20,828.662
2001-04-23,861.306
2001-04-24,884.644
2001-04-25,911.971
2001-04-26,979.023
2001-04-27,1002.92
2001-04-30,1049.404
2001-05-01,1054.967
2001-05-02,1058.937
2001-05-03,1033.378
2001-05-04,1018.166
2001-05-07,1021.409
2001-05-08,1025.635
2001-05-09,1012.811
2001-05-10,1046.491
2001-05-11,1046.302
2001-05-14,1034.782
2001-05-15,1025.355
2001-05-16,1036.766
2001-05-17,1043.88
2001-05-18,1045.434
2001-05-21,1045.507
2001-05-22,1070.633
2001-05-23,1047.715
2001-05-24,1043.759
2001-05-25,1036.844
2001-05-28,1028.285
2001-05-29,1016.276
2001-05-30,979.687
2001-05-31,963.565
2001-06-01,944.977
2001-06-04,955.096
2001-06-05,983.614
2001-06-06,977.613
2001-06-07,973.649
2001-06-08,970.103
2001-06-11,939.259
2001-06-12,899.548
2001-06-13,910.037
2001-06-14,903.467
2001-06-15,876.339
2001-06-18,872.855
2001-06-19,878.172
2001-06-20,847.37
2001-06-21,847.897
2001-06-22,848.741
2001-06-25,854.141
2001-06-26,814.444
2001-06-27,823.476
2001-06-28,830.34
2001-06-29,850.132
2001-07-02,878.526
2001-07-03,867.731
2001-07-04,839.974
2001-07-05,825.677
2001-07-06,795.577
2001-07-09,785.944
2001-07-10,795.948
2001-07-11,762.842
2001-07-12,776.928
2001-07-13,795.029
2001-07-16,805.476
2001-07-17,782.298
2001-07-18,786.681
2001-07-19,799.209
2001-07-20,805.597
2001-07-23,774.511
2001-07-24,766.182
2001-07-25,755.542
2001-07-26,772.118
2001-07-27,799.885
2001-07-30,818.977
2001-07-31,878.74
2001-08-01,850.958
2001-08-02,854.38
2001-08-03,847.665
2001-08-06,833.756
2001-08-07,836.323
2001-08-08,820.841
2001-08-09,806.689
2001-08-10,806.825
2001-08-13,822.816
2001-08-14,825.153
2001-08-15,830.585
2001-08-16,790.837
2001-08-17,770.876
2001-08-20,754.232
2001-08-21,743.852
2001-08-22,758.73
2001-08-23,758.673
2001-08-24,777.494
2001-08-27,778.402
2001-08-28,704.544
2001-08-29,702.583
2001-08-30,666.683
2001-08-31,657.963
2001-09-03,637.143
2001-09-04,605.027
2001-09-05,588.923
2001-09-06,580.241
2001-09-07,593.625
2001-09-10,585.311
2001-09-11,569.368
2001-09-12,596.859
2001-09-13,596.72
2001-09-14,595.534
