Date,FINLAND MID GROWTH Mid Cap
2001-01-01,1014.598
2001-01-02,990.705
2001-01-03,927.581
2001-01-04,960.386
2001-01-05,995.254
2001-01-08,992.478
2001-01-09,976.756
2001-01-10,954.618
2001-01-11,1004.67
2001-01-12,1035.379
2001-01-15,1035.567
2001-01-16,986.808
2001-01-17,1012.038
2001-01-18,1033.467
2001-01-19,1027.483
2001-01-22,1019.137
2001-01-23,1024.002
2001-01-24,991.806
2001-01-25,972.415
2001-01-26,935.4
2001-01-29,914.258
2001-01-30,954.825
2001-01-31,977.124
2001-02-01,965.842
2001-02-02,917.182
2001-02-05,962.131
2001-02-06,972.553
2001-02-07,946.187
2001-02-08,951.748
2001-02-09,934.622
2001-02-12,924.422
2001-02-13,924.537
2001-02-14,890.283
2001-02-15,936.536
2001-02-16,931.881
2001-02-19,918.332
2001-02-20,924.075
2001-02-21,927.916
2001-02-22,891.795
2001-02-23,852.505
2001-02-26,864.275
2001-02-27,888.618
2001-02-28,826.417
2001-03-01,832.456
2001-03-02,844.918
2001-03-05,833.686
2001-03-06,895.737
2001-03-07,885.421
2001-03-08,886.722
2001-03-09,879.93
2001-03-12,850.16
2001-03-13,819.888
2001-03-14,818.774
2001-03-15,835.625
2001-03-16,796.971
2001-03-19,769.819
2001-03-20,777.424
2001-03-21,747.43
2001-03-22,710.704
2001-03-23,748.777
2001-03-26,785.455
2001-03-27,799.177
2001-03-28,789.811
2001-03-29,737.647
2001-03-30,762.311
2001-04-02,731.086
2001-04-03,742.206
2001-04-04,744.262
2001-04-05,747.994
2001-04-06,760.73
2001-04-09,765.839
2001-04-10,762.663
2001-04-11,794.934
2001-04-12,802.842
2001-04-13,802.842
2001-04-16,794.62
2001-04-17,763.137
2001-04-18,785.831
2001-04-19,799.763
2001-04-20,789.588
2001-04-23,820.693
2001-04-24,842.931
2001-04-25,868.969
2001-04-26,932.86
2001-04-27,955.63
2001-04-30,999.922
2001-05-01,1005.223
2001-05-02,1009.006
2001-05-03,984.652
2001-05-04,970.157
2001-05-07,973.247
2001-05-08,977.274
2001-05-09,965.054
2001-05-10,997.147
2001-05-11,996.966
2001-05-14,985.99
2001-05-15,977.007
2001-05-16,987.88
2001-05-17,994.659
2001-05-18,996.14
2001-05-21,996.209
2001-05-22,1020.15
2001-05-23,998.313
2001-05-24,994.543
2001-05-25,987.955
2001-05-28,979.8
2001-05-29,968.357
2001-05-30,933.492
2001-05-31,918.131
2001-06-01,900.419
2001-06-04,910.061
2001-06-05,937.234
2001-06-06,931.516
2001-06-07,927.74
2001-06-08,924.361
2001-06-11,894.971
2001-06-12,857.133
2001-06-13,867.127
2001-06-14,860.867
2001-06-15,835.018
2001-06-18,831.698
2001-06-19,836.764
2001-06-20,807.415
2001-06-21,807.917
2001-06-22,808.721
2001-06-25,813.866
2001-06-26,776.041
2001-06-27,784.647
2001-06-28,791.187
2001-06-29,810.046
2001-07-02,837.102
2001-07-03,826.816
2001-07-04,800.367
2001-07-05,786.744
2001-07-06,758.064
2001-07-09,748.885
2001-07-10,758.418
2001-07-11,726.873
2001-07-12,740.295
2001-07-13,757.542
2001-07-16,767.496
2001-07-17,745.411
2001-07-18,749.587
2001-07-19,761.524
2001-07-20,767.611
2001-07-23,737.991
2001-07-24,730.055
2001-07-25,719.916
2001-07-26,735.711
2001-07-27,762.168
2001-07-30,780.36
2001-07-31,837.305
2001-08-01,810.834
2001-08-02,814.094
2001-08-03,807.696
2001-08-06,794.442
2001-08-07,796.889
2001-08-08,782.137
2001-08-09,768.652
2001-08-10,768.781
2001-08-13,784.019
2001-08-14,786.245
2001-08-15,791.422
2001-08-16,753.547
2001-08-17,734.528
2001-08-20,718.668
2001-08-21,708.778
2001-08-22,722.954
2001-08-23,722.9
2001-08-24,740.834
2001-08-27,741.699
2001-08-28,671.323
2001-08-29,669.455
2001-08-30,635.248
2001-08-31,626.938
2001-09-03,607.1
2001-09-04,576.498
2001-09-05,561.154
2001-09-06,552.881
2001-09-07,565.634
2001-09-10,557.712
2001-09-11,542.521
2001-09-12,568.715
2001-09-13,568.583
2001-09-14,567.453
2001-09-17,555.256
2001-09-18,564.163
2001-09-19,581.386
2001-09-20,561.45
2001-09-21,522.14
2001-09-24,527.466
2001-09-25,550.585
2001-09-26,568.326
2001-09-27,549.764
2001-09-28,576.765
2001-10-01,579.269
2001-10-02,578.977
2001-10-03,584.056
2001-10-04,618.275
2001-10-05,637.216
2001-10-08,640.389
2001-10-09,642.74
2001-10-10,637.323
2001-10-11,651.301
2001-10-12,642.703
2001-10-15,633.98
2001-10-16,634.099
2001-10-17,661.198
2001-10-18,642.473
2001-10-19,629.283
2001-10-22,621.704
2001-10-23,650.769
2001-10-24,664.888
2001-10-25,631.298
2001-10-26,642.155
2001-10-29,638.269
2001-10-30,618.863
2001-10-31,641.785
2001-11-01,641.81
2001-11-02,656.617
2001-11-05,680.289
2001-11-06,700.792
2001-11-07,698.588
2001-11-08,711.545
2001-11-09,692.762
2001-11-12,687.759
2001-11-13,692.362
2001-11-14,689.137
2001-11-15,695.236
2001-11-16,718.061
2001-11-19,719.609
2001-11-20,706.622
2001-11-21,707.419
2001-11-22,709.416
2001-11-23,712.029
2001-11-26,711.22
2001-11-27,685.756
2001-11-28,690.845
2001-11-29,685.09
2001-11-30,704.245
2001-12-03,690.537
2001-12-04,696.359
2001-12-05,706.279
2001-12-06,708.704
2001-12-07,729.543
2001-12-10,725.783
2001-12-11,725.524
2001-12-12,727.066
2001-12-13,714.075
2001-12-14,711.295
2001-12-17,711.533
2001-12-18,719.966
2001-12-19,709.133
2001-12-20,702.145
2001-12-21,698.928
2001-12-24,691.954
2001-12-25,691.954
2001-12-26,692.545
2001-12-27,699.025
2001-12-28,701.728
2001-12-31,708.572
2002-01-01,708.572
2002-01-02,718.399
2002-01-03,733.467
2002-01-04,751.209
2002-01-07,757.588
2002-01-08,750.406
2002-01-09,736.796
2002-01-10,730.154
2002-01-11,723.497
2002-01-14,709.1
2002-01-15,694.413
2002-01-16,679.475
2002-01-17,685.318
2002-01-18,694.051
2002-01-21,671.985
2002-01-22,679.307
2002-01-23,666.592
2002-01-24,673.747
2002-01-25,662.492
2002-01-28,663.386
2002-01-29,669.955
2002-01-30,646.892
2002-01-31,658.828
2002-02-01,664.979
2002-02-04,671.694
2002-02-05,663.092
2002-02-06,648.566
2002-02-07,648.869
2002-02-08,646.086
2002-02-11,655.528
2002-02-12,656.83
2002-02-13,662.169
2002-02-14,681.773
2002-02-15,685.436
2002-02-18,677.848
2002-02-19,674.182
2002-02-20,663.718
2002-02-21,664.831
2002-02-22,667.447
2002-02-25,670.152
2002-02-26,671.035
2002-02-27,664.599
2002-02-28,659.606
2002-03-01,664.099
2002-03-04,687.025
2002-03-05,688.539
2002-03-06,696.507
2002-03-07,709.628
2002-03-08,711.944
2002-03-11,706.813
2002-03-12,700.852
2002-03-13,703.483
2002-03-14,702.491
2002-03-15,703.081
2002-03-18,711.167
2002-03-19,710.287
2002-03-20,713.048
2002-03-21,705.259
2002-03-22,711.554
2002-03-25,712.256
2002-03-26,708.79
2002-03-27,706.031
2002-03-28,705.748
2002-03-29,705.748
2002-04-01,711.532
2002-04-02,712.506
2002-04-03,716.484
2002-04-04,709.132
2002-04-05,706.484
2002-04-08,693.317
2002-04-09,697.185
2002-04-10,699.359
2002-04-11,692.484
2002-04-12,683.023
2002-04-15,692.007
2002-04-16,698.548
2002-04-17,706.782
2002-04-18,699.378
2002-04-19,688.716
2002-04-22,675.908
2002-04-23,665.719
2002-04-24,663.202
2002-04-25,663.488
2002-04-26,678.287
2002-04-29,677.132
2002-04-30,676.452
2002-05-01,680.281
2002-05-02,683.327
2002-05-03,676.642
2002-05-06,669.647
2002-05-07,652.726
2002-05-08,675.646
2002-05-09,675.497
2002-05-10,670.851
2002-05-13,671.479
2002-05-14,664.625
2002-05-15,678.624
2002-05-16,681.418
2002-05-17,690.339
2002-05-20,683.424
2002-05-21,679.84
2002-05-22,678.523
2002-05-23,681.732
2002-05-24,679.778
2002-05-27,673.964
2002-05-28,680.627
2002-05-29,681.025
2002-05-30,668.827
2002-05-31,672.332
2002-06-03,667.554
2002-06-04,659.642
2002-06-05,678.329
2002-06-06,677.609
2002-06-07,661.024
2002-06-10,667.573
2002-06-11,683.698
2002-06-12,682.861
2002-06-13,685.424
2002-06-14,665.482
2002-06-17,680.138
2002-06-18,686.081
2002-06-19,678.214
2002-06-20,641.026
2002-06-21,644.15
2002-06-24,612.377
2002-06-25,642.054
2002-06-26,643.55
2002-06-27,648.352
2002-06-28,675.037
2002-07-01,695.954
2002-07-02,673.418
2002-07-03,631.991
2002-07-04,660.794
2002-07-05,684.868
2002-07-08,710.35
2002-07-09,703.54
2002-07-10,683.329
2002-07-11,657.688
2002-07-12,672.392
2002-07-15,672.993
2002-07-16,666.397
2002-07-17,682.664
2002-07-18,684.064
2002-07-19,680.648
2002-07-22,663.271
2002-07-23,618.221
2002-07-24,589.079
2002-07-25,667.083
2002-07-26,643.753
2002-07-29,686.119
2002-07-30,684.929
2002-07-31,668.409
2002-08-01,668.749
2002-08-02,650.523
2002-08-05,608.822
2002-08-06,598.993
2002-08-07,628.922
2002-08-08,635.591
2002-08-09,646.331
2002-08-12,646.288
2002-08-13,659.281
2002-08-14,682.062
2002-08-15,690.916
2002-08-16,688.14
2002-08-19,691.782
2002-08-20,717.681
2002-08-21,734.044
2002-08-22,750.039
2002-08-23,736.273
2002-08-26,728.073
2002-08-27,739.825
2002-08-28,721.874
2002-08-29,716.535
2002-08-30,711.143
2002-09-02,697.784
2002-09-03,679.816
2002-09-04,674.752
2002-09-05,692.328
2002-09-06,701.387
2002-09-09,696.954
2002-09-10,708.366
2002-09-11,710.78
2002-09-12,700.296
2002-09-13,692.671
2002-09-16,690.306
2002-09-17,683.737
2002-09-18,658.87
2002-09-19,659.822
2002-09-20,645.423
2002-09-23,629.42
2002-09-24,596.582
2002-09-25,603.625
2002-09-26,625.928
2002-09-27,651.806
2002-09-30,620.69
2002-10-01,641.513
2002-10-02,661.111
2002-10-03,663.019
2002-10-04,662.386
2002-10-07,651.95
2002-10-08,635.362
2002-10-09,641.01
2002-10-10,655.485
2002-10-11,679.388
2002-10-14,673.11
2002-10-15,692.897
2002-10-16,690.21
2002-10-17,685.089
2002-10-18,669.381
2002-10-21,680.543
2002-10-22,692.773
2002-10-23,687.833
2002-10-24,703.458
2002-10-25,733.602
2002-10-28,735.903
2002-10-29,707.282
2002-10-30,708.684
2002-10-31,726.911
2002-11-01,724.564
2002-11-04,758.074
2002-11-05,750.256
2002-11-06,759.703
2002-11-07,753.766
2002-11-08,765.12
2002-11-11,745.027
2002-11-12,758.719
2002-11-13,751.062
2002-11-14,812.851
2002-11-15,798.378
2002-11-18,816.452
2002-11-19,797.32
2002-11-20,801.653
2002-11-21,804.457
2002-11-22,801.134
2002-11-25,792.469
2002-11-26,798.226
2002-11-27,806.373
2002-11-28,811.766
2002-11-29,820.191
2005-05-31,507.993
2005-06-01,528.258
2005-06-02,519.703
2005-06-03,518.209
2005-06-06,512.633
2005-06-07,515.515
2005-06-08,528.032
2005-06-09,539.711
2005-06-10,547.446
2005-06-13,540.403
2005-06-14,537.097
2005-06-15,535.461
2005-06-16,548.947
2005-06-17,549.532
2005-06-20,547.062
2005-06-21,548.68
2005-06-22,562.893
2005-06-23,574.03
2005-06-24,575.768
2005-06-27,564.816
2005-06-28,576.052
2005-06-29,571.971
2005-06-30,569.743
2005-07-01,561.723
2005-07-04,560.105
2005-07-05,562.869
2005-07-06,557.35
2005-07-07,554.154
2005-07-08,556.496
2005-07-11,555.334
2005-07-12,557.418
2005-07-13,558.393
2005-07-14,566.15
2005-07-15,561.007
2005-07-18,555.791
2005-07-19,551.973
2005-07-20,555.087
2005-07-21,575.771
2005-07-22,596.034
2005-07-25,606.815
2005-07-26,620.083
2005-07-27,624.113
2005-07-28,622.655
2005-07-29,648.997
2005-08-01,655.792
2005-08-02,651.73
2005-08-03,653.631
2005-08-04,655.973
2005-08-05,656.622
2005-08-08,655.408
2005-08-09,654.401
2005-08-10,648.684
2005-08-11,645.782
2005-08-12,656.005
2005-08-15,644.384
2005-08-16,638.692
2005-08-17,625.152
2005-08-18,609.751
2005-08-19,602.772
2005-08-22,621.029
2005-08-23,628.954
2005-08-24,621.513
2005-08-25,624.573
2005-08-26,620.193
2005-08-29,616.142
2005-08-30,615.47
2005-08-31,622.626
2005-09-01,641.333
2005-09-02,638.874
2005-09-05,636.357
2005-09-06,635.895
2005-09-07,639.695
2005-09-08,644.117
2005-09-09,652.508
2005-09-12,644.65
2005-09-13,648.904
2005-09-14,642.346
2005-09-15,641.43
2005-09-16,628.907
2005-09-19,637.926
2005-09-20,649.131
2005-09-21,656.347
2005-09-22,668.398
2005-09-23,660.428
2005-09-26,644.683
2005-09-27,654.306
2005-09-28,653.719
2005-09-29,665.541
2005-09-30,663.826
2005-10-03,664.97
2005-10-04,656.897
2005-10-05,641.646
2005-10-06,643.384
2005-10-07,646.146
2005-10-10,645.212
2005-10-11,646.7
2005-10-12,646.491
2005-10-13,616.96
2005-10-14,603.127
2005-10-17,612.765
2005-10-18,596.217
2005-10-19,578.828
2005-10-20,588.308
2005-10-21,580.12
2005-10-24,612.863
2005-10-25,602.782
2005-10-26,610.058
2005-10-27,609.15
2005-10-28,605.987
2005-10-31,615.753
2005-11-01,609.326
2005-11-02,619.857
2005-11-03,625.997
2005-11-04,623.924
2005-11-07,616.566
2005-11-08,604.678
2005-11-09,603.095
2005-11-10,596.618
2005-11-11,593.515
2005-11-14,596.803
2005-11-15,589.883
2005-11-16,588.093
2005-11-17,590.834
2005-11-18,590.919
2005-11-21,604.746
2005-11-22,616.394
2005-11-23,621.571
2005-11-24,611.814
2005-11-25,615.965
2005-11-28,614.779
2005-11-29,604.435
2005-11-30,601.244
2005-12-01,600.026
2005-12-02,614.265
2005-12-05,622.05
2005-12-06,622.923
2005-12-07,632.531
2005-12-08,635.783
2005-12-09,645.136
2005-12-12,603.263
2005-12-13,615.989
2005-12-14,628.74
2005-12-15,627.478
2005-12-16,639.231
2005-12-19,632.963
2005-12-20,632.717
2005-12-21,626.085
2005-12-22,626.054
2005-12-23,628.86
2005-12-26,628.86
2005-12-27,634.992
2005-12-28,632.323
2005-12-29,629.049
2005-12-30,631.791
2006-01-02,632.732
2006-01-03,660.433
2006-01-04,666.992
2006-01-05,660.177
2006-01-06,663.125
2006-01-09,661.986
2006-01-10,661.203
2006-01-11,676.522
2006-01-12,677.752
2006-01-13,669.404
2006-01-16,681.313
2006-01-17,666.387
2006-01-18,672.408
2006-01-19,673.84
2006-01-20,681.254
2006-01-23,684.559
2006-01-24,680.746
2006-01-25,688.984
2006-01-26,682.61
2006-01-27,688.653
2006-01-30,687.222
