Date,FINLAND MID VALUE Mid Cap
2001-01-01,206.256
2001-01-02,211.232
2001-01-03,203.205
2001-01-04,206.782
2001-01-05,210.464
2001-01-08,209.634
2001-01-09,200.591
2001-01-10,196.499
2001-01-11,197.593
2001-01-12,199.997
2001-01-15,198.856
2001-01-16,196.136
2001-01-17,197.811
2001-01-18,200.132
2001-01-19,199.866
2001-01-22,197.671
2001-01-23,198.722
2001-01-24,194.148
2001-01-25,190.672
2001-01-26,189.11
2001-01-29,188.743
2001-01-30,190.737
2001-01-31,192.822
2001-02-01,195.077
2001-02-02,194.895
2001-02-05,195.643
2001-02-06,197.751
2001-02-07,193.14
2001-02-08,193.066
2001-02-09,190.533
2001-02-12,191.083
2001-02-13,188.415
2001-02-14,185.668
2001-02-15,184.624
2001-02-16,185.436
2001-02-19,188.835
2001-02-20,186.491
2001-02-21,184.91
2001-02-22,182.623
2001-02-23,181.489
2001-02-26,183.956
2001-02-27,189.202
2001-02-28,190.86
2001-03-01,193.1
2001-03-02,194.246
2001-03-05,195.954
2001-03-06,196.912
2001-03-07,196.252
2001-03-08,197.212
2001-03-09,197.009
2001-03-12,196.066
2001-03-13,189.391
2001-03-14,185.979
2001-03-15,187.418
2001-03-16,183.331
2001-03-19,183.516
2001-03-20,183.06
2001-03-21,180.293
2001-03-22,172.068
2001-03-23,174.736
2001-03-26,179.619
2001-03-27,179.807
2001-03-28,178.813
2001-03-29,174.212
2001-03-30,175.698
2001-04-02,174.651
2001-04-03,174.399
2001-04-04,174.232
2001-04-05,173.782
2001-04-06,174.999
2001-04-09,176.626
2001-04-10,175.983
2001-04-11,177.733
2001-04-12,179.501
2001-04-13,179.501
2001-04-16,177.663
2001-04-17,174.566
2001-04-18,177.222
2001-04-19,181.914
2001-04-20,185.699
2001-04-23,187.363
2001-04-24,187.142
2001-04-25,186.858
2001-04-26,190.584
2001-04-27,187.292
2001-04-30,195.455
2001-05-01,196.491
2001-05-02,194.207
2001-05-03,191.157
2001-05-04,192.529
2001-05-07,191.098
2001-05-08,189.157
2001-05-09,189.918
2001-05-10,193.955
2001-05-11,192.306
2001-05-14,190.778
2001-05-15,195.74
2001-05-16,195.016
2001-05-17,198.803
2001-05-18,198.598
2001-05-21,195.155
2001-05-22,192.709
2001-05-23,190.67
2001-05-24,189.95
2001-05-25,192.325
2001-05-28,193.2
2001-05-29,189.795
2001-05-30,187.826
2001-05-31,187.181
2001-06-01,187.302
2001-06-04,186.117
2001-06-05,186.621
2001-06-06,187.797
2001-06-07,189.086
2001-06-08,189.894
2001-06-11,185.775
2001-06-12,184.46
2001-06-13,181.072
2001-06-14,182.933
2001-06-15,178.77
2001-06-18,180.787
2001-06-19,183.773
2001-06-20,179.51
2001-06-21,182.155
2001-06-22,182.336
2001-06-25,184.787
2001-06-26,183.843
2001-06-27,181.632
2001-06-28,181.711
2001-06-29,181.22
2001-07-02,181.581
2001-07-03,183.621
2001-07-04,185.86
2001-07-05,183.587
2001-07-06,182.526
2001-07-09,185.855
2001-07-10,187.484
2001-07-11,186.263
2001-07-12,182.364
2001-07-13,184.07
2001-07-16,183.778
2001-07-17,180.946
2001-07-18,186.282
2001-07-19,187.35
2001-07-20,187.057
2001-07-23,185.744
2001-07-24,186.049
2001-07-25,182.735
2001-07-26,181.904
2001-07-27,181.61
2001-07-30,180.327
2001-07-31,177.866
2001-08-01,183.938
2001-08-02,187.416
2001-08-03,188.046
2001-08-06,187.808
2001-08-07,186.722
2001-08-08,184.416
2001-08-09,184.401
2001-08-10,184.208
2001-08-13,188.649
2001-08-14,186.34
2001-08-15,187.681
2001-08-16,189.015
2001-08-17,187.884
2001-08-20,186.087
2001-08-21,188.006
2001-08-22,190.637
2001-08-23,190.638
2001-08-24,192.187
2001-08-27,191.971
2001-08-28,190.829
2001-08-29,189.472
2001-08-30,188.511
2001-08-31,191.882
2001-09-03,188.509
2001-09-04,187.989
2001-09-05,188.896
2001-09-06,189.072
2001-09-07,188.401
2001-09-10,184.027
2001-09-11,180.729
2001-09-12,176.238
2001-09-13,178.792
2001-09-14,177.865
2001-09-17,174.718
2001-09-18,175.327
2001-09-19,178.396
2001-09-20,172.78
2001-09-21,168.034
2001-09-24,169.122
2001-09-25,172.135
2001-09-26,173.134
2001-09-27,173.789
2001-09-28,172.624
2001-10-01,176.36
2001-10-02,178.188
2001-10-03,177.181
2001-10-04,179.731
2001-10-05,180.591
2001-10-08,179.575
2001-10-09,183.403
2001-10-10,181.218
2001-10-11,183.161
2001-10-12,184.112
2001-10-15,183.098
2001-10-16,183.168
2001-10-17,183.13
2001-10-18,181.292
2001-10-19,181.967
2001-10-22,180.285
2001-10-23,182.993
2001-10-24,185.763
2001-10-25,186.965
2001-10-26,184.366
2001-10-29,186.639
2001-10-30,185.879
2001-10-31,188.978
2001-11-01,186.059
2001-11-02,184.332
2001-11-05,183.994
2001-11-06,183.35
2001-11-07,182.835
2001-11-08,182.761
2001-11-09,181.78
2001-11-12,183.105
2001-11-13,179.707
2001-11-14,181.327
2001-11-15,177.654
2001-11-16,179.05
2001-11-19,176.981
2001-11-20,176.952
2001-11-21,178.328
2001-11-22,179.327
2001-11-23,176.774
2001-11-26,179.534
2001-11-27,180.545
2001-11-28,181.182
2001-11-29,181.848
2001-11-30,184.823
2001-12-03,179.23
2001-12-04,179.87
2001-12-05,179.316
2001-12-06,179.932
2001-12-07,180.103
2001-12-10,180.502
2001-12-11,180.849
2001-12-12,180.709
2001-12-13,179.94
2001-12-14,183.051
2001-12-17,182.612
2001-12-18,183.908
2001-12-19,182.906
2001-12-20,180.638
