Date,FINLAND SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,101.249
2001-01-03,98.706
2001-01-04,101.07
2001-01-05,103.562
2001-01-08,102.776
2001-01-09,98.163
2001-01-10,96.947
2001-01-11,99.192
2001-01-12,101.441
2001-01-15,102.074
2001-01-16,101.002
2001-01-17,103.385
2001-01-18,105.046
2001-01-19,106.286
2001-01-22,105.211
2001-01-23,104.438
2001-01-24,102.108
2001-01-25,100.887
2001-01-26,95.215
2001-01-29,94.945
2001-01-30,95.691
2001-01-31,98.57
2001-02-01,99.808
2001-02-02,100.044
2001-02-05,100.842
2001-02-06,98.687
2001-02-07,96.407
2001-02-08,94.377
2001-02-09,93.368
2001-02-12,92.308
2001-02-13,91.655
2001-02-14,90.798
2001-02-15,90.324
2001-02-16,90.537
2001-02-19,91.092
2001-02-20,89.912
2001-02-21,90.898
2001-02-22,88.979
2001-02-23,88.761
2001-02-26,88.904
2001-02-27,90.94
2001-02-28,90.811
2001-03-01,91.542
2001-03-02,91.998
2001-03-05,92.0
2001-03-06,93.863
2001-03-07,93.843
2001-03-08,96.019
2001-03-09,95.709
2001-03-12,94.189
2001-03-13,92.104
2001-03-14,90.929
2001-03-15,90.156
2001-03-16,89.027
2001-03-19,88.53
2001-03-20,90.146
2001-03-21,88.281
2001-03-22,85.995
2001-03-23,86.081
2001-03-26,86.798
2001-03-27,87.282
2001-03-28,87.702
2001-03-29,86.501
2001-03-30,86.74
2001-04-02,86.683
2001-04-03,86.649
2001-04-04,87.233
2001-04-05,87.988
2001-04-06,88.237
2001-04-09,89.001
2001-04-10,89.154
2001-04-11,90.372
2001-04-12,91.271
2001-04-13,91.271
2001-04-16,90.337
2001-04-17,91.358
2001-04-18,91.695
2001-04-19,93.444
2001-04-20,95.132
2001-04-23,93.137
2001-04-24,92.019
2001-04-25,92.894
2001-04-26,93.729
2001-04-27,95.021
2001-04-30,96.323
2001-05-01,96.834
2001-05-02,97.988
2001-05-03,99.221
2001-05-04,99.899
2001-05-07,99.727
2001-05-08,98.839
2001-05-09,99.122
2001-05-10,100.543
2001-05-11,100.194
2001-05-14,99.322
2001-05-15,100.313
2001-05-16,100.791
2001-05-17,102.351
2001-05-18,103.361
2001-05-21,103.384
2001-05-22,102.222
2001-05-23,101.458
2001-05-24,101.075
2001-05-25,101.041
2001-05-28,101.293
2001-05-29,100.613
2001-05-30,100.029
2001-05-31,97.677
2001-06-01,97.001
2001-06-04,96.754
2001-06-05,99.743
2001-06-06,100.139
2001-06-07,100.645
2001-06-08,100.294
2001-06-11,98.589
2001-06-12,96.285
2001-06-13,96.85
2001-06-14,96.431
2001-06-15,95.493
2001-06-18,93.434
2001-06-19,93.85
2001-06-20,92.816
2001-06-21,93.478
2001-06-22,93.571
2001-06-25,94.101
2001-06-26,92.829
2001-06-27,91.645
2001-06-28,89.614
2001-06-29,88.589
2001-07-02,90.536
2001-07-03,91.624
2001-07-04,91.43
2001-07-05,91.065
2001-07-06,90.195
2001-07-09,89.889
2001-07-10,91.4
2001-07-11,91.11
2001-07-12,90.752
2001-07-13,90.894
2001-07-16,91.71
2001-07-17,89.996
2001-07-18,92.325
2001-07-19,92.332
2001-07-20,92.72
2001-07-23,90.876
2001-07-24,92.831
2001-07-25,92.718
2001-07-26,91.97
2001-07-27,91.197
2001-07-30,91.974
2001-07-31,92.08
2001-08-01,92.283
2001-08-02,92.184
2001-08-03,92.689
2001-08-06,92.425
2001-08-07,90.116
2001-08-08,89.569
2001-08-09,89.01
2001-08-10,90.047
2001-08-13,91.14
2001-08-14,90.873
2001-08-15,92.941
2001-08-16,94.796
2001-08-17,94.73
2001-08-20,94.249
2001-08-21,94.744
2001-08-22,95.198
2001-08-23,94.702
2001-08-24,94.087
2001-08-27,93.52
2001-08-28,93.14
2001-08-29,92.623
2001-08-30,92.326
2001-08-31,93.042
2001-09-03,92.8
2001-09-04,90.456
2001-09-05,90.184
2001-09-06,89.451
2001-09-07,91.078
2001-09-10,88.876
2001-09-11,87.611
2001-09-12,87.563
2001-09-13,87.781
2001-09-14,87.607
2001-09-17,86.835
2001-09-18,86.516
2001-09-19,87.113
2001-09-20,85.41
2001-09-21,81.86
2001-09-24,82.663
2001-09-25,83.451
2001-09-26,83.155
2001-09-27,82.466
2001-09-28,83.148
2001-10-01,84.153
2001-10-02,84.737
2001-10-03,85.421
2001-10-04,86.043
2001-10-05,86.94
2001-10-08,86.746
2001-10-09,87.127
2001-10-10,86.96
2001-10-11,87.518
2001-10-12,88.152
2001-10-15,88.579
2001-10-16,88.348
2001-10-17,88.527
2001-10-18,87.66
2001-10-19,86.919
2001-10-22,86.401
2001-10-23,85.68
2001-10-24,88.093
2001-10-25,89.564
2001-10-26,88.916
2001-10-29,89.426
2001-10-30,88.849
2001-10-31,89.157
2001-11-01,88.294
2001-11-02,87.693
2001-11-05,87.442
2001-11-06,88.044
2001-11-07,88.433
2001-11-08,90.647
2001-11-09,90.186
2001-11-12,89.398
2001-11-13,88.409
2001-11-14,88.711
2001-11-15,88.234
2001-11-16,89.621
2001-11-19,90.204
2001-11-20,90.141
2001-11-21,90.11
2001-11-22,90.894
2001-11-23,91.359
2001-11-26,91.399
2001-11-27,92.31
2001-11-28,93.347
2001-11-29,92.726
2001-11-30,94.435
2001-12-03,93.212
2001-12-04,94.037
2001-12-05,94.151
2001-12-06,94.474
2001-12-07,94.326
2001-12-10,94.048
2001-12-11,94.367
2001-12-12,94.42
2001-12-13,95.351
2001-12-14,95.693
2001-12-17,96.077
2001-12-18,96.82
2001-12-19,95.919
2001-12-20,95.343
2001-12-21,94.381
2001-12-24,93.439
2001-12-25,93.439
2001-12-26,93.519
2001-12-27,95.617
2001-12-28,96.783
2001-12-31,97.726
2002-01-01,97.726
2002-01-02,100.773
2002-01-03,101.942
2002-01-04,102.068
2002-01-07,102.969
2002-01-08,102.39
2002-01-09,102.93
2002-01-10,103.025
2002-01-11,103.195
2002-01-14,102.165
2002-01-15,102.226
2002-01-16,100.599
2002-01-17,101.206
2002-01-18,101.525
2002-01-21,101.324
2002-01-22,101.412
2002-01-23,100.46
2002-01-24,100.362
2002-01-25,98.79
2002-01-28,98.464
2002-01-29,98.906
2002-01-30,99.153
2002-01-31,98.211
2002-02-01,99.478
2002-02-04,100.883
2002-02-05,100.577
2002-02-06,100.527
2002-02-07,101.529
2002-02-08,101.094
2002-02-11,102.223
2002-02-12,102.942
2002-02-13,104.233
2002-02-14,104.29
2002-02-15,105.523
2002-02-18,105.805
2002-02-19,106.312
2002-02-20,105.702
2002-02-21,106.177
2002-02-22,106.321
2002-02-25,105.369
2002-02-26,105.663
2002-02-27,105.704
2002-02-28,106.141
2002-03-01,106.926
2002-03-04,107.503
2002-03-05,107.878
2002-03-06,108.62
2002-03-07,110.205
2002-03-08,110.335
2002-03-11,111.067
2002-03-12,110.04
2002-03-13,110.038
2002-03-14,110.991
2002-03-15,110.974
2002-03-18,111.311
2002-03-19,111.285
2002-03-20,110.978
2002-03-21,111.169
2002-03-22,110.644
2002-03-25,110.277
2002-03-26,110.621
2002-03-27,110.384
2002-03-28,110.34
2002-03-29,110.34
2002-04-01,111.245
2002-04-02,113.205
2002-04-03,113.607
2002-04-04,114.246
2002-04-05,114.585
2002-04-08,114.396
2002-04-09,114.928
2002-04-10,115.633
2002-04-11,115.907
2002-04-12,115.215
2002-04-15,115.724
2002-04-16,116.8
2002-04-17,118.1
2002-04-18,118.309
2002-04-19,118.363
2002-04-22,117.265
2002-04-23,116.904
2002-04-24,117.133
2002-04-25,116.446
2002-04-26,117.791
2002-04-29,118.813
2002-04-30,118.079
2002-05-01,118.747
2002-05-02,120.415
2002-05-03,122.052
2002-05-06,122.647
2002-05-07,121.572
2002-05-08,122.565
2002-05-09,122.538
2002-05-10,122.565
2002-05-13,123.81
2002-05-14,123.297
2002-05-15,123.847
2002-05-16,123.724
2002-05-17,125.049
2002-05-20,125.061
2002-05-21,123.699
2002-05-22,124.851
2002-05-23,123.894
2002-05-24,123.868
2002-05-27,123.58
2002-05-28,125.099
2002-05-29,124.979
2002-05-30,124.412
2002-05-31,123.178
2002-06-03,123.618
2002-06-04,123.743
2002-06-05,122.756
2002-06-06,123.011
2002-06-07,121.11
2002-06-10,122.035
2002-06-11,122.621
2002-06-12,121.525
2002-06-13,120.736
2002-06-14,119.735
2002-06-17,119.678
2002-06-18,121.331
2002-06-19,120.158
2002-06-20,119.955
2002-06-21,120.54
2002-06-24,120.313
2002-06-25,120.748
2002-06-26,120.268
2002-06-27,122.103
2002-06-28,124.117
2002-07-01,124.834
2002-07-02,124.629
2002-07-03,124.249
2002-07-04,123.981
2002-07-05,124.626
2002-07-08,126.3
2002-07-09,126.468
2002-07-10,125.199
2002-07-11,125.336
2002-07-12,124.144
2002-07-15,125.441
2002-07-16,123.861
2002-07-17,123.79
2002-07-18,124.613
2002-07-19,124.316
2002-07-22,121.68
2002-07-23,117.911
2002-07-24,111.795
2002-07-25,113.867
2002-07-26,111.299
2002-07-29,110.909
2002-07-30,111.938
2002-07-31,110.065
2002-08-01,110.316
2002-08-02,108.363
2002-08-05,105.865
2002-08-06,102.916
2002-08-07,104.31
2002-08-08,104.548
2002-08-09,105.818
2002-08-12,106.061
2002-08-13,105.735
2002-08-14,106.516
2002-08-15,105.73
2002-08-16,106.145
2002-08-19,104.99
2002-08-20,105.337
2002-08-21,107.731
2002-08-22,108.772
2002-08-23,109.295
2002-08-26,108.721
2002-08-27,109.92
2002-08-28,109.356
2002-08-29,108.823
2002-08-30,109.491
2002-09-02,109.62
2002-09-03,109.99
2002-09-04,109.042
2002-09-05,108.387
2002-09-06,108.647
2002-09-09,108.406
2002-09-10,108.772
2002-09-11,108.657
2002-09-12,109.36
2002-09-13,109.21
2002-09-16,107.819
2002-09-17,107.735
2002-09-18,106.74
2002-09-19,107.432
2002-09-20,106.888
2002-09-23,105.564
2002-09-24,101.873
2002-09-25,101.644
2002-09-26,101.34
2002-09-27,101.781
2002-09-30,101.048
2002-10-01,99.318
2002-10-02,99.551
2002-10-03,98.294
2002-10-04,97.553
2002-10-07,96.26
2002-10-08,95.027
2002-10-09,96.623
2002-10-10,95.816
2002-10-11,97.293
2002-10-14,97.748
2002-10-15,100.163
2002-10-16,100.498
2002-10-17,101.239
2002-10-18,102.229
2002-10-21,101.834
2002-10-22,102.831
2002-10-23,101.964
2002-10-24,101.51
2002-10-25,101.16
2002-10-28,102.2
2002-10-29,99.979
2002-10-30,100.603
2002-10-31,102.301
2002-11-01,101.838
2002-11-04,102.732
2002-11-05,103.708
2002-11-06,104.044
2002-11-07,105.539
2002-11-08,105.963
2002-11-11,105.33
2002-11-12,105.347
2002-11-13,104.705
2002-11-14,104.39
2002-11-15,106.279
2002-11-18,106.468
2002-11-19,106.274
2002-11-20,105.22
2002-11-21,106.484
2002-11-22,108.325
2002-11-25,109.197
2002-11-26,108.9
2002-11-27,109.598
2002-11-28,112.05
2002-11-29,111.239
2002-12-02,112.5
2002-12-03,110.116
2002-12-04,110.403
2002-12-05,111.241
2002-12-06,112.058
2002-12-09,110.546
2002-12-10,109.907
2002-12-11,110.585
2002-12-12,111.651
2002-12-13,109.864
2002-12-16,109.622
2002-12-17,110.714
2002-12-18,116.832
2002-12-19,115.991
2002-12-20,116.513
2002-12-23,116.392
2002-12-24,116.874
2002-12-25,116.874
2002-12-26,117.169
2002-12-27,117.201
2002-12-30,118.449
2002-12-31,118.914
2003-01-01,118.914
2003-01-02,119.236
2003-01-03,120.751
2003-01-06,121.493
2003-01-07,121.341
2003-01-08,118.868
2003-01-09,120.111
2003-01-10,121.361
2003-01-13,122.738
2003-01-14,124.662
2003-01-15,124.229
2003-01-16,123.558
2003-01-17,124.025
2003-01-20,124.519
2003-01-21,124.814
2003-01-22,124.525
2003-01-23,125.108
2003-01-24,126.433
2003-01-27,124.805
2003-01-28,124.161
2003-01-29,123.39
2003-01-30,122.664
2003-01-31,120.689
2003-02-03,121.817
2003-02-04,122.301
2003-02-05,120.541
2003-02-06,119.537
2003-02-07,118.539
2003-02-10,118.325
2003-02-11,117.985
2003-02-12,116.956
2003-02-13,116.589
2003-02-14,117.1
2003-02-17,118.288
2003-02-18,115.874
2003-02-19,115.737
2003-02-20,115.614
2003-02-21,115.349
2003-02-24,115.501
2003-02-25,113.768
2003-02-26,113.534
2003-02-27,112.564
2003-02-28,114.289
2003-03-03,115.773
2003-03-04,115.029
2003-03-05,115.062
2003-03-06,114.699
2003-03-07,114.448
2003-03-10,114.227
2003-03-11,113.844
2003-03-12,113.278
2003-03-13,112.107
2003-03-14,110.855
2003-03-17,110.171
2003-03-18,112.109
2003-03-19,112.065
2003-03-20,112.302
2003-03-21,113.5
2003-03-24,114.432
2003-03-25,114.141
2003-03-26,114.663
2003-03-27,115.003
2003-03-28,114.56
2003-03-31,115.0
2003-04-01,115.342
2003-04-02,115.045
2003-04-03,116.329
2003-04-04,115.128
2003-04-07,115.405
2003-04-08,115.081
2003-04-09,114.951
2003-04-10,116.599
2003-04-11,116.306
2003-04-14,116.22
2003-04-15,118.024
2003-04-16,118.312
2003-04-17,118.797
2003-04-18,118.797
2003-04-21,118.285
2003-04-22,119.079
2003-04-23,120.903
2003-04-24,122.207
2003-04-25,122.174
2003-04-28,122.488
2003-04-29,122.272
2003-04-30,125.912
2003-05-01,127.069
2003-05-02,126.843
2003-05-05,128.139
2003-05-06,128.849
2003-05-07,129.451
2003-05-08,129.307
2003-05-09,128.997
2003-05-12,130.327
2003-05-13,130.128
2003-05-14,130.384
2003-05-15,130.177
2003-05-16,131.744
2003-05-19,132.705
2003-05-20,132.555
2003-05-21,131.458
2003-05-22,131.197
2003-05-23,132.233
2003-05-26,132.561
2003-05-27,132.089
2003-05-28,131.754
2003-05-29,132.731
2003-05-30,132.556
2003-06-02,133.14
2003-06-03,132.472
2003-06-04,133.557
2003-06-05,136.261
2003-06-06,136.958
2003-06-09,136.424
2003-06-10,136.153
2003-06-11,137.278
2003-06-12,137.28
2003-06-13,138.917
2003-06-16,138.522
2003-06-17,139.39
2003-06-18,137.454
2003-06-19,136.946
2003-06-20,136.213
2003-06-23,133.659
2003-06-24,132.207
2003-06-25,133.601
2003-06-26,131.563
2003-06-27,133.139
2003-06-30,133.213
2003-07-01,133.422
2003-07-02,133.557
2003-07-03,134.626
2003-07-04,135.024
2003-07-07,135.631
2003-07-08,136.479
2003-07-09,135.783
2003-07-10,136.982
2003-07-11,136.931
2003-07-14,138.104
2003-07-15,138.692
2003-07-16,138.448
2003-07-17,136.26
2003-07-18,137.627
2003-07-21,138.636
2003-07-22,138.244
2003-07-23,140.004
2003-07-24,141.776
2003-07-25,143.179
2003-07-28,142.28
2003-07-29,143.57
2003-07-30,141.648
2003-07-31,140.845
2003-08-01,141.129
2003-08-04,141.546
2003-08-05,141.176
2003-08-06,140.108
2003-08-07,139.261
2003-08-08,139.42
2003-08-11,140.047
2003-08-12,140.986
2003-08-13,140.692
2003-08-14,140.425
2003-08-15,140.483
2003-08-18,140.838
2003-08-19,141.63
2003-08-20,141.904
2003-08-21,142.094
2003-08-22,141.629
2003-08-25,141.544
2003-08-26,140.404
2003-08-27,140.945
2003-08-28,142.202
2003-08-29,143.399
2003-09-01,145.989
2003-09-02,146.381
2003-09-03,148.849
2003-09-04,150.373
2003-09-05,151.369
2003-09-08,152.341
2003-09-09,153.123
2003-09-10,150.844
2003-09-11,151.132
2003-09-12,153.06
2003-09-15,153.136
2003-09-16,151.455
2003-09-17,152.297
2003-09-18,151.897
2003-09-19,154.055
2003-09-22,153.792
2003-09-23,154.127
2003-09-24,154.424
2003-09-25,152.936
2003-09-26,151.378
2003-09-29,154.362
2003-09-30,154.274
2003-10-01,155.017
2003-10-02,154.523
2003-10-03,155.901
2003-10-06,156.635
2003-10-07,157.252
2003-10-08,158.511
2003-10-09,158.78
2003-10-10,160.871
2003-10-13,159.534
2003-10-14,160.645
2003-10-15,163.764
2003-10-16,164.061
2003-10-17,164.799
2003-10-20,164.86
2003-10-21,165.123
2003-10-22,166.057
2003-10-23,167.337
2003-10-24,168.284
2003-10-27,168.138
2003-10-28,172.333
2003-10-29,173.946
2003-10-30,175.805
2003-10-31,175.349
2003-11-03,174.188
2003-11-04,174.615
2003-11-05,172.776
2003-11-06,173.17
2003-11-07,176.273
2003-11-10,176.947
2003-11-11,175.612
2003-11-12,178.321
2003-11-13,180.148
2003-11-14,180.862
2003-11-17,177.832
