Date,FINLAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,178.404
2001-01-02,182.334
2001-01-03,176.318
2001-01-04,179.905
2001-01-05,182.774
2001-01-08,182.453
2001-01-09,175.58
2001-01-10,173.001
2001-01-11,173.769
2001-01-12,175.341
2001-01-15,174.661
2001-01-16,172.938
2001-01-17,173.984
2001-01-18,176.117
2001-01-19,175.899
2001-01-22,175.388
2001-01-23,176.003
2001-01-24,172.213
2001-01-25,169.756
2001-01-26,168.465
2001-01-29,168.137
2001-01-30,169.144
2001-01-31,171.787
2001-02-01,174.8
2001-02-02,174.678
2001-02-05,176.308
2001-02-06,176.852
2001-02-07,173.995
2001-02-08,172.428
2001-02-09,171.008
2001-02-12,171.69
2001-02-13,169.522
2001-02-14,167.687
2001-02-15,166.649
2001-02-16,168.449
2001-02-19,171.122
2001-02-20,168.858
2001-02-21,168.684
2001-02-22,166.532
2001-02-23,166.028
2001-02-26,167.03
2001-02-27,171.058
2001-02-28,172.061
2001-03-01,173.31
2001-03-02,174.61
2001-03-05,175.376
2001-03-06,176.626
2001-03-07,176.071
2001-03-08,177.463
2001-03-09,177.35
2001-03-12,176.279
2001-03-13,171.607
2001-03-14,168.769
2001-03-15,169.476
2001-03-16,166.609
2001-03-19,167.067
2001-03-20,167.165
2001-03-21,165.296
2001-03-22,159.044
2001-03-23,160.38
2001-03-26,163.214
2001-03-27,163.774
2001-03-28,163.247
2001-03-29,160.041
2001-03-30,160.793
2001-04-02,160.82
2001-04-03,160.907
2001-04-04,161.089
2001-04-05,161.059
2001-04-06,162.16
2001-04-09,163.129
2001-04-10,162.756
2001-04-11,164.425
2001-04-12,166.06
2001-04-13,166.06
2001-04-16,164.36
2001-04-17,163.367
2001-04-18,164.242
2001-04-19,168.075
2001-04-20,170.97
2001-04-23,171.02
2001-04-24,170.994
2001-04-25,171.422
2001-04-26,174.861
2001-04-27,172.835
2001-04-30,177.868
2001-05-01,178.811
2001-05-02,177.888
2001-05-03,176.05
2001-05-04,176.112
2001-05-07,175.852
2001-05-08,174.612
2001-05-09,175.213
2001-05-10,177.439
2001-05-11,176.551
2001-05-14,175.801
2001-05-15,178.966
2001-05-16,179.288
2001-05-17,181.984
2001-05-18,181.826
2001-05-21,180.073
2001-05-22,178.265
2001-05-23,176.447
2001-05-24,175.78
2001-05-25,176.888
2001-05-28,177.997
2001-05-29,175.559
2001-05-30,174.464
2001-05-31,173.283
2001-06-01,173.459
2001-06-04,173.064
2001-06-05,174.717
2001-06-06,175.48
2001-06-07,176.341
2001-06-08,176.863
2001-06-11,173.327
2001-06-12,172.512
2001-06-13,169.949
2001-06-14,170.581
2001-06-15,167.345
2001-06-18,167.734
2001-06-19,169.203
2001-06-20,166.226
2001-06-21,168.003
2001-06-22,168.188
2001-06-25,169.841
2001-06-26,168.824
2001-06-27,166.462
2001-06-28,165.283
2001-06-29,164.766
2001-07-02,166.312
2001-07-03,167.729
2001-07-04,168.84
2001-07-05,167.205
2001-07-06,166.349
2001-07-09,168.048
2001-07-10,169.741
2001-07-11,169.251
2001-07-12,166.385
2001-07-13,167.181
2001-07-16,167.641
2001-07-17,164.827
2001-07-18,169.536
2001-07-19,169.926
2001-07-20,170.207
2001-07-23,168.457
2001-07-24,169.411
2001-07-25,167.849
2001-07-26,166.562
2001-07-27,166.342
2001-07-30,166.002
2001-07-31,165.147
2001-08-01,168.858
2001-08-02,171.273
2001-08-03,171.639
2001-08-06,171.171
2001-08-07,170.001
2001-08-08,168.573
2001-08-09,169.468
2001-08-10,169.48
2001-08-13,173.005
2001-08-14,171.776
2001-08-15,173.899
2001-08-16,174.831
2001-08-17,174.825
2001-08-20,172.997
2001-08-21,174.299
2001-08-22,176.233
2001-08-23,175.534
2001-08-24,176.551
2001-08-27,176.093
2001-08-28,175.328
2001-08-29,173.814
2001-08-30,173.41
2001-08-31,176.49
2001-09-03,174.622
2001-09-04,172.756
2001-09-05,173.503
2001-09-06,174.05
2001-09-07,174.8
2001-09-10,171.22
2001-09-11,168.962
2001-09-12,166.005
2001-09-13,167.536
2001-09-14,166.646
2001-09-17,163.961
2001-09-18,164.858
2001-09-19,166.346
2001-09-20,161.999
2001-09-21,157.071
2001-09-24,158.069
2001-09-25,159.643
2001-09-26,160.84
2001-09-27,160.744
2001-09-28,160.317
2001-10-01,162.823
2001-10-02,164.0
2001-10-03,163.844
2001-10-04,165.665
2001-10-05,166.855
2001-10-08,166.289
2001-10-09,168.516
2001-10-10,167.029
2001-10-11,168.803
2001-10-12,169.614
2001-10-15,169.166
2001-10-16,169.238
2001-10-17,169.135
2001-10-18,167.799
2001-10-19,167.486
2001-10-22,166.264
2001-10-23,167.129
2001-10-24,169.815
2001-10-25,171.782
2001-10-26,169.655
2001-10-29,171.265
2001-10-30,170.68
2001-10-31,172.099
2001-11-01,170.302
2001-11-02,169.078
2001-11-05,168.72
2001-11-06,168.556
2001-11-07,168.805
2001-11-08,169.981
2001-11-09,169.375
2001-11-12,169.259
2001-11-13,166.776
2001-11-14,168.227
2001-11-15,166.066
2001-11-16,167.511
2001-11-19,167.199
2001-11-20,167.403
2001-11-21,167.84
2001-11-22,168.58
2001-11-23,167.32
2001-11-26,168.919
2001-11-27,169.788
2001-11-28,170.656
2001-11-29,170.41
2001-11-30,173.935
2001-12-03,169.111
2001-12-04,169.868
2001-12-05,169.68
2001-12-06,170.262
2001-12-07,170.401
2001-12-10,170.438
2001-12-11,170.779
2001-12-12,170.947
2001-12-13,171.507
2001-12-14,173.664
2001-12-17,173.541
2001-12-18,174.27
2001-12-19,173.322
2001-12-20,171.716
2001-12-21,170.623
2001-12-24,168.92
2001-12-25,168.92
2001-12-26,169.064
2001-12-27,172.13
2001-12-28,173.464
2001-12-31,175.155
2002-01-01,175.155
