Date,FINLAND Standard (Large+Mid Cap)
2001-01-01,1167.17
2001-01-02,1138.87
2001-01-03,1050.498
2001-01-04,1156.052
2001-01-05,1168.785
2001-01-08,1133.116
2001-01-09,1039.19
2001-01-10,1027.406
2001-01-11,1092.146
2001-01-12,1112.915
2001-01-15,1103.862
2001-01-16,1047.239
2001-01-17,1082.989
2001-01-18,1097.233
2001-01-19,1080.813
2001-01-22,1059.043
2001-01-23,1046.806
2001-01-24,1040.028
2001-01-25,1010.363
2001-01-26,1002.924
2001-01-29,987.083
2001-01-30,944.974
2001-01-31,968.379
2001-02-01,940.665
2001-02-02,923.227
2001-02-05,908.62
2001-02-06,931.707
2001-02-07,883.082
2001-02-08,857.376
2001-02-09,794.367
2001-02-12,824.287
2001-02-13,810.831
2001-02-14,754.88
2001-02-15,805.839
2001-02-16,764.195
2001-02-19,750.188
2001-02-20,741.415
2001-02-21,714.498
2001-02-22,666.228
2001-02-23,629.259
2001-02-26,647.244
2001-02-27,666.283
2001-02-28,660.843
2001-03-01,659.29
2001-03-02,703.412
2001-03-05,729.438
2001-03-06,760.437
2001-03-07,741.828
2001-03-08,712.448
2001-03-09,698.431
2001-03-12,645.661
2001-03-13,657.869
2001-03-14,652.443
2001-03-15,714.018
2001-03-16,694.334
2001-03-19,715.558
2001-03-20,748.235
2001-03-21,711.656
2001-03-22,669.621
2001-03-23,725.62
2001-03-26,761.475
2001-03-27,736.614
2001-03-28,717.705
2001-03-29,677.0
2001-03-30,677.379
2001-04-02,674.371
2001-04-03,638.335
2001-04-04,646.748
2001-04-05,683.407
2001-04-06,679.067
2001-04-09,684.184
2001-04-10,715.28
2001-04-11,743.52
2001-04-12,750.916
2001-04-13,750.916
2001-04-16,743.226
2001-04-17,713.407
2001-04-18,787.552
2001-04-19,819.611
2001-04-20,850.149
2001-04-23,834.66
2001-04-24,826.067
2001-04-25,818.799
2001-04-26,835.543
2001-04-27,868.547
2001-04-30,902.705
2001-05-01,907.491
2001-05-02,912.927
2001-05-03,888.842
2001-05-04,896.321
2001-05-07,898.639
2001-05-08,881.158
2001-05-09,865.178
2001-05-10,899.355
2001-05-11,868.603
2001-05-14,840.728
2001-05-15,849.801
2001-05-16,849.857
2001-05-17,894.66
2001-05-18,913.155
2001-05-21,918.486
2001-05-22,922.09
2001-05-23,893.218
2001-05-24,889.845
2001-05-25,865.274
2001-05-28,864.764
2001-05-29,845.88
2001-05-30,813.532
2001-05-31,800.431
2001-06-01,799.217
2001-06-04,805.281
2001-06-05,832.307
2001-06-06,835.934
2001-06-07,835.887
2001-06-08,830.042
2001-06-11,797.323
2001-06-12,652.354
2001-06-13,683.568
2001-06-14,647.855
2001-06-15,645.312
2001-06-18,644.363
2001-06-19,656.792
2001-06-20,637.749
2001-06-21,649.115
2001-06-22,649.761
2001-06-25,650.826
2001-06-26,639.039
2001-06-27,634.155
2001-06-28,625.001
2001-06-29,647.542
2001-07-02,658.296
2001-07-03,647.502
2001-07-04,631.727
2001-07-05,602.223
2001-07-06,576.951
2001-07-09,562.667
2001-07-10,559.358
2001-07-11,542.264
2001-07-12,560.09
2001-07-13,548.951
2001-07-16,537.005
2001-07-17,519.642
2001-07-18,533.305
2001-07-19,587.395
2001-07-20,567.531
2001-07-23,568.158
2001-07-24,574.975
2001-07-25,572.208
2001-07-26,579.663
2001-07-27,603.405
2001-07-30,621.978
2001-07-31,632.905
2001-08-01,626.912
2001-08-02,645.537
2001-08-03,641.888
2001-08-06,624.071
2001-08-07,625.474
2001-08-08,605.267
2001-08-09,577.967
2001-08-10,556.077
2001-08-13,568.555
2001-08-14,583.71
2001-08-15,572.549
2001-08-16,552.827
2001-08-17,534.689
2001-08-20,525.472
2001-08-21,536.707
2001-08-22,537.899
2001-08-23,542.866
2001-08-24,543.083
2001-08-27,531.35
2001-08-28,517.034
2001-08-29,501.772
2001-08-30,479.211
2001-08-31,490.427
2001-09-03,487.614
2001-09-04,480.179
2001-09-05,457.106
2001-09-06,439.413
2001-09-07,427.366
2001-09-10,439.783
2001-09-11,426.309
2001-09-12,456.737
2001-09-13,472.474
2001-09-14,451.155
2001-09-17,472.244
2001-09-18,478.099
2001-09-19,487.902
2001-09-20,484.168
2001-09-21,464.804
2001-09-24,495.466
2001-09-25,506.521
