Date,FINLAND Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,96.015
1988-02-29,98.051
1988-03-31,107.214
1988-04-29,108.532
1988-05-31,115.001
1988-06-30,113.846
1988-07-29,112.791
1988-08-31,106.102
1988-09-30,101.451
1988-10-31,110.282
1988-11-30,119.61
1988-12-30,114.347
1989-01-31,112.492
1989-02-28,115.952
1989-03-31,122.204
1989-04-28,128.177
1989-05-31,120.028
1989-06-30,116.866
1989-07-31,121.722
1989-08-31,112.266
1989-09-29,105.599
1989-10-31,101.807
1989-11-30,94.659
1989-12-29,103.943
1990-01-31,111.06
1990-02-28,108.024
1990-03-30,100.276
1990-04-30,92.42
1990-05-31,93.723
1990-06-29,92.114
1990-07-31,96.351
1990-08-31,89.342
1990-09-28,72.552
1990-10-31,72.392
1990-11-30,75.603
1990-12-31,71.607
1991-01-31,70.812
1991-02-28,78.096
1991-03-29,84.448
1991-04-30,79.875
1991-05-31,77.755
1991-06-28,67.869
1991-07-31,73.335
1991-08-30,69.896
1991-09-30,64.383
1991-10-31,63.316
1991-11-29,59.964
1991-12-31,59.115
1992-01-31,65.022
1992-02-28,63.916
1992-03-31,57.965
1992-04-30,58.136
1992-05-29,61.258
1992-06-30,57.836
1992-07-31,53.581
1992-08-31,46.224
1992-09-30,42.921
1992-10-30,50.207
1992-11-30,54.607
1992-12-31,51.734
1993-01-29,51.036
1993-02-26,52.396
1993-03-31,57.152
1993-04-30,71.184
1993-05-31,73.569
1993-06-30,69.579
1993-07-30,74.866
1993-08-31,83.12
1993-09-30,83.443
1993-10-29,94.844
1993-11-30,89.801
1993-12-31,94.757
1994-01-31,116.859
1994-02-28,115.075
1994-03-31,111.019
1994-04-29,119.446
1994-05-31,112.481
1994-06-30,111.206
1994-07-29,124.479
1994-08-31,136.318
1994-09-30,138.831
1994-10-31,155.986
1994-11-30,140.534
1994-12-30,144.48
1995-01-31,142.961
1995-02-28,143.888
1995-03-31,139.767
1995-04-28,157.668
1995-05-31,163.981
1995-06-30,187.88
1995-07-31,208.274
1995-08-31,204.691
1995-09-29,213.751
1995-10-31,182.952
1995-11-30,179.644
1995-12-29,151.646
1996-01-31,149.925
1996-02-29,146.893
1996-03-29,147.439
1996-04-30,147.455
1996-05-31,163.062
1996-06-28,155.826
1996-07-31,157.818
1996-08-30,175.469
1996-09-30,177.394
1996-10-31,181.763
1996-11-29,197.057
1996-12-31,204.3
1997-01-31,218.062
1997-02-28,214.988
1997-03-31,216.344
1997-04-30,216.702
1997-05-30,225.067
1997-06-30,240.54
1997-07-31,266.73
1997-08-29,243.901
1997-09-30,289.304
1997-10-31,267.989
1997-11-28,255.487
1997-12-31,240.649
1998-01-30,260.384
1998-02-27,309.622
1998-03-31,323.027
1998-04-30,382.346
1998-05-29,376.602
1998-06-30,399.397
1998-07-31,444.956
1998-08-31,358.242
1998-09-30,377.813
1998-10-30,423.839
1998-11-30,453.403
1998-12-31,535.768
1999-01-29,591.369
1999-02-26,558.013
1999-03-31,632.677
1999-04-30,628.448
1999-05-31,594.905
1999-06-30,689.854
1999-07-30,701.403
1999-08-31,677.073
1999-09-30,717.041
1999-10-29,859.543
1999-11-30,1040.12
1999-12-31,1357.285
2000-01-31,1358.358
2000-02-29,1474.888
2000-03-31,1515.243
2000-04-28,1559.6
2000-05-31,1417.843
2000-06-30,1390.529
2000-07-31,1218.552
2000-08-31,1187.844
2000-09-29,1084.555
2000-10-31,1079.188
2000-11-30,1093.619
2000-12-29,1167.17
2001-01-31,968.379
2001-02-28,660.843
2001-03-30,677.379
2001-04-30,902.705
2001-05-31,800.431
2001-06-29,647.542
2001-07-31,632.905
2001-08-31,490.427
2001-09-28,487.151
2001-10-31,610.552
2001-11-30,671.467
2001-12-31,725.83
2002-01-31,664.478
2002-02-28,632.088
2002-03-29,639.859
2002-04-30,530.281
2002-05-31,493.841
2002-06-28,500.356
2002-07-31,428.29
2002-08-30,445.812
2002-09-30,428.012
2002-10-31,522.73
2002-11-29,591.85
2002-12-31,508.535
2003-01-31,457.638
2003-02-28,440.826
2003-03-31,455.665
2003-04-30,545.55
2003-05-30,572.074
2003-06-30,540.571
2003-07-31,525.418
2003-08-29,558.456
2003-09-30,535.884
2003-10-31,592.931
2003-11-28,625.73
2003-12-31,612.734
2004-01-30,691.968
2004-02-27,735.847
2004-03-31,710.461
2004-04-30,555.167
2004-05-31,549.253
2004-06-30,572.062
2004-07-30,501.024
2004-08-31,505.653
2004-09-30,561.931
2004-10-29,612.101
2004-11-30,665.708
2004-12-31,656.049
2005-01-31,634.971
2005-02-28,682.232
2005-03-31,661.089
2005-04-29,670.821
2005-05-31,699.682
2005-06-30,706.949
2005-07-29,706.31
2005-08-31,709.023
2005-09-30,749.256
2005-10-31,718.357
2005-11-30,728.77
2005-12-30,772.73
2006-01-31,810.294
2006-02-28,838.892
2006-03-31,931.377
2006-04-28,990.307
2006-05-31,931.823
2006-06-30,905.959
2006-07-31,897.011
2006-08-31,939.961
2006-09-29,916.866
2006-10-31,951.807
2006-11-30,984.099
2006-12-29,1012.601
2007-01-31,1051.157
2007-02-28,1060.527
2007-03-30,1123.012
2007-04-30,1223.913
2007-05-31,1302.959
2007-06-29,1304.215
2007-07-31,1313.749
2007-08-31,1390.73
2007-09-28,1552.393
2007-10-31,1605.314
2007-11-30,1572.249
2007-12-31,1519.787
2008-01-31,1403.371
2008-02-29,1448.094
2008-03-31,1364.803
2008-04-30,1349.237
2008-05-30,1357.989
2008-06-30,1186.137
