Date,FINLAND GROWTH Standard (Large+Mid Cap)
2001-01-01,2281.595
2001-01-02,2219.785
2001-01-03,2020.051
2001-01-04,2244.79
2001-01-05,2261.749
2001-01-08,2179.316
2001-01-09,1970.915
2001-01-10,1942.114
2001-01-11,2087.172
2001-01-12,2127.334
2001-01-15,2105.513
2001-01-16,1991.835
2001-01-17,2069.467
2001-01-18,2108.331
2001-01-19,2062.399
2001-01-22,2014.79
2001-01-23,1984.431
2001-01-24,1976.118
2001-01-25,1915.061
2001-01-26,1898.37
2001-01-29,1871.99
2001-01-30,1755.873
2001-01-31,1799.172
2001-02-01,1732.961
2001-02-02,1700.093
2001-02-05,1664.097
2001-02-06,1721.917
2001-02-07,1625.652
2001-02-08,1568.786
2001-02-09,1429.754
2001-02-12,1494.309
2001-02-13,1476.932
2001-02-14,1361.222
2001-02-15,1472.468
2001-02-16,1379.951
2001-02-19,1349.212
2001-02-20,1332.382
2001-02-21,1278.986
2001-02-22,1177.724
2001-02-23,1094.191
2001-02-26,1129.471
2001-02-27,1164.128
2001-02-28,1156.113
2001-03-01,1155.013
2001-03-02,1252.329
2001-03-05,1308.684
2001-03-06,1371.717
2001-03-07,1328.632
2001-03-08,1263.181
2001-03-09,1231.986
2001-03-12,1111.531
2001-03-13,1148.98
2001-03-14,1143.943
2001-03-15,1287.138
2001-03-16,1253.472
2001-03-19,1307.323
2001-03-20,1383.465
2001-03-21,1310.94
2001-03-22,1231.12
2001-03-23,1358.025
2001-03-26,1427.585
2001-03-27,1362.489
2001-03-28,1321.447
2001-03-29,1240.163
2001-03-30,1241.044
2001-04-02,1239.788
2001-04-03,1154.961
2001-04-04,1168.982
2001-04-05,1250.778
2001-04-06,1241.133
2001-04-09,1246.791
2001-04-10,1314.995
2001-04-11,1375.816
2001-04-12,1389.502
2001-04-13,1389.502
2001-04-16,1375.272
2001-04-17,1311.389
2001-04-18,1478.748
2001-04-19,1539.749
2001-04-20,1610.556
2001-04-23,1577.641
2001-04-24,1560.685
2001-04-25,1536.804
2001-04-26,1569.543
2001-04-27,1639.483
2001-04-30,1705.305
2001-05-01,1714.346
2001-05-02,1729.137
2001-05-03,1677.262
2001-05-04,1700.53
2001-05-07,1702.847
2001-05-08,1671.394
2001-05-09,1634.565
2001-05-10,1707.483
2001-05-11,1641.971
2001-05-14,1581.694
2001-05-15,1594.197
2001-05-16,1595.794
2001-05-17,1691.184
2001-05-18,1737.802
2001-05-21,1751.928
2001-05-22,1760.3
2001-05-23,1696.415
2001-05-24,1690.01
2001-05-25,1634.926
2001-05-28,1625.559
2001-05-29,1588.068
2001-05-30,1516.591
2001-05-31,1494.142
2001-06-01,1497.844
2001-06-04,1506.888
2001-06-05,1567.981
2001-06-06,1577.829
2001-06-07,1578.673
2001-06-08,1557.197
2001-06-11,1492.968
2001-06-12,1161.627
2001-06-13,1234.116
2001-06-14,1160.088
2001-06-15,1158.347
2001-06-18,1157.595
2001-06-19,1182.812
2001-06-20,1143.672
2001-06-21,1163.442
2001-06-22,1164.601
2001-06-25,1162.795
2001-06-26,1139.121
2001-06-27,1132.85
2001-06-28,1115.453
2001-06-29,1168.2
2001-07-02,1188.727
2001-07-03,1161.049
2001-07-04,1122.864
2001-07-05,1056.363
2001-07-06,1001.443
2001-07-09,967.499
2001-07-10,953.958
2001-07-11,920.037
2001-07-12,969.393
2001-07-13,940.874
2001-07-16,911.574
2001-07-17,884.311
2001-07-18,906.989
2001-07-19,1030.742
2001-07-20,986.854
2001-07-23,990.723
2001-07-24,1002.519
2001-07-25,1003.422
2001-07-26,1019.185
2001-07-27,1071.042
2001-07-30,1111.546
2001-07-31,1133.822
2001-08-01,1115.483
2001-08-02,1154.49
2001-08-03,1148.314
2001-08-06,1108.357
2001-08-07,1114.651
2001-08-08,1072.537
2001-08-09,1007.837
2001-08-10,957.714
2001-08-13,980.327
2001-08-14,1013.781
2001-08-15,984.155
2001-08-16,940.327
2001-08-17,900.711
2001-08-20,886.314
2001-08-21,908.973
2001-08-22,909.32
2001-08-23,922.669
2001-08-24,921.799
2001-08-27,894.436
2001-08-28,865.24
2001-08-29,831.551
2001-08-30,783.056
2001-08-31,807.212
2001-09-03,804.517
2001-09-04,792.505
2001-09-05,736.865
2001-09-06,697.763
2001-09-07,668.866
2001-09-10,707.583
2001-09-11,683.366
2001-09-12,756.754
2001-09-13,791.677
2001-09-14,747.407
2001-09-17,804.253
2001-09-18,815.74
2001-09-19,834.431
2001-09-20,835.576
2001-09-21,799.519
2001-09-24,868.109
2001-09-25,890.279
2001-09-26,866.62
2001-09-27,801.677
2001-09-28,842.481
2001-10-01,784.865
2001-10-02,805.991
2001-10-03,782.655
2001-10-04,862.354
2001-10-05,871.824
2001-10-08,885.694
2001-10-09,909.633
2001-10-10,926.344
2001-10-11,978.676
2001-10-12,989.495
2001-10-15,956.006
2001-10-16,996.516
2001-10-17,1046.921
2001-10-18,977.354
2001-10-19,1025.932
2001-10-22,1051.692
2001-10-23,1114.847
2001-10-24,1125.1
2001-10-25,1078.453
2001-10-26,1113.449
2001-10-29,1102.544
2001-10-30,1035.37
2001-10-31,1078.778
2001-11-01,1082.842
2001-11-02,1109.564
2001-11-05,1143.085
2001-11-06,1180.418
2001-11-07,1156.543
2001-11-08,1212.218
2001-11-09,1169.511
2001-11-12,1133.46
2001-11-13,1204.336
2001-11-14,1233.59
2001-11-15,1269.069
2001-11-16,1298.311
2001-11-19,1262.303
2001-11-20,1205.635
2001-11-21,1190.599
2001-11-22,1246.261
2001-11-23,1248.062
2001-11-26,1279.335
2001-11-27,1203.903
2001-11-28,1176.662
