Date,FRANCE IMI IMI (Large+Mid+Small Cap)
2001-01-01,537.685
2001-01-02,531.956
2001-01-03,519.318
2001-01-04,529.783
2001-01-05,529.141
2001-01-08,525.442
2001-01-09,514.559
2001-01-10,513.918
2001-01-11,523.662
2001-01-12,534.565
2001-01-15,531.373
2001-01-16,524.704
2001-01-17,529.322
2001-01-18,536.212
2001-01-19,531.349
2001-01-22,533.8
2001-01-23,532.376
2001-01-24,527.709
2001-01-25,528.9
2001-01-26,529.265
2001-01-29,524.491
2001-01-30,530.239
2001-01-31,540.126
2001-02-01,538.558
2001-02-02,529.457
2001-02-05,532.802
2001-02-06,530.592
2001-02-07,523.478
2001-02-08,517.664
2001-02-09,515.454
2001-02-12,521.723
2001-02-13,515.145
2001-02-14,505.998
2001-02-15,503.396
2001-02-16,501.405
2001-02-19,503.137
2001-02-20,494.235
2001-02-21,489.763
2001-02-22,485.07
2001-02-23,475.587
2001-02-26,483.43
2001-02-27,490.26
2001-02-28,484.594
2001-03-01,485.476
2001-03-02,485.009
2001-03-05,488.609
2001-03-06,497.561
2001-03-07,498.373
2001-03-08,497.105
2001-03-09,491.222
2001-03-12,478.825
2001-03-13,468.296
2001-03-14,458.731
2001-03-15,460.666
2001-03-16,449.121
2001-03-19,446.16
2001-03-20,455.526
2001-03-21,443.133
2001-03-22,419.691
2001-03-23,435.216
2001-03-26,449.568
2001-03-27,460.014
2001-03-28,450.099
2001-03-29,446.482
2001-03-30,450.05
2001-04-02,450.621
2001-04-03,436.875
2001-04-04,449.305
2001-04-05,454.113
2001-04-06,455.54
2001-04-09,459.085
2001-04-10,464.781
2001-04-11,464.508
2001-04-12,470.105
2001-04-13,470.105
2001-04-16,465.29
2001-04-17,460.966
2001-04-18,469.743
2001-04-19,477.283
2001-04-20,481.252
2001-04-23,475.494
2001-04-24,475.538
2001-04-25,475.805
2001-04-26,484.768
2001-04-27,487.059
2001-04-30,489.484
2001-05-01,492.08
2001-05-02,487.694
2001-05-03,480.804
2001-05-04,480.858
2001-05-07,482.578
2001-05-08,480.952
2001-05-09,478.914
2001-05-10,486.476
2001-05-11,480.649
2001-05-14,473.552
2001-05-15,480.631
2001-05-16,481.912
2001-05-17,485.978
2001-05-18,486.911
2001-05-21,487.337
2001-05-22,486.141
2001-05-23,479.075
2001-05-24,478.597
2001-05-25,473.525
2001-05-28,477.419
2001-05-29,469.947
2001-05-30,463.838
2001-05-31,459.022
2001-06-01,456.74
2001-06-04,457.365
2001-06-05,464.152
2001-06-06,461.75
2001-06-07,461.036
2001-06-08,459.521
2001-06-11,454.264
2001-06-12,449.424
2001-06-13,453.012
2001-06-14,452.556
2001-06-15,449.43
2001-06-18,443.202
2001-06-19,443.959
2001-06-20,438.013
2001-06-21,436.106
2001-06-22,440.225
2001-06-25,445.102
2001-06-26,435.913
2001-06-27,432.753
2001-06-28,432.98
2001-06-29,437.998
2001-07-02,443.843
2001-07-03,437.479
2001-07-04,435.028
2001-07-05,426.176
2001-07-06,420.743
2001-07-09,424.967
2001-07-10,425.384
2001-07-11,423.233
2001-07-12,422.191
2001-07-13,426.191
2001-07-16,427.727
2001-07-17,421.985
2001-07-18,423.771
2001-07-19,427.759
2001-07-20,425.635
2001-07-23,425.839
2001-07-24,424.588
2001-07-25,419.841
2001-07-26,423.329
2001-07-27,431.199
2001-07-30,437.485
2001-07-31,441.49
2001-08-01,446.101
2001-08-02,446.149
2001-08-03,443.368
2001-08-06,443.093
2001-08-07,440.095
2001-08-08,434.851
2001-08-09,432.699
2001-08-10,432.218
2001-08-13,439.049
2001-08-14,442.06
2001-08-15,446.81
2001-08-16,443.512
2001-08-17,436.78
2001-08-20,435.15
2001-08-21,439.291
2001-08-22,440.946
2001-08-23,437.04
2001-08-24,445.473
2001-08-27,443.318
2001-08-28,436.126
2001-08-29,438.095
2001-08-30,427.647
2001-08-31,426.007
2001-09-03,419.416
2001-09-04,415.594
2001-09-05,406.692
2001-09-06,399.831
2001-09-07,399.764
2001-09-10,394.58
2001-09-11,370.27
2001-09-12,371.95
2001-09-13,372.662
2001-09-14,360.051
2001-09-17,366.528
2001-09-18,364.273
2001-09-19,361.238
2001-09-20,347.187
2001-09-21,335.4
2001-09-24,352.235
2001-09-25,359.819
2001-09-26,365.346
2001-09-27,367.397
2001-09-28,368.824
2001-10-01,365.77
2001-10-02,367.498
2001-10-03,366.71
2001-10-04,377.96
2001-10-05,378.89
2001-10-08,379.743
2001-10-09,380.281
2001-10-10,389.102
2001-10-11,387.01
2001-10-12,389.46
2001-10-15,380.777
2001-10-16,389.48
2001-10-17,396.978
2001-10-18,389.245
2001-10-19,381.913
2001-10-22,385.404
2001-10-23,393.899
2001-10-24,398.368
2001-10-25,391.47
2001-10-26,398.105
2001-10-29,395.895
2001-10-30,386.572
2001-10-31,390.365
2001-11-01,395.164
2001-11-02,394.683
2001-11-05,400.813
2001-11-06,399.029
2001-11-07,403.5
2001-11-08,406.643
2001-11-09,402.379
2001-11-12,392.253
2001-11-13,402.045
2001-11-14,405.082
2001-11-15,405.308
2001-11-16,408.184
2001-11-19,411.747
2001-11-20,407.084
2001-11-21,400.476
2001-11-22,405.276
2001-11-23,402.113
2001-11-26,403.486
2001-11-27,399.378
2001-11-28,398.098
2001-11-29,398.249
2001-11-30,404.433
2001-12-03,401.156
2001-12-04,406.982
2001-12-05,417.71
2001-12-06,419.205
2001-12-07,416.828
2001-12-10,409.474
2001-12-11,409.243
2001-12-12,408.556
2001-12-13,401.268
2001-12-14,397.931
2001-12-17,410.202
2001-12-18,407.918
