Date,FRANCE IMI IMI (Large+Mid+Small Cap)
2001-01-01,557.831
2001-01-02,551.886
2001-01-03,538.774
2001-01-04,549.632
2001-01-05,548.965
2001-01-08,545.128
2001-01-09,533.837
2001-01-10,533.172
2001-01-11,543.277
2001-01-12,554.588
2001-01-15,551.276
2001-01-16,544.358
2001-01-17,549.149
2001-01-18,556.297
2001-01-19,551.252
2001-01-22,553.794
2001-01-23,552.317
2001-01-24,547.476
2001-01-25,548.71
2001-01-26,549.089
2001-01-29,544.135
2001-01-30,550.098
2001-01-31,560.356
2001-02-01,558.728
2001-02-02,549.284
2001-02-05,552.754
2001-02-06,550.461
2001-02-07,543.081
2001-02-08,537.049
2001-02-09,534.754
2001-02-12,541.258
2001-02-13,534.435
2001-02-14,524.94
2001-02-15,522.241
2001-02-16,520.176
2001-02-19,521.973
2001-02-20,512.737
2001-02-21,508.098
2001-02-22,503.23
2001-02-23,493.391
2001-02-26,501.527
2001-02-27,508.613
2001-02-28,502.731
2001-03-01,503.646
2001-03-02,503.161
2001-03-05,506.895
2001-03-06,516.174
2001-03-07,517.017
2001-03-08,515.702
2001-03-09,509.599
2001-03-12,496.738
2001-03-13,485.815
2001-03-14,475.892
2001-03-15,477.898
2001-03-16,465.921
2001-03-19,462.85
2001-03-20,472.564
2001-03-21,459.708
2001-03-22,435.389
2001-03-23,451.495
2001-03-26,466.383
2001-03-27,477.22
2001-03-28,466.934
2001-03-29,463.182
2001-03-30,466.883
2001-04-02,467.476
2001-04-03,453.216
2001-04-04,466.11
2001-04-05,471.097
2001-04-06,472.575
2001-04-09,476.253
2001-04-10,482.161
2001-04-11,481.878
2001-04-12,487.684
2001-04-13,487.684
2001-04-16,482.69
2001-04-17,478.204
2001-04-18,487.309
2001-04-19,495.13
2001-04-20,499.245
2001-04-23,493.267
2001-04-24,493.313
2001-04-25,493.59
2001-04-26,502.883
2001-04-27,505.26
2001-04-30,507.775
2001-05-01,510.467
2001-05-02,505.802
2001-05-03,498.626
2001-05-04,498.679
2001-05-07,500.39
2001-05-08,498.704
2001-05-09,496.513
2001-05-10,504.304
2001-05-11,498.183
2001-05-14,490.711
2001-05-15,498.04
2001-05-16,499.368
2001-05-17,503.58
2001-05-18,504.531
2001-05-21,504.969
2001-05-22,503.72
2001-05-23,496.379
2001-05-24,495.884
2001-05-25,490.587
2001-05-28,494.619
2001-05-29,486.672
2001-05-30,480.345
2001-05-31,475.332
2001-06-01,472.913
2001-06-04,473.559
2001-06-05,480.504
2001-06-06,477.95
2001-06-07,477.202
2001-06-08,475.57
2001-06-11,470.014
2001-06-12,464.996
2001-06-13,468.706
2001-06-14,468.12
2001-06-15,464.868
2001-06-18,458.423
2001-06-19,459.205
2001-06-20,453.038
2001-06-21,451.065
2001-06-22,455.324
2001-06-25,460.366
2001-06-26,450.858
2001-06-27,447.575
2001-06-28,447.802
2001-06-29,452.985
2001-07-02,458.991
2001-07-03,452.41
2001-07-04,449.873
2001-07-05,440.716
2001-07-06,435.097
2001-07-09,439.466
2001-07-10,439.891
2001-07-11,437.667
2001-07-12,436.59
