Date,FRANCE IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,639.462
2001-01-02,626.3
2001-01-03,606.745
2001-01-04,625.354
2001-01-05,622.618
2001-01-08,615.294
2001-01-09,600.648
2001-01-10,602.591
2001-01-11,614.485
2001-01-12,635.827
2001-01-15,630.154
2001-01-16,621.781
2001-01-17,633.851
2001-01-18,643.97
2001-01-19,640.982
2001-01-22,642.539
2001-01-23,639.35
2001-01-24,633.36
2001-01-25,632.781
2001-01-26,633.386
2001-01-29,625.253
2001-01-30,632.826
2001-01-31,647.529
2001-02-01,644.108
2001-02-02,629.63
2001-02-05,631.548
2001-02-06,629.17
2001-02-07,616.898
2001-02-08,609.932
2001-02-09,604.346
2001-02-12,612.885
2001-02-13,604.815
2001-02-14,587.448
2001-02-15,589.361
2001-02-16,581.679
2001-02-19,581.66
2001-02-20,570.271
2001-02-21,563.041
2001-02-22,558.58
2001-02-23,542.605
2001-02-26,554.386
2001-02-27,562.436
2001-02-28,551.093
2001-03-01,545.804
2001-03-02,547.421
2001-03-05,555.463
2001-03-06,571.376
2001-03-07,570.814
2001-03-08,565.033
2001-03-09,554.575
2001-03-12,535.894
2001-03-13,525.879
2001-03-14,515.837
2001-03-15,518.871
2001-03-16,502.336
2001-03-19,498.213
2001-03-20,512.573
2001-03-21,494.801
2001-03-22,469.254
2001-03-23,491.63
2001-03-26,510.576
2001-03-27,522.67
2001-03-28,509.634
2001-03-29,502.841
2001-03-30,504.286
2001-04-02,505.07
2001-04-03,486.488
2001-04-04,501.942
2001-04-05,509.965
2001-04-06,510.004
2001-04-09,515.061
2001-04-10,525.582
2001-04-11,526.822
2001-04-12,531.162
2001-04-13,531.162
2001-04-16,525.722
2001-04-17,519.133
2001-04-18,535.238
2001-04-19,542.738
2001-04-20,546.868
2001-04-23,538.798
2001-04-24,537.598
2001-04-25,537.639
2001-04-26,550.035
2001-04-27,552.422
2001-04-30,559.478
2001-05-01,562.446
2001-05-02,557.488
2001-05-03,547.877
2001-05-04,546.68
2001-05-07,548.348
2001-05-08,546.734
2001-05-09,544.161
2001-05-10,552.216
2001-05-11,543.313
2001-05-14,531.505
2001-05-15,538.781
2001-05-16,538.312
2001-05-17,544.496
2001-05-18,542.944
2001-05-21,543.809
2001-05-22,546.716
2001-05-23,536.674
2001-05-24,535.063
2001-05-25,529.122
2001-05-28,534.213
2001-05-29,522.375
2001-05-30,513.25
2001-05-31,507.56
2001-06-01,505.358
2001-06-04,506.049
2001-06-05,514.026
2001-06-06,510.657
2001-06-07,510.528
2001-06-08,508.765
2001-06-11,502.353
2001-06-12,496.391
2001-06-13,500.006
2001-06-14,498.975
2001-06-15,494.103
2001-06-18,487.04
2001-06-19,487.698
2001-06-20,481.231
2001-06-21,477.735
2001-06-22,481.112
2001-06-25,486.073
2001-06-26,476.279
2001-06-27,471.719
2001-06-28,472.278
2001-06-29,478.014
2001-07-02,483.757
2001-07-03,475.06
2001-07-04,471.235
2001-07-05,460.322
2001-07-06,454.149
2001-07-09,459.972
2001-07-10,459.753
2001-07-11,458.092
2001-07-12,458.52
2001-07-13,462.395
2001-07-16,463.147
2001-07-17,457.099
2001-07-18,458.728
2001-07-19,465.271
2001-07-20,463.459
2001-07-23,462.71
2001-07-24,460.798
2001-07-25,455.595
2001-07-26,459.546
2001-07-27,469.044
2001-07-30,475.693
2001-07-31,481.167
2001-08-01,487.014
2001-08-02,485.928
2001-08-03,481.45
2001-08-06,481.369
2001-08-07,477.42
2001-08-08,470.631
2001-08-09,467.027
2001-08-10,466.54
2001-08-13,474.786
2001-08-14,477.654
2001-08-15,483.288
2001-08-16,479.873
2001-08-17,471.639
2001-08-20,469.214
2001-08-21,475.429
2001-08-22,477.669
2001-08-23,473.874
2001-08-24,483.416
2001-08-27,480.897
2001-08-28,471.934
