Date,FRANCE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,237.402
1994-06-30,233.797
1994-07-29,252.151
1994-08-31,257.542
1994-09-30,250.407
1994-10-31,253.307
1994-11-30,245.982
1994-12-30,241.823
1995-01-31,237.323
1995-02-28,244.255
1995-03-31,272.449
1995-04-28,274.246
1995-05-31,275.704
1995-06-30,278.083
1995-07-31,288.243
1995-08-31,277.196
1995-09-29,283.374
1995-10-31,280.62
1995-11-30,272.205
1995-12-29,283.012
1996-01-31,300.705
1996-02-29,314.003
1996-03-29,332.629
1996-04-30,343.995
1996-05-31,343.662
1996-06-28,355.691
1996-07-31,348.101
1996-08-30,340.176
1996-09-30,351.962
1996-10-31,362.429
1996-11-29,380.148
1996-12-31,391.843
1997-01-31,390.746
1997-02-28,390.454
1997-03-31,397.931
1997-04-30,390.251
1997-05-30,383.885
1997-06-30,418.685
1997-07-31,417.126
1997-08-29,388.065
1997-09-30,412.892
1997-10-31,379.253
1997-11-28,389.925
1997-12-31,397.679
1998-01-30,410.893
1998-02-27,449.293
1998-03-31,479.557
1998-04-30,493.077
1998-05-29,523.213
1998-06-30,529.263
1998-07-31,529.657
1998-08-31,478.71
1998-09-30,446.074
1998-10-30,493.004
1998-11-30,517.287
1998-12-31,541.779
1999-01-29,551.116
1999-02-26,512.921
1999-03-31,523.611
1999-04-30,539.199
1999-05-31,537.503
1999-06-30,563.992
1999-07-30,566.204
1999-08-31,590.897
1999-09-30,593.502
1999-10-29,629.471
1999-11-30,656.314
1999-12-31,757.041
2000-01-31,709.426
2000-02-29,795.954
2000-03-31,781.126
2000-04-28,745.737
2000-05-31,754.24
2000-06-30,780.515
2000-07-31,761.776
2000-08-31,752.155
2000-09-29,688.0
2000-10-31,655.326
2000-11-30,594.487
2000-12-29,639.462
2001-01-31,647.529
2001-02-28,551.093
2001-03-30,504.286
2001-04-30,559.478
2001-05-31,507.56
2001-06-29,478.014
2001-07-31,481.167
2001-08-31,462.113
2001-09-28,408.332
2001-10-31,433.82
2001-11-30,443.468
2001-12-31,454.282
2002-01-31,429.001
2002-02-28,426.061
2002-03-29,451.193
2002-04-30,445.823
2002-05-31,442.717
2002-06-28,440.535
2002-07-31,387.865
