Date,FRANCE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,249.202
1994-06-30,244.934
1994-07-29,263.911
1994-08-31,269.541
1994-09-30,262.065
1994-10-31,265.088
1994-11-30,257.388
1994-12-30,253.027
1995-01-31,248.316
1995-02-28,255.555
1995-03-31,285.038
1995-04-28,286.848
1995-05-31,288.285
1995-06-30,289.988
1995-07-31,300.331
1995-08-31,288.81
1995-09-29,295.242
1995-10-31,292.368
1995-11-30,283.555
1995-12-29,294.794
1996-01-31,313.224
1996-02-29,327.063
1996-03-29,346.446
1996-04-30,358.155
1996-05-31,357.734
1996-06-28,369.558
1996-07-31,361.301
1996-08-30,353.069
1996-09-30,365.29
1996-10-31,376.147
1996-11-29,394.42
1996-12-31,406.538
1997-01-31,405.399
1997-02-28,405.085
1997-03-31,412.825
1997-04-30,404.725
1997-05-30,398.08
1997-06-30,433.403
1997-07-31,431.318
1997-08-29,401.263
1997-09-30,426.927
1997-10-31,392.138
1997-11-28,403.173
1997-12-31,411.127
1998-01-30,424.771
1998-02-27,464.454
1998-03-31,495.701
1998-04-30,509.539
1998-05-29,540.344
1998-06-30,545.764
1998-07-31,545.848
1998-08-31,493.297
1998-09-30,459.662
1998-10-30,508.02
1998-11-30,533.042
1998-12-31,558.28
1999-01-29,567.893
1999-02-26,528.529
1999-03-31,539.528
1999-04-30,555.505
1999-05-31,553.496
1999-06-30,580.276
1999-07-30,582.227
1999-08-31,607.619
1999-09-30,610.296
1999-10-29,647.282
1999-11-30,674.885
1999-12-31,778.433
2000-01-31,729.472
2000-02-29,818.438
2000-03-31,803.175
2000-04-28,766.719
2000-05-31,775.259
2000-06-30,801.786
2000-07-31,782.466
2000-08-31,772.537
2000-09-29,706.643
2000-10-31,673.083
2000-11-30,610.595
2000-12-29,656.758
2001-01-31,665.04
2001-02-28,565.979
2001-03-30,517.889
2001-04-30,574.549
2001-05-31,520.701
2001-06-29,490.045
2001-07-31,493.236
2001-08-31,473.701
2001-09-28,418.567
2001-10-31,444.682
2001-11-30,454.572
2001-12-31,465.63
2002-01-31,439.709
2002-02-28,436.692
2002-03-29,462.422
2002-04-30,456.777
2002-05-31,452.942
2002-06-28,450.336
2002-07-31,396.474
2002-08-30,387.573
2002-09-30,344.75
2002-10-31,381.714
2002-11-29,391.41
2002-12-31,385.44
2003-01-31,363.303
2003-02-28,347.7
2003-03-31,338.75
2003-04-30,382.541
2003-05-30,413.481
2003-06-30,415.265
2003-07-31,411.103
2003-08-29,418.179
2003-09-30,428.761
2003-10-31,452.013
2003-11-28,474.444
2003-12-31,511.635
2004-01-30,520.648
2004-02-27,531.381
2004-03-31,510.373
2004-04-30,499.99
2004-05-31,515.692
2004-06-30,523.522
2004-07-30,502.953
2004-08-31,498.543
2004-09-30,511.473
2004-10-29,533.368
2004-11-30,568.029
2004-12-31,596.707
2005-01-31,581.473
2005-02-28,602.241
2005-03-31,600.53
2005-04-29,579.976
2005-05-31,591.752
2005-06-30,597.322
2005-07-29,633.864
2005-08-31,639.95
2005-09-30,655.213
2005-10-31,620.335
2005-11-30,624.419
2005-12-30,649.095
2006-01-31,693.7
2006-02-28,680.739
2006-03-31,731.038
2006-04-28,756.084
2006-05-31,737.141
2006-06-30,742.433
2006-07-31,738.009
2006-08-31,764.861
2006-09-29,770.764
2006-10-31,781.874
2006-11-30,826.602
2006-12-29,857.666
2007-01-31,856.548
2007-02-28,879.361
2007-03-30,927.613
2007-04-30,981.28
2007-05-31,1000.0
2007-06-29,996.094
2007-07-31,963.397
2007-08-31,960.213
2007-09-28,1010.08
2007-10-31,1065.143
2007-11-30,1045.541
2007-12-31,1038.958
2008-01-31,902.342
2008-02-29,943.202
2008-03-31,976.329
2008-04-30,1008.641
2008-05-30,1051.314
2008-06-30,938.374
2008-07-31,908.37
2008-08-29,875.059
2008-09-30,736.004
2008-10-31,548.649
2008-11-28,525.75
2008-12-31,573.859
2009-01-30,492.351
2009-02-27,461.86
2009-03-31,489.1
2009-04-30,532.022
2009-05-29,589.083
2009-06-30,572.691
2009-07-31,626.981
2009-08-31,659.576
2009-09-30,698.811
2009-10-30,685.676
2009-11-30,706.554
2009-12-31,715.55
2010-01-29,677.551
2010-02-26,667.193
2010-03-31,708.925
2010-04-30,686.294
2010-05-31,598.054
2010-06-30,599.168
2010-07-30,667.558
2010-08-31,631.661
2010-09-30,730.301
2010-10-29,765.975
2010-11-30,693.552
2010-12-31,748.386
2011-01-31,773.762
2011-02-28,804.807
2011-03-31,817.496
2011-04-29,893.794
2011-05-31,867.344
2011-06-30,877.011
2011-07-29,821.061
2011-08-31,755.798
2011-09-30,640.092
2011-10-31,723.287
2011-11-30,682.429
2011-12-30,654.205
2012-01-31,700.343
2012-02-29,755.997
2012-03-30,770.191
2012-04-30,749.417
2012-05-31,671.45
2012-06-29,710.385
2012-07-31,709.846
2012-08-31,743.124
2012-09-28,745.584
2012-10-31,758.414
2012-11-30,800.978
2012-12-31,826.902
2013-01-31,874.468
2013-02-28,868.803
2013-03-29,862.14
2013-04-30,900.99
2013-05-31,913.807
2013-06-28,868.688
2013-07-31,939.687
2013-08-30,912.994
2013-09-30,981.834
2013-10-31,987.803
2013-11-29,991.153
2013-12-31,1005.354
2014-01-31,952.241
2014-02-28,1030.164
2014-03-31,1021.17
2014-04-30,1049.474
2014-05-30,1065.996
2014-06-30,1045.551
2014-07-31,969.505
2014-08-29,975.167
2014-09-30,924.432
2014-10-31,914.732
2014-11-28,962.28
2014-12-31,922.613
2015-01-30,943.854
2015-02-27,1008.379
2015-03-31,986.182
2015-04-30,1042.487
2015-05-29,1034.166
2015-06-30,997.638
2015-07-31,1044.696
2015-08-31,969.603
2015-09-30,943.607
2015-10-30,1024.759
2015-11-30,999.33
2015-12-31,971.256
2016-01-29,937.345
2016-02-29,928.545
2016-03-31,990.417
2016-04-29,989.184
2016-05-31,990.362
2016-06-30,950.587
2016-07-29,1008.55
2016-08-31,1008.472
2016-09-30,1025.681
2016-10-31,990.089
2016-11-30,962.443
2016-12-30,1005.627
2017-01-31,1024.703
2017-02-28,1046.032
2017-03-31,1104.949
2017-04-28,1185.15
2017-05-31,1253.242
2017-06-30,1241.279
2017-07-31,1266.376
2017-08-31,1289.996
2017-09-29,1353.544
2017-10-31,1401.884
2017-11-30,1405.969
2017-12-29,1414.873
2018-01-31,1514.746
2018-02-28,1442.62
2018-03-30,1438.941
2018-04-30,1510.953
2018-05-31,1490.682
2018-06-29,1473.926
2018-07-31,1501.392
2018-08-31,1496.605
2018-09-28,1494.831
2018-10-31,1337.541
2018-11-30,1310.438
2018-12-31,1272.709
2019-01-31,1356.318
2019-02-28,1434.735
2019-03-29,1457.332
2019-04-30,1533.596
2019-05-31,1448.909
2019-06-28,1592.2
2019-07-31,1566.312
2019-08-30,1546.409
2019-09-30,1545.926
2019-10-31,1610.702
2019-11-29,1647.559
2019-12-31,1685.194
2020-01-31,1656.397
2020-02-28,1503.635
2020-03-31,1264.95
2020-04-30,1336.617
2020-05-29,1402.246
2020-06-30,1485.503
2020-07-31,1561.423
2020-08-31,1638.259
2020-09-30,1592.757
2020-10-30,1543.689
2020-11-30,1834.359
2020-12-31,1910.312
2021-01-29,1839.071
2021-02-26,1887.699
2021-03-31,1936.859
2021-04-30,2093.149
2021-05-31,2197.655
2021-06-30,2182.451
2021-07-30,2248.695
2021-08-31,2224.525
2021-09-30,2099.839
2021-10-29,2214.524
2021-11-30,2173.745
2021-12-31,2305.666
2022-01-31,2104.23
2022-02-28,2028.654
2022-03-31,2029.522
2022-04-29,1851.615
2022-05-31,1819.263
2022-06-30,1643.81
2022-07-29,1812.765
2022-08-31,1681.69
2022-09-30,1532.959
2022-10-31,1653.443
2022-11-30,1859.304
2022-12-30,1826.957
2023-01-31,2076.126
2023-02-28,2060.547
2023-03-31,2178.226
2023-04-28,2265.673
2023-05-31,2106.02
2023-06-30,2259.521
2023-07-31,2288.505
2023-08-31,2166.466
2023-09-29,1994.159
2023-10-31,1922.181
2023-11-30,2135.302
2023-12-29,2239.313
2024-01-31,2243.998
2024-02-29,2376.181
2024-03-29,2406.406
2024-04-30,2284.176
2024-05-31,2333.198
2024-06-28,2182.519
2024-07-31,2181.6
2024-08-30,2252.575
2024-09-30,2295.415
2024-10-31,2111.121
2024-11-29,2054.286
2024-12-31,2076.25
2025-01-31,2255.482
2025-02-28,2261.191
2025-03-31,2179.129
2025-04-30,2235.992
2025-05-30,2330.698
2025-06-30,2393.427
2025-07-31,2375.043
2025-08-29,2407.46
2025-09-30,2510.007
2025-10-31,2576.188
2025-11-28,2539.065
2025-12-31,2552.865
