Date,FRANCE LARGE GROWTH Large Cap
2001-01-01,675.758
2001-01-02,660.281
2001-01-03,640.911
2001-01-04,662.287
2001-01-05,658.662
2001-01-08,651.149
2001-01-09,634.104
2001-01-10,636.773
2001-01-11,648.148
2001-01-12,672.014
2001-01-15,665.329
2001-01-16,656.254
2001-01-17,669.907
2001-01-18,680.003
2001-01-19,674.484
2001-01-22,677.09
2001-01-23,673.393
2001-01-24,666.875
2001-01-25,666.873
2001-01-26,667.984
2001-01-29,658.449
2001-01-30,667.161
2001-01-31,683.082
2001-02-01,678.014
2001-02-02,661.117
2001-02-05,663.257
2001-02-06,660.288
2001-02-07,646.592
2001-02-08,639.276
2001-02-09,632.891
2001-02-12,643.049
2001-02-13,634.626
2001-02-14,614.955
2001-02-15,616.862
2001-02-16,607.598
2001-02-19,607.21
2001-02-20,595.169
2001-02-21,587.045
2001-02-22,583.419
2001-02-23,564.069
2001-02-26,577.562
2001-02-27,586.312
2001-02-28,573.656
2001-03-01,568.592
2001-03-02,570.474
2001-03-05,580.533
2001-03-06,597.075
2001-03-07,596.147
2001-03-08,588.681
2001-03-09,577.157
2001-03-12,557.137
2001-03-13,548.005
2001-03-14,537.915
2001-03-15,542.262
2001-03-16,524.178
2001-03-19,519.424
2001-03-20,536.068
2001-03-21,517.033
2001-03-22,490.895
2001-03-23,515.696
2001-03-26,536.374
2001-03-27,550.097
2001-03-28,535.216
2001-03-29,528.859
2001-03-30,529.96
2001-04-02,531.661
2001-04-03,511.74
2001-04-04,529.508
2001-04-05,538.729
2001-04-06,539.218
2001-04-09,545.308
2001-04-10,557.754
2001-04-11,558.621
2001-04-12,562.736
2001-04-13,562.736
2001-04-16,556.973
2001-04-17,550.055
2001-04-18,568.106
2001-04-19,574.423
2001-04-20,578.128
2001-04-23,569.733
2001-04-24,568.41
2001-04-25,567.948
2001-04-26,581.427
2001-04-27,583.589
2001-04-30,591.875
2001-05-01,595.013
2001-05-02,588.317
2001-05-03,576.763
2001-05-04,576.152
2001-05-07,577.54
2001-05-08,575.735
2001-05-09,573.199
2001-05-10,583.226
2001-05-11,572.908
2001-05-14,559.87
2001-05-15,568.24
2001-05-16,567.086
2001-05-17,574.478
2001-05-18,572.826
2001-05-21,573.598
2001-05-22,577.29
2001-05-23,565.435
2001-05-24,564.188
2001-05-25,556.715
2001-05-28,562.088
2001-05-29,548.866
2001-05-30,538.17
2001-05-31,533.269
2001-06-01,530.759
2001-06-04,531.48
2001-06-05,540.412
2001-06-06,536.896
2001-06-07,536.091
2001-06-08,534.109
2001-06-11,527.688
2001-06-12,521.727
2001-06-13,526.38
2001-06-14,526.018
2001-06-15,520.857
2001-06-18,513.182
2001-06-19,514.367
2001-06-20,508.467
2001-06-21,504.285
2001-06-22,507.754
2001-06-25,513.798
2001-06-26,502.667
2001-06-27,497.793
2001-06-28,498.747
2001-06-29,505.637
2001-07-02,512.224
2001-07-03,501.892
2001-07-04,497.225
2001-07-05,485.694
2001-07-06,478.865
2001-07-09,485.953
2001-07-10,484.078
2001-07-11,482.33
2001-07-12,482.899
2001-07-13,487.723
2001-07-16,487.802
2001-07-17,480.929
2001-07-18,481.409
2001-07-19,489.596
2001-07-20,487.484
2001-07-23,487.138
2001-07-24,484.442
2001-07-25,478.042
2001-07-26,483.016
2001-07-27,494.153
2001-07-30,501.726
2001-07-31,508.063
2001-08-01,514.387
2001-08-02,511.922
2001-08-03,506.837
2001-08-06,507.21
2001-08-07,503.364
2001-08-08,495.093
2001-08-09,490.766
2001-08-10,490.135
2001-08-13,499.841
2001-08-14,502.626
2001-08-15,508.46
2001-08-16,504.99
2001-08-17,494.996
2001-08-20,492.81
2001-08-21,499.994
2001-08-22,502.475
2001-08-23,498.242
2001-08-24,509.184
2001-08-27,506.463
2001-08-28,496.042
2001-08-29,498.441
2001-08-30,485.641
2001-08-31,485.025
2001-09-03,479.543
2001-09-04,477.357
2001-09-05,467.474
2001-09-06,463.527
2001-09-07,463.544
2001-09-10,458.678
2001-09-11,433.139
2001-09-12,438.832
2001-09-13,438.006
2001-09-14,423.489
2001-09-17,431.374
2001-09-18,431.168
