Date,FRANCE LARGE VALUE Large Cap
1994-05-31,162.329
1994-06-30,157.64
1994-07-29,173.461
1994-08-31,173.008
1994-09-30,158.802
1994-10-31,164.804
1994-11-30,164.865
1994-12-30,158.264
1995-01-31,152.262
1995-02-28,153.023
1995-03-31,169.36
1995-04-28,170.971
1995-05-31,174.616
1995-06-30,174.15
1995-07-31,182.771
1995-08-31,168.087
1995-09-29,161.531
1995-10-31,164.161
1995-11-30,165.549
1995-12-29,171.545
1996-01-31,172.814
1996-02-29,173.302
1996-03-29,174.233
1996-04-30,176.76
1996-05-31,176.23
1996-06-28,179.549
1996-07-31,175.163
1996-08-30,173.638
1996-09-30,181.616
1996-10-31,183.639
1996-11-29,193.202
1996-12-31,193.461
1997-01-31,202.626
1997-02-28,202.987
1997-03-31,210.492
1997-04-30,197.847
1997-05-30,201.087
1997-06-30,216.396
1997-07-31,227.357
1997-08-29,214.199
1997-09-30,236.961
1997-10-31,225.566
1997-11-28,226.661
1997-12-31,234.6
1998-01-30,243.437
1998-02-27,264.187
1998-03-31,297.028
1998-04-30,310.302
1998-05-29,327.061
1998-06-30,342.047
1998-07-31,348.871
1998-08-31,303.821
1998-09-30,284.667
1998-10-30,314.898
1998-11-30,336.235
1998-12-31,346.023
1999-01-29,362.462
1999-02-26,341.858
1999-03-31,342.386
1999-04-30,351.668
1999-05-31,342.122
1999-06-30,347.966
1999-07-30,354.704
1999-08-31,361.75
1999-09-30,374.466
1999-10-29,388.401
1999-11-30,407.181
1999-12-31,434.238
2000-01-31,407.126
2000-02-29,420.555
2000-03-31,438.995
2000-04-28,429.916
2000-05-31,444.714
2000-06-30,468.675
2000-07-31,466.064
2000-08-31,450.562
2000-09-29,435.634
2000-10-31,436.198
2000-11-30,441.212
2000-12-29,476.076
2001-01-31,469.723
2001-02-28,448.99
2001-03-30,428.158
2001-04-30,456.748
2001-05-31,445.845
2001-06-29,437.537
2001-07-31,442.035
2001-08-31,423.816
2001-09-28,356.928
2001-10-31,374.763
2001-11-30,396.569
2001-12-31,407.783
2002-01-31,375.251
2002-02-28,375.111
2002-03-29,405.192
2002-04-30,395.216
2002-05-31,401.677
2002-06-28,374.152
2002-07-31,314.596
2002-08-30,316.935
2002-09-30,243.592
2002-10-31,286.058
2002-11-29,309.876
2002-12-31,297.412
2003-01-31,301.984
2003-02-28,282.92
2003-03-31,269.769
2003-04-30,321.304
2003-05-30,343.345
2003-06-30,352.971
2003-07-31,368.766
2003-08-29,367.247
2003-09-30,361.833
2003-10-31,393.14
2003-11-28,412.978
2003-12-31,458.712
2004-01-30,456.283
2004-02-27,470.641
2004-03-31,456.781
2004-04-30,455.751
2004-05-31,470.177
2004-06-30,480.755
2004-07-30,467.887
2004-08-31,474.568
2004-09-30,493.804
2004-10-29,512.087
2004-11-30,535.966
2004-12-31,554.5
2005-01-31,549.738
2005-02-28,582.43
2005-03-31,570.986
2005-04-29,540.718
2005-05-31,553.842
2005-06-30,563.452
2005-07-29,597.975
2005-08-31,592.841
2005-09-30,612.897
2005-10-31,596.333
2005-11-30,614.034
2005-12-30,630.395
2006-01-31,695.11
2006-02-28,698.972
2006-03-31,733.618
2006-04-28,760.706
2006-05-31,758.366
2006-06-30,768.648
2006-07-31,778.793
2006-08-31,802.563
2006-09-29,807.853
2006-10-31,836.924
2006-11-30,859.579
2006-12-29,888.557
2007-01-31,885.276
2007-02-28,869.975
2007-03-30,882.585
2007-04-30,970.351
2007-05-31,1000.0
2007-06-29,998.642
2007-07-31,962.204
