Date,FRANCE MID CAP Mid Cap
1994-05-31,168.323
1994-06-30,164.084
1994-07-29,175.472
1994-08-31,177.691
1994-09-30,170.362
1994-10-31,172.412
1994-11-30,167.107
1994-12-30,165.506
1995-01-31,162.349
1995-02-28,167.275
1995-03-31,182.614
1995-04-28,182.148
1995-05-31,187.045
1995-06-30,189.506
1995-07-31,195.223
1995-08-31,183.243
1995-09-29,186.472
1995-10-31,185.415
1995-11-30,179.105
1995-12-29,181.646
1996-01-31,192.369
1996-02-29,205.552
1996-03-29,211.294
1996-04-30,212.221
1996-05-31,215.002
1996-06-28,221.701
1996-07-31,220.19
1996-08-30,216.062
1996-09-30,213.957
1996-10-31,217.751
1996-11-29,221.697
1996-12-31,226.742
1997-01-31,228.707
1997-02-28,228.676
1997-03-31,232.119
1997-04-30,220.992
1997-05-30,220.268
1997-06-30,230.809
1997-07-31,230.57
1997-08-29,223.15
1997-09-30,232.073
1997-10-31,225.635
1997-11-28,226.197
1997-12-31,231.933
1998-01-30,237.78
1998-02-27,260.614
1998-03-31,283.118
1998-04-30,297.194
1998-05-29,317.736
1998-06-30,319.37
1998-07-31,318.723
1998-08-31,292.109
1998-09-30,274.802
1998-10-30,293.021
1998-11-30,300.751
1998-12-31,313.605
1999-01-29,313.495
1999-02-26,293.786
1999-03-31,294.087
1999-04-30,308.562
1999-05-31,311.429
1999-06-30,319.362
1999-07-30,322.608
1999-08-31,336.061
1999-09-30,338.478
1999-10-29,341.954
1999-11-30,356.049
1999-12-31,419.667
2000-01-31,409.036
2000-02-29,454.592
2000-03-31,447.296
2000-04-28,410.742
2000-05-31,406.493
2000-06-30,425.041
2000-07-31,421.713
2000-08-31,428.07
2000-09-29,385.189
2000-10-31,366.816
2000-11-30,363.538
2000-12-29,404.525
2001-01-31,407.92
2001-02-28,393.701
2001-03-30,351.828
2001-04-30,369.717
2001-05-31,353.279
2001-06-29,331.851
2001-07-31,343.337
2001-08-31,343.653
2001-09-28,281.32
2001-10-31,306.584
2001-11-30,321.616
2001-12-31,329.056
2002-01-31,322.194
2002-02-28,327.656
2002-03-29,352.132
2002-04-30,351.86
2002-05-31,354.125
2002-06-28,339.48
2002-07-31,301.097
2002-08-30,292.187
2002-09-30,251.461
2002-10-31,281.472
2002-11-29,306.32
2002-12-31,282.378
2003-01-31,275.245
2003-02-28,262.106
2003-03-31,247.53
2003-04-30,291.106
2003-05-30,317.236
2003-06-30,324.458
2003-07-31,338.049
2003-08-29,342.403
2003-09-30,344.569
2003-10-31,370.673
2003-11-28,391.134
2003-12-31,413.003
2004-01-30,423.421
2004-02-27,432.984
2004-03-31,418.938
2004-04-30,415.995
2004-05-31,426.361
2004-06-30,443.057
2004-07-30,427.694
2004-08-31,426.053
2004-09-30,436.106
2004-10-29,454.769
2004-11-30,494.199
2004-12-31,523.59
2005-01-31,517.648
2005-02-28,542.226
2005-03-31,530.567
2005-04-29,510.927
2005-05-31,521.644
2005-06-30,529.795
2005-07-29,552.544
2005-08-31,562.564
2005-09-30,570.557
2005-10-31,543.053
2005-11-30,560.403
2005-12-30,585.434
2006-01-31,640.279
2006-02-28,643.47
2006-03-31,679.551
2006-04-28,713.826
2006-05-31,685.86
2006-06-30,690.712
2006-07-31,673.958
2006-08-31,710.593
2006-09-29,729.488
2006-10-31,764.529
2006-11-30,817.923
2006-12-29,857.741
2007-01-31,857.186
2007-02-28,881.063
2007-03-30,941.665
2007-04-30,982.284
2007-05-31,1000.0
2007-06-29,989.555
2007-07-31,958.215
2007-08-31,941.275
2007-09-28,966.169
2007-10-31,993.084
2007-11-30,943.39
2007-12-31,916.443
2008-01-31,821.116
2008-02-29,870.044
2008-03-31,885.62
2008-04-30,913.37
2008-05-30,930.03
2008-06-30,829.733
2008-07-31,801.146
2008-08-29,813.045
2008-09-30,686.439
2008-10-31,515.172
2008-11-28,491.647
2008-12-31,545.32
2009-01-30,494.401
2009-02-27,444.92
2009-03-31,466.498
2009-04-30,541.819
2009-05-29,601.942
2009-06-30,592.141
2009-07-31,658.126
2009-08-31,715.006
2009-09-30,777.284
2009-10-30,736.781
2009-11-30,741.616
2009-12-31,762.776
2010-01-29,742.066
2010-02-26,742.875
2010-03-31,793.692
2010-04-30,785.231
2010-05-31,694.025
2010-06-30,687.616
2010-07-30,754.721
2010-08-31,705.417
2010-09-30,810.05
2010-10-29,853.452
2010-11-30,782.195
2010-12-31,861.157
2011-01-31,898.216
2011-02-28,952.042
2011-03-31,976.63
2011-04-29,1045.729
2011-05-31,1020.286
2011-06-30,1023.915
2011-07-29,937.374
2011-08-31,846.324
2011-09-30,703.67
2011-10-31,773.216
2011-11-30,720.063
2011-12-30,694.295
2012-01-31,741.48
2012-02-29,813.466
2012-03-30,828.172
2012-04-30,782.423
2012-05-31,679.283
2012-06-29,736.744
2012-07-31,728.015
2012-08-31,755.462
2012-09-28,793.05
2012-10-31,792.154
2012-11-30,830.994
2012-12-31,849.324
2013-01-31,899.689
2013-02-28,901.004
2013-03-29,881.561
2013-04-30,908.468
2013-05-31,931.073
2013-06-28,895.334
2013-07-31,974.232
2013-08-30,960.421
2013-09-30,1026.97
2013-10-31,1048.76
2013-11-29,1045.674
2013-12-31,1067.708
2014-01-31,1021.817
2014-02-28,1121.721
2014-03-31,1137.238
2014-04-30,1149.316
2014-05-30,1168.317
2014-06-30,1143.962
2014-07-31,1079.932
2014-08-29,1059.044
2014-09-30,993.674
2014-10-31,966.255
2014-11-28,1017.094
2014-12-31,992.668
2015-01-30,1020.052
2015-02-27,1071.067
2015-03-31,1045.07
2015-04-30,1108.478
2015-05-29,1107.918
2015-06-30,1068.818
2015-07-31,1084.605
2015-08-31,1017.918
2015-09-30,987.681
2015-10-30,1052.749
2015-11-30,1047.259
2015-12-31,1036.457
2016-01-29,988.58
2016-02-29,959.726
2016-03-31,1064.932
2016-04-29,1089.621
2016-05-31,1062.251
2016-06-30,991.964
2016-07-29,1078.481
2016-08-31,1077.536
2016-09-30,1110.664
2016-10-31,1078.681
2016-11-30,1048.014
2016-12-30,1094.399
2017-01-31,1119.405
2017-02-28,1134.426
2017-03-31,1210.36
2017-04-28,1278.308
2017-05-31,1363.267
2017-06-30,1341.537
2017-07-31,1383.366
2017-08-31,1400.31
2017-09-29,1464.852
2017-10-31,1464.645
2017-11-30,1472.9
2017-12-29,1483.474
2018-01-31,1582.26
2018-02-28,1484.864
2018-03-30,1462.783
2018-04-30,1495.852
2018-05-31,1463.194
2018-06-29,1449.393
2018-07-31,1486.067
2018-08-31,1457.121
2018-09-28,1443.114
2018-10-31,1296.42
2018-11-30,1257.94
2018-12-31,1179.895
2019-01-31,1266.551
2019-02-28,1320.021
2019-03-29,1299.356
2019-04-30,1382.19
2019-05-31,1295.226
2019-06-28,1403.913
2019-07-31,1402.233
2019-08-30,1365.514
2019-09-30,1386.262
2019-10-31,1452.108
2019-11-29,1469.035
2019-12-31,1507.736
2020-01-31,1495.516
2020-02-28,1390.917
2020-03-31,1097.136
2020-04-30,1197.919
