Date,FRANCE MID CAP Mid Cap
2001-01-01,419.228
2001-01-02,417.35
2001-01-03,403.752
2001-01-04,408.906
2001-01-05,412.129
2001-01-08,405.945
2001-01-09,402.041
2001-01-10,401.959
2001-01-11,409.783
2001-01-12,414.671
2001-01-15,411.678
2001-01-16,407.762
2001-01-17,410.034
2001-01-18,417.537
2001-01-19,419.829
2001-01-22,416.422
2001-01-23,416.803
2001-01-24,411.211
2001-01-25,412.655
2001-01-26,412.361
2001-01-29,411.012
2001-01-30,414.501
2001-01-31,422.716
2001-02-01,425.745
2001-02-02,421.462
2001-02-05,423.486
2001-02-06,423.132
2001-02-07,420.014
2001-02-08,416.468
2001-02-09,415.616
2001-02-12,417.503
2001-02-13,412.204
2001-02-14,409.233
2001-02-15,409.325
2001-02-16,412.593
2001-02-19,413.388
2001-02-20,407.582
2001-02-21,406.455
2001-02-22,403.275
2001-02-23,400.738
2001-02-26,404.053
2001-02-27,410.545
2001-02-28,407.95
2001-03-01,406.158
2001-03-02,408.478
2001-03-05,407.366
2001-03-06,413.656
2001-03-07,414.756
2001-03-08,415.577
2001-03-09,413.044
2001-03-12,403.15
2001-03-13,392.007
2001-03-14,382.001
2001-03-15,380.886
2001-03-16,371.755
2001-03-19,371.802
2001-03-20,373.867
2001-03-21,363.137
2001-03-22,342.856
2001-03-23,354.729
2001-03-26,364.831
2001-03-27,371.356
2001-03-28,366.342
2001-03-29,360.793
2001-03-30,364.5
2001-04-02,360.617
2001-04-03,352.206
2001-04-04,357.577
2001-04-05,358.005
2001-04-06,357.942
2001-04-09,358.598
2001-04-10,360.494
2001-04-11,360.924
2001-04-12,366.905
2001-04-13,366.905
2001-04-16,363.148
2001-04-17,359.409
2001-04-18,364.175
2001-04-19,374.413
2001-04-20,379.994
2001-04-23,375.142
2001-04-24,375.263
2001-04-25,375.823
2001-04-26,380.402
2001-04-27,382.526
2001-04-30,382.967
2001-05-01,384.997
2001-05-02,385.231
2001-05-03,383.691
2001-05-04,381.228
2001-05-07,382.625
2001-05-08,382.435
2001-05-09,380.474
2001-05-10,380.636
2001-05-11,378.96
2001-05-14,373.994
2001-05-15,377.879
2001-05-16,379.339
2001-05-17,382.026
2001-05-18,380.697
2001-05-21,380.803
2001-05-22,380.093
2001-05-23,377.355
2001-05-24,375.278
2001-05-25,374.585
2001-05-28,377.246
2001-05-29,373.548
2001-05-30,372.602
2001-05-31,365.555
2001-06-01,365.908
2001-06-04,366.405
2001-06-05,369.366
2001-06-06,367.031
2001-06-07,369.588
2001-06-08,367.9
2001-06-11,363.149
2001-06-12,358.652
2001-06-13,358.19
2001-06-14,355.536
2001-06-15,352.015
2001-06-18,351.309
2001-06-19,350.908
2001-06-20,343.648
2001-06-21,343.284
2001-06-22,346.843
2001-06-25,347.808
2001-06-26,342.746
2001-06-27,341.524
2001-06-28,339.742
2001-06-29,342.645
2001-07-02,343.39
2001-07-03,342.083
2001-07-04,343.655
2001-07-05,336.678
2001-07-06,334.453
2001-07-09,335.683
2001-07-10,341.173
2001-07-11,340.315
2001-07-12,339.195
2001-07-13,340.236
2001-07-16,342.975
2001-07-17,340.312
2001-07-18,344.95
2001-07-19,347.277
2001-07-20,346.485
2001-07-23,344.82
2001-07-24,346.211
2001-07-25,346.636
2001-07-26,347.3
2001-07-27,350.135
2001-07-30,352.997
2001-07-31,354.389
2001-08-01,358.337
2001-08-02,361.823
2001-08-03,360.669
2001-08-06,358.079
2001-08-07,354.825
2001-08-08,355.246
2001-08-09,356.692
2001-08-10,356.247
2001-08-13,359.013
2001-08-14,360.381
2001-08-15,364.75
2001-08-16,362.484
2001-08-17,361.069
2001-08-20,358.895
2001-08-21,361.004
2001-08-22,362.233
2001-08-23,360.32
2001-08-24,364.057
2001-08-27,362.225
2001-08-28,359.391
2001-08-29,359.754
2001-08-30,354.611
2001-08-31,354.716
2001-09-03,348.768
2001-09-04,342.384
2001-09-05,337.523
2001-09-06,330.937
2001-09-07,333.231
2001-09-10,327.714
2001-09-11,307.262
2001-09-12,302.789
2001-09-13,302.241
2001-09-14,293.013
2001-09-17,294.21
2001-09-18,293.612
2001-09-19,291.619
2001-09-20,278.174
2001-09-21,267.454
2001-09-24,278.057
2001-09-25,287.731
2001-09-26,292.917
2001-09-27,291.276
2001-09-28,290.343
2001-10-01,290.54
2001-10-02,286.995
2001-10-03,286.691
2001-10-04,290.38
2001-10-05,294.848
2001-10-08,296.28
2001-10-09,299.171
2001-10-10,303.953
2001-10-11,307.836
2001-10-12,310.19
2001-10-15,307.597
2001-10-16,311.443
2001-10-17,316.176
2001-10-18,309.41
2001-10-19,308.017
2001-10-22,307.746
2001-10-23,312.269
2001-10-24,316.448
2001-10-25,316.393
2001-10-26,319.41
2001-10-29,320.18
2001-10-30,315.306
2001-10-31,316.419
2001-11-01,319.238
2001-11-02,317.949
2001-11-05,320.1
2001-11-06,318.102
