Date,FRANCE SMALL GROWTH Small Cap
1994-05-31,270.651
1994-06-30,268.754
1994-07-29,280.187
1994-08-31,285.903
1994-09-30,286.653
1994-10-31,284.772
1994-11-30,273.038
1994-12-30,277.164
1995-01-31,268.058
1995-02-28,273.222
1995-03-31,291.604
1995-04-28,287.54
1995-05-31,292.374
1995-06-30,299.71
1995-07-31,301.247
1995-08-31,288.218
1995-09-29,290.483
1995-10-31,282.417
1995-11-30,277.71
1995-12-29,283.417
1996-01-31,288.404
1996-02-29,307.213
1996-03-29,324.36
1996-04-30,332.129
1996-05-31,335.703
1996-06-28,338.728
1996-07-31,339.432
1996-08-30,331.669
1996-09-30,325.312
1996-10-31,333.98
1996-11-29,341.275
1996-12-31,353.344
1997-01-31,358.69
1997-02-28,356.282
1997-03-31,362.351
1997-04-30,345.112
1997-05-30,338.037
1997-06-30,344.796
1997-07-31,341.298
1997-08-29,350.119
1997-09-30,356.39
1997-10-31,340.46
1997-11-28,332.407
1997-12-31,340.682
1998-01-30,344.655
1998-02-27,368.988
1998-03-31,386.432
1998-04-30,417.174
1998-05-29,454.225
1998-06-30,434.897
1998-07-31,432.391
1998-08-31,389.325
1998-09-30,364.406
1998-10-30,385.842
1998-11-30,391.224
1998-12-31,388.587
1999-01-29,362.2
1999-02-26,358.772
1999-03-31,352.397
1999-04-30,369.603
1999-05-31,372.38
1999-06-30,380.117
1999-07-30,386.768
1999-08-31,402.149
1999-09-30,412.112
1999-10-29,422.735
1999-11-30,450.38
1999-12-31,506.921
2000-01-31,552.955
2000-02-29,711.98
2000-03-31,650.189
2000-04-28,555.853
2000-05-31,566.412
2000-06-30,569.523
2000-07-31,546.449
2000-08-31,585.579
2000-09-29,563.31
2000-10-31,507.681
2000-11-30,478.286
2000-12-29,509.156
2001-01-31,519.787
2001-02-28,469.945
2001-03-30,413.03
2001-04-30,438.063
2001-05-31,425.305
2001-06-29,383.646
2001-07-31,379.129
2001-08-31,375.925
2001-09-28,302.869
2001-10-31,324.975
2001-11-30,347.864
2001-12-31,348.666
2002-01-31,347.621
2002-02-28,346.248
2002-03-29,367.285
2002-04-30,370.082
2002-05-31,368.799
2002-06-28,354.556
2002-07-31,304.135
2002-08-30,299.753
2002-09-30,241.073
2002-10-31,263.419
2002-11-29,288.985
2002-12-31,269.234
2003-01-31,260.714
2003-02-28,238.706
2003-03-31,229.34
2003-04-30,272.924
2003-05-30,311.459
2003-06-30,312.172
2003-07-31,322.045
2003-08-29,327.474
2003-09-30,348.087
2003-10-31,372.075
2003-11-28,389.296
2003-12-31,401.235
2004-01-30,417.956
2004-02-27,427.26
2004-03-31,421.696
2004-04-30,406.618
2004-05-31,408.965
2004-06-30,423.246
2004-07-30,396.291
2004-08-31,388.569
2004-09-30,415.014
2004-10-29,430.864
2004-11-30,457.831
2004-12-31,494.544
2005-01-31,511.432
2005-02-28,540.657
2005-03-31,526.838
2005-04-29,504.847
2005-05-31,517.049
2005-06-30,535.576
2005-07-29,581.623
2005-08-31,600.646
2005-09-30,634.726
2005-10-31,591.091
2005-11-30,607.381
2005-12-30,640.159
2006-01-31,701.452
2006-02-28,706.574
2006-03-31,774.307
2006-04-28,804.504
2006-05-31,767.588
2006-06-30,750.383
2006-07-31,721.226
2006-08-31,755.001
2006-09-29,745.262
2006-10-31,785.642
2006-11-30,842.446
2006-12-29,867.813
2007-01-31,873.094
2007-02-28,884.58
2007-03-30,930.265
2007-04-30,980.006
