Date,FRANCE SMALL VALUE Small Cap
2001-01-01,253.471
2001-01-02,255.814
2001-01-03,253.048
2001-01-04,256.594
2001-01-05,256.793
2001-01-08,256.373
2001-01-09,254.101
2001-01-10,252.754
2001-01-11,256.691
2001-01-12,258.455
2001-01-15,257.215
2001-01-16,257.614
2001-01-17,257.728
2001-01-18,263.251
2001-01-19,262.787
2001-01-22,263.084
2001-01-23,263.88
2001-01-24,260.208
2001-01-25,259.944
2001-01-26,260.555
2001-01-29,259.052
2001-01-30,261.714
2001-01-31,264.286
2001-02-01,267.554
2001-02-02,266.69
2001-02-05,268.179
2001-02-06,266.126
2001-02-07,265.072
2001-02-08,262.738
2001-02-09,262.311
2001-02-12,264.571
2001-02-13,262.212
2001-02-14,260.188
2001-02-15,256.778
2001-02-16,259.234
2001-02-19,260.635
2001-02-20,257.286
2001-02-21,257.146
2001-02-22,255.898
2001-02-23,256.286
2001-02-26,257.091
2001-02-27,260.743
2001-02-28,260.183
2001-03-01,262.757
2001-03-02,264.408
2001-03-05,264.791
2001-03-06,266.773
2001-03-07,266.7
2001-03-08,268.907
2001-03-09,268.391
2001-03-12,266.002
2001-03-13,260.346
2001-03-14,255.31
2001-03-15,253.991
2001-03-16,251.084
2001-03-19,249.974
2001-03-20,251.38
2001-03-21,247.645
2001-03-22,240.037
2001-03-23,244.302
2001-03-26,246.023
2001-03-27,247.122
2001-03-28,244.558
2001-03-29,241.675
2001-03-30,243.475
2001-04-02,242.869
2001-04-03,241.149
2001-04-04,245.137
2001-04-05,246.899
2001-04-06,249.674
2001-04-09,250.875
2001-04-10,248.58
2001-04-11,248.1
2001-04-12,250.652
2001-04-13,250.652
2001-04-16,248.085
2001-04-17,245.684
2001-04-18,244.698
2001-04-19,248.919
2001-04-20,252.167
2001-04-23,251.91
2001-04-24,251.847
2001-04-25,253.17
2001-04-26,255.81
2001-04-27,254.326
2001-04-30,253.801
2001-05-01,255.14
2001-05-02,257.135
2001-05-03,259.003
2001-05-04,258.885
2001-05-07,258.214
2001-05-08,257.647
2001-05-09,256.603
2001-05-10,256.007
2001-05-11,255.627
2001-05-14,255.09
2001-05-15,256.935
2001-05-16,258.285
2001-05-17,258.531
2001-05-18,257.181
2001-05-21,257.806
2001-05-22,256.184
2001-05-23,254.165
2001-05-24,253.009
2001-05-25,252.996
2001-05-28,255.744
2001-05-29,253.265
2001-05-30,254.397
2001-05-31,252.648
2001-06-01,252.587
2001-06-04,252.943
2001-06-05,254.242
2001-06-06,253.913
2001-06-07,253.65
2001-06-08,254.028
2001-06-11,251.099
2001-06-12,252.008
2001-06-13,252.873
2001-06-14,253.867
2001-06-15,253.999
2001-06-18,252.996
2001-06-19,251.866
2001-06-20,249.871
2001-06-21,249.552
2001-06-22,249.643
2001-06-25,251.295
2001-06-26,250.034
2001-06-27,248.914
2001-06-28,244.905
2001-06-29,245.948
2001-07-02,247.422
2001-07-03,248.274
2001-07-04,248.203
2001-07-05,245.853
2001-07-06,246.612
2001-07-09,247.973
2001-07-10,249.412
2001-07-11,249.654
2001-07-12,247.174
2001-07-13,246.657
2001-07-16,247.891
2001-07-17,247.241
2001-07-18,252.392
2001-07-19,252.111
