Date,FRANCE GROWTH Standard (Large+Mid Cap)
2001-01-01,2228.637
2001-01-02,2172.758
2001-01-03,2113.69
2001-01-04,2200.751
2001-01-05,2173.282
2001-01-08,2145.025
2001-01-09,2089.554
2001-01-10,2093.098
2001-01-11,2131.094
2001-01-12,2221.443
2001-01-15,2180.227
2001-01-16,2142.625
2001-01-17,2194.562
2001-01-18,2235.413
2001-01-19,2207.234
2001-01-22,2213.568
2001-01-23,2192.603
2001-01-24,2166.381
2001-01-25,2156.336
2001-01-26,2161.69
2001-01-29,2134.2
2001-01-30,2165.883
2001-01-31,2239.238
2001-02-01,2219.031
2001-02-02,2150.93
2001-02-05,2156.197
2001-02-06,2145.946
2001-02-07,2087.721
2001-02-08,2060.469
2001-02-09,2035.594
2001-02-12,2074.126
2001-02-13,2042.496
2001-02-14,1972.67
2001-02-15,1992.997
2001-02-16,1955.125
2001-02-19,1946.732
2001-02-20,1900.842
2001-02-21,1867.664
2001-02-22,1864.131
2001-02-23,1788.177
2001-02-26,1835.005
2001-02-27,1861.815
2001-02-28,1807.963
2001-03-01,1793.897
2001-03-02,1803.908
2001-03-05,1840.737
2001-03-06,1891.699
2001-03-07,1887.907
2001-03-08,1851.282
2001-03-09,1803.138
2001-03-12,1735.267
2001-03-13,1708.368
2001-03-14,1682.927
2001-03-15,1704.099
2001-03-16,1636.495
2001-03-19,1620.599
2001-03-20,1685.227
2001-03-21,1629.528
2001-03-22,1548.39
2001-03-23,1633.656
2001-03-26,1704.712
2001-03-27,1745.791
2001-03-28,1682.575
2001-03-29,1660.672
2001-03-30,1658.889
2001-04-02,1662.366
2001-04-03,1596.595
2001-04-04,1661.908
2001-04-05,1691.701
2001-04-06,1687.36
2001-04-09,1703.175
2001-04-10,1745.268
2001-04-11,1740.449
2001-04-12,1747.655
2001-04-13,1747.655
2001-04-16,1729.757
2001-04-17,1708.395
2001-04-18,1762.635
2001-04-19,1774.381
2001-04-20,1785.007
2001-04-23,1753.375
2001-04-24,1741.131
2001-04-25,1744.074
2001-04-26,1791.484
2001-04-27,1800.785
2001-04-30,1829.554
2001-05-01,1839.253
2001-05-02,1815.613
2001-05-03,1775.915
2001-05-04,1773.268
2001-05-07,1777.556
2001-05-08,1773.543
2001-05-09,1764.861
2001-05-10,1798.694
2001-05-11,1763.968
2001-05-14,1719.927
2001-05-15,1749.74
2001-05-16,1743.282
2001-05-17,1765.97
2001-05-18,1755.38
2001-05-21,1759.008
2001-05-22,1771.383
2001-05-23,1728.587
2001-05-24,1727.243
2001-05-25,1701.492
2001-05-28,1718.473
2001-05-29,1679.551
2001-05-30,1644.059
2001-05-31,1631.614
2001-06-01,1614.998
2001-06-04,1617.192
2001-06-05,1642.211
2001-06-06,1633.209
2001-06-07,1627.446
2001-06-08,1622.08
2001-06-11,1601.501
2001-06-12,1571.902
2001-06-13,1583.93
2001-06-14,1582.418
2001-06-15,1561.707
2001-06-18,1547.122
2001-06-19,1549.058
2001-06-20,1531.732
2001-06-21,1517.426
2001-06-22,1540.02
2001-06-25,1549.779
2001-06-26,1516.353
2001-06-27,1499.467
2001-06-28,1524.789
2001-06-29,1545.933
2001-07-02,1565.662
2001-07-03,1523.39
2001-07-04,1495.743
2001-07-05,1452.927
2001-07-06,1426.471
2001-07-09,1451.977
2001-07-10,1446.714
2001-07-11,1440.489
2001-07-12,1447.576
2001-07-13,1459.452
2001-07-16,1463.908
2001-07-17,1443.084
2001-07-18,1443.503
2001-07-19,1475.51
2001-07-20,1458.341
2001-07-23,1455.404
2001-07-24,1448.3
2001-07-25,1424.82
2001-07-26,1438.461
