Date,GERMANY IMI IMI (Large+Mid+Small Cap)
2001-01-01,519.461
2001-01-02,514.078
2001-01-03,519.107
2001-01-04,517.199
2001-01-05,518.224
2001-01-08,514.819
2001-01-09,509.72
2001-01-10,505.226
2001-01-11,520.299
2001-01-12,522.59
2001-01-15,522.098
2001-01-16,519.769
2001-01-17,525.899
2001-01-18,534.142
2001-01-19,529.609
2001-01-22,531.459
2001-01-23,536.505
2001-01-24,528.045
2001-01-25,527.237
2001-01-26,526.105
2001-01-29,527.979
2001-01-30,531.064
2001-01-31,537.145
2001-02-01,537.613
2001-02-02,529.773
2001-02-05,531.513
2001-02-06,531.812
2001-02-07,524.88
2001-02-08,520.405
2001-02-09,515.003
2001-02-12,521.93
2001-02-13,517.086
2001-02-14,509.363
2001-02-15,508.312
2001-02-16,505.378
2001-02-19,508.404
2001-02-20,500.398
2001-02-21,495.979
2001-02-22,488.768
2001-02-23,476.942
2001-02-26,485.388
2001-02-27,492.09
2001-02-28,493.399
2001-03-01,491.149
2001-03-02,496.872
2001-03-05,496.886
2001-03-06,504.084
2001-03-07,504.013
2001-03-08,503.869
2001-03-09,499.112
2001-03-12,486.656
2001-03-13,472.954
2001-03-14,457.559
2001-03-15,462.245
2001-03-16,446.874
2001-03-19,441.607
2001-03-20,452.586
2001-03-21,437.64
2001-03-22,414.031
2001-03-23,429.17
2001-03-26,442.362
2001-03-27,456.212
2001-03-28,444.606
2001-03-29,444.047
2001-03-30,444.107
2001-04-02,437.321
2001-04-03,425.466
2001-04-04,435.138
2001-04-05,443.29
2001-04-06,441.254
2001-04-09,446.193
2001-04-10,448.81
2001-04-11,448.738
2001-04-12,456.941
2001-04-13,456.941
2001-04-16,452.262
2001-04-17,446.421
2001-04-18,457.34
2001-04-19,467.313
2001-04-20,470.214
2001-04-23,463.487
2001-04-24,466.168
2001-04-25,467.975
2001-04-26,472.183
2001-04-27,469.933
2001-04-30,473.205
2001-05-01,475.712
2001-05-02,474.393
2001-05-03,467.114
2001-05-04,470.378
2001-05-07,468.255
2001-05-08,464.643
2001-05-09,460.749
2001-05-10,466.132
2001-05-11,461.013
2001-05-14,454.78
2001-05-15,458.354
2001-05-16,464.851
2001-05-17,466.531
2001-05-18,465.299
2001-05-21,468.47
2001-05-22,466.682
2001-05-23,459.67
2001-05-24,461.324
2001-05-25,457.876
2001-05-28,458.873
2001-05-29,450.267
2001-05-30,446.342
2001-05-31,445.74
2001-06-01,445.478
2001-06-04,449.536
2001-06-05,452.775
2001-06-06,449.006
2001-06-07,450.342
2001-06-08,450.145
2001-06-11,444.666
2001-06-12,441.921
2001-06-13,446.974
2001-06-14,445.483
2001-06-15,440.366
2001-06-18,437.465
2001-06-19,438.418
2001-06-20,432.468
2001-06-21,435.616
2001-06-22,437.868
2001-06-25,438.203
2001-06-26,435.022
2001-06-27,433.422
2001-06-28,435.654
2001-06-29,440.076
2001-07-02,442.456
2001-07-03,439.25
2001-07-04,436.266
2001-07-05,429.707
2001-07-06,424.755
2001-07-09,427.0
2001-07-10,427.94
2001-07-11,428.342
2001-07-12,429.521
2001-07-13,432.671
2001-07-16,429.898
2001-07-17,426.713
2001-07-18,429.244
2001-07-19,434.402
2001-07-20,432.296
2001-07-23,431.799
2001-07-24,427.638
2001-07-25,424.948
2001-07-26,429.552
2001-07-27,433.734
2001-07-30,437.552
2001-07-31,441.489
2001-08-01,442.764
2001-08-02,441.557
2001-08-03,440.007
2001-08-06,436.854
2001-08-07,435.566
2001-08-08,427.178
2001-08-09,426.327
2001-08-10,425.439
2001-08-13,428.711
2001-08-14,432.185
2001-08-15,434.35
2001-08-16,428.516
2001-08-17,422.05
2001-08-20,418.596
2001-08-21,419.081
2001-08-22,423.491
2001-08-23,421.978
2001-08-24,430.514
2001-08-27,430.372
2001-08-28,424.261
2001-08-29,423.797
2001-08-30,413.216
2001-08-31,414.415
2001-09-03,407.247
2001-09-04,406.816
2001-09-05,395.812
2001-09-06,385.646
2001-09-07,381.609
2001-09-10,374.758
2001-09-11,351.39
2001-09-12,354.695
2001-09-13,358.979
2001-09-14,345.48
2001-09-17,351.262
2001-09-18,349.051
2001-09-19,342.832
2001-09-20,324.761
2001-09-21,317.085
2001-09-24,333.466
2001-09-25,335.089
2001-09-26,340.551
2001-09-27,346.6
2001-09-28,352.039
2001-10-01,350.092
2001-10-02,354.839
2001-10-03,364.399
2001-10-04,369.726
2001-10-05,368.472
2001-10-08,368.571
2001-10-09,367.133
2001-10-10,373.169
2001-10-11,377.252
2001-10-12,373.672
2001-10-15,370.009
2001-10-16,376.487
2001-10-17,376.915
2001-10-18,371.056
2001-10-19,365.103
2001-10-22,369.181
2001-10-23,373.856
2001-10-24,381.621
2001-10-25,377.554
2001-10-26,383.099
2001-10-29,378.367
2001-10-30,371.885
2001-10-31,369.531
2001-11-01,376.869
2001-11-02,372.931
2001-11-05,380.651
2001-11-06,378.1
2001-11-07,388.544
2001-11-08,393.641
2001-11-09,389.379
2001-11-12,384.068
2001-11-13,387.164
2001-11-14,388.94
2001-11-15,391.169
2001-11-16,396.596
2001-11-19,402.736
2001-11-20,398.426
2001-11-21,395.254
2001-11-22,399.298
2001-11-23,399.817
2001-11-26,398.653
2001-11-27,396.07
2001-11-28,387.98
2001-11-29,390.406
2001-11-30,397.673
2001-12-03,395.037
2001-12-04,398.035
2001-12-05,411.487
2001-12-06,412.935
2001-12-07,408.018
2001-12-10,402.133
2001-12-11,403.469
2001-12-12,400.743
2001-12-13,395.074
2001-12-14,392.962
2001-12-17,404.12
2001-12-18,401.84
2001-12-19,396.537
2001-12-20,392.627
2001-12-21,392.096
2001-12-24,388.181
2001-12-25,388.181
2001-12-26,388.513
2001-12-27,398.421
2001-12-28,399.373
2001-12-31,403.304
2002-01-01,403.304
2002-01-02,410.029
2002-01-03,416.567
2002-01-04,417.311
2002-01-07,411.628
2002-01-08,411.11
2002-01-09,413.475
2002-01-10,411.66
2002-01-11,409.459
2002-01-14,401.998
2002-01-15,400.455
2002-01-16,391.718
2002-01-17,399.856
2002-01-18,400.633
2002-01-21,397.936
2002-01-22,396.449
2002-01-23,404.263
2002-01-24,402.026
2002-01-25,395.053
2002-01-28,393.535
2002-01-29,389.397
2002-01-30,387.731
2002-01-31,390.787
2002-02-01,390.287
2002-02-04,386.054
2002-02-05,383.631
2002-02-06,375.634
2002-02-07,378.357
2002-02-08,377.725
2002-02-11,387.15
2002-02-12,383.365
2002-02-13,384.473
2002-02-14,385.26
2002-02-15,380.16
2002-02-18,378.969
2002-02-19,373.381
2002-02-20,373.226
2002-02-21,377.591
2002-02-22,373.964
2002-02-25,378.749
2002-02-26,379.943
2002-02-27,382.198
2002-02-28,386.779
2002-03-01,390.748
2002-03-04,401.412
2002-03-05,400.054
2002-03-06,406.299
2002-03-07,409.273
2002-03-08,411.806
2002-03-11,410.785
2002-03-12,404.878
2002-03-13,403.826
2002-03-14,408.545
2002-03-15,416.141
2002-03-18,417.51
2002-03-19,420.699
2002-03-20,416.034
2002-03-21,413.865
2002-03-22,413.756
2002-03-25,409.73
2002-03-26,413.606
2002-03-27,409.289
2002-03-28,412.301
2002-03-29,412.302
2002-04-01,415.681
2002-04-02,411.365
2002-04-03,408.944
2002-04-04,407.997
2002-04-05,407.439
2002-04-08,400.387
2002-04-09,400.39
2002-04-10,407.33
2002-04-11,403.193
2002-04-12,402.661
2002-04-15,406.441
2002-04-16,413.482
2002-04-17,414.251
2002-04-18,412.295
2002-04-19,412.61
2002-04-22,407.814
2002-04-23,407.372
2002-04-24,406.297
2002-04-25,402.723
2002-04-26,399.188
2002-04-29,400.486
2002-04-30,402.217
2002-05-01,404.5
2002-05-02,398.548
2002-05-03,397.886
2002-05-06,398.823
2002-05-07,395.956
2002-05-08,404.493
2002-05-09,400.77
2002-05-10,396.796
2002-05-13,402.263
2002-05-14,402.71
2002-05-15,407.379
2002-05-16,406.781
2002-05-17,411.281
2002-05-20,409.401
2002-05-21,406.774
2002-05-22,405.947
2002-05-23,401.04
2002-05-24,402.554
2002-05-27,404.972
2002-05-28,406.195
2002-05-29,405.313
2002-05-30,399.937
2002-05-31,402.004
2002-06-03,398.394
2002-06-04,390.502
2002-06-05,388.283
2002-06-06,394.1
2002-06-07,389.945
2002-06-10,388.068
2002-06-11,388.397
2002-06-12,382.198
2002-06-13,378.79
2002-06-14,366.553
2002-06-17,378.161
2002-06-18,376.891
2002-06-19,372.897
2002-06-20,368.492
2002-06-21,369.789
2002-06-24,364.21
2002-06-25,367.601
2002-06-26,366.518
2002-06-27,377.299
2002-06-28,389.56
2002-07-01,387.575
2002-07-02,372.965
2002-07-03,365.676
2002-07-04,374.31
2002-07-05,390.192
2002-07-08,392.538
2002-07-09,388.7
2002-07-10,371.587
2002-07-11,365.383
2002-07-12,366.337
2002-07-15,354.379
2002-07-16,360.807
2002-07-17,368.976
2002-07-18,370.047
2002-07-19,354.935
2002-07-22,335.112
2002-07-23,315.554
2002-07-24,324.821
2002-07-25,318.679
2002-07-26,319.537
2002-07-29,339.044
2002-07-30,343.927
2002-07-31,327.276
2002-08-01,320.195
2002-08-02,315.096
2002-08-05,298.539
2002-08-06,310.051
2002-08-07,304.671
2002-08-08,320.863
2002-08-09,328.623
2002-08-12,321.361
2002-08-13,323.986
2002-08-14,319.461
2002-08-15,323.54
2002-08-16,326.605
2002-08-19,336.669
2002-08-20,330.673
2002-08-21,340.58
2002-08-22,340.888
2002-08-23,334.934
2002-08-26,331.266
2002-08-27,339.234
2002-08-28,325.923
2002-08-29,324.747
2002-08-30,327.829
2002-09-02,320.814
2002-09-03,307.34
2002-09-04,308.381
2002-09-05,301.632
2002-09-06,310.242
2002-09-09,304.483
2002-09-10,307.327
2002-09-11,313.766
2002-09-12,302.019
2002-09-13,297.368
2002-09-16,291.6
2002-09-17,288.207
2002-09-18,276.809
2002-09-19,269.14
2002-09-20,274.341
2002-09-23,262.131
2002-09-24,256.949
2002-09-25,263.715
2002-09-26,268.393
2002-09-27,260.303
2002-09-30,250.622
2002-10-01,257.22
2002-10-02,262.363
2002-10-03,253.766
2002-10-04,244.536
2002-10-07,240.574
2002-10-08,235.713
2002-10-09,235.334
2002-10-10,245.903
2002-10-11,262.918
2002-10-14,257.015
2002-10-15,273.002
2002-10-16,269.714
2002-10-17,280.573
2002-10-18,279.823
2002-10-21,289.827
2002-10-22,280.553
2002-10-23,268.323
2002-10-24,273.772
2002-10-25,275.522
2002-10-28,285.208
2002-10-29,271.445
2002-10-30,278.45
2002-10-31,284.158
2002-11-01,286.723
2002-11-04,299.527
2002-11-05,302.906
2002-11-06,297.634
2002-11-07,288.833
2002-11-08,284.207
2002-11-11,280.59
2002-11-12,286.437
2002-11-13,282.085
2002-11-14,290.62
2002-11-15,291.53
2002-11-18,294.235
2002-11-19,294.163
2002-11-20,291.857
2002-11-21,298.693
2002-11-22,299.718
2002-11-25,296.04
2002-11-26,287.559
2002-11-27,299.086
2002-11-28,301.897
2002-11-29,299.212
2002-12-02,303.396
2002-12-03,296.276
2002-12-04,300.469
2002-12-05,292.873
2002-12-06,293.518
2002-12-09,281.164
2002-12-10,289.98
2002-12-11,292.708
2002-12-12,287.698
2002-12-13,285.869
2002-12-16,295.352
2002-12-17,292.689
2002-12-18,282.368
2002-12-19,276.335
2002-12-20,282.232
2002-12-23,279.921
2002-12-24,281.079
2002-12-25,281.079
2002-12-26,281.788
2002-12-27,269.765
2002-12-30,275.809
2002-12-31,276.891
2003-01-01,276.891
2003-01-02,292.345
2003-01-03,292.454
2003-01-06,299.524
2003-01-07,294.217
2003-01-08,282.395
2003-01-09,288.627
2003-01-10,290.56
2003-01-13,293.318
2003-01-14,297.574
2003-01-15,293.251
2003-01-16,293.548
2003-01-17,283.78
2003-01-20,282.043
2003-01-21,279.997
2003-01-22,274.379
2003-01-23,276.308
2003-01-24,269.486
2003-01-27,262.821
2003-01-28,265.395
2003-01-29,269.47
2003-01-30,265.665
2003-01-31,270.608
2003-02-03,271.249
2003-02-04,263.526
2003-02-05,271.002
2003-02-06,264.019
2003-02-07,256.19
2003-02-10,256.451
2003-02-11,258.846
2003-02-12,253.936
2003-02-13,254.333
2003-02-14,264.275
2003-02-17,265.947
2003-02-18,267.543
2003-02-19,258.597
2003-02-20,257.57
2003-02-21,262.509
2003-02-24,254.596
2003-02-25,246.329
2003-02-26,243.538
2003-02-27,248.347
2003-02-28,252.233
2003-03-03,254.246
2003-03-04,250.825
2003-03-05,251.747
2003-03-06,246.209
2003-03-07,247.036
2003-03-10,237.615
2003-03-11,235.058
2003-03-12,224.792
2003-03-13,235.875
2003-03-14,237.726
2003-03-17,244.065
2003-03-18,252.001
2003-03-19,253.875
2003-03-20,253.614
2003-03-21,261.767
2003-03-24,249.493
2003-03-25,258.014
2003-03-26,252.87
2003-03-27,254.232
2003-03-28,249.078
2003-03-31,243.811
2003-04-01,246.03
2003-04-02,256.405
2003-04-03,253.589
2003-04-04,260.477
2003-04-07,273.135
2003-04-08,270.494
2003-04-09,268.249
2003-04-10,268.143
2003-04-11,269.914
2003-04-14,274.635
2003-04-15,280.006
2003-04-16,281.078
2003-04-17,289.162
2003-04-18,289.162
2003-04-21,287.915
2003-04-22,296.319
2003-04-23,297.804
2003-04-24,292.123
2003-04-25,287.319
2003-04-28,297.728
2003-04-29,294.448
2003-04-30,301.548
2003-05-01,304.318
2003-05-02,307.51
2003-05-05,311.817
2003-05-06,318.845
2003-05-07,313.425
2003-05-08,304.341
2003-05-09,312.365
2003-05-12,312.259
2003-05-13,308.846
2003-05-14,309.929
2003-05-15,315.102
2003-05-16,317.392
2003-05-19,307.403
2003-05-20,305.262
2003-05-21,304.826
2003-05-22,308.873
2003-05-23,307.352
2003-05-26,309.965
2003-05-27,314.455
2003-05-28,315.853
2003-05-29,317.125
2003-05-30,323.044
2003-06-02,330.123
2003-06-03,326.137
2003-06-04,330.538
2003-06-05,331.642
2003-06-06,336.376
2003-06-09,334.764
2003-06-10,337.25
2003-06-11,343.312
2003-06-12,346.797
2003-06-13,343.698
2003-06-16,354.825
2003-06-17,355.866
2003-06-18,353.844
2003-06-19,347.924
2003-06-20,345.284
2003-06-23,337.246
2003-06-24,339.576
2003-06-25,339.341
2003-06-26,340.222
2003-06-27,338.159
2003-06-30,339.917
2003-07-01,335.658
2003-07-02,342.712
2003-07-03,343.087
2003-07-04,341.79
