Date,GERMANY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,288.791
1994-06-30,288.225
1994-07-29,299.351
1994-08-31,308.383
1994-09-30,292.541
1994-10-31,307.424
1994-11-30,291.22
1994-12-30,299.162
1995-01-31,297.251
1995-02-28,315.84
1995-03-31,315.617
1995-04-28,321.704
1995-05-31,322.785
1995-06-30,330.811
1995-07-31,344.013
1995-08-31,324.703
1995-09-29,327.94
1995-10-31,327.795
1995-11-30,324.175
1995-12-29,331.434
1996-01-31,340.775
1996-02-29,346.229
1996-03-29,348.308
1996-04-30,337.768
1996-05-31,347.123
1996-06-28,353.939
1996-07-31,355.618
1996-08-30,362.573
1996-09-30,362.362
1996-10-31,366.352
1996-11-29,382.39
1996-12-31,386.02
1997-01-31,383.691
1997-02-28,392.578
1997-03-31,414.162
1997-04-30,397.844
1997-05-30,419.96
1997-06-30,428.09
1997-07-31,459.554
1997-08-29,429.939
1997-09-30,464.386
1997-10-31,438.937
1997-11-28,443.874
1997-12-31,460.45
1998-01-30,451.45
1998-02-27,474.918
1998-03-31,506.441
1998-04-30,531.262
1998-05-29,563.057
1998-06-30,570.426
1998-07-31,569.64
1998-08-31,493.338
1998-09-30,498.222
1998-10-30,510.274
1998-11-30,516.785
1998-12-31,533.615
1999-01-29,542.606
1999-02-26,518.459
1999-03-31,507.018
1999-04-30,528.438
1999-05-31,512.877
1999-06-30,535.937
1999-07-30,534.459
1999-08-31,541.926
1999-09-30,520.954
1999-10-29,543.529
1999-11-30,529.333
1999-12-31,591.136
2000-01-31,528.679
2000-02-29,559.269
2000-03-31,556.819
2000-04-28,513.438
2000-05-31,516.278
2000-06-30,512.793
2000-07-31,514.793
2000-08-31,491.169
2000-09-29,470.361
2000-10-31,477.047
2000-11-30,461.751
2000-12-29,499.722
2001-01-31,519.34
2001-02-28,483.95
2001-03-30,449.383
2001-04-30,474.268
2001-05-31,444.917
2001-06-29,453.318
2001-07-31,463.373
2001-08-31,422.549
2001-09-28,372.248
2001-10-31,383.48
2001-11-30,406.721
2001-12-31,410.81
2002-01-31,397.801
2002-02-28,392.517
2002-03-29,416.976
2002-04-30,414.032
2002-05-31,419.649
2002-06-28,414.449
2002-07-31,349.537
2002-08-30,354.436
2002-09-30,285.727
2002-10-31,296.359
2002-11-29,314.765
2002-12-31,291.899
2003-01-31,286.974
2003-02-28,265.51
2003-03-31,252.981
2003-04-30,311.903
2003-05-30,331.341
2003-06-30,349.603
2003-07-31,372.174
2003-08-29,367.496
2003-09-30,358.971
2003-10-31,397.248
2003-11-28,418.752
2003-12-31,470.675
2004-01-30,471.699
2004-02-27,466.985
2004-03-31,440.832
2004-04-30,449.319
2004-05-31,449.698
2004-06-30,464.524
2004-07-30,443.625
2004-08-31,433.625
2004-09-30,453.529
2004-10-29,474.379
2004-11-30,516.342
2004-12-31,547.327
2005-01-31,527.694
2005-02-28,553.1
2005-03-31,539.066
2005-04-29,509.542
2005-05-31,520.498
2005-06-30,523.676
2005-07-29,566.159
2005-08-31,567.058
2005-09-30,582.2
2005-10-31,565.764
2005-11-30,582.603
2005-12-30,607.68
2006-01-31,654.996
2006-02-28,659.157
2006-03-31,682.176
2006-04-28,714.357
2006-05-31,683.578
2006-06-30,675.76
2006-07-31,683.721
2006-08-31,701.032
2006-09-29,707.539
2006-10-31,751.654
2006-11-30,780.355
2006-12-29,819.82
2007-01-31,826.117
2007-02-28,841.183
2007-03-30,877.008
2007-04-30,959.518
2007-05-31,1000.0
2007-06-29,1006.657
2007-07-31,961.054
2007-08-31,957.708
2007-09-28,1031.986
2007-10-31,1085.637
2007-11-30,1050.942
2007-12-31,1049.873
2008-01-31,898.686
2008-02-29,920.603
2008-03-31,938.829
2008-04-30,957.304
2008-05-30,957.365
2008-06-30,860.265
2008-07-31,834.986
2008-08-29,791.313
2008-09-30,644.027
2008-10-31,453.579
2008-11-28,446.637
2008-12-31,517.922
2009-01-30,414.929
2009-02-27,363.247
2009-03-31,404.238
2009-04-30,488.75
2009-05-29,533.623
2009-06-30,514.973
2009-07-31,576.763
2009-08-31,629.349
2009-09-30,665.162
2009-10-30,632.655
2009-11-30,664.963
2009-12-31,672.037
2010-01-29,618.141
2010-02-26,608.897
2010-03-31,667.838
2010-04-30,645.288
2010-05-31,572.66
2010-06-30,566.145
2010-07-30,627.144
2010-08-31,590.651
2010-09-30,655.376
2010-10-29,712.649
2010-11-30,670.634
2010-12-31,722.405
2011-01-31,763.395
2011-02-28,784.962
2011-03-31,777.283
2011-04-29,865.925
2011-05-31,802.718
2011-06-30,816.341
2011-07-29,772.572
2011-08-31,612.817
2011-09-30,545.891
2011-10-31,629.029
2011-11-30,599.2
2011-12-30,561.762
2012-01-31,618.35
2012-02-29,670.632
2012-03-30,675.325
2012-04-30,646.275
2012-05-31,556.482
2012-06-29,593.786
2012-07-31,597.686
2012-08-31,637.175
2012-09-28,669.881
2012-10-31,682.171
2012-11-30,682.109
2012-12-31,714.405
2013-01-31,754.741
2013-02-28,718.512
2013-03-29,698.397
2013-04-30,731.784
2013-05-31,766.416
2013-06-28,720.964
2013-07-31,774.217
2013-08-30,756.816
2013-09-30,839.07
2013-10-31,893.117
2013-11-29,918.423
2013-12-31,940.295
2014-01-31,904.942
2014-02-28,966.647
2014-03-31,954.42
2014-04-30,963.77
2014-05-30,978.543
2014-06-30,976.077
2014-07-31,906.685
2014-08-29,895.409
2014-09-30,850.171
2014-10-31,825.244
2014-11-28,879.028
2014-12-31,839.133
2015-01-30,847.262
2015-02-27,904.738
2015-03-31,906.217
2015-04-30,903.36
2015-05-29,863.81
2015-06-30,838.791
2015-07-31,860.071
2015-08-31,794.977
2015-09-30,727.035
2015-10-30,803.989
2015-11-30,802.771
2015-12-31,781.526
2016-01-29,694.403
2016-02-29,678.766
2016-03-31,752.437
2016-04-29,774.305
2016-05-31,769.585
2016-06-30,702.411
2016-07-29,749.437
2016-08-31,775.563
2016-09-30,773.4
2016-10-31,780.621
2016-11-30,758.609
2016-12-30,819.079
2017-01-31,843.761
2017-02-28,846.929
2017-03-31,884.159
2017-04-28,904.081
2017-05-31,931.867
2017-06-30,924.1
2017-07-31,944.335
2017-08-31,950.076
2017-09-29,1010.723
2017-10-31,1033.285
2017-11-30,1052.678
2017-12-29,1054.301
2018-01-31,1122.82
2018-02-28,1031.871
2018-03-30,1014.404
2018-04-30,1035.501
2018-05-31,968.829
2018-06-29,930.82
2018-07-31,984.801
2018-08-31,931.163
2018-09-28,923.288
2018-10-31,861.912
2018-11-30,853.191
2018-12-31,806.539
2019-01-31,865.857
2019-02-28,885.7
2019-03-29,851.325
2019-04-30,907.425
2019-05-31,830.078
2019-06-28,891.697
2019-07-31,863.106
2019-08-30,847.371
2019-09-30,871.825
2019-10-31,931.81
2019-11-29,927.41
2019-12-31,948.664
2020-01-31,900.579
2020-02-28,812.034
2020-03-31,651.817
2020-04-30,722.183
2020-05-29,781.453
2020-06-30,844.368
2020-07-31,870.11
2020-08-31,932.253
2020-09-30,900.359
2020-10-30,827.078
2020-11-30,996.172
2020-12-31,1043.136
