Date,GERMANY LARGE CAP Large Cap
2001-01-01,596.097
2001-01-02,589.524
2001-01-03,600.197
2001-01-04,596.037
2001-01-05,598.787
2001-01-08,597.202
2001-01-09,591.675
2001-01-10,584.706
2001-01-11,602.961
2001-01-12,603.883
2001-01-15,602.728
2001-01-16,600.6
2001-01-17,607.955
2001-01-18,616.397
2001-01-19,610.405
2001-01-22,613.137
2001-01-23,619.37
2001-01-24,607.806
2001-01-25,606.252
2001-01-26,604.512
2001-01-29,607.386
2001-01-30,610.266
2001-01-31,618.453
2001-02-01,617.534
2001-02-02,607.816
2001-02-05,611.397
2001-02-06,611.507
2001-02-07,602.476
2001-02-08,598.104
2001-02-09,589.188
2001-02-12,599.25
2001-02-13,593.592
2001-02-14,584.608
2001-02-15,584.558
2001-02-16,579.354
2001-02-19,584.626
2001-02-20,575.278
2001-02-21,568.806
2001-02-22,560.49
2001-02-23,543.854
2001-02-26,554.649
2001-02-27,562.869
2001-02-28,566.801
2001-03-01,565.121
2001-03-02,571.691
2001-03-05,572.688
2001-03-06,579.869
2001-03-07,579.278
2001-03-08,578.951
2001-03-09,573.36
2001-03-12,557.825
2001-03-13,542.474
2001-03-14,524.169
2001-03-15,531.131
2001-03-16,510.92
2001-03-19,504.281
2001-03-20,518.192
2001-03-21,500.343
2001-03-22,471.903
2001-03-23,491.194
2001-03-26,508.577
2001-03-27,527.8
2001-03-28,512.44
2001-03-29,513.237
2001-03-30,511.921
2001-04-02,503.328
2001-04-03,487.738
2001-04-04,500.45
2001-04-05,511.538
2001-04-06,508.464
2001-04-09,515.594
2001-04-10,519.805
2001-04-11,519.77
2001-04-12,529.194
2001-04-13,529.194
2001-04-16,523.775
2001-04-17,516.057
2001-04-18,530.644
2001-04-19,541.606
2001-04-20,543.791
2001-04-23,534.881
2001-04-24,539.367
2001-04-25,541.176
2001-04-26,544.979
2001-04-27,543.094
2001-04-30,547.402
2001-05-01,550.304
2001-05-02,547.013
2001-05-03,537.899
2001-05-04,542.334
2001-05-07,539.041
2001-05-08,534.496
2001-05-09,529.496
2001-05-10,537.617
2001-05-11,530.893
2001-05-14,522.759
2001-05-15,526.691
2001-05-16,535.42
2001-05-17,536.561
2001-05-18,535.116
2001-05-21,538.721
2001-05-22,536.144
2001-05-23,527.631
2001-05-24,530.507
2001-05-25,525.07
2001-05-28,526.241
2001-05-29,514.973
2001-05-30,509.786
2001-05-31,510.507
2001-06-01,510.176
2001-06-04,515.226
2001-06-05,520.014
2001-06-06,514.684
2001-06-07,516.157
2001-06-08,515.866
2001-06-11,509.711
2001-06-12,506.2
2001-06-13,512.808
2001-06-14,510.513
2001-06-15,503.364
2001-06-18,499.325
2001-06-19,501.17
2001-06-20,494.281
2001-06-21,498.496
2001-06-22,501.314
2001-06-25,501.809
2001-06-26,497.94
2001-06-27,495.902
2001-06-28,500.373
2001-06-29,506.273
2001-07-02,510.223
2001-07-03,505.807
2001-07-04,501.974
2001-07-05,495.236
2001-07-06,488.609
2001-07-09,491.638
2001-07-10,491.553
2001-07-11,493.078
2001-07-12,495.14
2001-07-13,499.434
2001-07-16,495.48
2001-07-17,492.237
2001-07-18,494.134
2001-07-19,501.506
2001-07-20,498.68
2001-07-23,498.963
2001-07-24,492.37
2001-07-25,487.843
2001-07-26,494.737
2001-07-27,500.108
2001-07-30,504.892
2001-07-31,510.257
2001-08-01,510.678
2001-08-02,507.486
2001-08-03,505.207
2001-08-06,502.618
2001-08-07,501.509
2001-08-08,489.181
2001-08-09,487.446
2001-08-10,484.271
2001-08-13,488.246
2001-08-14,493.282
2001-08-15,494.912
2001-08-16,487.941
2001-08-17,478.312
2001-08-20,475.178
2001-08-21,475.841
2001-08-22,480.646
2001-08-23,479.636
2001-08-24,491.918
2001-08-27,491.812
2001-08-28,482.606
2001-08-29,482.652
2001-08-30,468.811
2001-08-31,470.61
2001-09-03,461.324
2001-09-04,463.016
2001-09-05,447.961
2001-09-06,434.029
2001-09-07,427.513
2001-09-10,420.146
2001-09-11,388.843
2001-09-12,394.375
2001-09-13,400.811
2001-09-14,381.248
2001-09-17,391.216
2001-09-18,389.147
2001-09-19,379.343
2001-09-20,357.726
2001-09-21,350.991
2001-09-24,372.466
2001-09-25,373.065
2001-09-26,380.234
2001-09-27,387.928
2001-09-28,394.565
2001-10-01,391.15
2001-10-02,397.735
2001-10-03,411.176
2001-10-04,417.745
2001-10-05,415.047
2001-10-08,415.476
2001-10-09,413.039
2001-10-10,422.51
2001-10-11,427.593
2001-10-12,421.27
2001-10-15,415.167
2001-10-16,423.209
2001-10-17,423.602
2001-10-18,415.662
2001-10-19,407.605
2001-10-22,414.272
2001-10-23,420.234
2001-10-24,430.876
2001-10-25,424.318
2001-10-26,431.803
2001-10-29,423.505
2001-10-30,415.241
2001-10-31,412.573
2001-11-01,422.461
2001-11-02,416.632
2001-11-05,428.112
2001-11-06,424.009
2001-11-07,438.42
2001-11-08,446.249
2001-11-09,439.473
2001-11-12,431.914
2001-11-13,436.985
2001-11-14,438.456
2001-11-15,441.521
2001-11-16,448.45
2001-11-19,457.099
2001-11-20,450.828
2001-11-21,446.97
2001-11-22,452.098
2001-11-23,453.063
2001-11-26,450.884
2001-11-27,447.053
2001-11-28,436.285
2001-11-29,439.897
2001-11-30,449.028
2001-12-03,446.171
2001-12-04,449.614
2001-12-05,469.021
2001-12-06,470.937
2001-12-07,464.669
2001-12-10,456.418
2001-12-11,458.54
2001-12-12,454.223
2001-12-13,446.826
2001-12-14,443.962
2001-12-17,459.121
2001-12-18,455.519
2001-12-19,448.861
2001-12-20,443.73
2001-12-21,444.546
2001-12-24,440.11
2001-12-25,440.11
