Date,GERMANY LARGE GROWTH Large Cap
2001-01-01,622.376
2001-01-02,612.119
2001-01-03,622.846
2001-01-04,614.53
2001-01-05,611.887
2001-01-08,614.604
2001-01-09,613.431
2001-01-10,604.971
2001-01-11,624.126
2001-01-12,619.805
2001-01-15,616.723
2001-01-16,617.643
2001-01-17,628.212
2001-01-18,634.714
2001-01-19,628.296
2001-01-22,633.851
2001-01-23,639.082
2001-01-24,632.372
2001-01-25,630.11
2001-01-26,626.306
2001-01-29,627.951
2001-01-30,632.805
2001-01-31,643.597
2001-02-01,645.406
2001-02-02,637.71
2001-02-05,640.463
2001-02-06,638.625
2001-02-07,627.88
2001-02-08,623.865
2001-02-09,614.893
2001-02-12,625.094
2001-02-13,620.486
2001-02-14,610.089
2001-02-15,618.705
2001-02-16,614.087
2001-02-19,618.125
2001-02-20,608.44
2001-02-21,603.781
2001-02-22,593.981
2001-02-23,571.816
2001-02-26,582.121
2001-02-27,588.281
2001-02-28,596.81
2001-03-01,595.228
2001-03-02,597.375
2001-03-05,599.375
2001-03-06,607.978
2001-03-07,607.384
2001-03-08,607.91
2001-03-09,598.607
2001-03-12,580.845
2001-03-13,561.428
2001-03-14,545.789
2001-03-15,550.016
2001-03-16,524.803
2001-03-19,518.419
2001-03-20,535.361
2001-03-21,518.056
2001-03-22,489.131
2001-03-23,513.071
2001-03-26,531.618
2001-03-27,548.458
2001-03-28,525.958
2001-03-29,524.642
2001-03-30,522.753
2001-04-02,509.313
2001-04-03,488.108
2001-04-04,502.261
2001-04-05,519.436
2001-04-06,516.228
2001-04-09,519.531
2001-04-10,518.735
2001-04-11,523.036
2001-04-12,534.134
2001-04-13,534.134
2001-04-16,528.664
2001-04-17,518.297
2001-04-18,534.747
2001-04-19,548.449
2001-04-20,549.793
2001-04-23,537.181
2001-04-24,543.005
2001-04-25,548.928
2001-04-26,553.638
2001-04-27,552.324
2001-04-30,560.039
2001-05-01,563.008
2001-05-02,561.247
2001-05-03,551.892
2001-05-04,555.322
2001-05-07,552.77
2001-05-08,549.262
2001-05-09,541.779
2001-05-10,553.132
2001-05-11,545.161
2001-05-14,535.953
2001-05-15,540.37
2001-05-16,550.855
2001-05-17,551.431
2001-05-18,550.704
2001-05-21,554.03
2001-05-22,551.423
2001-05-23,543.563
2001-05-24,546.176
2001-05-25,541.347
2001-05-28,542.586
2001-05-29,531.975
2001-05-30,524.403
2001-05-31,526.672
2001-06-01,523.302
2001-06-04,530.829
2001-06-05,538.348
2001-06-06,534.678
2001-06-07,535.26
2001-06-08,537.087
2001-06-11,528.572
2001-06-12,521.631
2001-06-13,527.827
2001-06-14,524.002
2001-06-15,515.656
2001-06-18,511.548
2001-06-19,514.941
2001-06-20,503.892
2001-06-21,507.818
2001-06-22,511.624
2001-06-25,510.812
2001-06-26,505.814
2001-06-27,503.088
2001-06-28,504.156
2001-06-29,505.873
2001-07-02,508.342
2001-07-03,504.095
2001-07-04,498.531
2001-07-05,488.762
2001-07-06,480.394
2001-07-09,480.855
2001-07-10,480.025
2001-07-11,478.799
2001-07-12,483.003
2001-07-13,487.352
2001-07-16,483.063
2001-07-17,478.079
2001-07-18,479.147
2001-07-19,490.011
2001-07-20,482.967
2001-07-23,486.818
2001-07-24,479.936
2001-07-25,477.144
2001-07-26,486.355
2001-07-27,491.974
2001-07-30,496.118
2001-07-31,502.971
2001-08-01,507.028
2001-08-02,506.916
2001-08-03,503.891
2001-08-06,499.798
2001-08-07,501.174
2001-08-08,495.881
2001-08-09,494.468
2001-08-10,492.244
2001-08-13,498.668
2001-08-14,502.592
2001-08-15,507.365
2001-08-16,501.083
2001-08-17,492.563
2001-08-20,486.751
2001-08-21,488.649
2001-08-22,495.737
2001-08-23,494.557
2001-08-24,507.441
2001-08-27,507.986
2001-08-28,497.647
2001-08-29,496.68
2001-08-30,481.521
2001-08-31,483.264
2001-09-03,471.901
2001-09-04,474.113
2001-09-05,455.886
2001-09-06,435.778
2001-09-07,429.716
2001-09-10,422.629
2001-09-11,386.761
2001-09-12,393.533
2001-09-13,400.672
2001-09-14,380.606
2001-09-17,387.307
2001-09-18,386.396
2001-09-19,374.604
2001-09-20,352.973
2001-09-21,347.866
2001-09-24,367.966
2001-09-25,369.599
2001-09-26,374.809
2001-09-27,384.318
2001-09-28,391.973
2001-10-01,387.403
2001-10-02,396.115
2001-10-03,411.036
2001-10-04,417.77
2001-10-05,412.496
2001-10-08,410.689
2001-10-09,409.231
2001-10-10,418.893
2001-10-11,430.658
2001-10-12,421.266
2001-10-15,415.145
2001-10-16,422.376
2001-10-17,423.809
2001-10-18,414.922
2001-10-19,407.561
2001-10-22,416.243
2001-10-23,421.406
2001-10-24,431.931
2001-10-25,427.26
2001-10-26,437.015
2001-10-29,427.547
2001-10-30,417.813
2001-10-31,416.58
2001-11-01,428.559
2001-11-02,423.99
2001-11-05,439.142
2001-11-06,436.559
2001-11-07,450.509
2001-11-08,457.783
2001-11-09,448.638
2001-11-12,439.637
2001-11-13,445.626
2001-11-14,445.671
2001-11-15,449.362
2001-11-16,453.154
2001-11-19,461.75
2001-11-20,455.309
2001-11-21,450.897
2001-11-22,457.944
2001-11-23,457.537
2001-11-26,456.426
2001-11-27,454.729
2001-11-28,442.395
2001-11-29,448.207
2001-11-30,457.357
2001-12-03,454.586
2001-12-04,461.251
2001-12-05,484.613
2001-12-06,485.557
2001-12-07,480.748
2001-12-10,470.418
2001-12-11,473.557
2001-12-12,468.147
2001-12-13,459.134
2001-12-14,454.934
2001-12-17,472.155
2001-12-18,468.709
2001-12-19,462.25
2001-12-20,456.013
2001-12-21,455.947
2001-12-24,451.398
2001-12-25,451.398
2001-12-26,451.783
2001-12-27,463.704
2001-12-28,465.436
2001-12-31,469.975
2002-01-01,469.975
2002-01-02,478.698
2002-01-03,489.273
2002-01-04,487.524
2002-01-07,479.674
2002-01-08,476.873
2002-01-09,487.04
2002-01-10,483.571
2002-01-11,481.731
2002-01-14,469.75
2002-01-15,468.858
2002-01-16,455.498
2002-01-17,465.43
2002-01-18,465.668
2002-01-21,459.783
2002-01-22,457.533
2002-01-23,470.49
2002-01-24,468.171
2002-01-25,458.874
2002-01-28,457.688
2002-01-29,453.241
2002-01-30,449.436
2002-01-31,453.751
2002-02-01,453.684
2002-02-04,445.367
2002-02-05,440.819
2002-02-06,429.239
2002-02-07,439.473
2002-02-08,439.485
2002-02-11,453.01
2002-02-12,448.339
2002-02-13,451.018
2002-02-14,454.932
2002-02-15,446.465
2002-02-18,445.103
2002-02-19,436.398
2002-02-20,435.191
2002-02-21,438.76
2002-02-22,430.458
2002-02-25,439.167
2002-02-26,440.189
2002-02-27,444.375
2002-02-28,450.851
2002-03-01,455.113
2002-03-04,469.829
2002-03-05,471.731
2002-03-06,479.3
2002-03-07,482.668
2002-03-08,486.509
2002-03-11,485.569
2002-03-12,476.877
2002-03-13,472.967
2002-03-14,479.467
2002-03-15,491.752
