Date,GERMANY SMALL GROWTH Small Cap
2001-01-01,555.25
2001-01-02,538.97
2001-01-03,531.156
2001-01-04,533.056
2001-01-05,524.342
2001-01-08,501.838
2001-01-09,493.314
2001-01-10,486.562
2001-01-11,509.2
2001-01-12,526.474
2001-01-15,533.812
2001-01-16,529.314
2001-01-17,547.862
2001-01-18,569.785
2001-01-19,567.103
2001-01-22,572.267
2001-01-23,574.996
2001-01-24,570.96
2001-01-25,567.571
2001-01-26,569.199
2001-01-29,570.165
2001-01-30,575.478
2001-01-31,577.401
2001-02-01,578.755
2001-02-02,571.284
2001-02-05,559.235
2001-02-06,561.903
2001-02-07,551.081
2001-02-08,544.879
2001-02-09,543.316
2001-02-12,543.267
2001-02-13,537.548
2001-02-14,523.549
2001-02-15,519.0
2001-02-16,513.498
2001-02-19,504.904
2001-02-20,494.924
2001-02-21,488.896
2001-02-22,478.449
2001-02-23,468.064
2001-02-26,480.792
2001-02-27,484.016
2001-02-28,477.401
2001-03-01,467.516
2001-03-02,478.656
2001-03-05,476.818
2001-03-06,493.874
2001-03-07,492.113
2001-03-08,491.399
2001-03-09,483.706
2001-03-12,468.618
2001-03-13,455.15
2001-03-14,434.881
2001-03-15,433.45
2001-03-16,422.916
2001-03-19,413.77
2001-03-20,423.938
2001-03-21,407.769
2001-03-22,383.757
2001-03-23,394.861
2001-03-26,402.254
2001-03-27,405.938
2001-03-28,393.936
2001-03-29,385.975
2001-03-30,387.92
2001-04-02,378.457
2001-04-03,362.954
2001-04-04,368.366
2001-04-05,374.396
2001-04-06,372.302
2001-04-09,369.547
2001-04-10,375.097
2001-04-11,376.881
2001-04-12,384.492
2001-04-13,384.492
2001-04-16,380.554
2001-04-17,374.703
2001-04-18,388.233
2001-04-19,399.611
2001-04-20,402.397
2001-04-23,397.795
2001-04-24,401.933
2001-04-25,405.227
2001-04-26,414.142
2001-04-27,407.849
2001-04-30,412.263
2001-05-01,414.45
2001-05-02,420.896
2001-05-03,414.178
2001-05-04,420.194
2001-05-07,420.859
2001-05-08,418.042
2001-05-09,413.07
2001-05-10,412.793
2001-05-11,407.389
2001-05-14,400.329
2001-05-15,401.489
2001-05-16,406.307
2001-05-17,412.722
2001-05-18,410.805
2001-05-21,414.43
2001-05-22,414.945
2001-05-23,407.448
2001-05-24,406.645
2001-05-25,407.268
2001-05-28,407.045
2001-05-29,397.626
2001-05-30,392.35
2001-05-31,388.772
2001-06-01,386.082
2001-06-04,389.322
2001-06-05,389.391
2001-06-06,385.341
2001-06-07,383.779
2001-06-08,383.226
2001-06-11,375.479
2001-06-12,370.874
2001-06-13,375.468
2001-06-14,372.338
2001-06-15,369.307
2001-06-18,366.287
2001-06-19,365.085
2001-06-20,354.25
2001-06-21,356.415
2001-06-22,354.606
2001-06-25,350.22
2001-06-26,341.282
2001-06-27,342.027
2001-06-28,341.863
2001-06-29,343.948
2001-07-02,341.638
2001-07-03,339.551
2001-07-04,336.679
2001-07-05,326.17
2001-07-06,319.314
2001-07-09,318.622
2001-07-10,322.163
2001-07-11,317.235
2001-07-12,319.262
2001-07-13,320.326
2001-07-16,318.179
2001-07-17,312.721
2001-07-18,314.139
2001-07-19,314.817
2001-07-20,312.104
2001-07-23,311.759
2001-07-24,313.301
2001-07-25,314.016
2001-07-26,316.357
2001-07-27,320.261
2001-07-30,323.796
2001-07-31,325.886
2001-08-01,330.136
2001-08-02,330.301
2001-08-03,327.177
2001-08-06,319.832
2001-08-07,319.983
2001-08-08,319.422
2001-08-09,319.429
2001-08-10,321.827
2001-08-13,322.663
2001-08-14,324.23
2001-08-15,326.028
2001-08-16,321.124
2001-08-17,319.573
2001-08-20,316.161
2001-08-21,316.57
2001-08-22,318.533
2001-08-23,316.348
2001-08-24,321.617
2001-08-27,322.687
2001-08-28,319.187
2001-08-29,317.716
2001-08-30,313.466
2001-08-31,313.808
2001-09-03,308.037
2001-09-04,304.648
2001-09-05,298.833
2001-09-06,294.383
2001-09-07,293.779
2001-09-10,285.933
2001-09-11,275.654
2001-09-12,279.043
2001-09-13,279.517
2001-09-14,276.153
2001-09-17,275.431
2001-09-18,273.117
2001-09-19,273.842
2001-09-20,262.378
2001-09-21,251.665
2001-09-24,258.874
2001-09-25,261.219
2001-09-26,264.223
2001-09-27,265.722
2001-09-28,270.541
2001-10-01,268.803
2001-10-02,270.346
2001-10-03,275.388
2001-10-04,279.082
2001-10-05,277.844
2001-10-08,274.78
2001-10-09,275.656
2001-10-10,276.388
2001-10-11,281.171
2001-10-12,279.958
2001-10-15,281.431
2001-10-16,288.966
2001-10-17,291.794
2001-10-18,289.58
2001-10-19,285.638
2001-10-22,287.506
2001-10-23,289.806
2001-10-24,292.598
2001-10-25,293.204
2001-10-26,297.739
2001-10-29,300.001
2001-10-30,293.819
2001-10-31,293.45
2001-11-01,297.003
2001-11-02,296.409
2001-11-05,298.427
2001-11-06,296.103
2001-11-07,300.808
2001-11-08,303.168
2001-11-09,301.686
2001-11-12,299.62
2001-11-13,301.286
2001-11-14,304.127
2001-11-15,305.16
2001-11-16,306.446
2001-11-19,309.729
2001-11-20,309.627
2001-11-21,308.579
2001-11-22,312.158
2001-11-23,311.832
2001-11-26,314.754
2001-11-27,312.59
2001-11-28,307.409
2001-11-29,306.827
2001-11-30,311.32
2001-12-03,306.458
2001-12-04,307.717
2001-12-05,311.78
2001-12-06,311.942
2001-12-07,310.899
2001-12-10,309.179
2001-12-11,309.298
2001-12-12,308.492
2001-12-13,304.789
2001-12-14,303.614
2001-12-17,307.995
2001-12-18,305.608
2001-12-19,302.292
2001-12-20,300.463
2001-12-21,295.981
2001-12-24,293.04
2001-12-25,293.04
2001-12-26,293.29
2001-12-27,296.846
2001-12-28,295.132
2001-12-31,298.329
2002-01-01,298.329
2002-01-02,304.534
2002-01-03,311.29
2002-01-04,312.11
2002-01-07,313.226
2002-01-08,313.896
2002-01-09,316.57
2002-01-10,314.913
2002-01-11,313.863
2002-01-14,309.254
2002-01-15,308.138
2002-01-16,301.187
2002-01-17,303.872
2002-01-18,303.322
2002-01-21,302.557
2002-01-22,302.705
2002-01-23,305.008
2002-01-24,303.826
2002-01-25,299.595
2002-01-28,297.025
2002-01-29,295.031
2002-01-30,293.0
2002-01-31,293.406
2002-02-01,292.52
2002-02-04,292.24
2002-02-05,290.598
2002-02-06,287.639
2002-02-07,286.984
2002-02-08,288.734
2002-02-11,293.788
2002-02-12,292.221
2002-02-13,290.114
2002-02-14,289.864
2002-02-15,288.743
2002-02-18,284.873
2002-02-19,281.83
2002-02-20,279.899
2002-02-21,282.08
2002-02-22,281.341
2002-02-25,282.915
2002-02-26,283.593
2002-02-27,284.51
2002-02-28,285.177
2002-03-01,286.107
2002-03-04,288.77
2002-03-05,286.841
2002-03-06,290.17
2002-03-07,293.628
2002-03-08,293.562
2002-03-11,292.603
2002-03-12,288.659
2002-03-13,288.383
2002-03-14,291.36
2002-03-15,292.053
2002-03-18,292.608
2002-03-19,293.287
2002-03-20,292.719
2002-03-21,291.022
2002-03-22,291.419
2002-03-25,290.055
2002-03-26,288.723
2002-03-27,287.69
2002-03-28,289.486
2002-03-29,289.486
2002-04-01,291.859
2002-04-02,290.969
2002-04-03,288.384
2002-04-04,288.548
2002-04-05,290.353
2002-04-08,286.746
2002-04-09,286.741
2002-04-10,287.025
2002-04-11,286.977
2002-04-12,285.085
2002-04-15,285.746
2002-04-16,289.411
2002-04-17,291.765
2002-04-18,291.193
2002-04-19,289.171
2002-04-22,286.871
2002-04-23,287.41
2002-04-24,287.887
2002-04-25,287.969
2002-04-26,289.477
2002-04-29,288.923
2002-04-30,290.654
2002-05-01,292.42
2002-05-02,290.854
2002-05-03,292.479
2002-05-06,291.378
2002-05-07,286.69
2002-05-08,290.777
2002-05-09,291.181
2002-05-10,291.28
2002-05-13,290.796
2002-05-14,289.985
2002-05-15,293.368
2002-05-16,293.555
2002-05-17,296.894
2002-05-20,296.01
2002-05-21,293.999
2002-05-22,294.675
2002-05-23,292.28
2002-05-24,292.741
2002-05-27,293.2
2002-05-28,295.989
2002-05-29,295.824
2002-05-30,295.25
2002-05-31,296.368
2002-06-03,294.645
2002-06-04,292.233
2002-06-05,289.587
2002-06-06,291.524
2002-06-07,287.96
2002-06-10,288.416
2002-06-11,285.992
2002-06-12,277.647
2002-06-13,274.41
2002-06-14,270.08
2002-06-17,274.913
2002-06-18,276.45
2002-06-19,272.009
2002-06-20,269.402
2002-06-21,269.708
2002-06-24,266.782
2002-06-25,264.5
2002-06-26,264.391
2002-06-27,268.912
