Date,GERMANY SMID CAP SMID (Small+Mid Cap)
1994-05-31,316.823
1994-06-30,320.575
1994-07-29,324.102
1994-08-31,331.348
1994-09-30,320.527
1994-10-31,327.739
1994-11-30,308.868
1994-12-30,315.779
1995-01-31,311.667
1995-02-28,324.359
1995-03-31,329.962
1995-04-28,330.592
1995-05-31,331.968
1995-06-30,343.103
1995-07-31,352.096
1995-08-31,329.723
1995-09-29,329.808
1995-10-31,321.084
1995-11-30,309.914
1995-12-29,318.568
1996-01-31,312.997
1996-02-29,317.853
1996-03-29,310.13
1996-04-30,298.655
1996-05-31,304.789
1996-06-28,315.914
1996-07-31,315.42
1996-08-30,317.501
1996-09-30,311.644
1996-10-31,311.432
1996-11-29,309.772
1996-12-31,314.673
1997-01-31,312.119
1997-02-28,316.836
1997-03-31,332.108
1997-04-30,326.35
1997-05-30,350.362
1997-06-30,359.808
1997-07-31,355.718
1997-08-29,345.401
1997-09-30,359.583
1997-10-31,355.428
1997-11-28,348.906
1997-12-31,348.083
1998-01-30,352.126
1998-02-27,375.093
1998-03-31,390.701
1998-04-30,416.778
1998-05-29,435.094
1998-06-30,430.761
1998-07-31,446.02
1998-08-31,401.872
1998-09-30,399.36
1998-10-30,410.203
1998-11-30,418.376
1998-12-31,424.992
1999-01-29,423.317
1999-02-26,409.744
1999-03-31,393.59
1999-04-30,398.27
1999-05-31,392.328
1999-06-30,403.49
1999-07-30,418.599
1999-08-31,409.457
1999-09-30,395.785
1999-10-29,396.695
1999-11-30,396.857
1999-12-31,418.466
2000-01-31,421.702
2000-02-29,459.734
2000-03-31,455.662
2000-04-28,432.794
2000-05-31,423.478
2000-06-30,429.157
2000-07-31,432.385
2000-08-31,427.171
2000-09-29,403.255
2000-10-31,374.06
2000-11-30,346.591
2000-12-29,366.779
2001-01-31,375.672
2001-02-28,346.85
2001-03-30,309.039
2001-04-30,324.723
2001-05-31,312.956
2001-06-29,304.456
2001-07-31,301.102
2001-08-31,297.304
2001-09-28,261.838
2001-10-31,277.686
2001-11-30,289.833
2001-12-31,287.767
