Date,GERMANY SMID CAP SMID (Small+Mid Cap)
1994-05-31,331.742
1994-06-30,335.298
1994-07-29,338.724
1994-08-31,346.249
1994-09-30,334.937
1994-10-31,342.418
1994-11-30,322.686
1994-12-30,329.848
1995-01-31,325.55
1995-02-28,338.801
1995-03-31,344.61
1995-04-28,345.222
1995-05-31,346.492
1995-06-30,357.648
1995-07-31,366.637
1995-08-31,343.304
1995-09-29,343.37
1995-10-31,334.218
1995-11-30,322.591
1995-12-29,331.565
1996-01-31,325.751
1996-02-29,330.806
1996-03-29,322.706
1996-04-30,310.692
1996-05-31,316.9
1996-06-28,328.119
1996-07-31,327.225
1996-08-30,329.361
1996-09-30,323.198
1996-10-31,322.96
1996-11-29,321.226
1996-12-31,326.283
1997-01-31,323.625
1997-02-28,328.514
1997-03-31,344.3
1997-04-30,338.247
1997-05-30,362.919
1997-06-30,372.285
1997-07-31,367.77
1997-08-29,357.096
1997-09-30,371.681
1997-10-31,367.362
1997-11-28,360.613
1997-12-31,359.745
1998-01-30,363.882
1998-02-27,387.613
1998-03-31,403.696
1998-04-30,430.554
1998-05-29,449.196
1998-06-30,444.287
1998-07-31,459.732
1998-08-31,414.225
1998-09-30,411.601
1998-10-30,422.77
1998-11-30,431.193
1998-12-31,438.005
1999-01-29,436.279
1999-02-26,422.29
1999-03-31,405.618
1999-04-30,410.441
1999-05-31,404.249
1999-06-30,415.561
1999-07-30,431.085
1999-08-31,421.621
1999-09-30,407.543
1999-10-29,408.48
1999-11-30,408.647
1999-12-31,430.845
2000-01-31,434.167
2000-02-29,473.306
2000-03-31,469.061
2000-04-28,445.455
2000-05-31,435.701
2000-06-30,441.169
2000-07-31,444.178
2000-08-31,438.8
2000-09-29,414.197
2000-10-31,384.205
2000-11-30,355.947
2000-12-29,376.625
2001-01-31,385.743
2001-02-28,356.13
2001-03-30,317.284
2001-04-30,333.285
2001-05-31,320.721
2001-06-29,311.729
2001-07-31,308.089
2001-08-31,304.119
2001-09-28,267.782
2001-10-31,283.99
2001-11-30,296.329
2001-12-31,294.213
2002-01-31,292.439
2002-02-28,290.443
2002-03-29,300.039
2002-04-30,302.007
2002-05-31,308.326
2002-06-28,293.134
2002-07-31,249.764
2002-08-30,243.971
2002-09-30,199.598
2002-10-31,222.386
2002-11-29,234.725
2002-12-31,224.546
2003-01-31,219.628
2003-02-28,205.194
2003-03-31,209.568
2003-04-30,250.039
2003-05-30,271.401
2003-06-30,283.691
2003-07-31,302.434
2003-08-29,308.479
2003-09-30,318.412
2003-10-31,355.962
2003-11-28,363.079
2003-12-31,386.249
2004-01-30,404.93
2004-02-27,409.34
2004-03-31,397.858
2004-04-30,395.302
2004-05-31,395.195
2004-06-30,403.896
2004-07-30,384.37
2004-08-31,378.684
2004-09-30,401.403
2004-10-29,407.791
2004-11-30,443.391
2004-12-31,461.419
2005-01-31,459.693
2005-02-28,490.083
2005-03-31,479.404
2005-04-29,455.049
2005-05-31,467.895
2005-06-30,478.515
2005-07-29,510.572
2005-08-31,520.42
2005-09-30,532.865
2005-10-31,506.196
2005-11-30,521.592
2005-12-30,540.964
2006-01-31,611.298
2006-02-28,628.481
2006-03-31,670.966
2006-04-28,714.896
2006-05-31,675.634
2006-06-30,665.542
2006-07-31,663.019
2006-08-31,695.766
2006-09-29,713.576
2006-10-31,740.99
2006-11-30,772.529
2006-12-29,811.068
2007-01-31,838.136
2007-02-28,849.714
2007-03-30,904.408
2007-04-30,981.699
2007-05-31,1000.0
2007-06-29,1002.109
2007-07-31,989.101
2007-08-31,942.179
2007-09-28,994.675
2007-10-31,1032.093
2007-11-30,957.488
2007-12-31,961.514
2008-01-31,820.15
2008-02-29,860.115
2008-03-31,867.566
2008-04-30,921.913
2008-05-30,948.164
2008-06-30,886.019
2008-07-31,817.668
2008-08-29,799.4
2008-09-30,587.446
2008-10-31,390.14
2008-11-28,373.726
2008-12-31,438.367
2009-01-30,364.831
2009-02-27,326.932
2009-03-31,349.033
2009-04-30,429.145
2009-05-29,481.764
2009-06-30,460.729
2009-07-31,499.594
2009-08-31,540.901
2009-09-30,602.667
2009-10-30,559.894
2009-11-30,604.99
2009-12-31,603.927
2010-01-29,585.747
2010-02-26,576.198
2010-03-31,624.587
2010-04-30,620.594
2010-05-31,534.11
2010-06-30,531.663
2010-07-30,593.259
2010-08-31,561.796
2010-09-30,648.13
2010-10-29,705.375
2010-11-30,666.56
2010-12-31,738.907
2011-01-31,748.427
2011-02-28,772.409
2011-03-31,783.213
2011-04-29,847.435
2011-05-31,825.594
2011-06-30,826.732
2011-07-29,769.978
2011-08-31,679.446
2011-09-30,577.501
2011-10-31,652.753
2011-11-30,621.275
2011-12-30,586.158
2012-01-31,653.834
2012-02-29,701.743
2012-03-30,707.781
