Date,GERMANY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,115.386
1975-02-28,131.692
1975-03-31,128.468
1975-04-30,129.529
1975-05-30,120.766
1975-06-30,120.284
1975-07-31,121.405
1975-08-29,115.518
1975-09-30,109.818
1975-10-31,124.875
1975-11-28,129.458
1975-12-31,133.514
1976-01-30,140.178
1976-02-27,144.248
1976-03-31,149.65
1976-04-30,140.903
1976-05-31,136.652
1976-06-30,138.72
1976-07-30,137.86
1976-08-31,137.809
1976-09-30,145.233
1976-10-29,135.384
1976-11-30,145.977
1976-12-31,149.598
1977-01-31,148.225
1977-02-28,146.945
1977-03-31,153.412
1977-04-29,167.195
1977-05-31,164.384
1977-06-30,159.877
1977-07-29,166.383
1977-08-31,165.345
1977-09-30,167.69
1977-10-31,175.049
1977-11-30,179.288
1977-12-30,187.03
1978-01-31,191.555
1978-02-28,200.175
1978-03-31,201.586
1978-04-28,190.878
1978-05-31,193.717
1978-06-30,195.874
1978-07-31,205.762
1978-08-31,216.931
1978-09-29,228.456
1978-10-31,250.68
1978-11-30,222.668
1978-12-29,235.531
1979-01-31,230.298
1979-02-28,226.174
1979-03-30,223.229
1979-04-30,220.235
1979-05-31,209.426
1979-06-29,212.038
1979-07-31,221.914
1979-08-31,226.616
1979-09-28,236.301
1979-10-31,217.649
1979-11-30,229.976
1979-12-31,229.572
1980-01-31,229.968
1980-02-29,229.927
1980-03-31,192.488
1980-04-30,214.633
1980-05-30,222.448
1980-06-30,229.78
1980-07-31,230.236
1980-08-29,222.586
1980-09-30,217.146
1980-10-31,198.5
1980-11-28,198.985
1980-12-31,191.134
1981-01-30,172.544
1981-02-27,172.53
1981-03-31,181.299
1981-04-30,179.341
1981-05-29,164.139
1981-06-30,169.349
1981-07-31,163.984
1981-08-31,160.935
1981-09-30,158.568
1981-10-30,160.839
1981-11-30,171.438
1981-12-31,164.51
1982-01-29,163.564
1982-02-26,161.526
1982-03-31,167.18
1982-04-30,173.799
1982-05-31,169.903
1982-06-30,155.354
1982-07-30,155.449
1982-08-31,150.676
1982-09-30,156.393
1982-10-29,150.491
1982-11-30,156.311
1982-12-31,176.293
1983-01-31,171.117
1983-02-28,186.747
1983-03-31,212.205
1983-04-29,220.335
1983-05-31,199.851
1983-06-30,207.769
1983-07-29,206.804
1983-08-31,189.347
1983-09-30,198.921
1983-10-31,206.795
1983-11-30,202.822
1983-12-30,207.915
1984-01-31,213.006
1984-02-29,217.58
1984-03-30,219.635
1984-04-30,211.223
1984-05-31,199.403
1984-06-29,197.72
1984-07-31,177.51
1984-08-31,183.819
1984-09-28,185.415
1984-10-31,191.737
1984-11-30,192.112
1984-12-31,193.023
1985-01-31,193.193
1985-02-28,185.99
1985-03-29,206.194
1985-04-30,213.87
1985-05-31,236.972
1985-06-28,255.513
1985-07-31,270.3
1985-08-30,292.982
1985-09-30,331.159
1985-10-31,376.948
1985-11-29,383.246
1985-12-31,449.368
1986-01-31,444.715
1986-02-28,486.133
1986-03-31,498.197
1986-04-30,540.677
1986-05-30,454.997
1986-06-30,470.038
1986-07-31,463.657
1986-08-29,547.057
1986-09-30,523.367
1986-10-31,523.934
1986-11-28,564.784
1986-12-31,570.814
1987-01-30,543.629
1987-02-27,535.195
1987-03-31,561.941
1987-04-30,562.864
1987-05-29,547.943
1987-06-30,582.532
1987-07-31,605.356
1987-08-31,646.649
1987-09-30,624.433
1987-10-30,534.675
1987-11-30,500.26
