Date,HONG KONG IMI IMI (Large+Mid+Small Cap)
2001-01-01,500.99
2001-01-02,495.424
2001-01-03,487.193
2001-01-04,507.951
2001-01-05,513.148
2001-01-08,510.607
2001-01-09,510.31
2001-01-10,508.918
2001-01-11,495.933
2001-01-12,502.407
2001-01-15,498.508
2001-01-16,498.953
2001-01-17,496.224
2001-01-18,503.153
2001-01-19,517.965
2001-01-22,523.738
2001-01-23,519.585
2001-01-24,519.579
2001-01-25,519.582
2001-01-26,519.576
2001-01-29,516.428
2001-01-30,508.161
2001-01-31,515.338
2001-02-01,519.689
2001-02-02,515.743
2001-02-05,509.96
2001-02-06,510.65
2001-02-07,514.126
2001-02-08,509.338
2001-02-09,509.71
2001-02-12,507.155
2001-02-13,511.944
2001-02-14,513.019
2001-02-15,508.715
2001-02-16,506.707
2001-02-19,508.589
2001-02-20,508.386
2001-02-21,507.443
2001-02-22,503.656
2001-02-23,506.277
2001-02-26,508.671
2001-02-27,504.373
2001-02-28,505.254
2001-03-01,493.55
2001-03-02,490.047
2001-03-05,492.959
2001-03-06,501.986
2001-03-07,499.224
2001-03-08,497.968
2001-03-09,494.175
2001-03-12,476.985
2001-03-13,467.577
2001-03-14,464.089
2001-03-15,471.728
2001-03-16,469.985
2001-03-19,473.817
2001-03-20,465.142
2001-03-21,459.632
2001-03-22,444.707
2001-03-23,448.552
2001-03-26,456.441
2001-03-27,450.141
2001-03-28,450.891
2001-03-29,446.086
2001-03-30,449.188
2001-04-02,448.742
2001-04-03,446.352
2001-04-04,434.518
2001-04-05,434.509
2001-04-06,436.399
2001-04-09,428.285
2001-04-10,426.155
2001-04-11,437.338
2001-04-12,450.296
2001-04-13,450.296
2001-04-16,450.282
2001-04-17,443.278
2001-04-18,451.627
2001-04-19,467.173
2001-04-20,464.4
2001-04-23,462.831
2001-04-24,460.35
2001-04-25,457.299
2001-04-26,458.276
2001-04-27,459.89
2001-04-30,459.902
2001-05-01,459.884
2001-05-02,467.607
2001-05-03,467.758
2001-05-04,460.541
2001-05-07,467.306
2001-05-08,467.101
2001-05-09,468.284
2001-05-10,470.954
2001-05-11,473.503
2001-05-14,464.195
2001-05-15,466.111
2001-05-16,469.747
2001-05-17,475.133
2001-05-18,471.031
2001-05-21,476.411
2001-05-22,480.119
2001-05-23,480.237
2001-05-24,478.872
2001-05-25,477.687
2001-05-28,479.107
2001-05-29,475.936
2001-05-30,469.693
2001-05-31,460.813
2001-06-01,461.222
2001-06-04,464.237
2001-06-05,470.893
2001-06-06,472.993
2001-06-07,476.566
2001-06-08,477.079
2001-06-11,471.74
2001-06-12,467.098
2001-06-13,464.44
2001-06-14,455.556
2001-06-15,450.142
2001-06-18,449.799
2001-06-19,452.568
2001-06-20,447.825
2001-06-21,453.078
2001-06-22,449.104
2001-06-25,449.109
2001-06-26,445.209
2001-06-27,444.544
2001-06-28,440.013
2001-06-29,446.123
2001-07-02,446.137
2001-07-03,447.545
2001-07-04,451.899
2001-07-05,446.384
2001-07-06,446.378
2001-07-09,438.922
2001-07-10,442.053
2001-07-11,439.707
2001-07-12,442.818
2001-07-13,440.326
2001-07-16,440.58
2001-07-17,438.078
2001-07-18,438.634
2001-07-19,435.014
2001-07-20,436.891
2001-07-23,436.108
2001-07-24,431.893
2001-07-25,431.885
2001-07-26,426.016
2001-07-27,428.257
2001-07-30,425.695
2001-07-31,435.18
2001-08-01,441.057
2001-08-02,437.677
2001-08-03,432.021
2001-08-06,429.113
2001-08-07,424.738
2001-08-08,418.692
2001-08-09,409.879
2001-08-10,413.283
2001-08-13,407.289
2001-08-14,414.899
2001-08-15,417.361
2001-08-16,415.762
2001-08-17,421.042
2001-08-20,416.262
2001-08-21,413.351
2001-08-22,411.766
2001-08-23,415.342
2001-08-24,413.625
2001-08-27,417.668
2001-08-28,416.787
2001-08-29,415.954
2001-08-30,415.96
2001-08-31,409.924
2001-09-03,408.545
2001-09-04,411.759
2001-09-05,407.738
2001-09-06,398.211
2001-09-07,388.048
2001-09-10,387.904
