Date,HONG KONG LARGE CAP Large Cap
2001-01-01,625.713
2001-01-02,618.202
2001-01-03,607.918
2001-01-04,633.171
2001-01-05,637.503
2001-01-08,631.716
2001-01-09,634.436
2001-01-10,634.186
2001-01-11,616.405
2001-01-12,620.851
2001-01-15,612.902
2001-01-16,613.909
2001-01-17,611.801
2001-01-18,620.708
2001-01-19,640.236
2001-01-22,649.384
2001-01-23,640.208
2001-01-24,640.212
2001-01-25,640.216
2001-01-26,640.208
2001-01-29,635.944
2001-01-30,623.2
2001-01-31,634.735
2001-02-01,640.988
2001-02-02,635.087
2001-02-05,627.583
2001-02-06,626.884
2001-02-07,633.193
2001-02-08,628.492
2001-02-09,626.053
2001-02-12,620.673
2001-02-13,628.053
2001-02-14,628.951
2001-02-15,621.836
2001-02-16,618.703
2001-02-19,621.079
2001-02-20,620.271
2001-02-21,618.731
2001-02-22,613.28
2001-02-23,615.693
2001-02-26,617.323
2001-02-27,610.712
2001-02-28,615.552
2001-03-01,599.158
2001-03-02,593.272
2001-03-05,598.901
2001-03-06,609.165
2001-03-07,604.675
2001-03-08,602.843
2001-03-09,597.83
2001-03-12,579.404
2001-03-13,568.483
2001-03-14,565.442
2001-03-15,577.84
2001-03-16,572.421
2001-03-19,578.602
2001-03-20,567.475
2001-03-21,560.17
2001-03-22,541.638
2001-03-23,546.457
2001-03-26,555.706
2001-03-27,546.794
2001-03-28,548.659
2001-03-29,543.963
2001-03-30,547.864
2001-04-02,546.982
2001-04-03,544.808
2001-04-04,529.685
2001-04-05,529.675
2001-04-06,529.249
2001-04-09,518.747
2001-04-10,513.282
2001-04-11,526.815
2001-04-12,538.235
2001-04-13,538.235
2001-04-16,538.218
2001-04-17,528.876
2001-04-18,540.951
2001-04-19,560.207
2001-04-20,556.075
2001-04-23,553.098
2001-04-24,549.939
2001-04-25,545.878
2001-04-26,545.216
2001-04-27,546.633
2001-04-30,546.647
2001-05-01,546.654
2001-05-02,554.121
2001-05-03,554.248
2001-05-04,545.542
2001-05-07,556.608
2001-05-08,556.097
2001-05-09,557.974
2001-05-10,561.32
2001-05-11,563.172
2001-05-14,551.242
2001-05-15,553.471
2001-05-16,558.885
2001-05-17,566.709
2001-05-18,561.309
2001-05-21,567.508
2001-05-22,571.256
2001-05-23,570.897
2001-05-24,569.075
2001-05-25,563.939
2001-05-28,564.456
2001-05-29,559.969
2001-05-30,552.694
2001-05-31,541.873
2001-06-01,543.387
2001-06-04,545.96
2001-06-05,554.567
2001-06-06,557.532
2001-06-07,562.966
2001-06-08,564.244
2001-06-11,556.553
2001-06-12,550.839
2001-06-13,547.208
2001-06-14,538.003
2001-06-15,530.88
2001-06-18,529.765
2001-06-19,533.271
2001-06-20,526.852
2001-06-21,533.032
2001-06-22,526.574
2001-06-25,526.581
2001-06-26,521.444
2001-06-27,520.034
2001-06-28,514.744
2001-06-29,523.874
2001-07-02,523.884
2001-07-03,525.787
2001-07-04,531.409
2001-07-05,524.062
2001-07-06,524.055
2001-07-09,516.009
2001-07-10,520.361
2001-07-11,518.683
2001-07-12,522.962
2001-07-13,518.82
2001-07-16,517.464
2001-07-17,517.248
2001-07-18,519.053
2001-07-19,515.137
2001-07-20,516.998
2001-07-23,516.316
2001-07-24,510.173
2001-07-25,510.163
2001-07-26,500.855
2001-07-27,503.751
2001-07-30,500.861
2001-07-31,513.44
2001-08-01,520.253
2001-08-02,515.801
2001-08-03,509.049
2001-08-06,506.555
2001-08-07,499.834
2001-08-08,490.327
2001-08-09,477.609
2001-08-10,483.514
2001-08-13,475.189
2001-08-14,485.604
2001-08-15,488.412
2001-08-16,485.773
2001-08-17,493.645
2001-08-20,488.173
2001-08-21,486.108
2001-08-22,484.307
2001-08-23,489.166
2001-08-24,488.491
2001-08-27,493.682
2001-08-28,492.824
2001-08-29,492.754
2001-08-30,492.942
2001-08-31,484.259
2001-09-03,483.558
2001-09-04,488.373
2001-09-05,482.372
2001-09-06,469.571
2001-09-07,455.756
2001-09-10,456.055
2001-09-11,458.81
2001-09-12,417.902
2001-09-13,424.803
2001-09-14,422.724
2001-09-17,404.945
2001-09-18,398.977
2001-09-19,407.072
2001-09-20,396.681
2001-09-21,382.351
2001-09-24,393.105
2001-09-25,396.277
2001-09-26,397.937
2001-09-27,412.147
2001-09-28,420.797
2001-10-01,420.843
2001-10-02,420.829
2001-10-03,422.64
2001-10-04,433.56
2001-10-05,438.612
2001-10-08,427.912
2001-10-09,442.83
2001-10-10,439.601
2001-10-11,446.879
2001-10-12,437.626
2001-10-15,436.224
2001-10-16,439.694
2001-10-17,452.817
2001-10-18,438.076
2001-10-19,433.214
2001-10-22,434.718
2001-10-23,445.743
2001-10-24,444.893
2001-10-25,444.899
2001-10-26,450.333
2001-10-29,439.252
2001-10-30,436.853
2001-10-31,437.304
2001-11-01,438.643
2001-11-02,437.055
2001-11-05,448.09
2001-11-06,445.098
2001-11-07,440.245
2001-11-08,452.664
2001-11-09,458.391
2001-11-12,459.906
2001-11-13,461.677
2001-11-14,474.556
2001-11-15,487.169
2001-11-16,490.448
2001-11-19,491.05
2001-11-20,489.37
2001-11-21,487.064
2001-11-22,485.949
2001-11-23,488.642
2001-11-26,492.207
2001-11-27,485.736
2001-11-28,476.226
2001-11-29,478.989
2001-11-30,487.289
2001-12-03,484.945
2001-12-04,498.143
2001-12-05,514.564
2001-12-06,512.078
2001-12-07,516.71
2001-12-10,517.637
2001-12-11,511.218
2001-12-12,518.89
2001-12-13,508.474
2001-12-14,506.464
2001-12-17,507.886
2001-12-18,509.484
2001-12-19,515.359
2001-12-20,518.21
2001-12-21,500.828
2001-12-24,502.863
2001-12-25,502.863
2001-12-26,502.856
2001-12-27,508.924
2001-12-28,512.265
2001-12-31,512.173
2002-01-01,512.173
2002-01-02,510.444
2002-01-03,511.09
2002-01-04,521.712
2002-01-07,533.634
2002-01-08,530.671
2002-01-09,525.619
2002-01-10,519.297
2002-01-11,511.809
2002-01-14,514.259
2002-01-15,507.087
