Date,HONG KONG LARGE GROWTH Large Cap
2001-01-01,677.1
2001-01-02,670.669
2001-01-03,662.519
2001-01-04,695.364
2001-01-05,689.539
2001-01-08,680.683
2001-01-09,687.169
2001-01-10,687.472
2001-01-11,665.894
2001-01-12,674.136
2001-01-15,665.311
2001-01-16,668.606
2001-01-17,663.065
2001-01-18,678.33
2001-01-19,702.938
2001-01-22,713.429
2001-01-23,705.217
2001-01-24,705.221
2001-01-25,705.226
2001-01-26,705.217
2001-01-29,702.169
2001-01-30,680.334
2001-01-31,696.753
2001-02-01,702.981
2001-02-02,700.001
2001-02-05,692.055
2001-02-06,685.436
2001-02-07,691.918
2001-02-08,684.455
2001-02-09,681.835
2001-02-12,673.629
2001-02-13,676.745
2001-02-14,674.853
2001-02-15,662.922
2001-02-16,662.436
2001-02-19,662.47
2001-02-20,656.856
2001-02-21,652.041
2001-02-22,639.607
2001-02-23,637.284
2001-02-26,631.843
2001-02-27,628.122
2001-02-28,642.576
2001-03-01,628.853
2001-03-02,612.57
2001-03-05,611.072
2001-03-06,624.562
2001-03-07,623.235
2001-03-08,620.879
2001-03-09,617.267
2001-03-12,600.215
2001-03-13,590.751
2001-03-14,583.022
2001-03-15,596.752
2001-03-16,592.12
2001-03-19,592.504
2001-03-20,579.195
2001-03-21,575.331
2001-03-22,554.177
2001-03-23,554.935
2001-03-26,560.712
2001-03-27,546.584
2001-03-28,550.371
2001-03-29,544.648
2001-03-30,548.157
2001-04-02,553.293
2001-04-03,542.661
2001-04-04,524.48
2001-04-05,524.47
2001-04-06,522.948
2001-04-09,511.403
2001-04-10,504.814
2001-04-11,529.362
2001-04-12,546.736
2001-04-13,546.736
2001-04-16,546.718
2001-04-17,538.232
2001-04-18,558.349
2001-04-19,585.809
2001-04-20,573.609
2001-04-23,570.881
2001-04-24,569.621
2001-04-25,562.485
2001-04-26,560.675
2001-04-27,564.304
2001-04-30,564.318
2001-05-01,564.325
2001-05-02,577.349
2001-05-03,580.249
2001-05-04,568.89
2001-05-07,585.338
2001-05-08,583.441
2001-05-09,586.995
2001-05-10,590.471
2001-05-11,587.596
2001-05-14,578.05
2001-05-15,581.951
2001-05-16,586.181
2001-05-17,594.432
2001-05-18,588.225
2001-05-21,592.443
2001-05-22,595.087
2001-05-23,594.568
2001-05-24,596.398
2001-05-25,591.888
2001-05-28,593.15
2001-05-29,587.894
2001-05-30,575.879
2001-05-31,563.627
2001-06-01,565.889
2001-06-04,567.716
2001-06-05,577.263
2001-06-06,581.644
2001-06-07,589.176
2001-06-08,587.879
2001-06-11,578.429
2001-06-12,572.196
2001-06-13,570.119
2001-06-14,563.896
2001-06-15,557.463
2001-06-18,556.792
2001-06-19,557.046
2001-06-20,550.858
2001-06-21,557.94
2001-06-22,548.503
2001-06-25,548.51
2001-06-26,541.657
2001-06-27,537.428
2001-06-28,532.015
2001-06-29,543.229
2001-07-02,543.24
2001-07-03,542.647
2001-07-04,547.469
2001-07-05,535.681
2001-07-06,535.675
2001-07-09,527.949
2001-07-10,530.66
2001-07-11,525.922
2001-07-12,527.54
2001-07-13,519.692
2001-07-16,519.132
2001-07-17,521.59
2001-07-18,524.539
2001-07-19,517.166
2001-07-20,519.852
2001-07-23,520.051
2001-07-24,512.694
2001-07-25,512.684
2001-07-26,498.165
2001-07-27,500.409
2001-07-30,496.895
2001-07-31,510.292
2001-08-01,519.983
2001-08-02,515.404
2001-08-03,506.785
2001-08-06,504.714
2001-08-07,496.307
2001-08-08,486.564
2001-08-09,466.307
