Date,HONG KONG SMALL GROWTH Small Cap
2001-01-01,304.715
2001-01-02,301.302
2001-01-03,298.711
2001-01-04,310.758
2001-01-05,315.883
2001-01-08,320.604
2001-01-09,319.694
2001-01-10,321.256
2001-01-11,308.854
2001-01-12,316.996
2001-01-15,318.662
2001-01-16,316.237
2001-01-17,313.351
2001-01-18,314.786
2001-01-19,322.975
2001-01-22,330.658
2001-01-23,335.279
2001-01-24,335.244
2001-01-25,335.246
2001-01-26,335.242
2001-01-29,333.923
2001-01-30,326.09
2001-01-31,330.025
2001-02-01,332.472
2001-02-02,334.883
2001-02-05,334.405
2001-02-06,334.03
2001-02-07,332.636
2001-02-08,330.914
2001-02-09,334.569
2001-02-12,338.222
2001-02-13,333.727
2001-02-14,334.766
2001-02-15,336.056
2001-02-16,339.753
2001-02-19,339.364
2001-02-20,340.645
2001-02-21,340.225
2001-02-22,336.609
2001-02-23,340.6
2001-02-26,340.912
2001-02-27,337.838
2001-02-28,335.652
2001-03-01,327.16
2001-03-02,329.49
2001-03-05,327.967
2001-03-06,333.476
2001-03-07,334.558
2001-03-08,333.488
2001-03-09,332.889
2001-03-12,321.478
2001-03-13,312.745
2001-03-14,308.912
2001-03-15,306.587
2001-03-16,310.713
2001-03-19,307.702
2001-03-20,305.013
2001-03-21,304.737
2001-03-22,297.589
2001-03-23,297.212
2001-03-26,299.025
2001-03-27,295.644
2001-03-28,296.781
2001-03-29,294.235
2001-03-30,296.996
2001-04-02,298.409
2001-04-03,295.96
2001-04-04,285.957
2001-04-05,285.951
2001-04-06,290.391
2001-04-09,289.679
2001-04-10,293.459
2001-04-11,297.538
2001-04-12,302.754
2001-04-13,302.754
2001-04-16,302.744
2001-04-17,301.368
2001-04-18,309.228
2001-04-19,318.982
2001-04-20,314.964
2001-04-23,317.722
2001-04-24,320.521
2001-04-25,315.205
2001-04-26,319.165
2001-04-27,321.617
2001-04-30,321.625
2001-05-01,321.352
2001-05-02,327.512
2001-05-03,325.881
2001-05-04,322.898
2001-05-07,323.687
2001-05-08,323.218
2001-05-09,327.126
2001-05-10,326.159
2001-05-11,328.225
2001-05-14,327.07
2001-05-15,328.961
2001-05-16,329.514
2001-05-17,332.451
2001-05-18,331.647
2001-05-21,333.291
2001-05-22,337.942
2001-05-23,335.658
2001-05-24,333.53
2001-05-25,340.247
2001-05-28,345.787
2001-05-29,344.789
2001-05-30,344.376
2001-05-31,339.27
2001-06-01,339.16
2001-06-04,341.156
2001-06-05,341.179
2001-06-06,341.857
2001-06-07,341.549
2001-06-08,342.991
2001-06-11,345.13
2001-06-12,341.9
2001-06-13,338.121
2001-06-14,329.15
2001-06-15,327.803
2001-06-18,327.248
2001-06-19,328.796
2001-06-20,326.884
2001-06-21,332.846
2001-06-22,330.2
2001-06-25,330.204
2001-06-26,326.94
2001-06-27,325.886
2001-06-28,320.496
2001-06-29,323.258
2001-07-02,323.264
2001-07-03,323.391
2001-07-04,325.722
2001-07-05,321.71
2001-07-06,321.706
2001-07-09,314.486
2001-07-10,315.444
2001-07-11,312.858
2001-07-12,315.272
2001-07-13,312.119
2001-07-16,312.025
2001-07-17,308.825
2001-07-18,307.874
2001-07-19,303.001
2001-07-20,304.95
2001-07-23,301.984
2001-07-24,303.774
2001-07-25,303.768
2001-07-26,302.318
2001-07-27,304.931
2001-07-30,301.584
2001-07-31,303.303
2001-08-01,308.046
2001-08-02,305.362
2001-08-03,301.349
2001-08-06,296.058
2001-08-07,295.432
2001-08-08,294.71
2001-08-09,291.694
2001-08-10,291.497
2001-08-13,287.399
2001-08-14,293.088
2001-08-15,294.597
2001-08-16,296.768
2001-08-17,297.327
2001-08-20,294.532
2001-08-21,294.675
2001-08-22,292.034
2001-08-23,294.182
2001-08-24,290.214
2001-08-27,293.754
2001-08-28,294.517
2001-08-29,294.256
2001-08-30,292.018
2001-08-31,289.859
2001-09-03,285.105
2001-09-04,286.687
2001-09-05,285.969
2001-09-06,284.636
2001-09-07,278.139
2001-09-10,277.109
2001-09-11,278.166
2001-09-12,253.433
2001-09-13,259.754
2001-09-14,258.653
2001-09-17,244.753
2001-09-18,245.793
2001-09-19,248.389
2001-09-20,246.673
2001-09-21,242.661
2001-09-24,246.605
2001-09-25,250.356
2001-09-26,249.261
2001-09-27,252.464
2001-09-28,255.335
2001-10-01,255.162
2001-10-02,255.154
2001-10-03,258.368
2001-10-04,264.983
2001-10-05,264.518
2001-10-08,260.941
2001-10-09,268.86
2001-10-10,269.256
2001-10-11,273.263
2001-10-12,269.776
2001-10-15,267.365
2001-10-16,268.65
2001-10-17,271.281
2001-10-18,267.492
2001-10-19,269.517
2001-10-22,268.842
2001-10-23,273.386
2001-10-24,272.723
2001-10-25,272.727
2001-10-26,273.006
2001-10-29,272.364
2001-10-30,273.635
2001-10-31,274.104
2001-11-01,277.664
2001-11-02,274.659
2001-11-05,277.221
2001-11-06,275.817
2001-11-07,274.015
2001-11-08,275.096
2001-11-09,276.139
2001-11-12,276.703
2001-11-13,277.657
2001-11-14,283.81
2001-11-15,284.183
2001-11-16,284.259
2001-11-19,284.074
2001-11-20,286.153
2001-11-21,286.448
2001-11-22,289.134
2001-11-23,292.198
2001-11-26,294.833
2001-11-27,294.287
2001-11-28,291.912
2001-11-29,292.853
2001-11-30,293.165
2001-12-03,295.236
2001-12-04,299.098
2001-12-05,302.132
2001-12-06,300.052
2001-12-07,304.431
2001-12-10,306.571
2001-12-11,304.592
2001-12-12,306.869
2001-12-13,294.329
2001-12-14,296.111
2001-12-17,294.715
2001-12-18,291.018
2001-12-19,292.71
2001-12-20,293.692
2001-12-21,288.482
2001-12-24,289.68
2001-12-25,289.68
2001-12-26,289.676
2001-12-27,290.572
2001-12-28,291.976
2001-12-31,293.49
2002-01-01,294.334
2002-01-02,299.375
2002-01-03,302.18
2002-01-04,303.899
2002-01-07,306.978
2002-01-08,307.791
2002-01-09,304.852
2002-01-10,308.983
2002-01-11,306.101
2002-01-14,305.236
2002-01-15,302.77
2002-01-16,301.215
2002-01-17,301.845
2002-01-18,304.596
2002-01-21,304.147
2002-01-22,301.98
2002-01-23,302.76
2002-01-24,303.955
2002-01-25,306.51
2002-01-28,306.27
2002-01-29,307.661
2002-01-30,306.866
2002-01-31,305.596
2002-02-01,306.805
2002-02-04,305.982
2002-02-05,304.229
2002-02-06,304.702
2002-02-07,301.236
2002-02-08,302.552
2002-02-11,311.937
2002-02-12,311.933
2002-02-13,311.937
2002-02-14,311.937
2002-02-15,313.786
2002-02-18,318.585
2002-02-19,317.803
2002-02-20,318.879
2002-02-21,317.367
2002-02-22,315.928
2002-02-25,314.196
2002-02-26,313.94
2002-02-27,314.208
2002-02-28,314.526
2002-03-01,312.919
2002-03-04,315.377
2002-03-05,319.941
2002-03-06,320.301
2002-03-07,324.475
2002-03-08,325.281
2002-03-11,327.946
2002-03-12,326.132
2002-03-13,321.446
2002-03-14,323.477
2002-03-15,321.675
2002-03-18,324.434
2002-03-19,324.373
2002-03-20,322.845
2002-03-21,322.661
2002-03-22,326.413
2002-03-25,325.123
2002-03-26,323.441
2002-03-27,330.839
2002-03-28,329.676
2002-03-29,329.676
2002-04-01,330.454
2002-04-02,327.888
2002-04-03,325.666
2002-04-04,325.216
2002-04-05,325.216
2002-04-08,326.303
2002-04-09,327.12
2002-04-10,324.814
2002-04-11,329.724
2002-04-12,332.043
2002-04-15,336.071
2002-04-16,334.456
2002-04-17,338.696
2002-04-18,341.247
2002-04-19,340.911
2002-04-22,342.032
2002-04-23,342.379
2002-04-24,342.96
2002-04-25,344.328
2002-04-26,344.526
2002-04-29,345.518
2002-04-30,348.861
2002-05-01,349.995
2002-05-02,354.569
2002-05-03,359.841
2002-05-06,364.955
2002-05-07,366.748
2002-05-08,361.642
2002-05-09,364.804
2002-05-10,360.982
2002-05-13,363.511
2002-05-14,363.468
2002-05-15,366.424
2002-05-16,368.968
