Date,HONG KONG SMALL VALUE Small Cap
1994-05-31,322.913
1994-06-30,299.376
1994-07-29,308.335
1994-08-31,318.341
1994-09-30,321.272
1994-10-31,317.042
1994-11-30,279.204
1994-12-30,265.226
1995-01-31,248.512
1995-02-28,266.948
1995-03-31,267.209
1995-04-28,263.382
1995-05-31,288.693
1995-06-30,292.322
1995-07-31,306.679
1995-08-31,299.003
1995-09-29,309.736
1995-10-31,306.366
1995-11-30,307.88
1995-12-29,309.607
1996-01-31,353.35
1996-02-29,358.647
1996-03-29,353.582
1996-04-30,359.837
1996-05-31,365.114
1996-06-28,371.192
1996-07-31,366.271
1996-08-30,374.278
1996-09-30,394.634
1996-10-31,419.29
1996-11-29,470.503
1996-12-31,466.928
1997-01-31,472.516
1997-02-28,475.629
1997-03-31,454.118
1997-04-30,462.748
1997-05-30,517.26
1997-06-30,551.28
1997-07-31,578.772
1997-08-29,617.773
1997-09-30,572.978
1997-10-31,374.518
1997-11-28,349.995
1997-12-31,328.253
1998-01-30,227.855
1998-02-27,312.171
1998-03-31,300.605
1998-04-30,271.625
1998-05-29,230.182
1998-06-30,198.846
1998-07-31,182.175
1998-08-31,154.737
1998-09-30,158.29
1998-10-30,202.628
1998-11-30,231.951
1998-12-31,213.516
1999-01-29,186.473
1999-02-26,184.914
1999-03-31,195.035
1999-04-30,242.73
1999-05-31,251.384
1999-06-30,282.25
1999-07-30,290.573
1999-08-31,278.767
1999-09-30,274.386
1999-10-29,265.868
1999-11-30,268.759
1999-12-31,287.718
2000-01-31,280.411
2000-02-29,288.319
2000-03-31,275.013
2000-04-28,245.757
2000-05-31,223.695
2000-06-30,244.719
2000-07-31,247.801
2000-08-31,264.533
2000-09-29,237.854
2000-10-31,224.12
2000-11-30,225.492
2000-12-29,233.355
2001-01-31,248.366
2001-02-28,252.73
2001-03-30,227.157
2001-04-30,255.756
2001-05-31,277.037
2001-06-29,276.241
2001-07-31,262.851
2001-08-31,254.071
2001-09-28,227.499
2001-10-31,241.063
2001-11-30,252.489
2001-12-31,258.468
2002-01-31,260.333
2002-02-28,264.851
2002-03-29,271.864
2002-04-30,286.091
2002-05-31,298.739
2002-06-28,288.068
2002-07-31,265.629
2002-08-30,259.136
2002-09-30,235.62
2002-10-31,243.352
2002-11-29,252.55
2002-12-31,244.5
2003-01-31,252.443
2003-02-28,258.996
2003-03-31,243.462
2003-04-30,237.641
2003-05-30,264.252
2003-06-30,274.451
2003-07-31,299.522
2003-08-29,351.995
2003-09-30,394.325
2003-10-31,411.534
2003-11-28,408.129
2003-12-31,429.576
2004-01-30,500.458
2004-02-27,514.534
2004-03-31,491.353
2004-04-30,456.805
2004-05-31,445.808
2004-06-30,449.588
2004-07-30,466.942
2004-08-31,479.501
2004-09-30,495.445
2004-10-29,502.715
2004-11-30,557.436
2004-12-31,573.73
2005-01-31,557.176
2005-02-28,586.243
2005-03-31,569.706
2005-04-29,582.898
2005-05-31,587.672
2005-06-30,602.626
2005-07-29,637.819
2005-08-31,624.184
2005-09-30,620.711
2005-10-31,573.756
2005-11-30,601.572
2005-12-30,621.788
2006-01-31,656.445
2006-02-28,690.093
2006-03-31,742.951
2006-04-28,755.684
2006-05-31,723.828
2006-06-30,701.676
2006-07-31,724.014
2006-08-31,751.78
2006-09-29,763.229
2006-10-31,776.69
2006-11-30,834.584
2006-12-29,847.792
2007-01-31,897.31
2007-02-28,912.105
2007-03-30,930.066
2007-04-30,965.966
2007-05-31,1000.0
2007-06-29,1020.373
2007-07-31,1106.134
2007-08-31,1041.447
2007-09-28,1132.594
2007-10-31,1205.974
2007-11-30,1106.729
2007-12-31,1111.432
2008-01-31,934.004
2008-02-29,937.912
2008-03-31,870.181
2008-04-30,924.241
2008-05-30,928.502
2008-06-30,846.819
2008-07-31,805.372
2008-08-29,736.002
2008-09-30,602.669
2008-10-31,382.146
2008-11-28,364.64
2008-12-31,450.975
2009-01-30,443.735
2009-02-27,423.238
2009-03-31,427.911
2009-04-30,507.194
2009-05-29,704.739
2009-06-30,701.844
2009-07-31,822.456
2009-08-31,808.583
2009-09-30,857.605
2009-10-30,894.849
2009-11-30,924.497
2009-12-31,955.57
2010-01-29,928.801
2010-02-26,967.126
2010-03-31,1051.855
2010-04-30,1084.816
2010-05-31,976.525
2010-06-30,1009.222
2010-07-30,1066.668
2010-08-31,1058.589
2010-09-30,1188.872
2010-10-29,1225.141
2010-11-30,1236.54
2010-12-31,1289.948
2011-01-31,1308.449
2011-02-28,1260.901
2011-03-31,1288.205
2011-04-29,1338.197
2011-05-31,1325.919
2011-06-30,1252.623
2011-07-29,1237.293
2011-08-31,1114.365
2011-09-30,889.895
2011-10-31,992.154
2011-11-30,931.895
2011-12-30,922.158
2012-01-31,989.692
2012-02-29,1137.407
2012-03-30,1095.37
2012-04-30,1104.523
2012-05-31,996.929
2012-06-29,980.386
2012-07-31,997.515
2012-08-31,1021.599
2012-09-28,1077.139
2012-10-31,1106.954
2012-11-30,1151.169
2012-12-31,1174.647
2013-01-31,1256.831
2013-02-28,1268.086
2013-03-29,1253.897
2013-04-30,1288.414
2013-05-31,1298.978
2013-06-28,1224.657
2013-07-31,1211.589
2013-08-30,1231.143
2013-09-30,1266.527
2013-10-31,1287.32
2013-11-29,1275.788
2013-12-31,1277.721
2014-01-31,1200.633
2014-02-28,1225.029
2014-03-31,1191.652
2014-04-30,1198.014
2014-05-30,1209.328
2014-06-30,1218.093
2014-07-31,1243.365
2014-08-29,1251.731
2014-09-30,1178.363
2014-10-31,1194.867
2014-11-28,1224.606
2014-12-31,1194.017
2015-01-30,1211.606
2015-02-27,1231.275
2015-03-31,1226.233
2015-04-30,1349.962
2015-05-29,1386.026
2015-06-30,1302.22
2015-07-31,1194.254
2015-08-31,1061.173
2015-09-30,1040.298
2015-10-30,1102.346
2015-11-30,1076.923
2015-12-31,1070.695
2016-01-29,916.516
2016-02-29,945.307
2016-03-31,1019.144
2016-04-29,1049.404
2016-05-31,1051.246
2016-06-30,1020.911
2016-07-29,1070.112
2016-08-31,1092.057
2016-09-30,1109.483
2016-10-31,1117.65
2016-11-30,1134.532
2016-12-30,1103.816
2017-01-31,1119.061
2017-02-28,1147.516
2017-03-31,1144.569
2017-04-28,1170.336
2017-05-31,1201.152
2017-06-30,1214.024
2017-07-31,1235.365
2017-08-31,1226.624
2017-09-29,1243.435
2017-10-31,1292.252
2017-11-30,1347.057
2017-12-29,1331.11
2018-01-31,1419.45
2018-02-28,1359.592
2018-03-30,1297.854
2018-04-30,1311.769
2018-05-31,1311.199
2018-06-29,1202.87
2018-07-31,1198.495
