Date,HONG KONG SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,428.147
1994-06-30,409.416
1994-07-29,431.859
1994-08-31,437.729
1994-09-30,451.063
1994-10-31,443.157
1994-11-30,388.412
1994-12-30,381.148
1995-01-31,341.527
1995-02-28,365.482
1995-03-31,368.086
1995-04-28,369.475
1995-05-31,406.027
1995-06-30,410.26
1995-07-31,433.042
1995-08-31,427.41
1995-09-29,446.648
1995-10-31,446.094
1995-11-30,440.486
1995-12-29,450.423
1996-01-31,499.781
1996-02-29,512.88
1996-03-29,504.413
1996-04-30,499.774
1996-05-31,513.183
1996-06-28,522.926
1996-07-31,510.082
1996-08-30,526.691
1996-09-30,535.647
1996-10-31,559.373
1996-11-29,614.532
1996-12-31,623.577
1997-01-31,642.71
1997-02-28,667.377
1997-03-31,637.158
1997-04-30,645.432
1997-05-30,692.012
1997-06-30,677.593
1997-07-31,682.796
1997-08-29,632.668
1997-09-30,620.992
1997-10-31,420.589
1997-11-28,419.375
1997-12-31,427.024
1998-01-30,322.808
1998-02-27,415.744
1998-03-31,416.255
1998-04-30,391.251
1998-05-29,341.926
1998-06-30,307.444
1998-07-31,300.942
1998-08-31,241.803
1998-09-30,267.024
1998-10-30,306.656
1998-11-30,335.075
1998-12-31,327.41
1999-01-29,304.276
1999-02-26,302.323
1999-03-31,324.085
1999-04-30,374.281
1999-05-31,371.127
1999-06-30,417.323
1999-07-30,423.505
1999-08-31,418.449
1999-09-30,410.21
1999-10-29,426.652
1999-11-30,488.185
1999-12-31,483.376
2000-01-31,471.512
2000-02-29,472.2
2000-03-31,493.582
2000-04-28,455.481
2000-05-31,409.007
2000-06-30,454.842
2000-07-31,446.841
2000-08-31,433.38
2000-09-29,407.662
2000-10-31,370.092
2000-11-30,362.87
2000-12-29,352.511
2001-01-31,376.967
2001-02-28,367.286
2001-03-30,326.23
2001-04-30,377.863
2001-05-31,381.628
2001-06-29,354.842
2001-07-31,346.238
2001-08-31,308.686
2001-09-28,257.002
2001-10-31,272.301
2001-11-30,303.735
2001-12-31,313.433
2002-01-31,324.665
2002-02-28,331.697
2002-03-29,361.122
2002-04-30,382.871
2002-05-31,380.058
2002-06-28,358.641
2002-07-31,324.643
2002-08-30,306.419
2002-09-30,276.858
2002-10-31,285.372
2002-11-29,307.693
2002-12-31,286.11
2003-01-31,294.744
2003-02-28,286.22
2003-03-31,274.634
2003-04-30,282.916
2003-05-30,312.34
2003-06-30,327.558
2003-07-31,345.33
2003-08-29,381.9
2003-09-30,405.614
2003-10-31,425.809
2003-11-28,428.193
2003-12-31,433.909
2004-01-30,464.337
2004-02-27,481.055
2004-03-31,455.252
2004-04-30,437.47
2004-05-31,438.042
2004-06-30,433.671
2004-07-30,434.103
2004-08-31,440.062
2004-09-30,459.739
2004-10-29,465.713
2004-11-30,510.109
2004-12-31,522.712
2005-01-31,506.742
2005-02-28,533.008
2005-03-31,521.256
2005-04-29,531.165
2005-05-31,534.721
2005-06-30,554.049
2005-07-29,588.048
2005-08-31,582.708
2005-09-30,608.125
2005-10-31,564.224
2005-11-30,606.618
2005-12-30,623.437
2006-01-31,668.112
2006-02-28,679.679
2006-03-31,731.81
2006-04-28,778.381
2006-05-31,750.748
2006-06-30,753.997
2006-07-31,749.808
2006-08-31,767.233
2006-09-29,781.443
2006-10-31,786.571
2006-11-30,836.639
2006-12-29,862.487
2007-01-31,912.021
2007-02-28,907.216
2007-03-30,919.954
2007-04-30,945.208
2007-05-31,1000.0
2007-06-29,1020.865
2007-07-31,1085.015
2007-08-31,1066.823
2007-09-28,1162.651
2007-10-31,1268.566
2007-11-30,1173.944
2007-12-31,1167.844
2008-01-31,943.492
2008-02-29,983.718
2008-03-31,870.804
2008-04-30,941.352
2008-05-30,929.95
2008-06-30,807.512
2008-07-31,708.938
2008-08-29,632.867
2008-09-30,470.346
2008-10-31,330.347
2008-11-28,318.956
2008-12-31,349.504
2009-01-30,340.826
2009-02-27,333.811
2009-03-31,352.727
2009-04-30,438.278
2009-05-29,546.637
2009-06-30,535.841
2009-07-31,610.909
2009-08-31,565.429
2009-09-30,619.02
2009-10-30,660.744
2009-11-30,660.475
2009-12-31,686.406
2010-01-29,634.326
2010-02-26,654.45
2010-03-31,711.85
2010-04-30,707.017
2010-05-31,629.399
2010-06-30,643.945
2010-07-30,699.796
2010-08-31,705.312
2010-09-30,791.028
2010-10-29,810.368
2010-11-30,844.701
2010-12-31,876.344
2011-01-31,871.774
2011-02-28,818.478
2011-03-31,841.077
2011-04-29,903.3
2011-05-31,905.219
2011-06-30,872.003
2011-07-29,873.246
2011-08-31,805.204
2011-09-30,637.366
2011-10-31,740.767
2011-11-30,685.056
2011-12-30,681.708
2012-01-31,727.742
2012-02-29,788.031
2012-03-30,771.465
2012-04-30,791.038
2012-05-31,715.852
2012-06-29,714.718
2012-07-31,732.367
2012-08-31,752.839
2012-09-28,804.804
2012-10-31,820.205
2012-11-30,880.581
2012-12-31,872.194
2013-01-31,948.133
2013-02-28,952.876
2013-03-29,948.76
2013-04-30,958.924
2013-05-31,1002.123
2013-06-28,938.479
2013-07-31,941.315
2013-08-30,952.559
2013-09-30,1013.348
2013-10-31,1040.466
2013-11-29,1073.143
2013-12-31,1120.651
2014-01-31,1070.793
2014-02-28,1096.672
2014-03-31,1051.17
2014-04-30,1052.051
2014-05-30,1039.511
2014-06-30,1042.045
2014-07-31,1062.978
2014-08-29,1038.051
2014-09-30,967.271
2014-10-31,997.033
2014-11-28,986.634
2014-12-31,931.013
2015-01-30,926.195
2015-02-27,933.439
2015-03-31,930.635
2015-04-30,1046.724
2015-05-29,1063.876
2015-06-30,995.521
2015-07-31,938.821
2015-08-31,835.49
2015-09-30,833.279
2015-10-30,894.454
2015-11-30,898.53
2015-12-31,890.243
2016-01-29,799.686
2016-02-29,806.188
2016-03-31,859.791
2016-04-29,854.177
2016-05-31,851.206
2016-06-30,855.475
2016-07-29,896.224
