Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2001-01-01,256.776
2001-01-02,256.11
2001-01-03,254.333
2001-01-04,265.113
2001-01-05,271.971
2001-01-08,276.466
2001-01-09,272.839
2001-01-10,267.452
2001-01-11,262.014
2001-01-12,269.95
2001-01-15,270.099
2001-01-16,269.411
2001-01-17,267.759
2001-01-18,270.454
2001-01-19,275.001
2001-01-22,275.113
2001-01-23,275.454
2001-01-24,275.436
2001-01-25,275.437
2001-01-26,275.434
2001-01-29,273.869
2001-01-30,273.152
2001-01-31,273.154
2001-02-01,273.95
2001-02-02,275.014
2001-02-05,272.721
2001-02-06,275.709
2001-02-07,276.31
2001-02-08,272.896
2001-02-09,276.983
2001-02-12,277.652
2001-02-13,280.026
2001-02-14,280.012
2001-02-15,278.679
2001-02-16,276.142
2001-02-19,278.113
2001-02-20,280.099
2001-02-21,279.054
2001-02-22,279.396
2001-02-23,283.016
2001-02-26,287.964
2001-02-27,288.029
2001-02-28,282.549
2001-03-01,278.632
2001-03-02,278.091
2001-03-05,277.484
2001-03-06,282.517
2001-03-07,282.265
2001-03-08,282.467
2001-03-09,280.456
2001-03-12,268.233
2001-03-13,262.122
2001-03-14,259.391
2001-03-15,259.14
2001-03-16,262.352
2001-03-19,263.694
2001-03-20,259.251
2001-03-21,256.187
2001-03-22,248.935
2001-03-23,250.514
2001-03-26,255.657
2001-03-27,253.229
2001-03-28,252.02
2001-03-29,248.238
2001-03-30,250.13
2001-04-02,249.583
2001-04-03,246.83
2001-04-04,241.404
2001-04-05,241.4
2001-04-06,243.152
2001-04-09,239.355
2001-04-10,239.864
2001-04-11,243.724
2001-04-12,250.402
2001-04-13,250.402
2001-04-16,250.394
2001-04-17,248.268
2001-04-18,250.051
2001-04-19,256.874
2001-04-20,256.129
2001-04-23,256.278
2001-04-24,256.993
2001-04-25,255.07
2001-04-26,257.331
2001-04-27,258.071
2001-04-30,258.077
2001-05-01,258.081
2001-05-02,263.291
2001-05-03,263.251
2001-05-04,259.3
2001-05-07,261.91
2001-05-08,261.696
2001-05-09,263.124
2001-05-10,264.137
2001-05-11,267.18
2001-05-14,262.118
2001-05-15,262.857
2001-05-16,262.918
2001-05-17,265.724
2001-05-18,264.761
2001-05-21,267.943
2001-05-22,270.61
2001-05-23,272.164
2001-05-24,273.155
2001-05-25,276.225
2001-05-28,278.106
2001-05-29,276.6
2001-05-30,271.55
2001-05-31,268.423
2001-06-01,268.202
2001-06-04,269.535
2001-06-05,273.801
2001-06-06,272.576
2001-06-07,275.384
2001-06-08,275.808
2001-06-11,276.114
2001-06-12,274.627
2001-06-13,275.175
2001-06-14,268.936
2001-06-15,266.988
2001-06-18,267.805
2001-06-19,268.933
2001-06-20,267.017
2001-06-21,269.802
2001-06-22,270.329
2001-06-25,270.332
2001-06-26,269.101
2001-06-27,271.325
2001-06-28,268.348
2001-06-29,270.873
2001-07-02,270.898
2001-07-03,270.475
2001-07-04,270.575
2001-07-05,269.554
2001-07-06,269.551
2001-07-09,264.831
2001-07-10,266.1
2001-07-11,263.051
2001-07-12,265.373
2001-07-13,264.875
2001-07-16,266.002
2001-07-17,261.597
2001-07-18,261.315
2001-07-19,260.084
2001-07-20,262.521
2001-07-23,261.775
2001-07-24,260.492
2001-07-25,260.487
2001-07-26,258.897
2001-07-27,258.755
2001-07-30,257.31
2001-07-31,259.972
2001-08-01,263.503
2001-08-02,261.966
2001-08-03,260.375
2001-08-06,258.026
2001-08-07,257.627
2001-08-08,255.604
2001-08-09,254.254
2001-08-10,254.908
2001-08-13,254.58
2001-08-14,257.761
2001-08-15,258.257
2001-08-16,257.115
2001-08-17,258.602
2001-08-20,256.881
2001-08-21,257.986
2001-08-22,256.94
2001-08-23,257.265
2001-08-24,256.614
2001-08-27,258.112
2001-08-28,257.204
2001-08-29,255.646
2001-08-30,255.485
2001-08-31,253.257
2001-09-03,253.286
2001-09-04,255.015
2001-09-05,254.212
2001-09-06,251.634
2001-09-07,247.966
2001-09-10,247.252
2001-09-11,246.867
2001-09-12,231.468
2001-09-13,232.837
2001-09-14,233.428
2001-09-17,223.11
2001-09-18,221.933
2001-09-19,222.482
2001-09-20,219.044
2001-09-21,214.685
2001-09-24,217.316
2001-09-25,217.328
2001-09-26,219.541
2001-09-27,221.841
2001-09-28,223.947
2001-10-01,223.931
2001-10-02,223.924
2001-10-03,226.383
2001-10-04,230.923
2001-10-05,229.712
2001-10-08,225.34
2001-10-09,231.413
2001-10-10,230.245
2001-10-11,231.496
2001-10-12,228.565
2001-10-15,228.436
2001-10-16,229.066
2001-10-17,231.29
2001-10-18,225.914
2001-10-19,226.867
2001-10-22,228.609
2001-10-23,232.854
2001-10-24,234.252
2001-10-25,234.255
2001-10-26,234.599
2001-10-29,232.134
2001-10-30,232.445
2001-10-31,233.231
2001-11-01,233.348
2001-11-02,231.767
2001-11-05,235.194
2001-11-06,233.044
2001-11-07,231.437
2001-11-08,234.493
2001-11-09,236.64
2001-11-12,237.231
2001-11-13,238.146
2001-11-14,240.429
2001-11-15,242.597
2001-11-16,243.339
2001-11-19,245.24
2001-11-20,244.246
2001-11-21,245.478
2001-11-22,246.324
2001-11-23,248.395
2001-11-26,250.092
2001-11-27,248.358
2001-11-28,243.311
2001-11-29,243.851
2001-11-30,245.366
2001-12-03,244.391
2001-12-04,247.579
2001-12-05,253.72
2001-12-06,255.467
2001-12-07,258.086
2001-12-10,258.562
2001-12-11,260.208
2001-12-12,258.953
2001-12-13,253.933
2001-12-14,254.237
2001-12-17,252.235
2001-12-18,251.856
2001-12-19,254.725
2001-12-20,256.562
2001-12-21,251.623
2001-12-24,252.335
2001-12-25,252.295
2001-12-26,252.292
2001-12-27,253.056
2001-12-28,253.002
2001-12-31,253.221
2002-01-01,253.202
2002-01-02,254.202
2002-01-03,254.869
2002-01-04,258.32
2002-01-07,262.786
2002-01-08,262.638
2002-01-09,259.762
2002-01-10,260.062
2002-01-11,259.085
2002-01-14,257.365
2002-01-15,255.257
2002-01-16,253.941
2002-01-17,253.741
2002-01-18,252.409
2002-01-21,252.583
2002-01-22,251.551
2002-01-23,251.27
2002-01-24,251.452
2002-01-25,251.963
2002-01-28,253.062
2002-01-29,255.399
2002-01-30,251.342
2002-01-31,251.469
2002-02-01,252.092
2002-02-04,253.45
2002-02-05,252.853
2002-02-06,254.504
2002-02-07,252.601
2002-02-08,254.618
2002-02-11,258.863
2002-02-12,258.882
2002-02-13,258.885
2002-02-14,258.885
2002-02-15,258.876
2002-02-18,260.006
2002-02-19,259.138
2002-02-20,260.599
2002-02-21,261.545
2002-02-22,260.51
2002-02-25,257.425
2002-02-26,257.744
2002-02-27,258.156
2002-02-28,255.125
2002-03-01,254.175
2002-03-04,257.464
2002-03-05,260.295
2002-03-06,261.093
2002-03-07,262.302
2002-03-08,262.81
2002-03-11,264.784
2002-03-12,264.756
2002-03-13,263.422
2002-03-14,263.451
