Date,IRELAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,115.275
1994-06-30,114.389
1994-07-29,122.373
1994-08-31,130.509
1994-09-30,128.276
1994-10-31,131.849
1994-11-30,126.143
1994-12-30,129.634
1995-01-31,130.883
1995-02-28,135.57
1995-03-31,138.682
1995-04-28,141.727
1995-05-31,144.513
1995-06-30,151.787
1995-07-31,157.26
1995-08-31,155.873
1995-09-29,161.517
1995-10-31,160.376
1995-11-30,164.729
1995-12-29,167.791
1996-01-31,171.429
1996-02-29,173.222
1996-03-29,178.905
1996-04-30,186.381
1996-05-31,191.65
1996-06-28,192.705
1996-07-31,188.453
1996-08-30,197.443
1996-09-30,204.588
1996-10-31,208.702
1996-11-29,216.616
1996-12-31,222.143
1997-01-31,225.565
1997-02-28,233.763
1997-03-31,230.941
1997-04-30,227.681
1997-05-30,244.211
1997-06-30,253.49
1997-07-31,269.072
1997-08-29,264.998
1997-09-30,276.811
1997-10-31,275.97
1997-11-28,279.761
1997-12-31,291.173
1998-01-30,305.897
1998-02-27,353.84
1998-03-31,369.603
1998-04-30,390.408
1998-05-29,374.732
1998-06-30,378.214
1998-07-31,378.211
1998-08-31,315.021
1998-09-30,337.338
1998-10-30,347.628
1998-11-30,365.618
1998-12-31,395.353
1999-01-29,395.777
1999-02-26,398.842
1999-03-31,388.559
1999-04-30,375.871
1999-05-31,344.137
1999-06-30,332.544
1999-07-30,353.721
1999-08-31,350.343
1999-09-30,339.014
1999-10-29,319.858
1999-11-30,333.634
1999-12-31,341.664
2000-01-31,325.002
2000-02-29,333.348
2000-03-31,364.16
2000-04-28,333.647
2000-05-31,313.873
2000-06-30,321.184
2000-07-31,316.743
2000-08-31,324.469
2000-09-29,340.096
2000-10-31,331.683
2000-11-30,332.613
2000-12-29,363.385
2001-01-31,368.471
2001-02-28,363.744
2001-03-30,331.576
2001-04-30,350.693
2001-05-31,360.226
2001-06-29,371.395
2001-07-31,361.882
2001-08-31,357.559
2001-09-28,311.483
2001-10-31,320.735
2001-11-30,335.621
2001-12-31,351.449
2002-01-31,312.897
2002-02-28,294.051
