Date,IRELAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,382.747
2001-01-02,384.599
2001-01-03,366.481
2001-01-04,366.964
2001-01-05,363.076
2001-01-08,357.918
2001-01-09,354.545
2001-01-10,351.959
2001-01-11,364.789
2001-01-12,367.793
2001-01-15,372.395
2001-01-16,370.081
2001-01-17,369.905
2001-01-18,375.202
2001-01-19,378.375
2001-01-22,380.334
2001-01-23,381.872
2001-01-24,398.65
2001-01-25,402.397
2001-01-26,403.287
2001-01-29,405.451
2001-01-30,389.191
2001-01-31,394.755
2001-02-01,394.104
2001-02-02,391.761
2001-02-05,398.756
2001-02-06,395.978
2001-02-07,410.189
2001-02-08,408.891
2001-02-09,409.709
2001-02-12,418.4
2001-02-13,423.682
2001-02-14,415.376
2001-02-15,411.727
2001-02-16,417.106
2001-02-19,418.903
2001-02-20,412.863
2001-02-21,411.436
2001-02-22,410.403
2001-02-23,411.303
2001-02-26,406.454
2001-02-27,410.305
2001-02-28,406.331
2001-03-01,413.377
2001-03-02,404.71
2001-03-05,402.615
2001-03-06,402.001
2001-03-07,393.875
2001-03-08,382.474
2001-03-09,379.591
2001-03-12,371.559
2001-03-13,363.71
2001-03-14,357.431
2001-03-15,370.293
2001-03-16,363.224
2001-03-19,356.574
2001-03-20,364.777
2001-03-21,356.082
2001-03-22,330.104
2001-03-23,346.168
2001-03-26,363.511
2001-03-27,380.209
2001-03-28,382.023
2001-03-29,376.255
2001-03-30,377.936
2001-04-02,370.095
2001-04-03,359.842
2001-04-04,358.438
2001-04-05,369.406
2001-04-06,375.421
2001-04-09,379.637
2001-04-10,384.044
2001-04-11,381.778
2001-04-12,376.494
2001-04-13,376.494
2001-04-16,372.638
2001-04-17,378.953
2001-04-18,375.336
2001-04-19,369.747
2001-04-20,368.888
2001-04-23,366.075
2001-04-24,363.864
2001-04-25,370.663
2001-04-26,370.776
2001-04-27,372.216
2001-04-30,378.642
2001-05-01,380.307
2001-05-02,378.506
2001-05-03,382.262
2001-05-04,383.569
2001-05-07,382.004
2001-05-08,379.58
2001-05-09,381.366
2001-05-10,390.099
2001-05-11,387.584
2001-05-14,392.61
2001-05-15,389.229
2001-05-16,393.975
2001-05-17,393.44
2001-05-18,393.141
2001-05-21,389.399
2001-05-22,400.803
2001-05-23,410.105
2001-05-24,400.72
2001-05-25,401.178
2001-05-28,401.57
2001-05-29,409.792
2001-05-30,407.959
2001-05-31,403.139
2001-06-01,408.925
2001-06-04,409.48
2001-06-05,417.364
2001-06-06,415.158
2001-06-07,410.506
2001-06-08,409.612
2001-06-11,403.066
2001-06-12,398.976
2001-06-13,400.355
2001-06-14,408.218
2001-06-15,424.268
2001-06-18,426.35
2001-06-19,425.718
2001-06-20,430.095
2001-06-21,427.981
2001-06-22,428.267
2001-06-25,419.559
2001-06-26,414.555
2001-06-27,415.347
2001-06-28,413.772
2001-06-29,426.497
2001-07-02,421.455
2001-07-03,417.626
2001-07-04,411.079
2001-07-05,411.309
2001-07-06,409.373
2001-07-09,416.619
2001-07-10,421.944
2001-07-11,419.711
2001-07-12,418.905
2001-07-13,418.494
2001-07-16,417.312
2001-07-17,408.869
2001-07-18,423.262
2001-07-19,433.649
2001-07-20,421.479
2001-07-23,428.915
2001-07-24,418.764
2001-07-25,401.823
2001-07-26,399.923
2001-07-27,405.458
2001-07-30,402.449
2001-07-31,400.427
2001-08-01,402.498
2001-08-02,402.684
2001-08-03,399.979
2001-08-06,387.174
2001-08-07,385.271
2001-08-08,386.444
2001-08-09,377.135
2001-08-10,378.458
2001-08-13,388.789
2001-08-14,391.09
2001-08-15,386.596
2001-08-16,383.566
2001-08-17,384.454
2001-08-20,381.733
2001-08-21,381.8
2001-08-22,377.515
2001-08-23,379.554
2001-08-24,387.893
2001-08-27,385.291
2001-08-28,385.355
2001-08-29,382.649
2001-08-30,370.594
2001-08-31,371.41
2001-09-03,373.302
2001-09-04,366.846
2001-09-05,373.129
2001-09-06,379.318
2001-09-07,376.753
2001-09-10,369.588
2001-09-11,363.581
2001-09-12,345.977
2001-09-13,362.473
2001-09-14,356.544
2001-09-17,345.826
2001-09-18,348.15
2001-09-19,322.924
2001-09-20,316.836
2001-09-21,310.038
2001-09-24,311.713
2001-09-25,322.21
2001-09-26,326.04
2001-09-27,334.222
2001-09-28,342.381
2001-10-01,335.855
2001-10-02,340.673
2001-10-03,343.763
2001-10-04,342.508
2001-10-05,339.529
2001-10-08,333.664
2001-10-09,326.796
2001-10-10,331.059
2001-10-11,342.008
2001-10-12,340.099
2001-10-15,338.707
2001-10-16,346.722
2001-10-17,347.037
2001-10-18,349.025
2001-10-19,344.746
2001-10-22,346.901
2001-10-23,355.319
2001-10-24,353.822
2001-10-25,348.034
2001-10-26,347.732
2001-10-29,340.168
2001-10-30,330.282
2001-10-31,332.489
2001-11-01,334.842
2001-11-02,335.581
2001-11-05,340.952
2001-11-06,344.119
2001-11-07,337.293
2001-11-08,333.739
2001-11-09,334.396
2001-11-12,326.945
2001-11-13,328.609
2001-11-14,319.22
2001-11-15,326.687
2001-11-16,327.175
2001-11-19,325.949
2001-11-20,337.915
2001-11-21,335.962
2001-11-22,338.904
2001-11-23,339.786
2001-11-26,341.328
2001-11-27,340.432
2001-11-28,337.172
2001-11-29,338.339
2001-11-30,343.556
2001-12-03,342.44
2001-12-04,342.245
2001-12-05,345.323
2001-12-06,348.47
2001-12-07,347.816
2001-12-10,345.759
2001-12-11,338.189
2001-12-12,334.322
2001-12-13,334.144
2001-12-14,326.638
2001-12-17,339.113
2001-12-18,339.472
2001-12-19,337.273
2001-12-20,341.551
2001-12-21,346.5
2001-12-24,343.043
2001-12-25,343.043
2001-12-26,343.336
2001-12-27,347.473
2001-12-28,350.934
2001-12-31,356.691
2002-01-01,356.691
2002-01-02,353.513
2002-01-03,348.435
2002-01-04,347.428
2002-01-07,348.756
2002-01-08,346.37
2002-01-09,344.151
2002-01-10,343.388
2002-01-11,345.824
2002-01-14,347.213
2002-01-15,350.489
2002-01-16,348.105
2002-01-17,348.077
2002-01-18,332.037
2002-01-21,329.63
2002-01-22,329.671
2002-01-23,329.696
2002-01-24,331.107
2002-01-25,324.148
2002-01-28,316.829
2002-01-29,315.817
2002-01-30,287.839
2002-01-31,290.839
2002-02-01,298.245
2002-02-04,256.617
2002-02-05,241.025
2002-02-06,244.683
2002-02-07,237.286
2002-02-08,236.62
2002-02-11,238.605
2002-02-12,241.803
2002-02-13,242.145
2002-02-14,241.26
2002-02-15,241.001
2002-02-18,240.035
2002-02-19,241.468
2002-02-20,239.337
2002-02-21,242.243
2002-02-22,239.067
2002-02-25,238.927
2002-02-26,241.201
2002-02-27,241.208
2002-02-28,242.545
2002-03-01,242.525
2002-03-04,248.78
2002-03-05,249.112
2002-03-06,249.314
2002-03-07,251.462
2002-03-08,250.673
2002-03-11,253.091
2002-03-12,252.969
2002-03-13,256.143
2002-03-14,256.132
2002-03-15,256.327
2002-03-18,257.577
2002-03-19,256.584
2002-03-20,253.498
2002-03-21,254.443
2002-03-22,257.165
2002-03-25,256.279
2002-03-26,251.682
2002-03-27,250.821
2002-03-28,251.22
2002-03-29,251.22
2002-04-01,253.279
2002-04-02,256.538
2002-04-03,255.033
2002-04-04,252.675
2002-04-05,251.013
2002-04-08,248.265
2002-04-09,246.124
2002-04-10,246.494
2002-04-11,244.116
2002-04-12,243.71
2002-04-15,247.322
2002-04-16,245.948
2002-04-17,248.04
2002-04-18,244.876
2002-04-19,244.642
2002-04-22,247.189
2002-04-23,246.327
2002-04-24,247.738
2002-04-25,249.129
2002-04-26,252.649
2002-04-29,253.207
2002-04-30,250.354
2002-05-01,253.685
2002-05-02,251.459
2002-05-03,256.567
2002-05-06,257.424
2002-05-07,251.674
2002-05-08,250.183
2002-05-09,251.754
2002-05-10,251.297
2002-05-13,251.938
2002-05-14,252.693
2002-05-15,253.389
2002-05-16,251.466
2002-05-17,256.414
2002-05-20,258.694
2002-05-21,252.215
2002-05-22,258.187
2002-05-23,258.31
2002-05-24,256.268
2002-05-27,257.051
2002-05-28,257.437
2002-05-29,261.173
2002-05-30,260.728
2002-05-31,261.787
2002-06-03,262.838
2002-06-04,262.379
2002-06-05,262.313
2002-06-06,265.844
2002-06-07,266.159
2002-06-10,268.05
2002-06-11,272.007
2002-06-12,269.591
2002-06-13,263.535
2002-06-14,254.353
2002-06-17,254.911
2002-06-18,252.544
2002-06-19,254.863
2002-06-20,252.246
2002-06-21,257.458
2002-06-24,260.465
2002-06-25,258.179
2002-06-26,256.678
2002-06-27,256.627
2002-06-28,260.7
2002-07-01,259.469
2002-07-02,256.189
2002-07-03,242.335
2002-07-04,244.439
2002-07-05,245.029
2002-07-08,245.195
2002-07-09,247.939
2002-07-10,242.396
2002-07-11,236.341
2002-07-12,242.06
2002-07-15,243.479
2002-07-16,242.723
2002-07-17,244.889
2002-07-18,248.4
2002-07-19,243.525
2002-07-22,237.59
2002-07-23,231.053
2002-07-24,211.32
2002-07-25,221.549
2002-07-26,223.224
2002-07-29,228.505
2002-07-30,228.517
2002-07-31,240.607
2002-08-01,240.362
2002-08-02,241.937
2002-08-05,240.866
2002-08-06,240.093
2002-08-07,242.485
2002-08-08,240.974
2002-08-09,241.163
2002-08-12,244.956
2002-08-13,252.981
2002-08-14,257.234
2002-08-15,259.962
2002-08-16,258.242
2002-08-19,255.617
2002-08-20,248.953
2002-08-21,251.709
2002-08-22,250.734
2002-08-23,244.886
2002-08-26,245.138
2002-08-27,248.831
2002-08-28,246.622
2002-08-29,242.078
2002-08-30,245.204
2002-09-02,245.505
2002-09-03,235.966
2002-09-04,231.153
2002-09-05,228.256
2002-09-06,231.883
2002-09-09,232.09
2002-09-10,233.565
2002-09-11,238.63
2002-09-12,231.491
2002-09-13,226.674
2002-09-16,224.636
2002-09-17,230.719
2002-09-18,225.457
2002-09-19,223.187
2002-09-20,225.578
2002-09-23,219.16
2002-09-24,212.611
2002-09-25,212.861
2002-09-26,215.683
2002-09-27,212.529
2002-09-30,211.228
2002-10-01,212.834
2002-10-02,217.665
2002-10-03,216.022
2002-10-04,214.617
2002-10-07,201.077
2002-10-08,195.205
2002-10-09,190.005
2002-10-10,195.333
2002-10-11,205.753
2002-10-14,205.219
2002-10-15,213.803
2002-10-16,211.315
2002-10-17,212.21
2002-10-18,219.014
2002-10-21,218.722
2002-10-22,223.445
2002-10-23,223.054
2002-10-24,228.158
2002-10-25,228.022
2002-10-28,234.9
2002-10-29,231.265
2002-10-30,228.116
2002-10-31,236.251
2002-11-01,239.33
2002-11-04,253.015
2002-11-05,248.019
2002-11-06,241.061
2002-11-07,242.161
2002-11-08,240.0
2002-11-11,241.209
2002-11-12,249.532
2002-11-13,248.93
2002-11-14,245.25
2002-11-15,243.54
2002-11-18,247.525
2002-11-19,247.999
2002-11-20,241.88
2002-11-21,242.762
2002-11-22,240.56
2002-11-25,237.694
2002-11-26,234.438
2002-11-27,233.31
2002-11-28,240.612
2002-11-29,243.219
2002-12-02,244.361
2002-12-03,238.661
2002-12-04,245.237
2002-12-05,237.072
2002-12-06,237.696
2002-12-09,233.708
2002-12-10,236.311
2002-12-11,240.465
2002-12-12,233.296
2002-12-13,231.987
2002-12-16,233.713
2002-12-17,232.11
2002-12-18,227.601
2002-12-19,228.011
2002-12-20,230.092
2002-12-23,228.18
2002-12-24,229.037
2002-12-25,229.037
2002-12-26,229.614
2002-12-27,229.141
2002-12-30,232.076
2002-12-31,232.909
2003-01-01,232.909
2003-01-02,238.721
2003-01-03,244.251
2003-01-06,247.916
2003-01-07,246.309
2003-01-08,243.998
2003-01-09,246.564
2003-01-10,250.227
2003-01-13,251.759
2003-01-14,254.304
2003-01-15,249.868
2003-01-16,246.537
2003-01-17,244.649
2003-01-20,246.131
2003-01-21,247.774
2003-01-22,246.614
2003-01-23,244.917
2003-01-24,246.139
2003-01-27,239.603
2003-01-28,237.011
2003-01-29,237.043
2003-01-30,246.146
2003-01-31,244.551
2003-02-03,251.749
2003-02-04,246.039
2003-02-05,243.064
2003-02-06,239.579
2003-02-07,238.484
2003-02-10,240.73
2003-02-11,241.579
2003-02-12,239.691
2003-02-13,246.505
2003-02-14,248.666
2003-02-17,249.651
2003-02-18,250.331
2003-02-19,249.984
2003-02-20,254.259
2003-02-21,251.294
2003-02-24,247.482
2003-02-25,240.327
2003-02-26,240.737
2003-02-27,238.769
2003-02-28,245.375
2003-03-03,247.248
2003-03-04,249.113
2003-03-05,247.026
2003-03-06,246.991
