Date,IRELAND MID CAP Mid Cap
1994-05-31,179.098
1994-06-30,175.514
1994-07-29,190.22
1994-08-31,195.9
1994-09-30,192.249
1994-10-31,199.137
1994-11-30,192.151
1994-12-30,196.406
1995-01-31,197.299
1995-02-28,202.338
1995-03-31,214.254
1995-04-28,220.765
1995-05-31,228.967
1995-06-30,242.398
1995-07-31,256.215
1995-08-31,244.898
1995-09-29,259.314
1995-10-31,263.251
1995-11-30,285.554
1995-12-29,293.412
1996-01-31,313.53
1996-02-29,326.282
1996-03-29,350.087
1996-04-30,359.183
1996-05-31,369.421
1996-06-28,356.046
1996-07-31,350.226
1996-08-30,365.761
1996-09-30,369.228
1996-10-31,363.587
1996-11-29,387.805
1996-12-31,394.627
1997-01-31,421.208
1997-02-28,414.634
1997-03-31,412.272
1997-04-30,403.186
1997-05-30,440.285
1997-06-30,474.243
1997-07-31,491.052
1997-08-29,485.374
1997-09-30,521.919
1997-10-31,522.823
1997-11-28,525.742
1997-12-31,532.398
1998-01-30,584.768
1998-02-27,655.49
1998-03-31,714.762
1998-04-30,766.817
1998-05-29,713.864
1998-06-30,710.836
1998-07-31,663.235
1998-08-31,576.094
1998-09-30,561.447
1998-10-30,639.676
1998-11-30,646.724
1998-12-31,655.688
1999-01-29,635.263
1999-02-26,688.848
1999-03-31,696.024
1999-04-30,739.935
1999-05-31,685.529
1999-06-30,615.549
1999-07-30,635.981
1999-08-31,608.792
1999-09-30,613.944
1999-10-29,577.386
1999-11-30,565.809
1999-12-31,600.103
2000-01-31,585.361
2000-02-29,597.488
2000-03-31,618.181
2000-04-28,527.645
2000-05-31,479.36
2000-06-30,438.242
2000-07-31,414.858
2000-08-31,411.204
2000-09-29,418.288
2000-10-31,439.267
2000-11-30,411.785
2000-12-29,469.907
2001-01-31,457.83
2001-02-28,445.804
2001-03-30,398.936
2001-04-30,434.723
2001-05-31,431.592
2001-06-29,436.697
2001-07-31,457.065
2001-08-31,464.447
2001-09-28,401.926
2001-10-31,428.446
2001-11-30,461.569
2001-12-31,463.975
2002-01-31,464.75
2002-02-28,478.147
2002-03-29,489.418
2002-04-30,500.65
2002-05-31,550.415
2002-06-28,493.34
2002-07-31,408.656
2002-08-30,411.539
2002-09-30,348.365
2002-10-31,387.432
2002-11-29,427.356
2002-12-31,380.544
2003-01-31,387.601
2003-02-28,362.919
2003-03-31,408.874
2003-04-30,441.216
2003-05-30,450.572
2003-06-30,441.002
2003-07-31,499.596
2003-08-29,511.411
2003-09-30,501.17
2003-10-31,526.289
2003-11-28,533.144
2003-12-31,601.157
2004-01-30,612.58
2004-02-27,605.177
2004-03-31,591.485
2004-04-30,604.84
2004-05-31,596.239
2004-06-30,612.155
2004-07-30,561.737
2004-08-31,591.0
2004-09-30,633.517
2004-10-29,671.569
2004-11-30,717.114
2004-12-31,755.588
2005-01-31,741.907
2005-02-28,590.35
2005-03-31,496.552
2005-04-29,499.402
2005-05-31,528.576
2005-06-30,540.415
2005-07-29,571.636
2005-08-31,590.052
2005-09-30,590.06
2005-10-31,564.108
2005-11-30,600.934
2005-12-30,684.197
2006-01-31,723.849
2006-02-28,720.557
2006-03-31,755.13
2006-04-28,777.096
2006-05-31,795.866
2006-06-30,759.739
2006-07-31,709.488
2006-08-31,795.428
2006-09-29,779.121
2006-10-31,801.138
2006-11-30,823.604
2006-12-29,890.294
2007-01-31,842.069
2007-02-28,875.15
2007-03-30,882.827
2007-04-30,935.653
2007-05-31,1000.0
2007-06-29,960.148
2007-07-31,843.368
2007-08-31,850.911
2007-09-28,840.073
2007-10-31,898.08
2007-11-30,808.53
2007-12-31,741.915
2008-01-31,731.007
2008-02-29,722.525
2008-03-31,699.418
2008-04-30,763.78
2008-05-30,734.945
2008-06-30,720.486
2008-07-31,526.609
2008-08-29,478.479
2008-09-30,363.002
2008-10-31,255.171
2008-11-28,201.116
2008-12-31,160.624
2009-01-30,149.981
2009-02-27,127.63
2009-03-31,129.013
2009-04-30,125.961
2009-05-29,150.109
2009-06-30,138.777
2009-07-31,149.624
2009-08-31,149.772
2009-09-30,157.882
2009-10-30,141.608
2009-11-30,150.749
2009-12-31,149.306
2010-01-29,162.718
2010-02-26,162.898
2010-03-31,167.36
2010-04-30,163.976
2010-05-31,140.342
2010-06-30,123.044
2010-07-30,144.209
2010-08-31,138.698
2010-09-30,148.089
2010-10-29,148.412
2010-11-30,121.771
2010-12-31,130.155
2011-01-31,132.032
2011-02-28,138.148
2011-03-31,135.146
2011-04-29,154.97
2011-05-31,157.993
2011-06-30,166.938
2011-07-29,162.164
2011-08-31,153.906
2011-09-30,147.53
2011-10-31,160.891
2011-11-30,157.225
2011-12-30,173.727
2012-01-31,171.901
2012-02-29,177.918
2012-03-30,199.376
2012-04-30,192.927
2012-05-31,189.802
2012-06-29,193.234
2012-07-31,177.51
2012-08-31,181.296
2012-09-28,184.209
2012-10-31,188.338
2012-11-30,183.935
2012-12-31,186.755
2013-01-31,190.191
2013-02-28,201.813
2013-03-29,211.575
2013-04-30,211.922
2013-05-31,214.122
2013-06-28,213.394
2013-07-31,234.293
2013-08-30,248.364
2013-09-30,245.687
2013-10-31,273.141
2013-11-29,285.86
2013-12-31,282.186
2014-01-31,293.286
2014-02-28,360.281
2014-03-31,326.282
2014-04-30,319.518
2014-05-30,312.17
2014-06-30,293.72
2014-07-31,296.548
2014-08-29,314.225
2014-09-30,301.902
2014-10-31,297.208
2014-11-28,319.813
2014-12-31,300.235
2015-01-30,279.995
2015-02-27,308.807
2015-03-31,298.037
2015-04-30,313.27
2015-05-29,316.044
2015-06-30,323.851
2015-07-31,336.954
2015-08-31,323.805
2015-09-30,323.554
2015-10-30,333.361
2015-11-30,330.839
2015-12-31,336.323
2016-01-29,316.51
2016-02-29,316.944
2016-03-31,317.921
2016-04-29,311.476
2016-05-31,314.224
2016-06-30,263.692
2016-07-29,268.694
2016-08-31,273.687
2016-09-30,263.087
2016-10-31,241.095
2016-11-30,239.391
2016-12-30,251.103
2017-01-31,252.877
2017-02-28,259.025
2017-03-31,263.354
2017-04-28,272.32
2017-05-31,282.482
2017-06-30,277.857
2017-07-31,282.692
2017-08-31,278.776
2017-09-29,291.46
2017-10-31,297.523
2017-11-30,310.831
2017-12-29,331.187
2018-01-31,334.443
2018-02-28,319.984
2018-03-30,305.01
2018-04-30,308.174
2018-05-31,318.0
2018-06-29,307.407
2018-07-31,315.354
2018-08-31,311.267
2018-09-28,296.459
2018-10-31,273.52
2018-11-30,260.648
2018-12-31,247.153
2019-01-31,255.426
2019-02-28,264.153
2019-03-29,266.07
2019-04-30,281.629
2019-05-31,269.141
2019-06-28,279.888
2019-07-31,269.839
2019-08-30,260.64
2019-09-30,268.622
2019-10-31,290.156
2019-11-29,308.351
2019-12-31,321.959
2020-01-31,310.79
2020-02-28,294.948
2020-03-31,248.208
2020-04-30,266.785
2020-05-29,290.166
2020-06-30,300.519
2020-07-31,321.065
2020-08-31,369.818
2020-09-30,398.368
2020-10-30,381.339
2020-11-30,403.086
2020-12-31,374.395
2021-01-29,375.555
2021-02-26,386.002
2021-03-31,416.043
2021-04-30,448.083
2021-05-31,468.739
2021-06-30,474.596
2021-07-30,521.146
2021-08-31,539.53
2021-09-30,483.293
2021-10-29,523.71
2021-11-30,515.698
2021-12-31,545.739
2022-01-31,470.421
2022-02-28,467.174
2022-03-31,450.622
2022-04-29,432.907
2022-05-31,391.295
2022-06-30,302.566
2022-07-29,324.249
2022-08-31,295.269
2022-09-30,245.14
2022-10-31,277.759
2022-11-30,298.923
2022-12-30,324.763
2023-01-31,368.411
2023-02-28,366.063
2023-03-31,355.886
2023-04-28,367.59
2023-05-31,347.932
2023-06-30,346.056
2023-07-31,402.212
2023-08-31,406.568
2023-09-29,368.68
2023-10-31,341.916
2023-11-30,383.837
2023-12-29,395.697
2024-01-31,393.053
2024-02-29,408.057
2024-03-29,432.447
2024-04-30,436.746
2024-05-31,467.174
2024-06-28,430.988
2024-07-31,476.071
2024-08-30,483.094
2024-09-30,491.135
2024-10-31,452.59
2024-11-29,428.478
2024-12-31,430.015
2025-01-31,450.578
2025-02-28,508.412
2025-03-31,500.059
2025-04-30,519.505
2025-05-30,567.201
2025-06-30,578.076
2025-07-31,538.645
2025-08-29,545.592
2025-09-30,586.602
