Date,IRELAND MID CAP Mid Cap
2001-01-01,473.171
2001-01-02,474.652
2001-01-03,461.807
2001-01-04,472.739
2001-01-05,479.136
2001-01-08,469.092
2001-01-09,462.214
2001-01-10,454.337
2001-01-11,461.238
2001-01-12,457.642
2001-01-15,452.917
2001-01-16,446.486
2001-01-17,448.065
2001-01-18,453.729
2001-01-19,447.994
2001-01-22,447.073
2001-01-23,447.092
2001-01-24,444.757
2001-01-25,448.268
2001-01-26,447.753
2001-01-29,453.515
2001-01-30,457.765
2001-01-31,461.01
2001-02-01,469.292
2001-02-02,468.896
2001-02-05,470.061
2001-02-06,462.945
2001-02-07,466.642
2001-02-08,461.47
2001-02-09,460.182
2001-02-12,464.722
2001-02-13,458.108
2001-02-14,455.88
2001-02-15,452.695
2001-02-16,458.581
2001-02-19,450.856
2001-02-20,448.93
2001-02-21,446.729
2001-02-22,450.964
2001-02-23,448.995
2001-02-26,444.965
2001-02-27,450.903
2001-02-28,448.901
2001-03-01,447.107
2001-03-02,444.688
2001-03-05,447.351
2001-03-06,453.893
2001-03-07,453.656
2001-03-08,458.25
2001-03-09,448.665
2001-03-12,442.667
2001-03-13,431.805
2001-03-14,423.29
2001-03-15,416.025
2001-03-16,402.551
2001-03-19,400.126
2001-03-20,406.666
2001-03-21,396.048
2001-03-22,374.456
2001-03-23,387.949
2001-03-26,399.235
2001-03-27,412.122
2001-03-28,404.582
2001-03-29,399.898
2001-03-30,401.707
2001-04-02,400.577
2001-04-03,393.312
2001-04-04,398.31
2001-04-05,403.57
2001-04-06,407.535
2001-04-09,415.284
2001-04-10,418.166
2001-04-11,414.174
2001-04-12,416.411
2001-04-13,416.411
2001-04-16,412.146
2001-04-17,409.383
2001-04-18,411.565
2001-04-19,423.172
2001-04-20,430.994
2001-04-23,430.563
2001-04-24,426.13
2001-04-25,427.79
2001-04-26,433.868
2001-04-27,432.846
2001-04-30,437.144
2001-05-01,435.124
2001-05-02,434.916
2001-05-03,433.448
2001-05-04,434.719
2001-05-07,432.946
2001-05-08,434.733
2001-05-09,435.348
2001-05-10,439.164
2001-05-11,436.874
2001-05-14,438.3
2001-05-15,437.576
2001-05-16,441.127
2001-05-17,442.951
2001-05-18,441.357
2001-05-21,445.793
2001-05-22,445.86
2001-05-23,450.123
2001-05-24,445.056
2001-05-25,440.759
2001-05-28,448.156
2001-05-29,437.386
2001-05-30,439.089
2001-05-31,433.948
2001-06-01,435.989
2001-06-04,436.581
2001-06-05,445.419
2001-06-06,449.12
2001-06-07,451.379
2001-06-08,445.886
2001-06-11,440.111
2001-06-12,437.625
2001-06-13,439.054
2001-06-14,441.775
2001-06-15,447.948
2001-06-18,446.14
2001-06-19,443.044
2001-06-20,439.987
2001-06-21,442.794
2001-06-22,443.094
2001-06-25,447.965
2001-06-26,443.93
2001-06-27,438.204
2001-06-28,434.209
2001-06-29,439.081
2001-07-02,438.256
2001-07-03,441.946
2001-07-04,440.074
2001-07-05,430.749
2001-07-06,432.216
2001-07-09,439.329
2001-07-10,442.883
2001-07-11,443.52
2001-07-12,440.096
2001-07-13,443.069
2001-07-16,446.472
2001-07-17,447.178
2001-07-18,460.784
2001-07-19,466.964
2001-07-20,467.874
2001-07-23,463.982
2001-07-24,462.029
2001-07-25,460.285
2001-07-26,459.152
2001-07-27,459.611
2001-07-30,458.182
2001-07-31,459.562
2001-08-01,461.598
2001-08-02,464.62
2001-08-03,468.321
2001-08-06,465.835
2001-08-07,461.352
2001-08-08,456.946
2001-08-09,457.056
2001-08-10,459.796
2001-08-13,460.677
2001-08-14,460.827
2001-08-15,466.704
2001-08-16,466.287
2001-08-17,468.557
2001-08-20,466.156
2001-08-21,468.497
2001-08-22,473.951
2001-08-23,470.658
2001-08-24,471.723
2001-08-27,472.517
2001-08-28,473.073
2001-08-29,473.968
2001-08-30,471.46
2001-08-31,466.984
2001-09-03,464.104
2001-09-04,455.515
2001-09-05,452.653
2001-09-06,454.226
2001-09-07,457.456
2001-09-10,448.99
2001-09-11,444.209
2001-09-12,416.945
2001-09-13,414.659
2001-09-14,412.833
2001-09-17,415.259
2001-09-18,415.412
2001-09-19,419.499
2001-09-20,404.535
2001-09-21,383.819
2001-09-24,391.497
2001-09-25,398.264
2001-09-26,398.833
2001-09-27,400.343
2001-09-28,404.121
2001-10-01,404.342
2001-10-02,401.136
2001-10-03,404.168
2001-10-04,410.139
2001-10-05,413.366
2001-10-08,403.897
2001-10-09,403.286
2001-10-10,404.927
2001-10-11,416.747
2001-10-12,420.628
2001-10-15,421.213
2001-10-16,429.512
2001-10-17,433.235
2001-10-18,427.377
2001-10-19,422.151
2001-10-22,421.046
2001-10-23,423.0
2001-10-24,430.581
2001-10-25,431.378
2001-10-26,432.055
2001-10-29,428.534
2001-10-30,431.538
2001-10-31,430.786
2001-11-01,434.435
2001-11-02,433.794
2001-11-05,445.876
2001-11-06,452.973
2001-11-07,456.467
2001-11-08,452.377
2001-11-09,452.881
2001-11-12,450.026
2001-11-13,453.789
2001-11-14,459.307
2001-11-15,458.497
2001-11-16,460.028
2001-11-19,458.694
2001-11-20,458.143
2001-11-21,454.514
2001-11-22,455.62
2001-11-23,453.317
2001-11-26,455.733
2001-11-27,455.972
2001-11-28,457.142
2001-11-29,454.461
2001-11-30,464.089
2001-12-03,459.68
2001-12-04,458.945
2001-12-05,468.419
2001-12-06,475.854
2001-12-07,474.052
2001-12-10,470.125
2001-12-11,469.751
2001-12-12,473.818
2001-12-13,476.964
2001-12-14,462.561
2001-12-17,464.025
2001-12-18,462.697
2001-12-19,455.933
2001-12-20,461.013
2001-12-21,458.233
2001-12-24,453.66
2001-12-25,453.66
2001-12-26,454.048
2001-12-27,454.656
2001-12-28,461.572
2001-12-31,466.509
2002-01-01,466.509
2002-01-02,472.54
2002-01-03,475.175
2002-01-04,471.876
2002-01-07,478.381
2002-01-08,475.016
2002-01-09,467.444
2002-01-10,462.372
2002-01-11,461.931
2002-01-14,463.939
2002-01-15,464.864
2002-01-16,459.785
2002-01-17,460.622
2002-01-18,458.367
2002-01-21,454.358
2002-01-22,456.611
2002-01-23,456.207
2002-01-24,455.349
2002-01-25,452.643
2002-01-28,462.491
2002-01-29,462.491
2002-01-30,454.722
2002-01-31,467.288
2002-02-01,468.367
2002-02-04,472.373
2002-02-05,456.777
2002-02-06,452.427
2002-02-07,456.251
2002-02-08,464.535
2002-02-11,453.478
2002-02-12,464.128
2002-02-13,463.971
2002-02-14,461.823
2002-02-15,464.498
2002-02-18,468.872
2002-02-19,473.253
2002-02-20,471.695
2002-02-21,476.084
2002-02-22,482.028
2002-02-25,481.925
2002-02-26,484.631
2002-02-27,483.128
2002-02-28,480.759
2002-03-01,480.212
2002-03-04,490.546
2002-03-05,494.542
2002-03-06,493.922
2002-03-07,499.029
2002-03-08,497.347
2002-03-11,497.532
2002-03-12,495.977
2002-03-13,497.21
2002-03-14,494.624
2002-03-15,489.123
2002-03-18,492.657
2002-03-19,492.625
2002-03-20,493.995
2002-03-21,494.512
2002-03-22,494.832
2002-03-25,493.981
2002-03-26,492.687
2002-03-27,492.9
2002-03-28,492.091
2002-03-29,492.091
2002-04-01,496.125
2002-04-02,498.435
2002-04-03,498.789
2002-04-04,501.225
2002-04-05,495.978
2002-04-08,489.149
2002-04-09,488.698
2002-04-10,495.56
2002-04-11,501.256
2002-04-12,496.299
2002-04-15,495.808
2002-04-16,498.324
2002-04-17,500.964
2002-04-18,503.22
2002-04-19,497.901
2002-04-22,500.59
2002-04-23,500.473
2002-04-24,502.372
2002-04-25,501.125
2002-04-26,500.7
2002-04-29,500.103
2002-04-30,503.385
2002-05-01,508.288
2002-05-02,526.843
2002-05-03,537.157
2002-05-06,538.952
2002-05-07,532.943
2002-05-08,533.438
2002-05-09,532.185
2002-05-10,532.358
2002-05-13,531.575
2002-05-14,524.954
2002-05-15,531.303
