Date,IRELAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,206.64
2001-01-02,208.816
2001-01-03,199.179
2001-01-04,202.972
2001-01-05,201.563
2001-01-08,195.38
2001-01-09,194.184
2001-01-10,193.03
2001-01-11,197.202
2001-01-12,200.02
2001-01-15,198.317
2001-01-16,196.867
2001-01-17,198.411
2001-01-18,202.423
2001-01-19,199.622
2001-01-22,200.69
2001-01-23,200.459
2001-01-24,198.84
2001-01-25,203.532
2001-01-26,201.704
2001-01-29,204.361
2001-01-30,205.931
2001-01-31,206.679
2001-02-01,208.613
2001-02-02,207.794
2001-02-05,210.247
2001-02-06,205.555
2001-02-07,206.941
2001-02-08,205.724
2001-02-09,206.458
2001-02-12,207.526
2001-02-13,206.832
2001-02-14,204.906
2001-02-15,204.241
2001-02-16,208.143
2001-02-19,206.509
2001-02-20,205.508
2001-02-21,204.778
2001-02-22,205.119
2001-02-23,204.126
2001-02-26,201.95
2001-02-27,206.426
2001-02-28,200.988
2001-03-01,198.875
2001-03-02,194.725
2001-03-05,195.662
2001-03-06,197.123
2001-03-07,196.725
2001-03-08,196.398
2001-03-09,192.437
2001-03-12,188.409
2001-03-13,182.581
2001-03-14,179.392
2001-03-15,177.875
2001-03-16,173.361
2001-03-19,170.698
2001-03-20,172.413
2001-03-21,165.228
2001-03-22,154.508
2001-03-23,164.401
2001-03-26,170.185
2001-03-27,172.305
2001-03-28,172.569
2001-03-29,167.737
2001-03-30,169.18
2001-04-02,165.015
2001-04-03,159.639
2001-04-04,161.713
2001-04-05,167.387
2001-04-06,167.99
2001-04-09,169.159
2001-04-10,169.607
2001-04-11,169.474
2001-04-12,170.499
2001-04-13,170.499
2001-04-16,168.753
2001-04-17,169.875
2001-04-18,172.427
2001-04-19,180.354
2001-04-20,185.779
2001-04-23,182.096
2001-04-24,180.191
2001-04-25,179.339
2001-04-26,182.707
2001-04-27,181.862
2001-04-30,186.075
2001-05-01,186.622
2001-05-02,188.129
2001-05-03,187.043
2001-05-04,186.899
2001-05-07,186.136
2001-05-08,186.507
2001-05-09,186.462
2001-05-10,188.473
2001-05-11,185.682
2001-05-14,187.784
2001-05-15,183.902
2001-05-16,185.287
2001-05-17,184.621
2001-05-18,184.557
2001-05-21,186.162
2001-05-22,186.639
2001-05-23,192.963
2001-05-24,190.196
2001-05-25,186.059
2001-05-28,187.588
2001-05-29,185.669
2001-05-30,185.103
2001-05-31,183.272
2001-06-01,184.422
2001-06-04,184.673
2001-06-05,187.653
2001-06-06,188.187
2001-06-07,188.845
2001-06-08,187.06
2001-06-11,182.259
2001-06-12,179.677
2001-06-13,181.807
2001-06-14,181.03
2001-06-15,183.762
2001-06-18,184.042
2001-06-19,184.024
2001-06-20,182.773
2001-06-21,183.859
2001-06-22,183.353
2001-06-25,186.499
2001-06-26,183.106
2001-06-27,182.804
2001-06-28,182.31
2001-06-29,184.468
2001-07-02,181.597
2001-07-03,181.482
2001-07-04,179.95
2001-07-05,175.971
2001-07-06,174.599
2001-07-09,178.11
2001-07-10,180.067
2001-07-11,178.76
2001-07-12,178.166
2001-07-13,177.977
2001-07-16,180.649
2001-07-17,180.862
2001-07-18,185.17
2001-07-19,188.905
2001-07-20,188.739
2001-07-23,186.077
2001-07-24,185.869
2001-07-25,181.652
2001-07-26,178.313
2001-07-27,176.822
2001-07-30,177.44
2001-07-31,175.407
2001-08-01,176.627
2001-08-02,179.314
2001-08-03,179.68
2001-08-06,179.017
2001-08-07,175.508
2001-08-08,173.122
2001-08-09,170.058
2001-08-10,168.293
2001-08-13,169.266
2001-08-14,169.711
2001-08-15,171.54
2001-08-16,170.978
2001-08-17,170.948
2001-08-20,169.572
2001-08-21,171.622
2001-08-22,173.175
2001-08-23,172.362
2001-08-24,173.641
2001-08-27,174.277
2001-08-28,174.507
2001-08-29,175.474
2001-08-30,174.367
2001-08-31,172.969
2001-09-03,173.378
2001-09-04,170.531
2001-09-05,169.202
2001-09-06,169.103
2001-09-07,168.038
2001-09-10,165.554
2001-09-11,160.34
2001-09-12,149.366
2001-09-13,150.369
2001-09-14,148.239
2001-09-17,149.603
2001-09-18,150.992
2001-09-19,152.763
2001-09-20,145.736
2001-09-21,134.378
2001-09-24,137.908
2001-09-25,144.129
2001-09-26,144.55
2001-09-27,145.229
2001-09-28,147.979
2001-10-01,148.029
2001-10-02,146.823
2001-10-03,148.1
2001-10-04,150.241
2001-10-05,150.257
2001-10-08,148.026
2001-10-09,148.539
2001-10-10,149.173
2001-10-11,154.433
2001-10-12,154.006
2001-10-15,151.429
2001-10-16,154.612
2001-10-17,156.023
2001-10-18,155.577
2001-10-19,154.335
2001-10-22,153.456
2001-10-23,155.057
2001-10-24,157.906
2001-10-25,156.122
2001-10-26,156.988
2001-10-29,155.489
2001-10-30,155.438
2001-10-31,155.24
2001-11-01,155.562
2001-11-02,155.639
2001-11-05,161.656
2001-11-06,164.711
2001-11-07,164.93
2001-11-08,165.493
2001-11-09,167.323
2001-11-12,165.584
2001-11-13,168.333
2001-11-14,169.758
2001-11-15,168.454
2001-11-16,168.542
2001-11-19,169.182
2001-11-20,170.985
2001-11-21,169.501
2001-11-22,170.847
2001-11-23,169.827
2001-11-26,171.42
2001-11-27,170.843
2001-11-28,171.871
2001-11-29,170.756
2001-11-30,174.434
2001-12-03,173.095
2001-12-04,173.419
2001-12-05,176.089
2001-12-06,178.367
2001-12-07,178.897
2001-12-10,178.557
2001-12-11,178.747
2001-12-12,180.124
2001-12-13,180.151
2001-12-14,176.714
2001-12-17,177.998
2001-12-18,177.357
2001-12-19,174.888
2001-12-20,178.666
2001-12-21,177.481
2001-12-24,175.71
2001-12-25,175.71
2001-12-26,175.86
2001-12-27,177.335
2001-12-28,179.167
2001-12-31,181.796
2002-01-01,181.796
2002-01-02,182.943
2002-01-03,183.285
2002-01-04,182.93
2002-01-07,184.713
2002-01-08,183.953
2002-01-09,181.729
2002-01-10,182.377
2002-01-11,182.131
2002-01-14,181.912
2002-01-15,181.839
2002-01-16,179.393
2002-01-17,178.831
2002-01-18,178.458
2002-01-21,176.919
2002-01-22,177.699
2002-01-23,177.397
2002-01-24,176.636
2002-01-25,175.52
2002-01-28,177.124
2002-01-29,178.491
2002-01-30,175.619
2002-01-31,180.123
2002-02-01,179.662
2002-02-04,181.112
2002-02-05,175.197
2002-02-06,173.189
2002-02-07,173.7
2002-02-08,176.104
2002-02-11,173.427
2002-02-12,175.504
2002-02-13,175.243
2002-02-14,174.712
2002-02-15,174.636
2002-02-18,176.538
2002-02-19,177.04
2002-02-20,176.654
2002-02-21,178.096
2002-02-22,179.136
2002-02-25,178.632
2002-02-26,180.301
2002-02-27,179.035
2002-02-28,178.959
2002-03-01,178.81
2002-03-04,182.752
2002-03-05,183.385
2002-03-06,183.293
2002-03-07,183.956
2002-03-08,183.498
2002-03-11,183.495
2002-03-12,182.229
2002-03-13,183.412
2002-03-14,183.202
2002-03-15,182.428
2002-03-18,183.875
2002-03-19,183.465
2002-03-20,184.591
2002-03-21,183.777
2002-03-22,184.642
2002-03-25,182.9
2002-03-26,181.899
2002-03-27,182.557
2002-03-28,182.221
2002-03-29,182.221
2002-04-01,183.714
2002-04-02,184.609
2002-04-03,183.976
2002-04-04,183.655
2002-04-05,181.041
2002-04-08,178.034
2002-04-09,176.591
2002-04-10,180.259
2002-04-11,182.578
2002-04-12,182.321
2002-04-15,183.603
2002-04-16,184.223
2002-04-17,183.402
2002-04-18,183.494
2002-04-19,181.884
2002-04-22,183.061
2002-04-23,183.444
2002-04-24,183.744
2002-04-25,184.179
2002-04-26,183.732
2002-04-29,183.579
2002-04-30,183.397
2002-05-01,185.42
2002-05-02,184.379
2002-05-03,186.558
2002-05-06,187.181
2002-05-07,184.9
2002-05-08,184.922
2002-05-09,184.89
2002-05-10,184.165
2002-05-13,184.915
2002-05-14,184.305
2002-05-15,187.506
2002-05-16,189.871
2002-05-17,193.117
2002-05-20,190.374
2002-05-21,189.131
2002-05-22,191.293
2002-05-23,190.111
2002-05-24,190.233
2002-05-27,190.544
2002-05-28,191.071
2002-05-29,192.864
2002-05-30,193.697
2002-05-31,193.184
2002-06-03,193.959
2002-06-04,197.23
2002-06-05,196.244
2002-06-06,198.786
2002-06-07,197.057
2002-06-10,202.307
2002-06-11,206.349
