Date,IRELAND SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,107.55
1994-06-30,102.079
1994-07-29,111.245
1994-08-31,116.571
1994-09-30,114.195
1994-10-31,115.89
1994-11-30,110.687
1994-12-30,112.305
1995-01-31,114.271
1995-02-28,116.993
1995-03-31,121.671
1995-04-28,123.319
1995-05-31,126.46
1995-06-30,134.362
1995-07-31,140.213
1995-08-31,139.829
1995-09-29,144.634
1995-10-31,143.25
1995-11-30,150.73
1995-12-29,156.941
1996-01-31,162.756
1996-02-29,170.616
1996-03-29,184.888
1996-04-30,190.715
1996-05-31,196.727
1996-06-28,196.42
1996-07-31,191.583
1996-08-30,198.63
1996-09-30,203.355
1996-10-31,198.569
1996-11-29,207.191
1996-12-31,212.25
1997-01-31,224.528
1997-02-28,222.7
1997-03-31,219.201
1997-04-30,211.42
1997-05-30,228.636
1997-06-30,242.363
1997-07-31,247.663
1997-08-29,246.69
1997-09-30,256.374
1997-10-31,258.575
1997-11-28,259.839
1997-12-31,256.578
1998-01-30,276.838
1998-02-27,312.425
1998-03-31,317.787
1998-04-30,338.151
1998-05-29,328.993
1998-06-30,301.434
1998-07-31,295.4
1998-08-31,247.559
1998-09-30,233.618
1998-10-30,235.336
1998-11-30,252.508
1998-12-31,264.458
1999-01-29,255.521
1999-02-26,255.853
1999-03-31,250.307
1999-04-30,250.599
1999-05-31,239.622
1999-06-30,241.665
1999-07-30,236.248
1999-08-31,225.556
1999-09-30,222.472
1999-10-29,213.599
1999-11-30,217.575
1999-12-31,236.123
2000-01-31,241.371
2000-02-29,257.094
2000-03-31,270.558
2000-04-28,231.649
2000-05-31,211.017
2000-06-30,199.616
2000-07-31,197.293
2000-08-31,187.059
2000-09-29,187.554
2000-10-31,196.817
2000-11-30,180.922
2000-12-29,207.866
2001-01-31,207.905
2001-02-28,202.18
2001-03-30,170.184
2001-04-30,187.149
2001-05-31,184.306
2001-06-29,185.499
2001-07-31,176.387
2001-08-31,173.936
2001-09-28,148.806
2001-10-31,156.108
2001-11-30,175.409
2001-12-31,182.813
2002-01-31,181.13
2002-02-28,179.959
2002-03-29,183.239
2002-04-30,184.423
2002-05-31,194.264
2002-06-28,201.065
2002-07-31,189.033
2002-08-30,188.941
2002-09-30,175.042
2002-10-31,188.315
2002-11-29,211.299
2002-12-31,206.014
2003-01-31,234.407
2003-02-28,209.91
2003-03-31,215.116
2003-04-30,231.768
2003-05-30,273.481
2003-06-30,270.773
2003-07-31,270.523
2003-08-29,279.622
2003-09-30,299.735
2003-10-31,327.316
2003-11-28,344.494
2003-12-31,385.366
2004-01-30,394.384
2004-02-27,429.908
2004-03-31,453.324
2004-04-30,472.742
2004-05-31,473.708
2004-06-30,493.949
2004-07-30,466.415
2004-08-31,488.129
2004-09-30,522.666
2004-10-29,548.397
2004-11-30,601.598
2004-12-31,636.837
2005-01-31,639.825
2005-02-28,576.735
2005-03-31,525.354
2005-04-29,515.663
2005-05-31,528.9
2005-06-30,536.579
2005-07-29,567.04
2005-08-31,569.843
2005-09-30,566.199
2005-10-31,539.472
2005-11-30,552.813
2005-12-30,610.008
2006-01-31,647.851
2006-02-28,656.608
2006-03-31,677.308
2006-04-28,700.472
2006-05-31,713.886
2006-06-30,691.091
2006-07-31,675.03
2006-08-31,745.361
2006-09-29,750.9
2006-10-31,803.585
2006-11-30,823.804
2006-12-29,895.62
2007-01-31,852.032
2007-02-28,882.872
2007-03-30,897.345
2007-04-30,953.352
2007-05-31,1000.0
2007-06-29,950.088
2007-07-31,841.909
2007-08-31,824.13
2007-09-28,844.191
2007-10-31,898.877
2007-11-30,802.372
2007-12-31,783.299
2008-01-31,753.036
2008-02-29,761.841
2008-03-31,746.816
2008-04-30,799.91
2008-05-30,769.141
2008-06-30,807.962
2008-07-31,636.568
2008-08-29,583.545
2008-09-30,463.53
2008-10-31,347.969
2008-11-28,280.028
2008-12-31,280.432
2009-01-30,288.081
2009-02-27,277.56
2009-03-31,286.36
2009-04-30,298.058
2009-05-29,352.605
2009-06-30,331.625
2009-07-31,354.424
2009-08-31,373.564
2009-09-30,395.743
2009-10-30,370.355
2009-11-30,390.739
2009-12-31,381.923
2010-01-29,397.435
2010-02-26,381.733
2010-03-31,407.032
2010-04-30,413.476
2010-05-31,350.181
2010-06-30,332.312
2010-07-30,369.142
2010-08-31,360.43
2010-09-30,407.862
2010-10-29,428.623
2010-11-30,381.232
2010-12-31,413.584
2011-01-31,419.945
2011-02-28,437.205
2011-03-31,444.806
2011-04-29,498.194
2011-05-31,524.695
2011-06-30,546.853
2011-07-29,524.751
2011-08-31,506.407
2011-09-30,488.016
2011-10-31,532.033
2011-11-30,515.429
2011-12-30,556.003
2012-01-31,551.956
2012-02-29,581.204
2012-03-30,634.834
2012-04-30,624.36
2012-05-31,609.59
2012-06-29,618.899
2012-07-31,588.997
2012-08-31,609.069
2012-09-28,629.997
2012-10-31,641.171
2012-11-30,641.168
2012-12-31,666.696
2013-01-31,678.528
2013-02-28,710.164
2013-03-29,746.193
2013-04-30,745.889
2013-05-31,754.577
2013-06-28,739.999
2013-07-31,785.661
2013-08-30,832.03
2013-09-30,821.307
2013-10-31,901.841
2013-11-29,923.517
2013-12-31,932.531
2014-01-31,948.974
2014-02-28,1116.628
2014-03-31,1032.484
2014-04-30,1008.577
2014-05-30,982.321
2014-06-30,927.35
2014-07-31,935.347
2014-08-29,969.21
2014-09-30,938.801
2014-10-31,920.615
2014-11-28,990.235
2014-12-31,959.515
2015-01-30,921.711
2015-02-27,1006.668
2015-03-31,995.995
2015-04-30,1045.24
2015-05-29,1063.52
2015-06-30,1074.043
2015-07-31,1125.455
2015-08-31,1111.24
2015-09-30,1095.649
2015-10-30,1132.159
2015-11-30,1137.518
2015-12-31,1151.899
2016-01-29,1108.524
2016-02-29,1117.562
2016-03-31,1142.547
2016-04-29,1120.41
2016-05-31,1135.928
2016-06-30,976.426
2016-07-29,1006.783
2016-08-31,1036.737
2016-09-30,1002.549
2016-10-31,912.746
2016-11-30,918.188
2016-12-30,940.478
2017-01-31,947.151
2017-02-28,1004.059
2017-03-31,1017.47
2017-04-28,1065.161
2017-05-31,1097.441
2017-06-30,1078.725
2017-07-31,1092.315
2017-08-31,1097.596
2017-09-29,1163.889
2017-10-31,1184.773
2017-11-30,1223.991
2017-12-29,1294.274
2018-01-31,1274.062
2018-02-28,1216.424
2018-03-30,1192.323
2018-04-30,1205.342
2018-05-31,1283.725
2018-06-29,1267.853
2018-07-31,1252.858
2018-08-31,1258.507
2018-09-28,1210.3
2018-10-31,1115.656
2018-11-30,1084.527
2018-12-31,1049.07
2019-01-31,1095.253
2019-02-28,1131.133
2019-03-29,1166.422
2019-04-30,1208.179
2019-05-31,1195.249
2019-06-28,1243.386
2019-07-31,1194.751
2019-08-30,1164.627
2019-09-30,1178.404
2019-10-31,1233.739
2019-11-29,1296.882
2019-12-31,1317.193
2020-01-31,1337.885
2020-02-28,1325.208
2020-03-31,1176.729
2020-04-30,1163.761
2020-05-29,1294.965
2020-06-30,1337.926
2020-07-31,1482.16
2020-08-31,1683.551
2020-09-30,1735.412
2020-10-30,1659.123
2020-11-30,1743.521
2020-12-31,1454.682
2021-01-29,1415.47
2021-02-26,1497.95
2021-03-31,1722.796
2021-04-30,1814.909
2021-05-31,1927.169
2021-06-30,1921.565
2021-07-30,2186.868
2021-08-31,2296.318
2021-09-30,2052.279
2021-10-29,2325.418
2021-11-30,2315.87
2021-12-31,2423.423
2022-01-31,1982.212
2022-02-28,2003.487
2022-03-31,2035.977
2022-04-29,1932.22
2022-05-31,1707.952
2022-06-30,1270.166
2022-07-29,1363.53
2022-08-31,1227.995
2022-09-30,995.309
2022-10-31,1110.106
2022-11-30,1199.146
2022-12-30,1165.804
2023-01-31,1368.596
2023-02-28,1392.928
2023-03-31,1447.904
2023-04-28,1465.898
2023-05-31,1418.275
2023-06-30,1430.704
2023-07-31,1652.684
2023-08-31,1673.9
2023-09-29,1529.272
2023-10-31,1377.721
2023-11-30,1575.773
2023-12-29,1662.044
2024-01-31,1660.323
2024-02-29,1700.564
2024-03-29,1746.302
2024-04-30,1759.631
2024-05-31,1833.246
2024-06-28,1678.88
2024-07-31,1881.846
2024-08-30,1870.707
2024-09-30,1985.141
2024-10-31,1880.491
2024-11-29,1722.548
2024-12-31,1710.729
2025-01-31,1747.859
2025-02-28,1870.884
2025-03-31,1840.37
2025-04-30,1921.956
2025-05-30,1984.114
