Date,IRELAND Standard (Large+Mid Cap)
2001-01-01,409.151
2001-01-02,415.221
2001-01-03,403.561
2001-01-04,409.464
2001-01-05,409.592
2001-01-08,403.929
2001-01-09,399.661
2001-01-10,394.974
2001-01-11,404.337
2001-01-12,403.373
2001-01-15,401.65
2001-01-16,399.41
2001-01-17,398.509
2001-01-18,404.604
2001-01-19,402.653
2001-01-22,402.681
2001-01-23,403.474
2001-01-24,410.01
2001-01-25,412.606
2001-01-26,413.602
2001-01-29,414.334
2001-01-30,409.494
2001-01-31,415.493
2001-02-01,415.999
2001-02-02,412.677
2001-02-05,416.771
2001-02-06,413.943
2001-02-07,420.395
2001-02-08,415.405
2001-02-09,412.61
2001-02-12,418.439
2001-02-13,418.085
2001-02-14,411.442
2001-02-15,408.703
2001-02-16,414.362
2001-02-19,414.959
2001-02-20,412.595
2001-02-21,410.847
2001-02-22,409.393
2001-02-23,410.917
2001-02-26,406.891
2001-02-27,412.876
2001-02-28,411.765
2001-03-01,417.728
2001-03-02,413.084
2001-03-05,412.655
2001-03-06,409.063
2001-03-07,406.33
2001-03-08,402.14
2001-03-09,398.222
2001-03-12,393.135
2001-03-13,384.132
2001-03-14,378.36
2001-03-15,379.823
2001-03-16,372.061
2001-03-19,370.021
2001-03-20,377.687
2001-03-21,366.973
2001-03-22,343.349
2001-03-23,355.42
2001-03-26,369.508
2001-03-27,385.596
2001-03-28,382.113
2001-03-29,374.338
2001-03-30,380.397
2001-04-02,377.974
2001-04-03,370.6
2001-04-04,373.183
2001-04-05,379.169
2001-04-06,384.377
2001-04-09,390.709
2001-04-10,394.746
2001-04-11,391.153
2001-04-12,389.864
2001-04-13,389.864
2001-04-16,385.871
2001-04-17,386.773
2001-04-18,385.366
2001-04-19,383.473
2001-04-20,387.965
2001-04-23,386.749
2001-04-24,385.383
2001-04-25,388.265
2001-04-26,390.479
2001-04-27,391.215
2001-04-30,396.571
2001-05-01,396.163
2001-05-02,397.757
2001-05-03,401.066
2001-05-04,402.349
2001-05-07,400.708
2001-05-08,402.324
2001-05-09,403.336
2001-05-10,409.914
2001-05-11,408.622
2001-05-14,409.819
2001-05-15,407.507
2001-05-16,410.955
2001-05-17,414.714
2001-05-18,416.642
2001-05-21,416.871
2001-05-22,421.248
2001-05-23,420.816
2001-05-24,410.12
2001-05-25,409.346
2001-05-28,411.234
2001-05-29,413.147
2001-05-30,413.355
2001-05-31,409.411
2001-06-01,412.851
2001-06-04,413.412
2001-06-05,420.641
2001-06-06,420.205
2001-06-07,418.885
2001-06-08,415.952
2001-06-11,409.252
2001-06-12,407.715
2001-06-13,410.539
2001-06-14,415.924
2001-06-15,425.455
2001-06-18,427.309
2001-06-19,426.846
2001-06-20,425.414
2001-06-21,423.26
2001-06-22,425.809
2001-06-25,423.311
2001-06-26,417.483
2001-06-27,417.135
2001-06-28,414.106
2001-06-29,421.102
2001-07-02,419.723
2001-07-03,421.562
2001-07-04,419.02
2001-07-05,413.754
2001-07-06,411.699
2001-07-09,418.282
2001-07-10,424.381
2001-07-11,422.204
2001-07-12,421.006
2001-07-13,421.74
2001-07-16,422.289
2001-07-17,416.872
2001-07-18,429.234
2001-07-19,433.181
2001-07-20,427.719
2001-07-23,431.313
2001-07-24,425.907
2001-07-25,415.153
2001-07-26,412.499
2001-07-27,415.118
2001-07-30,411.822
2001-07-31,411.6
2001-08-01,412.4
2001-08-02,414.28
2001-08-03,414.56
2001-08-06,407.645
2001-08-07,409.353
2001-08-08,409.079
2001-08-09,404.124
2001-08-10,407.655
2001-08-13,413.608
2001-08-14,415.088
2001-08-15,415.811
2001-08-16,416.62
2001-08-17,416.492
2001-08-20,415.216
2001-08-21,418.638
2001-08-22,417.12
2001-08-23,414.81
2001-08-24,418.506
2001-08-27,416.324
2001-08-28,416.09
2001-08-29,413.533
2001-08-30,404.447
2001-08-31,402.971
2001-09-03,402.317
2001-09-04,393.744
2001-09-05,395.12
2001-09-06,398.041
2001-09-07,397.397
2001-09-10,388.81
2001-09-11,386.506
2001-09-12,370.357
2001-09-13,378.175
2001-09-14,375.687
2001-09-17,367.563
2001-09-18,367.018
2001-09-19,352.655
2001-09-20,341.222
2001-09-21,329.929
2001-09-24,334.699
2001-09-25,339.552
2001-09-26,344.197
2001-09-27,349.246
2001-09-28,353.992
2001-10-01,350.729
2001-10-02,352.342
2001-10-03,354.897
2001-10-04,361.206
2001-10-05,367.45
2001-10-08,359.919
2001-10-09,356.725
2001-10-10,359.18
2001-10-11,364.058
2001-10-12,366.393
2001-10-15,367.065
2001-10-16,374.222
2001-10-17,376.164
2001-10-18,373.645
2001-10-19,364.977
2001-10-22,364.062
2001-10-23,371.398
2001-10-24,371.654
2001-10-25,368.415
2001-10-26,369.171
2001-10-29,366.703
2001-10-30,360.457
2001-10-31,360.85
2001-11-01,358.327
2001-11-02,357.944
2001-11-05,360.846
2001-11-06,364.289
2001-11-07,358.509
2001-11-08,355.771
2001-11-09,355.038
2001-11-12,350.592
2001-11-13,351.173
2001-11-14,348.719
2001-11-15,354.004
2001-11-16,355.761
2001-11-19,356.992
2001-11-20,366.758
2001-11-21,367.086
2001-11-22,368.315
2001-11-23,367.782
2001-11-26,370.575
2001-11-27,370.556
2001-11-28,369.193
2001-11-29,370.237
2001-11-30,378.632
2001-12-03,376.139
2001-12-04,379.44
2001-12-05,385.968
2001-12-06,389.157
2001-12-07,388.903
2001-12-10,387.537
2001-12-11,384.679
2001-12-12,379.431
2001-12-13,378.606
2001-12-14,371.028
2001-12-17,382.266
2001-12-18,382.23
2001-12-19,379.434
2001-12-20,383.887
2001-12-21,389.619
2001-12-24,385.731
2001-12-25,385.731
2001-12-26,386.061
2001-12-27,389.634
2001-12-28,391.416
2001-12-31,398.099
2002-01-01,398.099
2002-01-02,398.201
2002-01-03,392.981
2002-01-04,391.247
2002-01-07,391.012
2002-01-08,388.128
