Date,IRELAND Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,111.799
1988-02-29,110.242
1988-03-31,119.912
1988-04-29,120.56
1988-05-31,133.303
1988-06-30,133.794
1988-07-29,132.03
1988-08-31,121.883
1988-09-30,123.417
1988-10-31,131.989
1988-11-30,123.324
1988-12-30,125.089
1989-01-31,129.638
1989-02-28,137.151
1989-03-31,133.657
1989-04-28,143.486
1989-05-31,133.492
1989-06-30,128.306
1989-07-31,148.922
1989-08-31,149.77
1989-09-29,156.01
1989-10-31,150.954
1989-11-30,160.58
1989-12-29,176.597
1990-01-31,191.474
1990-02-28,185.646
1990-03-30,183.341
1990-04-30,172.738
1990-05-31,183.256
1990-06-29,186.263
1990-07-31,185.854
1990-08-31,153.012
1990-09-28,141.931
1990-10-31,162.891
1990-11-30,148.161
1990-12-31,147.052
1991-01-31,143.919
1991-02-28,169.998
1991-03-29,159.209
1991-04-30,153.88
1991-05-31,152.613
1991-06-28,140.893
1991-07-31,157.163
1991-08-30,156.724
1991-09-30,162.469
1991-10-31,158.326
1991-11-29,151.595
1991-12-31,164.957
1992-01-31,167.239
1992-02-28,160.409
1992-03-31,154.061
1992-04-30,160.997
1992-05-29,155.667
1992-06-30,154.884
1992-07-31,152.949
1992-08-31,152.924
1992-09-30,139.656
1992-10-30,125.881
1992-11-30,130.051
1992-12-31,129.963
1993-01-29,137.422
1993-02-26,134.166
1993-03-31,158.885
1993-04-30,163.525
1993-05-31,164.565
1993-06-30,164.78
1993-07-30,160.689
1993-08-31,170.8
1993-09-30,168.502
1993-10-29,174.008
1993-11-30,176.352
1993-12-31,185.073
1994-01-31,208.005
1994-02-28,192.929
1994-03-31,186.035
1994-04-29,195.663
1994-05-31,186.15
1994-06-30,186.299
1994-07-29,201.412
1994-08-31,217.117
1994-09-30,210.499
1994-10-31,215.274
1994-11-30,204.639
1994-12-30,211.9
1995-01-31,213.895
1995-02-28,221.506
1995-03-31,224.633
1995-04-28,229.825
1995-05-31,232.174
1995-06-30,242.657
1995-07-31,250.436
1995-08-31,250.404
1995-09-29,256.851
1995-10-31,252.008
1995-11-30,253.429
1995-12-29,259.33
1996-01-31,263.815
1996-02-29,267.505
1996-03-29,277.954
1996-04-30,286.866
1996-05-31,298.161
1996-06-28,302.099
1996-07-31,292.57
1996-08-30,305.147
1996-09-30,318.464
1996-10-31,328.224
1996-11-29,338.092
1996-12-31,342.324
1997-01-31,338.386
1997-02-28,347.816
1997-03-31,343.399
1997-04-30,332.339
1997-05-30,347.596
1997-06-30,358.186
1997-07-31,378.807
1997-08-29,379.615
1997-09-30,391.538
1997-10-31,383.973
1997-11-28,380.925
1997-12-31,396.557
1998-01-30,423.346
1998-02-27,470.661
1998-03-31,489.91
1998-04-30,529.117
1998-05-29,506.238
1998-06-30,504.44
1998-07-31,493.559
1998-08-31,424.412
1998-09-30,435.764
1998-10-30,460.372
1998-11-30,485.237
1998-12-31,536.644
1999-01-29,545.676
1999-02-26,544.501
1999-03-31,535.283
1999-04-30,550.032
1999-05-31,486.85
1999-06-30,475.723
1999-07-30,495.345
1999-08-31,487.617
1999-09-30,467.112
1999-10-29,455.093
1999-11-30,460.693
1999-12-31,468.849
2000-01-31,442.926
2000-02-29,431.445
2000-03-31,460.222
2000-04-28,418.526
2000-05-31,396.129
2000-06-30,385.422
2000-07-31,361.79
2000-08-31,364.006
2000-09-29,391.426
2000-10-31,392.629
2000-11-30,382.464
2000-12-29,409.151
2001-01-31,415.493
2001-02-28,411.765
2001-03-30,380.397
2001-04-30,396.403
2001-05-31,409.209
2001-06-29,420.884
2001-07-31,411.377
2001-08-31,402.577
2001-09-28,353.646
2001-10-31,360.497
2001-11-30,378.262
2001-12-31,397.709
2002-01-31,342.99
2002-02-28,313.179
2002-03-29,333.782
2002-04-30,340.275
2002-05-31,357.218
2002-06-28,337.768
2002-07-31,296.541
2002-08-30,310.683
2002-09-30,267.821
2002-10-31,301.301
2002-11-29,313.41
2002-12-31,293.349
2003-01-31,301.754
2003-02-28,292.901
2003-03-31,307.873
2003-04-30,342.784
2003-05-30,354.237
2003-06-30,350.035
2003-07-31,350.131
2003-08-29,356.035
2003-09-30,364.594
2003-10-31,375.718
2003-11-28,381.581
2003-12-31,421.934
2004-01-30,437.918
2004-02-27,434.209
2004-03-31,446.902
2004-04-30,451.162
2004-05-31,455.532
2004-06-30,480.003
2004-07-30,465.707
2004-08-31,481.985
2004-09-30,505.454
2004-10-29,523.114
2004-11-30,565.416
2004-12-31,603.672
2005-01-31,588.9
2005-02-28,575.093
2005-03-31,535.0
2005-04-29,521.426
2005-05-31,533.758
2005-06-30,552.13
2005-07-29,570.079
2005-08-31,562.44
2005-09-30,562.211
2005-10-31,536.146
2005-11-30,553.157
2005-12-30,589.832
2006-01-31,628.27
2006-02-28,647.64
2006-03-31,678.522
2006-04-28,700.482
2006-05-31,688.53
2006-06-30,678.319
2006-07-31,674.407
2006-08-31,730.359
2006-09-29,737.363
2006-10-31,768.58
2006-11-30,800.387
2006-12-29,865.958
2007-01-31,824.183
2007-02-28,853.417
2007-03-30,857.81
2007-04-30,884.042
2007-05-31,925.058
2007-06-29,888.51
2007-07-31,817.547
2007-08-31,800.626
2007-09-28,779.373
2007-10-31,797.648
2007-11-30,730.232
2007-12-31,691.997
2008-01-31,682.775
2008-02-29,673.381
2008-03-31,683.438
2008-04-30,692.792
2008-05-30,662.45
2008-06-30,562.544
2008-07-31,452.509
2008-08-29,439.844
2008-09-30,325.098
2008-10-31,247.956
2008-11-28,201.661
2008-12-31,194.287
2009-01-30,182.096
2009-02-27,159.282
2009-03-31,176.433
2009-04-30,200.945
2009-05-29,196.779
2009-06-30,188.1
2009-07-31,197.913
2009-08-31,208.487
2009-09-30,224.126
2009-10-30,199.798
2009-11-30,207.482
2009-12-31,218.142
2010-01-29,208.491
2010-02-26,200.306
2010-03-31,216.992
2010-04-30,234.586
2010-05-31,188.046
2010-06-30,173.992
2010-07-30,186.014
2010-08-31,157.328
2010-09-30,167.818
2010-10-29,171.253
2010-11-30,157.251
2010-12-31,178.624
2011-01-31,182.876
2011-02-28,195.052
2011-03-31,194.66
2011-04-29,215.807
2011-05-31,202.232
2011-06-30,209.356
2011-07-29,194.118
2011-08-31,181.368
2011-09-30,165.979
2011-10-31,187.211
2011-11-30,189.879
2011-12-30,203.111
2012-01-31,201.451
2012-02-29,213.534
2012-03-30,222.355
2012-04-30,218.098
2012-05-31,197.656
2012-06-29,212.179
2012-07-31,199.125
2012-08-31,198.391
2012-09-28,208.744
2012-10-31,207.369
2012-11-30,202.943
2012-12-31,214.761
2013-01-31,224.383
2013-02-28,232.406
2013-03-29,241.836
2013-04-30,238.795
2013-05-31,237.854
2013-06-28,233.062
2013-07-31,250.142
