Date,IRELAND GROWTH Standard (Large+Mid Cap)
2001-01-01,205.988
2001-01-02,205.919
2001-01-03,197.092
2001-01-04,198.809
2001-01-05,198.658
2001-01-08,196.059
2001-01-09,194.466
2001-01-10,192.193
2001-01-11,197.357
2001-01-12,196.777
2001-01-15,197.429
2001-01-16,196.091
2001-01-17,196.75
2001-01-18,199.251
2001-01-19,199.2
2001-01-22,199.405
2001-01-23,200.258
2001-01-24,206.996
2001-01-25,209.016
2001-01-26,210.414
2001-01-29,211.59
2001-01-30,205.752
2001-01-31,208.512
2001-02-01,208.553
2001-02-02,207.122
2001-02-05,210.042
2001-02-06,208.357
2001-02-07,213.957
2001-02-08,212.7
2001-02-09,211.53
2001-02-12,215.848
2001-02-13,217.123
2001-02-14,212.508
2001-02-15,210.998
2001-02-16,213.454
2001-02-19,214.14
2001-02-20,213.354
2001-02-21,212.044
2001-02-22,211.98
2001-02-23,212.524
2001-02-26,210.236
2001-02-27,212.379
2001-02-28,211.088
2001-03-01,214.547
2001-03-02,210.49
2001-03-05,210.117
2001-03-06,210.44
2001-03-07,206.445
2001-03-08,201.316
2001-03-09,198.796
2001-03-12,194.78
2001-03-13,191.03
2001-03-14,187.926
2001-03-15,195.52
2001-03-16,190.796
2001-03-19,187.16
2001-03-20,192.601
2001-03-21,188.833
2001-03-22,175.476
2001-03-23,183.086
2001-03-26,191.652
2001-03-27,201.015
2001-03-28,200.883
2001-03-29,198.3
2001-03-30,199.096
2001-04-02,195.135
2001-04-03,189.793
2001-04-04,189.314
2001-04-05,194.855
2001-04-06,197.888
2001-04-09,201.453
2001-04-10,203.916
2001-04-11,203.07
2001-04-12,200.125
2001-04-13,200.125
2001-04-16,198.076
2001-04-17,201.014
2001-04-18,200.111
2001-04-19,197.267
2001-04-20,196.456
2001-04-23,195.605
2001-04-24,193.778
2001-04-25,197.247
2001-04-26,197.504
2001-04-27,198.121
2001-04-30,201.578
2001-05-01,202.647
2001-05-02,200.266
2001-05-03,201.716
2001-05-04,202.304
2001-05-07,201.479
2001-05-08,200.704
2001-05-09,201.234
2001-05-10,205.983
2001-05-11,204.231
2001-05-14,206.3
2001-05-15,205.504
2001-05-16,208.261
2001-05-17,208.367
2001-05-18,208.164
2001-05-21,206.289
2001-05-22,212.691
2001-05-23,216.77
2001-05-24,212.252
2001-05-25,213.051
2001-05-28,213.711
2001-05-29,217.486
2001-05-30,217.15
2001-05-31,214.308
2001-06-01,217.373
2001-06-04,217.668
2001-06-05,222.732
2001-06-06,221.896
2001-06-07,218.48
2001-06-08,217.831
2001-06-11,214.039
2001-06-12,212.062
2001-06-13,212.203
2001-06-14,216.875
2001-06-15,225.448
2001-06-18,226.432
2001-06-19,225.964
2001-06-20,228.299
2001-06-21,227.239
2001-06-22,227.53
2001-06-25,222.509
2001-06-26,220.433
2001-06-27,220.651
2001-06-28,220.257
2001-06-29,227.303
2001-07-02,224.592
2001-07-03,222.625
2001-07-04,219.59
2001-07-05,219.898
2001-07-06,219.445
2001-07-09,222.956
2001-07-10,225.65
2001-07-11,225.003
2001-07-12,224.161
2001-07-13,224.459
2001-07-16,224.08
2001-07-17,219.636
2001-07-18,227.65
2001-07-19,233.174
2001-07-20,226.877
2001-07-23,231.063
2001-07-24,225.146
2001-07-25,216.547
2001-07-26,216.187
2001-07-27,219.248
2001-07-30,217.231
2001-07-31,216.262
2001-08-01,217.082
2001-08-02,216.647
2001-08-03,215.927
2001-08-06,208.831
2001-08-07,208.391
2001-08-08,209.434
2001-08-09,205.039
2001-08-10,206.472
2001-08-13,211.519
2001-08-14,212.559
2001-08-15,210.055
2001-08-16,208.509
2001-08-17,209.039
2001-08-20,207.869
2001-08-21,207.465
2001-08-22,205.155
2001-08-23,206.079
2001-08-24,210.493
2001-08-27,209.027
2001-08-28,208.805
2001-08-29,206.877
2001-08-30,200.538
2001-08-31,200.839
2001-09-03,201.645
2001-09-04,197.93
2001-09-05,201.799
2001-09-06,205.091
2001-09-07,204.172
2001-09-10,200.732
2001-09-11,198.21
2001-09-12,188.683
2001-09-13,197.498
2001-09-14,194.087
2001-09-17,189.069
2001-09-18,190.756
2001-09-19,177.098
2001-09-20,174.348
2001-09-21,171.608
2001-09-24,171.759
2001-09-25,177.292
2001-09-26,179.368
2001-09-27,184.439
2001-09-28,189.195
2001-10-01,185.373
2001-10-02,188.626
2001-10-03,190.986
2001-10-04,190.13
2001-10-05,188.143
2001-10-08,184.614
2001-10-09,180.264
2001-10-10,182.764
2001-10-11,188.716
2001-10-12,187.598
2001-10-15,187.29
2001-10-16,191.374
2001-10-17,190.727
2001-10-18,191.718
2001-10-19,189.543
2001-10-22,190.991
2001-10-23,195.588
2001-10-24,195.234
2001-10-25,191.946
2001-10-26,191.714
2001-10-29,186.745
2001-10-30,181.137
2001-10-31,182.619
2001-11-01,184.531
2001-11-02,184.861
2001-11-05,187.907
2001-11-06,189.699
2001-11-07,185.373
2001-11-08,183.068
2001-11-09,183.118
2001-11-12,178.343
2001-11-13,179.83
2001-11-14,173.305
2001-11-15,178.264
2001-11-16,178.112
2001-11-19,177.043
2001-11-20,184.129
2001-11-21,183.263
2001-11-22,184.712
2001-11-23,185.338
2001-11-26,185.942
2001-11-27,185.67
2001-11-28,182.558
2001-11-29,183.485
2001-11-30,186.393
2001-12-03,185.691
