Date,IRELAND VALUE Standard (Large+Mid Cap)
1990-12-31,100.0
1991-01-31,101.529
1991-02-28,119.136
1991-03-29,112.446
1991-04-30,111.616
1991-05-31,108.706
1991-06-28,101.121
1991-07-31,110.147
1991-08-30,111.174
1991-09-30,117.546
1991-10-31,115.226
1991-11-29,109.047
1991-12-31,120.525
1992-01-31,115.799
1992-02-28,109.558
1992-03-31,103.742
1992-04-30,111.446
1992-05-29,111.83
1992-06-30,110.467
1992-07-31,108.694
1992-08-31,109.651
1992-09-30,105.626
1992-10-30,97.05
1992-11-30,96.542
1992-12-31,96.31
1993-01-29,101.617
1993-02-26,98.731
1993-03-31,127.975
1993-04-30,133.721
1993-05-31,134.006
1993-06-30,136.602
1993-07-30,132.271
1993-08-31,143.793
1993-09-30,139.627
1993-10-29,142.104
1993-11-30,145.447
1993-12-31,153.885
1994-01-31,174.967
1994-02-28,156.723
1994-03-31,148.518
1994-04-29,153.26
1994-05-31,148.808
1994-06-30,155.717
1994-07-29,164.894
1994-08-31,182.714
1994-09-30,178.985
1994-10-31,190.703
1994-11-30,183.186
1994-12-30,188.953
1995-01-31,185.243
1995-02-28,195.539
1995-03-31,195.392
1995-04-28,199.523
1995-05-31,198.546
1995-06-30,208.205
1995-07-31,214.457
1995-08-31,214.774
1995-09-29,219.767
1995-10-31,213.0
1995-11-30,210.346
1995-12-29,211.141
1996-01-31,215.644
1996-02-29,211.338
1996-03-29,215.207
1996-04-30,225.599
1996-05-31,230.645
1996-06-28,228.225
1996-07-31,228.106
1996-08-30,237.685
1996-09-30,245.805
1996-10-31,258.229
1996-11-29,265.112
1996-12-31,272.309
1997-01-31,271.391
1997-02-28,276.243
1997-03-31,276.35
1997-04-30,270.734
1997-05-30,291.791
1997-06-30,302.685
1997-07-31,338.991
1997-08-29,329.836
1997-09-30,327.874
1997-10-31,313.984
1997-11-28,308.312
1997-12-31,310.57
1998-01-30,334.148
1998-02-27,343.739
1998-03-31,385.554
1998-04-30,411.595
1998-05-29,391.396
1998-06-30,376.698
1998-07-31,345.057
1998-08-31,290.047
1998-09-30,292.819
1998-10-30,330.024
1998-11-30,345.884
1998-12-31,368.518
1999-01-29,357.606
1999-02-26,388.277
1999-03-31,376.275
1999-04-30,410.178
1999-05-31,375.287
1999-06-30,357.553
1999-07-30,380.85
1999-08-31,370.93
1999-09-30,365.79
1999-10-29,360.973
1999-11-30,364.246
1999-12-31,354.037
2000-01-31,329.234
2000-02-29,313.524
2000-03-31,336.181
2000-04-28,324.75
2000-05-31,302.59
2000-06-30,297.917
2000-07-31,274.481
2000-08-31,292.417
2000-09-29,336.618
2000-10-31,322.228
2000-11-30,329.253
2000-12-29,364.849
2001-01-31,372.789
2001-02-28,354.259
2001-03-30,320.151
2001-04-30,344.021
2001-05-31,345.586
2001-06-29,344.462
2001-07-31,346.141
2001-08-31,356.076
2001-09-28,292.227
2001-10-31,314.688
2001-11-30,336.949
2001-12-31,358.188
2002-01-31,343.608
2002-02-28,350.761
2002-03-29,380.916
2002-04-30,395.708
2002-05-31,420.34
2002-06-28,379.274
2002-07-31,318.413
2002-08-30,324.813
2002-09-30,261.829
2002-10-31,283.905
2002-11-29,312.264
2002-12-31,289.473
2003-01-31,304.049
2003-02-28,284.339
2003-03-31,309.53
2003-04-30,342.678
2003-05-30,357.607
2003-06-30,350.13
2003-07-31,373.946
2003-08-29,379.745
2003-09-30,380.704
2003-10-31,392.428
2003-11-28,401.975
2003-12-31,440.979
2004-01-30,462.02
2004-02-27,427.044
2004-03-31,421.458
2004-04-30,407.788
2004-05-31,408.708
2004-06-30,430.891
2004-07-30,428.502
2004-08-31,442.013
2004-09-30,463.239
2004-10-29,478.679
2004-11-30,523.691
2004-12-31,565.937
2005-01-31,540.393
2005-02-28,586.195
2005-03-31,565.496
2005-04-29,546.399
2005-05-31,549.947
2005-06-30,573.705
2005-07-29,583.465
2005-08-31,582.19
2005-09-30,583.765
2005-10-31,568.231
2005-11-30,581.705
2005-12-30,593.12
2006-01-31,628.994
2006-02-28,660.712
2006-03-31,683.06
2006-04-28,699.621
2006-05-31,677.346
2006-06-30,683.282
2006-07-31,682.146
2006-08-31,740.97
2006-09-29,747.68
2006-10-31,768.974
2006-11-30,803.673
2006-12-29,858.855
2007-01-31,825.966
2007-02-28,853.952
2007-03-30,847.955
2007-04-30,864.501
2007-05-31,889.349
2007-06-29,838.632
2007-07-31,793.058
2007-08-31,783.109
2007-09-28,759.968
2007-10-31,782.914
2007-11-30,705.532
2007-12-31,679.493
2008-01-31,664.146
2008-02-29,646.214
2008-03-31,674.542
2008-04-30,659.172
2008-05-30,633.848
2008-06-30,454.683
2008-07-31,387.489
2008-08-29,402.423
2008-09-30,268.511
2008-10-31,156.945
2008-11-28,84.221
2008-12-31,81.712
2009-01-30,71.699
2009-02-27,57.661
2009-03-31,67.844
2009-04-30,82.958
2009-05-29,74.031
2009-06-30,72.036
2009-07-31,74.822
2009-08-31,80.934
2009-09-30,87.826
2009-10-30,78.073
2009-11-30,80.068
2010-06-30,76.748
2010-07-30,103.924
2010-08-31,91.518
2010-09-30,79.155
2010-10-29,69.279
2010-11-30,38.225
2010-12-31,45.668
2011-01-31,46.428
2011-02-28,50.449
2011-03-31,49.912
2011-04-29,54.529
2011-05-31,46.599
2011-06-30,47.415
2011-07-29,42.163
2011-08-31,38.822
2011-09-30,33.892
2011-10-31,39.591
2011-11-30,41.612
2011-12-30,43.254
2012-01-31,42.992
2012-02-29,46.545
2012-03-30,45.229
2012-04-30,44.996
2012-05-31,37.328
2012-06-29,42.566
2012-07-31,40.857
2012-08-31,39.651
2012-09-28,43.282
2012-10-31,41.735
2012-11-30,40.985
2012-12-31,45.242
2013-01-31,48.438
2013-02-28,49.027
2013-03-29,50.637
2013-04-30,49.288
2013-05-31,48.376
2013-06-28,47.734
2013-07-31,50.1
2013-08-30,50.555
2013-09-30,56.259
2013-10-31,57.755
2013-11-29,60.897
2013-12-31,60.442
2014-01-31,61.625
2014-02-28,71.01
2014-03-31,67.833
2014-04-30,70.658
2014-05-30,66.777
2014-06-30,62.531
2014-07-31,56.999
2014-08-29,56.91
2014-09-30,56.225
2014-10-31,54.409
2014-11-28,58.213
2014-12-31,59.18
2015-01-30,59.113
2015-02-27,69.784
2015-03-31,64.859
2015-04-30,70.142
2015-05-29,69.734
2015-06-30,70.314
2015-07-31,74.116
2015-08-31,74.537
2015-09-30,65.746
2015-10-30,68.828
2015-11-30,73.721
2016-05-31,100.0
2016-06-30,67.379
2016-07-29,67.821
2016-08-31,73.756
2016-09-30,68.527
2016-10-31,70.078
2016-11-30,69.901
2016-12-30,80.914
2017-01-31,87.865
2017-02-28,78.032
2017-03-31,82.4
2017-04-28,82.466
2017-05-31,88.845
2017-06-30,86.0
2017-07-31,90.832
2017-08-31,90.945
2017-09-29,89.528
2017-10-31,85.65
2017-11-30,85.398
2017-12-29,90.421
2018-01-31,100.596
2018-02-28,95.798
2018-03-30,89.24
2018-04-30,91.306
2018-05-31,83.61
2018-06-29,80.549
2018-07-31,87.351
2018-08-31,84.195
2018-09-28,77.926
2018-10-31,72.725
2018-11-30,65.242
2018-12-31,59.34
2019-01-31,61.847
2019-02-28,64.13
2019-03-29,60.733
2019-04-30,65.218
2019-05-31,56.138
2019-06-28,57.013
2019-07-31,53.278
2019-08-30,48.68
2019-09-30,54.363
2019-10-31,61.476
2019-11-29,65.945
2019-12-31,70.843
2020-01-31,64.123
2020-02-28,56.983
2020-03-31,43.712
2020-04-30,53.451
2020-05-29,54.595
2020-06-30,56.714
2020-07-31,61.188
2020-08-31,64.582
2020-09-30,63.773
2020-10-30,64.251
2020-11-30,70.846
2020-12-31,76.113
2021-01-29,75.477
2021-02-26,77.575
2021-03-31,83.686
2021-04-30,84.716
2021-05-31,89.102
2021-06-30,87.254
2021-07-30,86.512
2021-08-31,92.449
2021-09-30,85.391
2021-10-29,85.376
2021-11-30,79.287
2021-12-31,87.522
2022-01-31,82.621
2022-02-28,76.952
2022-03-31,68.375
2022-04-29,66.548
2022-05-31,68.523
2022-06-30,57.058
2022-07-29,62.657
2022-08-31,60.288
2022-09-30,52.761
2022-10-31,59.195
2022-11-30,63.957
2022-12-30,67.723
2023-01-31,77.694
2023-02-28,78.044
2023-03-31,80.025
2023-04-28,79.109
2023-05-31,75.895
2023-06-30,83.79
